"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"HOPE01","HOPE01",15,14,9,16,8,23,12,23,5,17,12,2,2,4,12,6,13,2,16,23,9,16,8,21,20,7,18,5,8,3,18,23,20,21,4,1,9,19,8
"HOPE04","HOPE04",21,23,24,24,24,7,24,24,23,7,22,23,23,23,21,21,24,15,23,10,21,23,23,24,24,24,24,24,21,24,24,24,24,24,10,24,2,24,20
"HOPE05","HOPE05",21,22,12,4,11,8,4,19,8,14,21,16,13,21,9,23,15,16,18,19,23,21,21,22,10,23,21,19,8,10,3,20,20,18,1,13,1,15,18
"HOPE06","HOPE06",8,4,11,23,1,15,19,16,10,1,10,15,11,10,4,10,7,20,4,5,6,2,8,7,15,7,4,19,17,10,3,15,14,12,19,3,22,13,2
"HOPE07","HOPE07",8,3,18,22,23,17,23,4,21,24,13,22,19,6,22,9,19,22,6,8,24,24,24,23,10,15,20,19,21,10,9,20,8,21,24,22,17,6,16
"HOPE09","HOPE09",8,21,13,19,20,22,10,20,22,9,8,24,10,24,23,22,22,13,13,23,20,7,18,1,21,7,4,19,23,21,18,7,8,17,21,7,23,22,24
"HOPE10","HOPE10",2,12,20,11,21,9,13,6,3,15,14,20,8,9,14,7,16,7,21,19,3,13,8,18,10,21,23,5,1,10,9,20,20,20,22,19,5,7,23
"HOPE11","HOPE11",8,16,19,20,15,21,6,21,6,12,18,12,7,2,7,19,10,3,17,16,19,20,8,18,18,15,4,12,8,23,18,15,8,9,15,7,15,11,22
"HOPE12","HOPE12",8,5,10,8,13,4,3,22,14,4,5,4,6,16,3,3,6,10,5,1,13,10,8,18,13,7,13,5,8,10,3,7,2,1,12,13,11,14,9
"HOPE13","HOPE13",21,24,23,21,18,11,15,12,18,22,24,6,9,15,24,8,23,9,3,14,16,22,8,7,15,7,13,12,23,16,18,7,2,6,18,13,4,10,11
"HOPE14","HOPE14",8,2,8,15,16,3,1,17,11,20,16,18,12,7,19,15,21,1,22,16,18,1,8,7,13,22,21,19,17,10,9,7,23,14,23,19,10,9,21
"HOPE15","HOPE15",21,8,7,2,7,24,5,18,13,2,9,8,5,8,11,16,8,12,8,5,5,18,8,16,2,7,13,5,8,3,18,7,16,14,7,3,19,17,14
"HOPE16","HOPE16",8,15,14,14,3,5,8,5,24,21,17,10,4,11,20,11,14,5,20,15,4,7,8,12,7,7,4,19,17,10,3,15,14,6,20,13,13,3,7
"HOPE17","HOPE17",21,11,22,3,12,14,11,1,12,5,6,1,21,17,18,17,18,6,19,22,17,11,18,1,17,19,13,12,17,19,18,7,8,10,15,13,18,23,19
"HOPE18","HOPE18",15,10,17,17,10,6,18,11,4,11,7,17,18,18,17,4,17,14,7,13,8,15,8,20,7,15,8,5,8,3,3,7,14,6,11,19,12,20,1
"HOPE19","HOPE19",15,18,15,6,2,16,20,15,20,19,15,7,22,13,15,14,3,18,9,5,11,7,8,11,3,7,13,12,2,5,18,7,8,2,5,13,7,21,12
"HOPE20","HOPE20",8,9,16,9,6,19,21,14,15,13,3,21,16,20,16,24,11,24,15,19,22,16,21,7,22,15,13,19,17,21,18,20,20,16,14,13,21,16,15
"HOPE21","HOPE21",2,1,5,7,4,12,9,7,19,18,23,3,1,19,1,1,4,4,11,2,1,5,8,3,5,7,4,5,8,10,3,7,8,4,17,3,6,18,4
"HOPE23","HOPE23",15,7,2,12,9,2,17,8,2,10,4,9,17,3,2,5,9,17,1,11,14,14,8,7,13,15,13,12,8,19,18,7,8,3,8,3,8,12,10
"HOPE25","HOPE25",21,6,21,18,5,20,14,13,17,8,1,14,24,22,5,20,2,23,12,8,6,3,8,7,18,7,8,12,8,19,9,7,2,6,13,7,24,4,13
"HOPE28","HOPE28",21,20,1,10,17,10,16,9,16,23,11,5,14,1,10,13,20,21,24,5,12,12,18,3,23,20,13,19,17,10,9,15,16,23,6,13,16,5,5
"HOPE29","HOPE29",8,13,4,13,22,1,2,3,7,6,19,13,20,14,13,2,1,19,14,11,2,7,8,14,1,15,4,5,17,1,9,7,8,18,2,7,20,8,6
"HOPE31","HOPE31",8,17,6,1,19,13,22,2,1,16,2,11,15,12,8,12,5,11,2,19,10,19,18,14,7,1,4,5,8,16,18,20,2,14,3,19,14,1,17
"HOPE32","HOPE32",2,19,3,5,14,18,7,10,9,3,20,19,3,5,6,18,12,8,10,5,15,4,8,12,3,7,18,5,8,16,18,7,20,10,9,22,3,2,3
