"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"HULL01","HULL01",12,20,17,70,70,68,56,69,67,69,68,58,65,66,64,69,62,58,45,23,5,10,5,13,29,7,9,14,12,13,15,10,10,19,8,5,55,20,22
"HULL02","HULL02",8,2,4,4,9,9,5,5,4,11,67,14,6,10,8,14,18,64,18,13,13,13,9,5,11,10,10,11,10,9,14,13,13,11,15,18,16,28,11
"HULL03","HULL03",8,3,2,2,2,3,4,2,3,8,9,7,2,4,4,3,10,4,10,4,10,5,7,8,4,12,8,10,6,14,11,5,7,2,18,6,4,12,13
"HULL04","HULL04",26,21,19,18,17,26,16,16,17,46,17,51,66,16,18,24,52,15,16,9,14,17,19,15,14,8,19,19,14,10,16,15,17,18,10,20,58,15,20
"HULL05","HULL05",19,25,24,71,29,70,34,18,71,65,71,60,69,64,68,70,61,55,25,20,15,15,16,20,12,6,12,5,5,23,6,17,18,20,19,16,57,29,21
"HULL06","HULL06",19,16,11,15,18,13,14,13,15,21,69,63,67,65,66,67,65,60,22,48,35,57,60,70,71,24,22,34,20,19,19,10,16,21,16,12,22,22,8
"HULL07","HULL07",12,13,10,5,14,14,19,14,14,13,13,44,18,13,20,17,46,11,14,5,7,4,4,5,5,21,4,7,6,8,12,13,9,16,13,11,10,4,17
"HULL08","HULL08",33,19,21,13,20,15,17,19,19,12,18,12,17,17,3,16,9,13,17,27,27,25,24,27,27,34,27,34,25,27,24,26,28,31,27,26,14,18,25
"HULL09","HULL09",4,15,9,19,24,71,8,12,5,10,2,59,12,1,2,8,21,1,1,3,11,12,13,9,1,1,15,14,19,6,18,18,14,1,6,4,1,24,14
"HULL10","HULL10",16,9,43,12,15,18,26,23,13,32,10,25,8,11,14,10,24,24,6,17,12,8,8,18,21,14,15,18,11,15,9,7,11,15,11,8,9,3,5
"HULL100","HULL100",26,39,59,33,62,34,47,39,34,41,32,29,31,43,30,39,34,44,42,54,31,27,33,31,58,29,38,34,30,44,52,46,41,28,34,25,41,46,53
"HULL101","HULL101",12,6,6,3,7,6,7,4,28,51,7,9,44,25,69,19,14,8,21,7,4,3,2,3,6,15,3,3,4,5,4,2,4,7,4,9,7,8,6
"HULL104","HULL104",26,26,25,27,27,20,71,21,27,58,20,23,16,70,21,12,7,18,26,28,1,23,45,33,29,44,28,47,33,42,31,27,29,26,69,48,61,32,56
"HULL105","HULL105",4,5,1,28,5,11,10,8,8,7,5,16,3,2,6,6,15,3,2,13,6,7,6,19,18,10,17,8,71,12,3,8,5,13,7,6,3,1,1
"HULL106","HULL106",4,8,3,1,3,2,2,22,9,61,11,11,7,6,16,4,41,10,4,8,8,6,3,16,16,17,6,12,2,4,2,4,2,12,3,2,52,7,15
"HULL107","HULL107",39,29,26,24,28,63,25,29,23,18,62,49,24,18,70,13,71,17,19,22,26,41,27,24,22,40,30,43,28,25,20,30,25,23,29,28,65,21,24
"HULL108","HULL108",31,32,29,26,30,27,42,46,33,67,22,70,20,24,46,25,13,26,50,26,28,33,23,28,24,36,24,40,27,28,26,28,27,34,28,34,59,26,27
"HULL109","HULL109",36,23,20,61,21,17,18,20,20,19,19,18,19,21,10,15,12,21,62,24,22,24,18,25,25,38,23,22,21,22,17,22,21,27,26,30,71,17,26
"HULL110","HULL110",36,27,27,21,22,22,24,25,21,23,52,45,25,19,15,21,70,19,20,18,23,28,25,23,26,29,25,29,23,29,21,29,24,32,24,26,19,19,29
"HULL111","HULL111",62,54,70,38,39,51,52,59,56,3,44,3,40,45,45,47,6,45,47,60,41,40,41,47,34,31,69,54,54,52,59,70,69,67,65,59,36,43,41
"HULL112","HULL112",26,44,41,47,45,45,46,62,52,5,43,5,47,38,44,59,3,32,49,56,36,39,44,45,45,45,48,47,45,47,50,66,49,60,37,44,39,41,45
"HULL113","HULL113",46,50,50,54,48,38,68,47,39,63,46,6,48,55,42,52,5,51,54,54,52,55,53,56,59,62,54,62,59,54,70,59,54,47,51,36,43,47,69
"HULL117","HULL117",63,35,32,37,40,43,40,54,31,2,38,1,46,30,24,36,2,39,41,47,33,32,47,35,36,37,51,53,55,61,57,58,58,56,53,58,33,37,50
"HULL118","HULL118",58,52,39,41,44,50,41,38,43,44,54,43,36,56,53,42,44,43,44,63,59,65,62,43,32,61,62,51,45,58,44,41,39,66,49,65,24,35,43
"HULL119","HULL119",67,59,69,43,47,47,55,65,58,68,64,67,64,67,59,50,43,47,67,71,70,68,71,67,66,70,68,55,57,55,71,69,63,69,68,63,56,65,59
