"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"BARN","BARN",7,4,3,11,6,5,7,6,10,13,8,15,7,8,10,10,17,8,3,7,9,4,7,5,2,1,4,4,7,7,7,7,4,7,3,5,9,7,5
"BEDSONTC","BEDSONTC",7,3,5,4,3,2,3,3,4,12,5,12,2,4,4,4,12,3,2,2,1,2,7,3,1,7,2,4,3,2,2,2,4,1,2,5,6,3,4
"BEDSONTCA","BEDSONTCA",28,28,28,28,28,28,28,28,28,28,28,28,28,28,24,24,28,28,28,28,25,27,28,28,30,28,28,28,28,28,30,28,27,28,27,27,28,28,28
"BEDSONTCB","BEDSONTCB",7,2,1,1,1,1,1,1,1,6,1,9,1,1,3,1,11,1,1,9,13,8,1,1,7,11,1,1,1,1,1,1,1,8,4,1,1,1,12
"CASTLEAZES","CASTLEAZES",7,5,4,6,5,6,4,5,7,16,4,16,5,5,8,7,14,6,4,1,8,4,2,4,4,7,4,4,7,3,4,3,4,5,7,5,8,5,2
"CHART","CHART",31,29,29,29,29,29,29,29,29,29,29,29,29,29,29,25,29,29,29,31,31,31,29,31,31,32,29,29,29,29,28,28,29,31,29,31,29,29,29
"GLAZIER","GLAZIER",19,19,19,17,17,17,17,17,17,4,20,6,17,17,15,16,4,17,17,20,18,19,16,18,18,16,17,18,17,17,15,19,17,21,18,17,17,17,18
"GNML","GNML",19,12,13,15,13,15,13,13,13,15,14,20,12,13,16,15,23,13,13,16,17,14,13,14,17,16,12,13,12,12,13,13,14,15,15,13,14,13,14
"GREY","GREY",7,9,8,8,7,3,9,11,9,21,12,19,10,10,9,8,20,10,8,11,5,11,7,9,12,11,7,10,7,9,7,7,9,10,10,9,12,9,10
"HOPE","HOPE",19,25,25,25,26,25,25,25,25,25,25,26,25,25,27,28,26,25,25,24,24,1,26,26,26,24,26,25,25,25,25,26,25,24,25,24,25,27,26
"HULL","HULL",7,10,10,7,9,9,5,8,6,10,10,4,3,9,6,6,8,5,9,4,3,9,7,2,5,3,9,8,2,5,4,7,9,6,11,5,4,10,6
