"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"BARN","BARN",2,3,2,6,4,5,4,3,5,13,6,14,5,7,6,6,15,4,5,3,7,3,4,4,3,3,6,3,4,4,4,4,4,3,3,3,4,4,3
"BEDSONTC","BEDSONTC",8,5,5,7,5,3,6,5,7,11,5,11,6,8,7,8,12,5,4,2,6,7,4,4,2,12,6,7,4,4,4,4,4,6,5,8,3,3,2
"BEDSONTCA","BEDSONTCA",18,28,28,28,28,28,28,28,28,27,28,27,28,28,22,22,27,28,28,23,19,24,27,27,28,16,27,27,27,27,28,27,25,28,25,22,28,28,28
"BEDSONTCB","BEDSONTCB",1,1,14,1,1,1,1,1,1,2,1,6,1,1,2,1,8,1,1,1,8,9,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,9
"CASTLEAZES","CASTLEAZES",8,4,4,5,3,2,3,4,4,14,8,13,4,6,5,7,14,6,7,6,2,4,4,4,4,3,3,3,4,2,2,4,4,5,4,3,7,6,6
"CHART","CHART",30,29,29,29,29,29,29,29,29,28,29,28,29,29,28,24,28,29,29,30,30,30,28,29,31,32,28,28,28,28,27,27,28,29,28,28,29,29,29
"GLAZIER","GLAZIER",8,17,19,15,15,15,15,15,15,5,19,4,16,19,12,14,5,14,18,16,14,13,14,15,16,12,14,15,14,14,14,14,13,15,15,13,18,18,16
"GNML","GNML",18,10,9,13,10,13,12,10,11,15,11,16,10,11,15,13,19,10,10,11,12,10,10,13,14,24,10,10,10,10,11,10,10,13,10,10,11,11,10
"GREY","GREY",8,8,8,8,8,8,7,7,8,16,10,12,8,10,13,9,16,9,9,9,9,8,9,7,8,3,9,7,8,9,8,8,9,10,9,6,8,9,8
"HOPE","HOPE",25,26,26,26,26,26,26,25,26,25,26,26,26,25,27,28,26,26,26,27,23,25,26,24,27,27,24,24,24,26,25,26,24,24,23,21,25,26,26
"HULL","HULL",18,21,21,22,20,21,21,22,21,22,22,23,22,22,23,23,23,21,22,20,21,18,21,20,19,19,21,19,20,19,20,19,21,20,19,18,22,22,21
"KINGS","KINGS",8,13,12,11,13,11,11,13,13,4,14,3,13,13,9,11,3,12,14,12,13,12,12,11,12,10,12,13,13,12,11,12,12,11,12,12,14,14,12
"KRC","KRC",25,11,11,14,11,14,14,11,12,18,13,19,11,12,19,16,22,13,12,14,18,11,11,12,13,28,11,11,11,11,16,11,11,14,11,11,12,12,11
"LAW","LAW",18,15,15,17,16,16,18,17,16,3,18,2,15,17,14,18,2,15,15,19,15,16,17,16,17,12,15,17,16,16,16,16,15,17,17,14,17,16,15
"LEARNLOUNGE","LEARNLOUNGE",32,25,25,25,25,25,25,23,25,26,25,25,25,26,26,27,25,24,23,26,29,28,25,25,25,30,24,24,26,25,25,24,26,25,26,26,26,24,23
"LEAZESTCE","LEAZESTCE",8,6,6,4,6,6,5,6,6,10,7,15,3,5,4,4,11,3,6,5,3,2,4,2,4,3,3,7,4,4,4,4,4,3,7,3,6,5,4
"LGROUPSTUDY","LGROUPSTUDY",14,18,17,16,17,17,16,16,17,21,17,20,17,16,17,17,13,16,20,17,17,17,13,17,15,15,18,17,15,15,14,14,20,15,16,18,19,17,17
"NIDD","NIDD",22,24,24,23,24,24,24,24,23,24,24,24,24,23,25,26,24,25,24,25,25,22,23,23,24,22,23,23,23,23,23,24,23,23,24,24,24,25,25
"OLDLIB","OLDLIB",18,12,10,2,12,10,10,12,2,8,2,7,12,2,1,2,7,18,11,21,27,20,16,21,21,26,16,12,12,17,10,21,17,21,21,20,10,10,20
"PERCY","PERCY",2,2,1,3,2,4,2,2,3,12,3,10,2,4,3,3,10,2,3,6,1,1,4,4,6,3,3,3,4,4,4,4,4,3,2,3,5,2,1
"PSSBEDS","PSSBEDS",4,7,3,10,9,9,9,9,10,19,4,18,7,3,8,5,17,7,2,8,4,6,7,9,7,7,5,5,4,7,7,4,7,8,6,9,2,7,5
"PSSCTOW","PSSCTOW",8,16,16,19,22,20,17,18,18,6,16,5,20,20,16,19,4,20,17,13,11,14,14,14,11,12,13,14,18,13,14,14,13,12,13,15,15,19,14
"PSSDAYS","PSSDAYS",18,30,31,30,30,31,31,31,30,31,32,32,32,31,32,32,32,32,31,28,22,26,29,28,30,17,29,29,29,29,29,29,29,30,30,29,31,32,32
"PSSKG","PSSKG",22,22,20,20,18,18,19,20,19,23,20,22,18,18,21,20,21,17,16,18,16,21,20,18,20,25,20,22,21,20,18,20,17,18,20,17,16,15,18
"PSSMEDS","PSSMEDS",31,23,23,24,23,27,23,26,24,7,23,8,23,27,24,29,6,23,25,23,28,27,23,26,23,29,26,26,24,23,23,23,27,27,27,27,23,23,24
"RIDLEYB","RIDLEYB",8,9,7,9,7,7,8,8,9,17,9,17,9,9,10,10,20,8,8,10,5,5,8,7,8,6,8,7,8,8,8,9,8,7,7,6,9,8,7
"ROBLIB","ROBLIB",28,19,18,21,19,19,20,19,20,1,21,1,21,21,20,21,1,19,21,15,20,19,18,19,17,31,17,17,17,18,21,17,17,19,18,25,20,20,19
"SRRLIBHOPEPCP","SRRLIBHOPEPCP",13,14,13,12,14,12,13,14,14,20,15,21,14,14,11,12,18,11,13,4,10,15,19,10,10,9,19,21,19,21,19,18,19,9,14,16,13,13,13
"SUNSPACE","SUNSPACE",28,27,27,27,27,23,27,27,27,29,27,29,27,24,29,25,29,27,27,31,31,31,31,31,29,21,31,31,32,31,32,31,32,26,31,32,27,27,27
"TOLL","TOLL",25,32,32,31,31,32,32,32,32,30,31,30,31,30,31,31,30,30,30,29,24,29,30,30,26,18,30,30,29,30,30,29,30,31,29,30,30,31,30
"TYNE","TYNE",18,31,30,32,32,30,30,30,31,32,30,31,30,32,30,30,31,31,32,32,32,32,32,32,32,23,32,32,31,32,31,32,31,32,32,31,32,30,31
"UNION","UNION",25,20,22,18,21,22,22,21,22,9,12,9,19,15,18,15,9,22,19,22,26,23,22,22,22,20,22,20,22,22,22,22,22,22,22,22,21,21,22
