spec.jvm2008.report.run.location=HOPE29
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Fri Jun 24 10:11:47 BST 2016, end=Fri Jun 24 10:11:48 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 10:11:48 BST 2016, end=Fri Jun 24 10:11:48 BST 2016, operations=1.0, operationsPerMinute=147.7832512315271
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 10:11:48 BST 2016, end=Fri Jun 24 10:12:09 BST 2016, operations=1.0, operationsPerMinute=2.8155795401220085
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 10:12:09 BST 2016, end=Fri Jun 24 10:12:14 BST 2016, operations=1.0, operationsPerMinute=12.610340479192939
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 10:12:14 BST 2016, end=Fri Jun 24 10:12:16 BST 2016, operations=1.0, operationsPerMinute=36.99136868064118
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 10:12:16 BST 2016, end=Fri Jun 24 10:12:26 BST 2016, operations=1.0, operationsPerMinute=5.944125222904696
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 10:12:26 BST 2016, end=Fri Jun 24 10:12:34 BST 2016, operations=1.0, operationsPerMinute=7.057163020465773
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 10:12:34 BST 2016, end=Fri Jun 24 10:12:41 BST 2016, operations=1.0, operationsPerMinute=8.416327675690841
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 10:12:41 BST 2016, end=Fri Jun 24 10:12:45 BST 2016, operations=1.0, operationsPerMinute=18.94537417113988
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 10:12:45 BST 2016, end=Fri Jun 24 10:12:45 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 10:12:45 BST 2016, end=Fri Jun 24 10:12:47 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 10:12:47 BST 2016, end=Fri Jun 24 10:12:53 BST 2016, operations=1.0, operationsPerMinute=9.007656508031827
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 10:12:53 BST 2016, end=Fri Jun 24 10:12:55 BST 2016, operations=1.0, operationsPerMinute=35.27336860670194
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 10:12:55 BST 2016, end=Fri Jun 24 10:12:57 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 10:12:57 BST 2016, end=Fri Jun 24 10:13:00 BST 2016, operations=1.0, operationsPerMinute=19.23076923076923
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 10:13:00 BST 2016, end=Fri Jun 24 10:13:07 BST 2016, operations=1.0, operationsPerMinute=8.201202843083653
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 10:13:07 BST 2016, end=Fri Jun 24 10:13:35 BST 2016, operations=1.0, operationsPerMinute=2.1631755416952085
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 10:13:35 BST 2016, end=Fri Jun 24 10:13:36 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 10:13:51 BST 2016, end=Fri Jun 24 10:15:51 BST 2016, operations=347.1517185323611, operationsPerMinute=173.57585926618054, mode=normal, start=Fri Jun 24 10:15:53 BST 2016, end=Fri Jun 24 10:19:53 BST 2016, operations=716.7635530174555, operationsPerMinute=179.19088825436387
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 10:19:59 BST 2016, end=Fri Jun 24 10:21:59 BST 2016, operations=141.04043521856747, operationsPerMinute=70.52021760928373, mode=normal, start=Fri Jun 24 10:22:05 BST 2016, end=Fri Jun 24 10:26:05 BST 2016, operations=281.2028645698252, operationsPerMinute=70.3007161424563
benchmark-name=compress, mod=warmup, start=Fri Jun 24 10:26:10 BST 2016, end=Fri Jun 24 10:28:10 BST 2016, operations=269.41636081997626, operationsPerMinute=134.70818040998813, mode=normal, start=Fri Jun 24 10:28:12 BST 2016, end=Fri Jun 24 10:32:12 BST 2016, operations=541.7410857643057, operationsPerMinute=135.43527144107642
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 10:32:15 BST 2016, end=Fri Jun 24 10:34:15 BST 2016, operations=84.79211653387725, operationsPerMinute=42.396058266938624, mode=normal, start=Fri Jun 24 10:34:25 BST 2016, end=Fri Jun 24 10:38:25 BST 2016, operations=179.75207886211786, operationsPerMinute=44.938019715529464
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 10:38:33 BST 2016, end=Fri Jun 24 10:40:33 BST 2016, operations=145.70454073232366, operationsPerMinute=72.85227036616183, mode=normal, start=Fri Jun 24 10:40:37 BST 2016, end=Fri Jun 24 10:44:37 BST 2016, operations=295.74602976313486, operationsPerMinute=73.93650744078371
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 10:44:43 BST 2016, end=Fri Jun 24 10:46:43 BST 2016, operations=252.09379759350293, operationsPerMinute=126.04689879675146, mode=normal, start=Fri Jun 24 10:46:46 BST 2016, end=Fri Jun 24 10:50:46 BST 2016, operations=503.7604564321003, operationsPerMinute=125.94011410802507
benchmark-name=derby, mod=warmup, start=Fri Jun 24 10:52:15 BST 2016, end=Fri Jun 24 10:54:15 BST 2016, operations=204.06815629015344, operationsPerMinute=102.03407814507672, mode=normal, start=Fri Jun 24 10:54:19 BST 2016, end=Fri Jun 24 10:58:19 BST 2016, operations=412.28512666343266, operationsPerMinute=103.07128166585817
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 10:58:23 BST 2016, end=Fri Jun 24 11:00:23 BST 2016, operations=132.78005804734272, operationsPerMinute=66.39002902367136, mode=normal, start=Fri Jun 24 11:00:29 BST 2016, end=Fri Jun 24 11:04:29 BST 2016, operations=267.02382213516637, operationsPerMinute=66.75595553379159
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 11:04:33 BST 2016, end=Fri Jun 24 11:06:33 BST 2016, operations=59.597530328717006, operationsPerMinute=29.798765164358503, mode=normal, start=Fri Jun 24 11:06:40 BST 2016, end=Fri Jun 24 11:10:40 BST 2016, operations=114.76790249660343, operationsPerMinute=28.691975624150857
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 11:10:51 BST 2016, end=Fri Jun 24 11:12:51 BST 2016, operations=11.520079309338225, operationsPerMinute=5.760039654669113, mode=normal, start=Fri Jun 24 11:13:27 BST 2016, end=Fri Jun 24 11:17:27 BST 2016, operations=23.016835451059595, operationsPerMinute=5.754208862764899
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 11:18:08 BST 2016, end=Fri Jun 24 11:20:08 BST 2016, operations=53.91940396238557, operationsPerMinute=26.959701981192786, mode=normal, start=Fri Jun 24 11:20:22 BST 2016, end=Fri Jun 24 11:24:22 BST 2016, operations=109.96757070771224, operationsPerMinute=27.49189267692806
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 11:24:35 BST 2016, end=Fri Jun 24 11:26:35 BST 2016, operations=37.279154011939085, operationsPerMinute=18.639577005969542, mode=normal, start=Fri Jun 24 11:26:50 BST 2016, end=Fri Jun 24 11:30:50 BST 2016, operations=74.50825706707434, operationsPerMinute=18.627064266768585
