spec.jvm2008.report.run.location=HULL02
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8104
benchmark-name=check, mode=normal, start=Sat Jun 04 16:04:28 BST 2016, end=Sat Jun 04 16:04:28 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:04:28 BST 2016, end=Sat Jun 04 16:04:28 BST 2016, operations=1.0, operationsPerMinute=545.4545454545455
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:04:28 BST 2016, end=Sat Jun 04 16:04:42 BST 2016, operations=1.0, operationsPerMinute=4.5409823658518125
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:04:42 BST 2016, end=Sat Jun 04 16:04:45 BST 2016, operations=1.0, operationsPerMinute=17.97483523067705
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:04:45 BST 2016, end=Sat Jun 04 16:04:46 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:04:46 BST 2016, end=Sat Jun 04 16:04:55 BST 2016, operations=1.0, operationsPerMinute=7.044734061289186
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:04:55 BST 2016, end=Sat Jun 04 16:05:02 BST 2016, operations=1.0, operationsPerMinute=7.849293563579278
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:05:02 BST 2016, end=Sat Jun 04 16:05:09 BST 2016, operations=1.0, operationsPerMinute=9.157509157509157
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:05:09 BST 2016, end=Sat Jun 04 16:05:11 BST 2016, operations=1.0, operationsPerMinute=25.91792656587473
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:05:11 BST 2016, end=Sat Jun 04 16:05:12 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:05:12 BST 2016, end=Sat Jun 04 16:05:13 BST 2016, operations=1.0, operationsPerMinute=65.21739130434783
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:05:13 BST 2016, end=Sat Jun 04 16:05:19 BST 2016, operations=1.0, operationsPerMinute=10.743061772605193
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:05:19 BST 2016, end=Sat Jun 04 16:05:20 BST 2016, operations=1.0, operationsPerMinute=41.81184668989547
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:05:20 BST 2016, end=Sat Jun 04 16:05:21 BST 2016, operations=1.0, operationsPerMinute=60.544904137235115
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:05:21 BST 2016, end=Sat Jun 04 16:05:23 BST 2016, operations=1.0, operationsPerMinute=28.089887640449437
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:05:23 BST 2016, end=Sat Jun 04 16:05:30 BST 2016, operations=1.0, operationsPerMinute=9.312432096849294
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:05:30 BST 2016, end=Sat Jun 04 16:05:50 BST 2016, operations=1.0, operationsPerMinute=2.9563932002956395
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:05:50 BST 2016, end=Sat Jun 04 16:05:51 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:06:01 BST 2016, end=Sat Jun 04 16:08:01 BST 2016, operations=470.9532486164671, operationsPerMinute=235.47662430823354, mode=normal, start=Sat Jun 04 16:08:02 BST 2016, end=Sat Jun 04 16:12:02 BST 2016, operations=979.3465011594152, operationsPerMinute=244.8366252898538
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:12:06 BST 2016, end=Sat Jun 04 16:14:06 BST 2016, operations=193.70663208469443, operationsPerMinute=96.85331604234722, mode=normal, start=Sat Jun 04 16:14:09 BST 2016, end=Sat Jun 04 16:18:09 BST 2016, operations=383.6251446194966, operationsPerMinute=95.90628615487415
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:18:14 BST 2016, end=Sat Jun 04 16:20:14 BST 2016, operations=382.4807784613864, operationsPerMinute=191.2403892306932, mode=normal, start=Sat Jun 04 16:20:15 BST 2016, end=Sat Jun 04 16:24:15 BST 2016, operations=771.541215653622, operationsPerMinute=192.8853039134055
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:24:18 BST 2016, end=Sat Jun 04 16:26:18 BST 2016, operations=129.4735291850672, operationsPerMinute=64.7367645925336, mode=normal, start=Sat Jun 04 16:26:23 BST 2016, end=Sat Jun 04 16:30:23 BST 2016, operations=276.8074934833504, operationsPerMinute=69.2018733708376
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:30:28 BST 2016, end=Sat Jun 04 16:32:28 BST 2016, operations=232.09340453077144, operationsPerMinute=116.04670226538572, mode=normal, start=Sat Jun 04 16:32:31 BST 2016, end=Sat Jun 04 16:36:31 BST 2016, operations=456.4363814929604, operationsPerMinute=114.1090953732401
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:36:34 BST 2016, end=Sat Jun 04 16:38:34 BST 2016, operations=394.3612856267378, operationsPerMinute=197.1806428133689, mode=normal, start=Sat Jun 04 16:38:36 BST 2016, end=Sat Jun 04 16:42:36 BST 2016, operations=797.665647577692, operationsPerMinute=199.416411894423
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:42:59 BST 2016, end=Sat Jun 04 16:44:59 BST 2016, operations=351.2584385223386, operationsPerMinute=175.6292192611693, mode=normal, start=Sat Jun 04 16:45:02 BST 2016, end=Sat Jun 04 16:49:02 BST 2016, operations=686.5189966265237, operationsPerMinute=171.62974915663094
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:49:04 BST 2016, end=Sat Jun 04 16:51:04 BST 2016, operations=197.2690991203118, operationsPerMinute=98.6345495601559, mode=normal, start=Sat Jun 04 16:51:08 BST 2016, end=Sat Jun 04 16:55:08 BST 2016, operations=401.0118124297676, operationsPerMinute=100.2529531074419
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 16:55:12 BST 2016, end=Sat Jun 04 16:57:12 BST 2016, operations=66.2940239650466, operationsPerMinute=33.1470119825233, mode=normal, start=Sat Jun 04 16:57:21 BST 2016, end=Sat Jun 04 17:01:21 BST 2016, operations=148.9248883196859, operationsPerMinute=37.23122207992147
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:01:31 BST 2016, end=Sat Jun 04 17:03:31 BST 2016, operations=13.79622628310943, operationsPerMinute=6.898113141554715, mode=normal, start=Sat Jun 04 17:04:17 BST 2016, end=Sat Jun 04 17:08:17 BST 2016, operations=27.39407161204735, operationsPerMinute=6.848517903011838
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:08:49 BST 2016, end=Sat Jun 04 17:10:49 BST 2016, operations=66.74526419211253, operationsPerMinute=33.372632096056265, mode=normal, start=Sat Jun 04 17:10:57 BST 2016, end=Sat Jun 04 17:14:57 BST 2016, operations=145.83550204568039, operationsPerMinute=36.458875511420096
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:15:09 BST 2016, end=Sat Jun 04 17:17:09 BST 2016, operations=42.4990572684949, operationsPerMinute=21.24952863424745, mode=normal, start=Sat Jun 04 17:17:21 BST 2016, end=Sat Jun 04 17:21:21 BST 2016, operations=84.14198061244404, operationsPerMinute=21.03549515311101
