spec.jvm2008.report.run.location=BEDSONTC018
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 19 00:39:27 BST 2016, end=Sun Jun 19 00:39:27 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:39:27 BST 2016, end=Sun Jun 19 00:39:27 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:39:27 BST 2016, end=Sun Jun 19 00:39:40 BST 2016, operations=1.0, operationsPerMinute=4.844178911674471
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:39:40 BST 2016, end=Sun Jun 19 00:39:43 BST 2016, operations=1.0, operationsPerMinute=18.315018315018314
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:39:43 BST 2016, end=Sun Jun 19 00:39:44 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:39:44 BST 2016, end=Sun Jun 19 00:39:53 BST 2016, operations=1.0, operationsPerMinute=7.109004739336493
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:39:53 BST 2016, end=Sun Jun 19 00:40:00 BST 2016, operations=1.0, operationsPerMinute=8.029978586723768
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:40:00 BST 2016, end=Sun Jun 19 00:40:07 BST 2016, operations=1.0, operationsPerMinute=9.244992295839754
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:40:07 BST 2016, end=Sun Jun 19 00:40:09 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:40:09 BST 2016, end=Sun Jun 19 00:40:10 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:40:10 BST 2016, end=Sun Jun 19 00:40:11 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:40:11 BST 2016, end=Sun Jun 19 00:40:16 BST 2016, operations=1.0, operationsPerMinute=10.895224260032686
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:40:16 BST 2016, end=Sun Jun 19 00:40:18 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:40:18 BST 2016, end=Sun Jun 19 00:40:19 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:40:19 BST 2016, end=Sun Jun 19 00:40:21 BST 2016, operations=1.0, operationsPerMinute=28.275212064090482
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:40:21 BST 2016, end=Sun Jun 19 00:40:27 BST 2016, operations=1.0, operationsPerMinute=9.426551453260016
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:40:27 BST 2016, end=Sun Jun 19 00:40:47 BST 2016, operations=1.0, operationsPerMinute=2.9382957884427032
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:40:47 BST 2016, end=Sun Jun 19 00:40:48 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:40:58 BST 2016, end=Sun Jun 19 00:42:58 BST 2016, operations=483.6044636979878, operationsPerMinute=241.8022318489939, mode=normal, start=Sun Jun 19 00:42:59 BST 2016, end=Sun Jun 19 00:46:59 BST 2016, operations=988.7872228574437, operationsPerMinute=247.19680571436092
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:47:04 BST 2016, end=Sun Jun 19 00:49:04 BST 2016, operations=192.56387485343342, operationsPerMinute=96.28193742671671, mode=normal, start=Sun Jun 19 00:49:07 BST 2016, end=Sun Jun 19 00:53:07 BST 2016, operations=387.7075975565866, operationsPerMinute=96.92689938914666
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:53:10 BST 2016, end=Sun Jun 19 00:55:10 BST 2016, operations=399.5520766337461, operationsPerMinute=199.77603831687304, mode=normal, start=Sun Jun 19 00:55:12 BST 2016, end=Sun Jun 19 00:59:12 BST 2016, operations=798.8175585831368, operationsPerMinute=199.7043896457842
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 00:59:14 BST 2016, end=Sun Jun 19 01:01:14 BST 2016, operations=139.13213851168678, operationsPerMinute=69.56606925584339, mode=normal, start=Sun Jun 19 01:01:18 BST 2016, end=Sun Jun 19 01:05:18 BST 2016, operations=293.6639829688688, operationsPerMinute=73.4159957422172
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:05:24 BST 2016, end=Sun Jun 19 01:07:24 BST 2016, operations=236.40858002512414, operationsPerMinute=118.20429001256207, mode=normal, start=Sun Jun 19 01:07:27 BST 2016, end=Sun Jun 19 01:11:27 BST 2016, operations=473.03068594504816, operationsPerMinute=118.25767148626204
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:11:31 BST 2016, end=Sun Jun 19 01:13:31 BST 2016, operations=406.85850914205344, operationsPerMinute=203.42925457102672, mode=normal, start=Sun Jun 19 01:13:32 BST 2016, end=Sun Jun 19 01:17:32 BST 2016, operations=813.642486522505, operationsPerMinute=203.41062163062625
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:17:55 BST 2016, end=Sun Jun 19 01:19:55 BST 2016, operations=347.22935755875574, operationsPerMinute=173.61467877937787, mode=normal, start=Sun Jun 19 01:19:57 BST 2016, end=Sun Jun 19 01:23:57 BST 2016, operations=705.179333835862, operationsPerMinute=176.2948334589655
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:23:59 BST 2016, end=Sun Jun 19 01:25:59 BST 2016, operations=207.48680177016524, operationsPerMinute=103.74340088508262, mode=normal, start=Sun Jun 19 01:26:02 BST 2016, end=Sun Jun 19 01:30:02 BST 2016, operations=415.6453828500315, operationsPerMinute=103.91134571250788
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:30:05 BST 2016, end=Sun Jun 19 01:32:05 BST 2016, operations=78.7022557104797, operationsPerMinute=39.35112785523985, mode=normal, start=Sun Jun 19 01:32:12 BST 2016, end=Sun Jun 19 01:36:12 BST 2016, operations=153.8691549451913, operationsPerMinute=38.467288736297824
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:36:21 BST 2016, end=Sun Jun 19 01:38:21 BST 2016, operations=13.83036517188905, operationsPerMinute=6.915182585944525, mode=normal, start=Sun Jun 19 01:39:06 BST 2016, end=Sun Jun 19 01:43:06 BST 2016, operations=27.74181902600011, operationsPerMinute=6.935454756500027
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:43:34 BST 2016, end=Sun Jun 19 01:45:34 BST 2016, operations=74.42458204370138, operationsPerMinute=37.21229102185069, mode=normal, start=Sun Jun 19 01:45:43 BST 2016, end=Sun Jun 19 01:49:43 BST 2016, operations=149.31770937921098, operationsPerMinute=37.329427344802745
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:49:54 BST 2016, end=Sun Jun 19 01:51:54 BST 2016, operations=42.0724059819541, operationsPerMinute=21.03620299097705, mode=normal, start=Sun Jun 19 01:52:08 BST 2016, end=Sun Jun 19 01:56:08 BST 2016, operations=84.22012870630849, operationsPerMinute=21.05503217657712
benchmark-name=scimark.fft.small, mod=warmup, start=Sun Jun 19 01:56:22 BST 2016, end=Sun Jun 19 01:58:22 BST 2016, operations=716.62655238263, operationsPerMinute=358.313276191315, mode=normal, start=Sun Jun 19 01:58:23 BST 2016, end=Sun Jun 19 02:02:23 BST 2016, operations=1451.142092305767, operationsPerMinute=362.78552307644173
benchmark-name=scimark.lu.small, mod=warmup, start=Sun Jun 19 02:02:24 BST 2016, end=Sun Jun 19 02:04:24 BST 2016, operations=576.0940294327738, operationsPerMinute=288.0470147163869, mode=normal, start=Sun Jun 19 02:04:25 BST 2016, end=Sun Jun 19 02:08:25 BST 2016, operations=1152.3754526277492, operationsPerMinute=288.0938631569373
benchmark-name=scimark.sor.small, mod=warmup, start=Sun Jun 19 02:08:27 BST 2016, end=Sun Jun 19 02:10:27 BST 2016, operations=330.78371452729147, operationsPerMinute=165.39185726364573, mode=normal, start=Sun Jun 19 02:10:29 BST 2016, end=Sun Jun 19 02:14:29 BST 2016, operations=660.9264076410759, operationsPerMinute=165.23160191026898
benchmark-name=scimark.sparse.small, mod=warmup, start=Sun Jun 19 02:14:32 BST 2016, end=Sun Jun 19 02:16:32 BST 2016, operations=512.9525992999861, operationsPerMinute=256.47629964999305, mode=normal, start=Sun Jun 19 02:16:33 BST 2016, end=Sun Jun 19 02:20:33 BST 2016, operations=1019.3346957284324, operationsPerMinute=254.8336739321081
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sun Jun 19 02:20:35 BST 2016, end=Sun Jun 19 02:22:35 BST 2016, operations=119.19993888722198, operationsPerMinute=59.59996944361099, mode=normal, start=Sun Jun 19 02:22:40 BST 2016, end=Sun Jun 19 02:26:40 BST 2016, operations=239.622532068273, operationsPerMinute=59.90563301706825
benchmark-name=serial, mod=warmup, start=Sun Jun 19 02:26:47 BST 2016, end=Sun Jun 19 02:28:47 BST 2016, operations=243.66527075625206, operationsPerMinute=121.83263537812603, mode=normal, start=Sun Jun 19 02:28:49 BST 2016, end=Sun Jun 19 02:32:49 BST 2016, operations=478.534249944441, operationsPerMinute=119.63356248611025
benchmark-name=sunflow, mod=warmup, start=Sun Jun 19 02:32:53 BST 2016, end=Sun Jun 19 02:34:53 BST 2016, operations=175.98643357017482, operationsPerMinute=87.99321678508741, mode=normal, start=Sun Jun 19 02:34:55 BST 2016, end=Sun Jun 19 02:38:55 BST 2016, operations=352.10415149308085, operationsPerMinute=88.02603787327021
benchmark-name=xml.transform, mod=warmup, start=Sun Jun 19 02:39:15 BST 2016, end=Sun Jun 19 02:41:15 BST 2016, operations=511.0486788494539, operationsPerMinute=255.52433942472695, mode=normal, start=Sun Jun 19 02:41:16 BST 2016, end=Sun Jun 19 02:45:16 BST 2016, operations=1020.0437083266477, operationsPerMinute=255.01092708166192
benchmark-name=xml.validation, mod=warmup, start=Sun Jun 19 02:45:18 BST 2016, end=Sun Jun 19 02:47:18 BST 2016, operations=1049.2759810590373, operationsPerMinute=524.6379905295187, mode=normal, start=Sun Jun 19 02:47:19 BST 2016, end=Sun Jun 19 02:51:19 BST 2016, operations=2036.8281943300403, operationsPerMinute=509.2070485825101
