spec.jvm2008.report.run.location=OLDLIB040
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:21:38 BST 2016, end=Thu May 26 14:21:39 BST 2016, operations=1.0, operationsPerMinute=750.0
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:21:39 BST 2016, end=Thu May 26 14:21:40 BST 2016, operations=1.0, operationsPerMinute=49.4641384995878
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:21:40 BST 2016, end=Thu May 26 14:22:05 BST 2016, operations=1.0, operationsPerMinute=2.382748897978635
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:22:05 BST 2016, end=Thu May 26 14:22:12 BST 2016, operations=1.0, operationsPerMinute=8.304498269896193
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:22:12 BST 2016, end=Thu May 26 14:22:14 BST 2016, operations=1.0, operationsPerMinute=40.26845637583892
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:22:14 BST 2016, end=Thu May 26 14:22:24 BST 2016, operations=1.0, operationsPerMinute=5.9689614007162755
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:22:24 BST 2016, end=Thu May 26 14:22:32 BST 2016, operations=1.0, operationsPerMinute=7.1106897369044795
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:22:32 BST 2016, end=Thu May 26 14:22:39 BST 2016, operations=1.0, operationsPerMinute=8.731082654249127
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:22:39 BST 2016, end=Thu May 26 14:22:42 BST 2016, operations=1.0, operationsPerMinute=19.305019305019304
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:22:42 BST 2016, end=Thu May 26 14:22:43 BST 2016, operations=1.0, operationsPerMinute=64.51612903225806
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:22:43 BST 2016, end=Thu May 26 14:22:44 BST 2016, operations=1.0, operationsPerMinute=49.09983633387889
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:22:44 BST 2016, end=Thu May 26 14:22:51 BST 2016, operations=1.0, operationsPerMinute=8.843036109064112
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:22:51 BST 2016, end=Thu May 26 14:22:53 BST 2016, operations=1.0, operationsPerMinute=37.267080745341616
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:22:53 BST 2016, end=Thu May 26 14:22:54 BST 2016, operations=1.0, operationsPerMinute=43.47826086956522
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:22:54 BST 2016, end=Thu May 26 14:22:57 BST 2016, operations=1.0, operationsPerMinute=19.461563412260784
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:22:57 BST 2016, end=Thu May 26 14:23:04 BST 2016, operations=1.0, operationsPerMinute=8.287292817679559
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:23:04 BST 2016, end=Thu May 26 14:23:35 BST 2016, operations=1.0, operationsPerMinute=1.9484947877764427
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:23:35 BST 2016, end=Thu May 26 14:23:37 BST 2016, operations=1.0, operationsPerMinute=40.73319755600814
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:23:54 BST 2016, end=Thu May 26 14:25:54 BST 2016, operations=413.7989403420284, operationsPerMinute=206.8994701710142, mode=normal, start=Thu May 26 14:25:57 BST 2016, end=Thu May 26 14:29:57 BST 2016, operations=868.8542934400152, operationsPerMinute=217.2135733600038
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:30:04 BST 2016, end=Thu May 26 14:32:04 BST 2016, operations=172.90192002360897, operationsPerMinute=86.45096001180448, mode=normal, start=Thu May 26 14:32:13 BST 2016, end=Thu May 26 14:36:13 BST 2016, operations=342.19970306792203, operationsPerMinute=85.54992576698051
benchmark-name=compress, mod=warmup, start=Thu May 26 14:36:19 BST 2016, end=Thu May 26 14:38:19 BST 2016, operations=443.83886249960653, operationsPerMinute=221.91943124980327, mode=normal, start=Thu May 26 14:38:23 BST 2016, end=Thu May 26 14:42:23 BST 2016, operations=898.3636669294274, operationsPerMinute=224.59091673235685
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:42:26 BST 2016, end=Thu May 26 14:44:26 BST 2016, operations=120.93157839808958, operationsPerMinute=60.46578919904479, mode=normal, start=Thu May 26 14:44:38 BST 2016, end=Thu May 26 14:48:38 BST 2016, operations=255.4872367897289, operationsPerMinute=63.87180919743223
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:48:49 BST 2016, end=Thu May 26 14:50:49 BST 2016, operations=207.2964194959001, operationsPerMinute=103.64820974795005, mode=normal, start=Thu May 26 14:50:57 BST 2016, end=Thu May 26 14:54:57 BST 2016, operations=415.681223949464, operationsPerMinute=103.920305987366
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:55:04 BST 2016, end=Thu May 26 14:57:04 BST 2016, operations=328.53154814221244, operationsPerMinute=164.26577407110622, mode=normal, start=Thu May 26 14:57:09 BST 2016, end=Thu May 26 15:01:09 BST 2016, operations=674.9703158645503, operationsPerMinute=168.7425789661376
benchmark-name=derby, mod=warmup, start=Thu May 26 15:03:02 BST 2016, end=Thu May 26 15:05:02 BST 2016, operations=261.9206063993996, operationsPerMinute=130.9603031996998, mode=normal, start=Thu May 26 15:05:07 BST 2016, end=Thu May 26 15:09:07 BST 2016, operations=547.1118534440743, operationsPerMinute=136.77796336101858
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:09:13 BST 2016, end=Thu May 26 15:11:13 BST 2016, operations=197.86743604324445, operationsPerMinute=98.93371802162223, mode=normal, start=Thu May 26 15:11:20 BST 2016, end=Thu May 26 15:15:20 BST 2016, operations=378.45430586703117, operationsPerMinute=94.61357646675779
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:15:31 BST 2016, end=Thu May 26 15:17:31 BST 2016, operations=85.38452431101734, operationsPerMinute=42.69226215550867, mode=normal, start=Thu May 26 15:17:49 BST 2016, end=Thu May 26 15:21:49 BST 2016, operations=179.96635734730614, operationsPerMinute=44.991589336826536
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:22:04 BST 2016, end=Thu May 26 15:24:04 BST 2016, operations=18.97002572631206, operationsPerMinute=9.48501286315603, mode=normal, start=Thu May 26 15:25:35 BST 2016, end=Thu May 26 15:29:35 BST 2016, operations=32.82234507332269, operationsPerMinute=8.205586268330672
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:30:43 BST 2016, end=Thu May 26 15:32:43 BST 2016, operations=108.94812874498405, operationsPerMinute=54.47406437249202, mode=normal, start=Thu May 26 15:33:04 BST 2016, end=Thu May 26 15:37:04 BST 2016, operations=219.92447876075343, operationsPerMinute=54.98111969018836
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:37:19 BST 2016, end=Thu May 26 15:39:19 BST 2016, operations=59.75410484011267, operationsPerMinute=29.877052420056334, mode=normal, start=Thu May 26 15:39:41 BST 2016, end=Thu May 26 15:43:41 BST 2016, operations=119.29739793911241, operationsPerMinute=29.824349484778104
