spec.jvm2008.report.run.location=BARN-15
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jul 01 12:24:28 BST 2016, end=Fri Jul 01 12:24:28 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jul 01 12:24:28 BST 2016, end=Fri Jul 01 12:24:28 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jul 01 12:24:28 BST 2016, end=Fri Jul 01 12:24:42 BST 2016, operations=1.0, operationsPerMinute=4.435901227266006
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jul 01 12:24:42 BST 2016, end=Fri Jul 01 12:24:45 BST 2016, operations=1.0, operationsPerMinute=18.055973517905507
benchmark-name=startup.compress, mode=normal, start=Fri Jul 01 12:24:45 BST 2016, end=Fri Jul 01 12:24:46 BST 2016, operations=1.0, operationsPerMinute=47.50593824228029
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jul 01 12:24:46 BST 2016, end=Fri Jul 01 12:24:55 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jul 01 12:24:55 BST 2016, end=Fri Jul 01 12:25:02 BST 2016, operations=1.0, operationsPerMinute=8.097165991902834
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jul 01 12:25:02 BST 2016, end=Fri Jul 01 12:25:09 BST 2016, operations=1.0, operationsPerMinute=9.223674096848578
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jul 01 12:25:09 BST 2016, end=Fri Jul 01 12:25:11 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jul 01 12:25:11 BST 2016, end=Fri Jul 01 12:25:12 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jul 01 12:25:12 BST 2016, end=Fri Jul 01 12:25:13 BST 2016, operations=1.0, operationsPerMinute=65.21739130434783
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jul 01 12:25:13 BST 2016, end=Fri Jul 01 12:25:18 BST 2016, operations=1.0, operationsPerMinute=10.924981791697014
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jul 01 12:25:18 BST 2016, end=Fri Jul 01 12:25:20 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jul 01 12:25:20 BST 2016, end=Fri Jul 01 12:25:21 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Fri Jul 01 12:25:21 BST 2016, end=Fri Jul 01 12:25:23 BST 2016, operations=1.0, operationsPerMinute=28.91566265060241
benchmark-name=startup.sunflow, mode=normal, start=Fri Jul 01 12:25:23 BST 2016, end=Fri Jul 01 12:25:29 BST 2016, operations=1.0, operationsPerMinute=9.404388714733543
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jul 01 12:25:29 BST 2016, end=Fri Jul 01 12:25:49 BST 2016, operations=1.0, operationsPerMinute=2.9472443265546713
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jul 01 12:25:49 BST 2016, end=Fri Jul 01 12:25:50 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jul 01 12:26:01 BST 2016, end=Fri Jul 01 12:28:01 BST 2016, operations=494.2097521932593, operationsPerMinute=247.10487609662965, mode=normal, start=Fri Jul 01 12:28:02 BST 2016, end=Fri Jul 01 12:32:02 BST 2016, operations=970.2368942088381, operationsPerMinute=242.55922355220952
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jul 01 12:32:06 BST 2016, end=Fri Jul 01 12:34:06 BST 2016, operations=194.60035641758728, operationsPerMinute=97.30017820879364, mode=normal, start=Fri Jul 01 12:34:09 BST 2016, end=Fri Jul 01 12:38:09 BST 2016, operations=387.94212259357187, operationsPerMinute=96.98553064839297
benchmark-name=compress, mod=warmup, start=Fri Jul 01 12:38:13 BST 2016, end=Fri Jul 01 12:40:13 BST 2016, operations=399.85054610305616, operationsPerMinute=199.92527305152808, mode=normal, start=Fri Jul 01 12:40:15 BST 2016, end=Fri Jul 01 12:44:15 BST 2016, operations=796.6431408073031, operationsPerMinute=199.16078520182577
benchmark-name=crypto.aes, mod=warmup, start=Fri Jul 01 12:44:17 BST 2016, end=Fri Jul 01 12:46:17 BST 2016, operations=139.41418490486126, operationsPerMinute=69.70709245243063, mode=normal, start=Fri Jul 01 12:46:22 BST 2016, end=Fri Jul 01 12:50:22 BST 2016, operations=292.43374643343145, operationsPerMinute=73.10843660835786
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jul 01 12:50:27 BST 2016, end=Fri Jul 01 12:52:27 BST 2016, operations=235.07201169840582, operationsPerMinute=117.53600584920291, mode=normal, start=Fri Jul 01 12:52:30 BST 2016, end=Fri Jul 01 12:56:30 BST 2016, operations=471.2437951842441, operationsPerMinute=117.81094879606103
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jul 01 12:56:34 BST 2016, end=Fri Jul 01 12:58:34 BST 2016, operations=407.31340561999144, operationsPerMinute=203.65670280999572, mode=normal, start=Fri Jul 01 12:58:36 BST 2016, end=Fri Jul 01 13:02:36 BST 2016, operations=813.2567889703563, operationsPerMinute=203.31419724258907
benchmark-name=derby, mod=warmup, start=Fri Jul 01 13:02:59 BST 2016, end=Fri Jul 01 13:04:59 BST 2016, operations=350.07926665943074, operationsPerMinute=175.03963332971537, mode=normal, start=Fri Jul 01 13:05:01 BST 2016, end=Fri Jul 01 13:09:01 BST 2016, operations=713.9299953500731, operationsPerMinute=178.48249883751828
benchmark-name=mpegaudio, mod=warmup, start=Fri Jul 01 13:09:03 BST 2016, end=Fri Jul 01 13:11:03 BST 2016, operations=205.98329316133885, operationsPerMinute=102.99164658066942, mode=normal, start=Fri Jul 01 13:11:07 BST 2016, end=Fri Jul 01 13:15:07 BST 2016, operations=415.2367860255056, operationsPerMinute=103.8091965063764
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jul 01 13:15:11 BST 2016, end=Fri Jul 01 13:17:11 BST 2016, operations=70.36991087082058, operationsPerMinute=35.18495543541029, mode=normal, start=Fri Jul 01 13:17:21 BST 2016, end=Fri Jul 01 13:21:21 BST 2016, operations=142.84642871167017, operationsPerMinute=35.71160717791754
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jul 01 13:21:28 BST 2016, end=Fri Jul 01 13:23:28 BST 2016, operations=13.818481775652351, operationsPerMinute=6.909240887826176, mode=normal, start=Fri Jul 01 13:24:13 BST 2016, end=Fri Jul 01 13:28:13 BST 2016, operations=27.79698932856455, operationsPerMinute=6.949247332141137
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jul 01 13:28:57 BST 2016, end=Fri Jul 01 13:30:57 BST 2016, operations=74.25389159314061, operationsPerMinute=37.126945796570304, mode=normal, start=Fri Jul 01 13:31:07 BST 2016, end=Fri Jul 01 13:35:07 BST 2016, operations=148.55537562343375, operationsPerMinute=37.13884390585844
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jul 01 13:35:17 BST 2016, end=Fri Jul 01 13:37:17 BST 2016, operations=42.00654062640366, operationsPerMinute=21.00327031320183, mode=normal, start=Fri Jul 01 13:37:31 BST 2016, end=Fri Jul 01 13:41:31 BST 2016, operations=84.38412939402146, operationsPerMinute=21.096032348505364
