spec.jvm2008.report.run.location=BEDSONTC006
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 09:44:05 BST 2016, end=Sat Jun 04 09:44:05 BST 2016, operations=1.0, operationsPerMinute=1111.111111111111
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 09:44:05 BST 2016, end=Sat Jun 04 09:44:06 BST 2016, operations=1.0, operationsPerMinute=357.14285714285717
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 09:44:06 BST 2016, end=Sat Jun 04 09:44:21 BST 2016, operations=1.0, operationsPerMinute=3.9721946375372394
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 09:44:21 BST 2016, end=Sat Jun 04 09:44:24 BST 2016, operations=1.0, operationsPerMinute=16.579165515335728
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 09:44:24 BST 2016, end=Sat Jun 04 09:44:26 BST 2016, operations=1.0, operationsPerMinute=45.558086560364465
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 09:44:26 BST 2016, end=Sat Jun 04 09:44:34 BST 2016, operations=1.0, operationsPerMinute=7.118282121248072
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 09:44:34 BST 2016, end=Sat Jun 04 09:44:41 BST 2016, operations=1.0, operationsPerMinute=8.061265618702135
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 09:44:41 BST 2016, end=Sat Jun 04 09:44:48 BST 2016, operations=1.0, operationsPerMinute=9.46372239747634
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 09:44:48 BST 2016, end=Sat Jun 04 09:44:50 BST 2016, operations=1.0, operationsPerMinute=25.466893039049236
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 09:44:50 BST 2016, end=Sat Jun 04 09:44:51 BST 2016, operations=1.0, operationsPerMinute=79.36507936507937
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 09:44:51 BST 2016, end=Sat Jun 04 09:44:52 BST 2016, operations=1.0, operationsPerMinute=63.1578947368421
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 09:44:52 BST 2016, end=Sat Jun 04 09:44:58 BST 2016, operations=1.0, operationsPerMinute=10.43115438108484
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 09:44:58 BST 2016, end=Sat Jun 04 09:44:59 BST 2016, operations=1.0, operationsPerMinute=40.0
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 09:44:59 BST 2016, end=Sat Jun 04 09:45:00 BST 2016, operations=1.0, operationsPerMinute=55.19779208831647
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 09:45:00 BST 2016, end=Sat Jun 04 09:45:03 BST 2016, operations=1.0, operationsPerMinute=26.041666666666668
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 09:45:03 BST 2016, end=Sat Jun 04 09:45:09 BST 2016, operations=1.0, operationsPerMinute=9.529860228716645
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 09:45:09 BST 2016, end=Sat Jun 04 09:45:30 BST 2016, operations=1.0, operationsPerMinute=2.813467129325706
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 09:45:30 BST 2016, end=Sat Jun 04 09:45:31 BST 2016, operations=1.0, operationsPerMinute=67.11409395973155
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 09:45:43 BST 2016, end=Sat Jun 04 09:47:43 BST 2016, operations=435.6973690015075, operationsPerMinute=217.84868450075376, mode=normal, start=Sat Jun 04 09:47:44 BST 2016, end=Sat Jun 04 09:51:44 BST 2016, operations=895.5406806635459, operationsPerMinute=223.88517016588648
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 09:51:48 BST 2016, end=Sat Jun 04 09:53:48 BST 2016, operations=180.39245516288793, operationsPerMinute=90.19622758144396, mode=normal, start=Sat Jun 04 09:53:52 BST 2016, end=Sat Jun 04 09:57:52 BST 2016, operations=356.5444124719093, operationsPerMinute=89.13610311797733
benchmark-name=compress, mod=warmup, start=Sat Jun 04 09:57:56 BST 2016, end=Sat Jun 04 09:59:56 BST 2016, operations=384.31295861278215, operationsPerMinute=192.15647930639108, mode=normal, start=Sat Jun 04 09:59:58 BST 2016, end=Sat Jun 04 10:03:58 BST 2016, operations=769.053848365588, operationsPerMinute=192.263462091397
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 10:04:01 BST 2016, end=Sat Jun 04 10:06:01 BST 2016, operations=134.5935212847398, operationsPerMinute=67.2967606423699, mode=normal, start=Sat Jun 04 10:06:05 BST 2016, end=Sat Jun 04 10:10:05 BST 2016, operations=286.400301268048, operationsPerMinute=71.600075317012
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 10:10:11 BST 2016, end=Sat Jun 04 10:12:11 BST 2016, operations=231.41564671204935, operationsPerMinute=115.70782335602468, mode=normal, start=Sat Jun 04 10:12:14 BST 2016, end=Sat Jun 04 10:16:14 BST 2016, operations=461.9584445509163, operationsPerMinute=115.48961113772907
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 10:16:18 BST 2016, end=Sat Jun 04 10:18:18 BST 2016, operations=400.7096141225978, operationsPerMinute=200.3548070612989, mode=normal, start=Sat Jun 04 10:18:20 BST 2016, end=Sat Jun 04 10:22:20 BST 2016, operations=789.3781917813988, operationsPerMinute=197.3445479453497
benchmark-name=derby, mod=warmup, start=Sat Jun 04 10:22:44 BST 2016, end=Sat Jun 04 10:24:44 BST 2016, operations=328.7105691225644, operationsPerMinute=164.3552845612822, mode=normal, start=Sat Jun 04 10:24:46 BST 2016, end=Sat Jun 04 10:28:46 BST 2016, operations=644.718397428117, operationsPerMinute=161.17959935702925
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 10:28:49 BST 2016, end=Sat Jun 04 10:30:49 BST 2016, operations=200.54885565009783, operationsPerMinute=100.27442782504892, mode=normal, start=Sat Jun 04 10:30:53 BST 2016, end=Sat Jun 04 10:34:53 BST 2016, operations=403.3867102349325, operationsPerMinute=100.84667755873312
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 10:34:57 BST 2016, end=Sat Jun 04 10:36:57 BST 2016, operations=58.397877860008144, operationsPerMinute=29.198938930004072, mode=normal, start=Sat Jun 04 10:37:06 BST 2016, end=Sat Jun 04 10:41:06 BST 2016, operations=124.5291361838375, operationsPerMinute=31.132284045959373
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 10:41:17 BST 2016, end=Sat Jun 04 10:43:17 BST 2016, operations=11.886884590016175, operationsPerMinute=5.943442295008087, mode=normal, start=Sat Jun 04 10:43:59 BST 2016, end=Sat Jun 04 10:47:59 BST 2016, operations=24.64798466488365, operationsPerMinute=6.161996166220913
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 10:49:07 BST 2016, end=Sat Jun 04 10:51:07 BST 2016, operations=62.87054591692669, operationsPerMinute=31.435272958463344, mode=normal, start=Sat Jun 04 10:51:20 BST 2016, end=Sat Jun 04 10:55:20 BST 2016, operations=128.4635228408435, operationsPerMinute=32.115880710210874
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 10:55:33 BST 2016, end=Sat Jun 04 10:57:33 BST 2016, operations=36.92605072552839, operationsPerMinute=18.463025362764196, mode=normal, start=Sat Jun 04 10:57:54 BST 2016, end=Sat Jun 04 11:01:54 BST 2016, operations=77.51614149533567, operationsPerMinute=19.37903537383392
