spec.jvm2008.report.run.location=OLDLIB069
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Sun Jun 19 00:41:00 BST 2016, end=Sun Jun 19 00:41:00 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:41:00 BST 2016, end=Sun Jun 19 00:41:00 BST 2016, operations=1.0, operationsPerMinute=428.57142857142856
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:41:00 BST 2016, end=Sun Jun 19 00:41:21 BST 2016, operations=1.0, operationsPerMinute=2.891844997108155
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:41:21 BST 2016, end=Sun Jun 19 00:41:25 BST 2016, operations=1.0, operationsPerMinute=13.03780964797914
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:41:25 BST 2016, end=Sun Jun 19 00:41:27 BST 2016, operations=1.0, operationsPerMinute=37.336652146857496
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:41:27 BST 2016, end=Sun Jun 19 00:41:37 BST 2016, operations=1.0, operationsPerMinute=6.047777441790142
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:41:37 BST 2016, end=Sun Jun 19 00:41:45 BST 2016, operations=1.0, operationsPerMinute=7.082989021367017
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:41:45 BST 2016, end=Sun Jun 19 00:41:52 BST 2016, operations=1.0, operationsPerMinute=8.183306055646481
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:41:52 BST 2016, end=Sun Jun 19 00:41:56 BST 2016, operations=1.0, operationsPerMinute=19.23076923076923
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:41:56 BST 2016, end=Sun Jun 19 00:41:57 BST 2016, operations=1.0, operationsPerMinute=65.21739130434783
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:41:57 BST 2016, end=Sun Jun 19 00:41:58 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:41:58 BST 2016, end=Sun Jun 19 00:42:05 BST 2016, operations=1.0, operationsPerMinute=8.820935019112026
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:42:05 BST 2016, end=Sun Jun 19 00:42:06 BST 2016, operations=1.0, operationsPerMinute=35.294117647058826
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:42:06 BST 2016, end=Sun Jun 19 00:42:08 BST 2016, operations=1.0, operationsPerMinute=43.196544276457885
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:42:08 BST 2016, end=Sun Jun 19 00:42:11 BST 2016, operations=1.0, operationsPerMinute=19.828155981493722
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:42:11 BST 2016, end=Sun Jun 19 00:42:18 BST 2016, operations=1.0, operationsPerMinute=8.509431286342362
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:42:18 BST 2016, end=Sun Jun 19 00:42:45 BST 2016, operations=1.0, operationsPerMinute=2.17296827466319
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:42:45 BST 2016, end=Sun Jun 19 00:42:47 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:43:02 BST 2016, end=Sun Jun 19 00:45:02 BST 2016, operations=351.29434126998336, operationsPerMinute=175.64717063499168, mode=normal, start=Sun Jun 19 00:45:04 BST 2016, end=Sun Jun 19 00:49:04 BST 2016, operations=733.8613723021977, operationsPerMinute=183.4653430755494
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:49:10 BST 2016, end=Sun Jun 19 00:51:10 BST 2016, operations=143.21174304583198, operationsPerMinute=71.60587152291599, mode=normal, start=Sun Jun 19 00:51:14 BST 2016, end=Sun Jun 19 00:55:14 BST 2016, operations=286.3957795364461, operationsPerMinute=71.59894488411153
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:55:18 BST 2016, end=Sun Jun 19 00:57:18 BST 2016, operations=271.06831310868483, operationsPerMinute=135.53415655434242, mode=normal, start=Sun Jun 19 00:57:21 BST 2016, end=Sun Jun 19 01:01:21 BST 2016, operations=542.6065315060418, operationsPerMinute=135.65163287651046
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 01:01:24 BST 2016, end=Sun Jun 19 01:03:24 BST 2016, operations=85.94122193057899, operationsPerMinute=42.970610965289495, mode=normal, start=Sun Jun 19 01:03:33 BST 2016, end=Sun Jun 19 01:07:33 BST 2016, operations=180.61858018425943, operationsPerMinute=45.15464504606486
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:07:41 BST 2016, end=Sun Jun 19 01:09:41 BST 2016, operations=146.13220046195022, operationsPerMinute=73.06610023097511, mode=normal, start=Sun Jun 19 01:09:46 BST 2016, end=Sun Jun 19 01:13:46 BST 2016, operations=288.380387810823, operationsPerMinute=72.09509695270575
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:13:52 BST 2016, end=Sun Jun 19 01:15:52 BST 2016, operations=252.7255422428787, operationsPerMinute=126.36277112143935, mode=normal, start=Sun Jun 19 01:15:55 BST 2016, end=Sun Jun 19 01:19:55 BST 2016, operations=502.7090569296593, operationsPerMinute=125.67726423241483
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:21:29 BST 2016, end=Sun Jun 19 01:23:29 BST 2016, operations=203.0350496420345, operationsPerMinute=101.51752482101725, mode=normal, start=Sun Jun 19 01:23:32 BST 2016, end=Sun Jun 19 01:27:32 BST 2016, operations=408.6097115797616, operationsPerMinute=102.1524278949404
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:27:36 BST 2016, end=Sun Jun 19 01:29:36 BST 2016, operations=134.28188031109295, operationsPerMinute=67.14094015554647, mode=normal, start=Sun Jun 19 01:29:41 BST 2016, end=Sun Jun 19 01:33:41 BST 2016, operations=268.4780707421449, operationsPerMinute=67.11951768553622
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:33:47 BST 2016, end=Sun Jun 19 01:35:47 BST 2016, operations=84.23277942323276, operationsPerMinute=42.11638971161638, mode=normal, start=Sun Jun 19 01:35:54 BST 2016, end=Sun Jun 19 01:39:54 BST 2016, operations=169.18982965549532, operationsPerMinute=42.29745741387383
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:40:02 BST 2016, end=Sun Jun 19 01:42:02 BST 2016, operations=19.995485173231813, operationsPerMinute=9.997742586615907, mode=normal, start=Sun Jun 19 01:42:27 BST 2016, end=Sun Jun 19 01:46:27 BST 2016, operations=40.077954145485194, operationsPerMinute=10.019488536371298
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:46:58 BST 2016, end=Sun Jun 19 01:48:58 BST 2016, operations=55.448368034731885, operationsPerMinute=27.724184017365943, mode=normal, start=Sun Jun 19 01:49:09 BST 2016, end=Sun Jun 19 01:53:09 BST 2016, operations=110.57467178760331, operationsPerMinute=27.643667946900827
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:53:26 BST 2016, end=Sun Jun 19 01:55:26 BST 2016, operations=60.34705650333228, operationsPerMinute=30.17352825166614, mode=normal, start=Sun Jun 19 01:55:37 BST 2016, end=Sun Jun 19 01:59:37 BST 2016, operations=120.16897228848157, operationsPerMinute=30.042243072120392
