spec.jvm2008.report.run.location=NIDD89
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Sun Jun 26 16:21:25 BST 2016, end=Sun Jun 26 16:21:25 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 16:21:25 BST 2016, end=Sun Jun 26 16:21:26 BST 2016, operations=1.0, operationsPerMinute=106.95187165775401
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 16:21:26 BST 2016, end=Sun Jun 26 16:21:49 BST 2016, operations=1.0, operationsPerMinute=2.59000259000259
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 16:21:49 BST 2016, end=Sun Jun 26 16:21:54 BST 2016, operations=1.0, operationsPerMinute=11.689070718877849
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 16:21:54 BST 2016, end=Sun Jun 26 16:21:56 BST 2016, operations=1.0, operationsPerMinute=37.336652146857496
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 16:21:56 BST 2016, end=Sun Jun 26 16:22:06 BST 2016, operations=1.0, operationsPerMinute=5.731753916698509
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 16:22:06 BST 2016, end=Sun Jun 26 16:22:15 BST 2016, operations=1.0, operationsPerMinute=6.747638326585695
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 16:22:15 BST 2016, end=Sun Jun 26 16:22:22 BST 2016, operations=1.0, operationsPerMinute=8.254230293025175
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 16:22:22 BST 2016, end=Sun Jun 26 16:22:25 BST 2016, operations=1.0, operationsPerMinute=19.23076923076923
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 16:22:25 BST 2016, end=Sun Jun 26 16:22:26 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 16:22:26 BST 2016, end=Sun Jun 26 16:22:28 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 16:22:28 BST 2016, end=Sun Jun 26 16:22:35 BST 2016, operations=1.0, operationsPerMinute=8.720930232558139
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 16:22:35 BST 2016, end=Sun Jun 26 16:22:36 BST 2016, operations=1.0, operationsPerMinute=34.66204506065858
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 16:22:36 BST 2016, end=Sun Jun 26 16:22:38 BST 2016, operations=1.0, operationsPerMinute=43.196544276457885
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 16:22:38 BST 2016, end=Sun Jun 26 16:22:41 BST 2016, operations=1.0, operationsPerMinute=18.48998459167951
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 16:22:41 BST 2016, end=Sun Jun 26 16:22:48 BST 2016, operations=1.0, operationsPerMinute=8.342602892102336
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 16:22:48 BST 2016, end=Sun Jun 26 16:23:17 BST 2016, operations=1.0, operationsPerMinute=2.0589547373116917
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 16:23:17 BST 2016, end=Sun Jun 26 16:23:19 BST 2016, operations=1.0, operationsPerMinute=45.80152671755725
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 16:23:33 BST 2016, end=Sun Jun 26 16:25:33 BST 2016, operations=347.13262848368163, operationsPerMinute=173.56631424184081, mode=normal, start=Sun Jun 26 16:25:35 BST 2016, end=Sun Jun 26 16:29:35 BST 2016, operations=723.7275422336382, operationsPerMinute=180.93188555840956
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 16:29:42 BST 2016, end=Sun Jun 26 16:31:42 BST 2016, operations=140.85436280447271, operationsPerMinute=70.42718140223636, mode=normal, start=Sun Jun 26 16:31:47 BST 2016, end=Sun Jun 26 16:35:47 BST 2016, operations=279.2062770690395, operationsPerMinute=69.80156926725988
benchmark-name=compress, mod=warmup, start=Sun Jun 26 16:35:52 BST 2016, end=Sun Jun 26 16:37:52 BST 2016, operations=269.38498126082345, operationsPerMinute=134.69249063041173, mode=normal, start=Sun Jun 26 16:37:55 BST 2016, end=Sun Jun 26 16:41:55 BST 2016, operations=537.4806138881291, operationsPerMinute=134.37015347203229
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 16:41:58 BST 2016, end=Sun Jun 26 16:43:58 BST 2016, operations=84.85177985355675, operationsPerMinute=42.425889926778375, mode=normal, start=Sun Jun 26 16:44:08 BST 2016, end=Sun Jun 26 16:48:08 BST 2016, operations=179.61428784423043, operationsPerMinute=44.90357196105761
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 16:48:17 BST 2016, end=Sun Jun 26 16:50:17 BST 2016, operations=144.56258431714204, operationsPerMinute=72.28129215857102, mode=normal, start=Sun Jun 26 16:50:22 BST 2016, end=Sun Jun 26 16:54:22 BST 2016, operations=294.1133471665868, operationsPerMinute=73.5283367916467
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 16:54:27 BST 2016, end=Sun Jun 26 16:56:27 BST 2016, operations=227.94814579978862, operationsPerMinute=113.97407289989431, mode=normal, start=Sun Jun 26 16:56:30 BST 2016, end=Sun Jun 26 17:00:30 BST 2016, operations=482.9314058683958, operationsPerMinute=120.73285146709895
benchmark-name=derby, mod=warmup, start=Sun Jun 26 17:01:55 BST 2016, end=Sun Jun 26 17:03:55 BST 2016, operations=204.9201724463014, operationsPerMinute=102.4600862231507, mode=normal, start=Sun Jun 26 17:03:59 BST 2016, end=Sun Jun 26 17:07:59 BST 2016, operations=413.4116523143657, operationsPerMinute=103.35291307859143
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 17:08:03 BST 2016, end=Sun Jun 26 17:10:03 BST 2016, operations=128.170646275603, operationsPerMinute=64.0853231378015, mode=normal, start=Sun Jun 26 17:10:09 BST 2016, end=Sun Jun 26 17:14:09 BST 2016, operations=268.7498015660423, operationsPerMinute=67.18745039151058
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 17:14:15 BST 2016, end=Sun Jun 26 17:16:15 BST 2016, operations=62.01392342276308, operationsPerMinute=31.00696171138154, mode=normal, start=Sun Jun 26 17:16:24 BST 2016, end=Sun Jun 26 17:20:24 BST 2016, operations=121.56005298126746, operationsPerMinute=30.390013245316865
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 26 17:20:36 BST 2016, end=Sun Jun 26 17:22:36 BST 2016, operations=11.595360488320848, operationsPerMinute=5.797680244160424, mode=normal, start=Sun Jun 26 17:23:11 BST 2016, end=Sun Jun 26 17:27:11 BST 2016, operations=23.183710666200536, operationsPerMinute=5.795927666550134
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 26 17:27:49 BST 2016, end=Sun Jun 26 17:29:49 BST 2016, operations=55.310610019927594, operationsPerMinute=27.655305009963797, mode=normal, start=Sun Jun 26 17:29:58 BST 2016, end=Sun Jun 26 17:33:58 BST 2016, operations=110.90002625194705, operationsPerMinute=27.725006562986763
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 26 17:34:09 BST 2016, end=Sun Jun 26 17:36:09 BST 2016, operations=37.51908952449878, operationsPerMinute=18.75954476224939, mode=normal, start=Sun Jun 26 17:36:26 BST 2016, end=Sun Jun 26 17:40:26 BST 2016, operations=74.98787874227499, operationsPerMinute=18.746969685568747
