spec.jvm2008.report.run.location=BEDSONTC078
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:01:35 BST 2016, end=Fri Jun 03 15:01:35 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:01:35 BST 2016, end=Fri Jun 03 15:01:35 BST 2016, operations=1.0, operationsPerMinute=545.4545454545455
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:01:35 BST 2016, end=Fri Jun 03 15:01:47 BST 2016, operations=1.0, operationsPerMinute=4.790036723614881
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:01:47 BST 2016, end=Fri Jun 03 15:01:51 BST 2016, operations=1.0, operationsPerMinute=18.143332325370427
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:01:51 BST 2016, end=Fri Jun 03 15:01:52 BST 2016, operations=1.0, operationsPerMinute=46.91164972634871
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:01:52 BST 2016, end=Fri Jun 03 15:02:00 BST 2016, operations=1.0, operationsPerMinute=7.069635913750441
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:02:00 BST 2016, end=Fri Jun 03 15:02:08 BST 2016, operations=1.0, operationsPerMinute=8.097165991902834
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:02:08 BST 2016, end=Fri Jun 03 15:02:14 BST 2016, operations=1.0, operationsPerMinute=9.179926560587516
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:02:14 BST 2016, end=Fri Jun 03 15:02:17 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:02:17 BST 2016, end=Fri Jun 03 15:02:17 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:02:17 BST 2016, end=Fri Jun 03 15:02:18 BST 2016, operations=1.0, operationsPerMinute=67.41573033707866
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:02:18 BST 2016, end=Fri Jun 03 15:02:24 BST 2016, operations=1.0, operationsPerMinute=10.897203051216854
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:02:24 BST 2016, end=Fri Jun 03 15:02:25 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:02:25 BST 2016, end=Fri Jun 03 15:02:26 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:02:26 BST 2016, end=Fri Jun 03 15:02:28 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:02:28 BST 2016, end=Fri Jun 03 15:02:35 BST 2016, operations=1.0, operationsPerMinute=9.335615372646647
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:02:35 BST 2016, end=Fri Jun 03 15:02:55 BST 2016, operations=1.0, operationsPerMinute=2.93140512018761
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:02:55 BST 2016, end=Fri Jun 03 15:02:56 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:03:06 BST 2016, end=Fri Jun 03 15:05:06 BST 2016, operations=497.95067836912204, operationsPerMinute=248.97533918456102, mode=normal, start=Fri Jun 03 15:05:08 BST 2016, end=Fri Jun 03 15:09:08 BST 2016, operations=1000.0741548676824, operationsPerMinute=250.0185387169206
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:09:12 BST 2016, end=Fri Jun 03 15:11:12 BST 2016, operations=190.6369172064911, operationsPerMinute=95.31845860324555, mode=normal, start=Fri Jun 03 15:11:14 BST 2016, end=Fri Jun 03 15:15:14 BST 2016, operations=380.7872405870944, operationsPerMinute=95.1968101467736
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:15:18 BST 2016, end=Fri Jun 03 15:17:18 BST 2016, operations=395.24212228430486, operationsPerMinute=197.62106114215243, mode=normal, start=Fri Jun 03 15:17:20 BST 2016, end=Fri Jun 03 15:21:20 BST 2016, operations=795.0310573892448, operationsPerMinute=198.7577643473112
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:21:21 BST 2016, end=Fri Jun 03 15:23:21 BST 2016, operations=137.09329224267304, operationsPerMinute=68.54664612133652, mode=normal, start=Fri Jun 03 15:23:27 BST 2016, end=Fri Jun 03 15:27:27 BST 2016, operations=290.58707720488906, operationsPerMinute=72.64676930122226
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:27:32 BST 2016, end=Fri Jun 03 15:29:32 BST 2016, operations=233.38789839431666, operationsPerMinute=116.69394919715833, mode=normal, start=Fri Jun 03 15:29:35 BST 2016, end=Fri Jun 03 15:33:35 BST 2016, operations=468.58386687412263, operationsPerMinute=117.14596671853066
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:33:38 BST 2016, end=Fri Jun 03 15:35:38 BST 2016, operations=405.84720328897544, operationsPerMinute=202.92360164448772, mode=normal, start=Fri Jun 03 15:35:40 BST 2016, end=Fri Jun 03 15:39:40 BST 2016, operations=808.8484989189704, operationsPerMinute=202.2121247297426
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:40:02 BST 2016, end=Fri Jun 03 15:42:02 BST 2016, operations=360.60861281779546, operationsPerMinute=180.30430640889773, mode=normal, start=Fri Jun 03 15:42:04 BST 2016, end=Fri Jun 03 15:46:04 BST 2016, operations=709.0912618129778, operationsPerMinute=177.27281545324445
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:46:06 BST 2016, end=Fri Jun 03 15:48:06 BST 2016, operations=204.50637889950153, operationsPerMinute=102.25318944975076, mode=normal, start=Fri Jun 03 15:48:11 BST 2016, end=Fri Jun 03 15:52:11 BST 2016, operations=410.90024255313824, operationsPerMinute=102.72506063828456
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:52:14 BST 2016, end=Fri Jun 03 15:54:14 BST 2016, operations=69.89153421818165, operationsPerMinute=34.94576710909082, mode=normal, start=Fri Jun 03 15:54:23 BST 2016, end=Fri Jun 03 15:58:23 BST 2016, operations=145.0904568038554, operationsPerMinute=36.27261420096385
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 15:58:33 BST 2016, end=Fri Jun 03 16:00:33 BST 2016, operations=13.834067085179589, operationsPerMinute=6.917033542589794, mode=normal, start=Fri Jun 03 16:01:19 BST 2016, end=Fri Jun 03 16:05:19 BST 2016, operations=27.656647672903425, operationsPerMinute=6.914161918225856
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:06:06 BST 2016, end=Fri Jun 03 16:08:06 BST 2016, operations=74.00234255953406, operationsPerMinute=37.00117127976703, mode=normal, start=Fri Jun 03 16:08:16 BST 2016, end=Fri Jun 03 16:12:16 BST 2016, operations=147.93864706343464, operationsPerMinute=36.98466176585866
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:12:27 BST 2016, end=Fri Jun 03 16:14:27 BST 2016, operations=42.59258145090705, operationsPerMinute=21.296290725453524, mode=normal, start=Fri Jun 03 16:14:40 BST 2016, end=Fri Jun 03 16:18:40 BST 2016, operations=85.97119241343759, operationsPerMinute=21.492798103359398
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jun 03 16:18:53 BST 2016, end=Fri Jun 03 16:20:53 BST 2016, operations=690.9518856774118, operationsPerMinute=345.4759428387059, mode=normal, start=Fri Jun 03 16:20:55 BST 2016, end=Fri Jun 03 16:24:55 BST 2016, operations=1461.442370211605, operationsPerMinute=365.36059255290127
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jun 03 16:24:55 BST 2016, end=Fri Jun 03 16:26:55 BST 2016, operations=572.7243347723602, operationsPerMinute=286.3621673861801, mode=normal, start=Fri Jun 03 16:26:57 BST 2016, end=Fri Jun 03 16:30:57 BST 2016, operations=1147.4641839725252, operationsPerMinute=286.8660459931313
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jun 03 16:30:58 BST 2016, end=Fri Jun 03 16:32:58 BST 2016, operations=328.4350054044835, operationsPerMinute=164.21750270224175, mode=normal, start=Fri Jun 03 16:33:01 BST 2016, end=Fri Jun 03 16:37:01 BST 2016, operations=658.2932811384893, operationsPerMinute=164.57332028462233
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri Jun 03 16:37:03 BST 2016, end=Fri Jun 03 16:39:03 BST 2016, operations=509.99428289443983, operationsPerMinute=254.99714144721992, mode=normal, start=Fri Jun 03 16:39:05 BST 2016, end=Fri Jun 03 16:43:05 BST 2016, operations=1018.4940232063983, operationsPerMinute=254.62350580159958
benchmark-name=scimark.monte_carlo, mod=warmup, start=Fri Jun 03 16:43:07 BST 2016, end=Fri Jun 03 16:45:07 BST 2016, operations=119.47451073288958, operationsPerMinute=59.73725536644479, mode=normal, start=Fri Jun 03 16:45:12 BST 2016, end=Fri Jun 03 16:49:12 BST 2016, operations=238.69421406719277, operationsPerMinute=59.673553516798194
benchmark-name=serial, mod=warmup, start=Fri Jun 03 16:49:17 BST 2016, end=Fri Jun 03 16:51:17 BST 2016, operations=241.35407820258519, operationsPerMinute=120.67703910129259, mode=normal, start=Fri Jun 03 16:51:21 BST 2016, end=Fri Jun 03 16:55:21 BST 2016, operations=476.3333995426446, operationsPerMinute=119.08334988566115
benchmark-name=sunflow, mod=warmup, start=Fri Jun 03 16:55:24 BST 2016, end=Fri Jun 03 16:57:24 BST 2016, operations=174.8568262099579, operationsPerMinute=87.42841310497894, mode=normal, start=Fri Jun 03 16:57:25 BST 2016, end=Fri Jun 03 17:01:25 BST 2016, operations=337.436433554789, operationsPerMinute=84.35910838869725
