spec.jvm2008.report.run.location=LAW007
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Mon Jun 27 08:04:07 BST 2016, end=Mon Jun 27 08:04:07 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 08:04:07 BST 2016, end=Mon Jun 27 08:04:07 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 08:04:07 BST 2016, end=Mon Jun 27 08:04:25 BST 2016, operations=1.0, operationsPerMinute=3.3327778703549407
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 08:04:25 BST 2016, end=Mon Jun 27 08:04:29 BST 2016, operations=1.0, operationsPerMinute=14.194464158977999
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 08:04:29 BST 2016, end=Mon Jun 27 08:04:31 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 08:04:31 BST 2016, end=Mon Jun 27 08:04:40 BST 2016, operations=1.0, operationsPerMinute=6.51890482398957
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 08:04:40 BST 2016, end=Mon Jun 27 08:04:48 BST 2016, operations=1.0, operationsPerMinute=7.6765609007164795
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 08:04:48 BST 2016, end=Mon Jun 27 08:04:55 BST 2016, operations=1.0, operationsPerMinute=8.80152559777028
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 08:04:55 BST 2016, end=Mon Jun 27 08:04:57 BST 2016, operations=1.0, operationsPerMinute=22.488755622188904
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 08:04:57 BST 2016, end=Mon Jun 27 08:04:58 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 08:04:58 BST 2016, end=Mon Jun 27 08:04:59 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 08:04:59 BST 2016, end=Mon Jun 27 08:05:05 BST 2016, operations=1.0, operationsPerMinute=9.63855421686747
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 08:05:05 BST 2016, end=Mon Jun 27 08:05:07 BST 2016, operations=1.0, operationsPerMinute=38.86010362694301
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 08:05:07 BST 2016, end=Mon Jun 27 08:05:08 BST 2016, operations=1.0, operationsPerMinute=51.94805194805195
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 08:05:08 BST 2016, end=Mon Jun 27 08:05:11 BST 2016, operations=1.0, operationsPerMinute=23.032629558541267
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 08:05:11 BST 2016, end=Mon Jun 27 08:05:17 BST 2016, operations=1.0, operationsPerMinute=8.965929468021518
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 08:05:17 BST 2016, end=Mon Jun 27 08:05:42 BST 2016, operations=1.0, operationsPerMinute=2.441903056448659
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 08:05:42 BST 2016, end=Mon Jun 27 08:05:43 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 08:05:57 BST 2016, end=Mon Jun 27 08:07:57 BST 2016, operations=417.81073770374314, operationsPerMinute=208.90536885187157, mode=normal, start=Mon Jun 27 08:07:59 BST 2016, end=Mon Jun 27 08:11:59 BST 2016, operations=867.6204495609528, operationsPerMinute=216.9051123902382
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 08:12:04 BST 2016, end=Mon Jun 27 08:14:04 BST 2016, operations=169.20376342672765, operationsPerMinute=84.60188171336382, mode=normal, start=Mon Jun 27 08:14:09 BST 2016, end=Mon Jun 27 08:18:09 BST 2016, operations=324.42493486607134, operationsPerMinute=81.10623371651783
benchmark-name=compress, mod=warmup, start=Mon Jun 27 08:18:13 BST 2016, end=Mon Jun 27 08:20:13 BST 2016, operations=351.35564720986395, operationsPerMinute=175.67782360493197, mode=normal, start=Mon Jun 27 08:20:15 BST 2016, end=Mon Jun 27 08:24:15 BST 2016, operations=702.1456516901874, operationsPerMinute=175.53641292254684
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 08:24:17 BST 2016, end=Mon Jun 27 08:26:17 BST 2016, operations=115.60706745999876, operationsPerMinute=57.80353372999938, mode=normal, start=Mon Jun 27 08:26:22 BST 2016, end=Mon Jun 27 08:30:22 BST 2016, operations=245.6778311877194, operationsPerMinute=61.41945779692985
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 08:30:27 BST 2016, end=Mon Jun 27 08:32:27 BST 2016, operations=205.71547921571647, operationsPerMinute=102.85773960785824, mode=normal, start=Mon Jun 27 08:32:31 BST 2016, end=Mon Jun 27 08:36:31 BST 2016, operations=411.122030213796, operationsPerMinute=102.780507553449
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 08:36:34 BST 2016, end=Mon Jun 27 08:38:34 BST 2016, operations=352.66062138830205, operationsPerMinute=176.33031069415102, mode=normal, start=Mon Jun 27 08:38:36 BST 2016, end=Mon Jun 27 08:42:36 BST 2016, operations=703.2710916394486, operationsPerMinute=175.81777290986216
benchmark-name=derby, mod=warmup, start=Mon Jun 27 08:43:37 BST 2016, end=Mon Jun 27 08:45:37 BST 2016, operations=265.40850817996915, operationsPerMinute=132.70425408998457, mode=normal, start=Mon Jun 27 08:45:40 BST 2016, end=Mon Jun 27 08:49:40 BST 2016, operations=534.440737081389, operationsPerMinute=133.61018427034725
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 08:49:43 BST 2016, end=Mon Jun 27 08:51:43 BST 2016, operations=172.92252772449422, operationsPerMinute=86.46126386224711, mode=normal, start=Mon Jun 27 08:51:47 BST 2016, end=Mon Jun 27 08:55:47 BST 2016, operations=345.18504416420535, operationsPerMinute=86.29626104105134
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 08:55:51 BST 2016, end=Mon Jun 27 08:57:51 BST 2016, operations=99.89801764819121, operationsPerMinute=49.94900882409561, mode=normal, start=Mon Jun 27 08:57:58 BST 2016, end=Mon Jun 27 09:01:58 BST 2016, operations=209.2614098141668, operationsPerMinute=52.3153524535417
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 09:02:04 BST 2016, end=Mon Jun 27 09:04:04 BST 2016, operations=22.728922341793783, operationsPerMinute=11.364461170896892, mode=normal, start=Mon Jun 27 09:04:27 BST 2016, end=Mon Jun 27 09:08:27 BST 2016, operations=44.55342112130547, operationsPerMinute=11.138355280326367
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 09:08:55 BST 2016, end=Mon Jun 27 09:10:55 BST 2016, operations=68.98298181604547, operationsPerMinute=34.49149090802273, mode=normal, start=Mon Jun 27 09:11:06 BST 2016, end=Mon Jun 27 09:15:06 BST 2016, operations=137.81391789565268, operationsPerMinute=34.45347947391317
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 09:15:15 BST 2016, end=Mon Jun 27 09:17:15 BST 2016, operations=75.2857881268842, operationsPerMinute=37.6428940634421, mode=normal, start=Mon Jun 27 09:17:24 BST 2016, end=Mon Jun 27 09:21:24 BST 2016, operations=150.5010003748941, operationsPerMinute=37.62525009372352
