spec.jvm2008.report.run.location=LAW023
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Mon Jun 27 06:40:26 BST 2016, end=Mon Jun 27 06:40:26 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 06:40:26 BST 2016, end=Mon Jun 27 06:40:26 BST 2016, operations=1.0, operationsPerMinute=483.8709677419355
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 06:40:26 BST 2016, end=Mon Jun 27 06:40:42 BST 2016, operations=1.0, operationsPerMinute=3.5776041977222586
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 06:40:42 BST 2016, end=Mon Jun 27 06:40:47 BST 2016, operations=1.0, operationsPerMinute=14.677103718199609
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 06:40:47 BST 2016, end=Mon Jun 27 06:40:48 BST 2016, operations=1.0, operationsPerMinute=43.196544276457885
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 06:40:48 BST 2016, end=Mon Jun 27 06:40:57 BST 2016, operations=1.0, operationsPerMinute=6.608657341116863
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 06:40:57 BST 2016, end=Mon Jun 27 06:41:05 BST 2016, operations=1.0, operationsPerMinute=7.77000777000777
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 06:41:05 BST 2016, end=Mon Jun 27 06:41:11 BST 2016, operations=1.0, operationsPerMinute=8.965929468021518
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 06:41:11 BST 2016, end=Mon Jun 27 06:41:14 BST 2016, operations=1.0, operationsPerMinute=22.35469448584203
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 06:41:14 BST 2016, end=Mon Jun 27 06:41:15 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 06:41:15 BST 2016, end=Mon Jun 27 06:41:16 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 06:41:16 BST 2016, end=Mon Jun 27 06:41:22 BST 2016, operations=1.0, operationsPerMinute=9.836065573770492
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 06:41:22 BST 2016, end=Mon Jun 27 06:41:24 BST 2016, operations=1.0, operationsPerMinute=38.86010362694301
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 06:41:24 BST 2016, end=Mon Jun 27 06:41:25 BST 2016, operations=1.0, operationsPerMinute=51.99306759098787
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 06:41:25 BST 2016, end=Mon Jun 27 06:41:27 BST 2016, operations=1.0, operationsPerMinute=23.31002331002331
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 06:41:27 BST 2016, end=Mon Jun 27 06:41:34 BST 2016, operations=1.0, operationsPerMinute=8.92325996430696
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 06:41:34 BST 2016, end=Mon Jun 27 06:41:59 BST 2016, operations=1.0, operationsPerMinute=2.3918676499900338
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 06:41:59 BST 2016, end=Mon Jun 27 06:42:00 BST 2016, operations=1.0, operationsPerMinute=51.282051282051285
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 06:42:13 BST 2016, end=Mon Jun 27 06:44:13 BST 2016, operations=422.59238698738807, operationsPerMinute=211.29619349369403, mode=normal, start=Mon Jun 27 06:44:14 BST 2016, end=Mon Jun 27 06:48:14 BST 2016, operations=848.2408424908425, operationsPerMinute=212.06021062271063
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 06:48:20 BST 2016, end=Mon Jun 27 06:50:20 BST 2016, operations=167.18473892611627, operationsPerMinute=83.59236946305813, mode=normal, start=Mon Jun 27 06:50:23 BST 2016, end=Mon Jun 27 06:54:23 BST 2016, operations=331.1224120294774, operationsPerMinute=82.78060300736935
benchmark-name=compress, mod=warmup, start=Mon Jun 27 06:54:26 BST 2016, end=Mon Jun 27 06:56:26 BST 2016, operations=352.5284085562288, operationsPerMinute=176.2642042781144, mode=normal, start=Mon Jun 27 06:56:28 BST 2016, end=Mon Jun 27 07:00:28 BST 2016, operations=704.936304058167, operationsPerMinute=176.23407601454176
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 07:00:31 BST 2016, end=Mon Jun 27 07:02:31 BST 2016, operations=116.52553594242195, operationsPerMinute=58.26276797121098, mode=normal, start=Mon Jun 27 07:02:37 BST 2016, end=Mon Jun 27 07:06:37 BST 2016, operations=244.75392572103894, operationsPerMinute=61.188481430259735
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 07:06:43 BST 2016, end=Mon Jun 27 07:08:43 BST 2016, operations=204.79540271887123, operationsPerMinute=102.39770135943562, mode=normal, start=Mon Jun 27 07:08:48 BST 2016, end=Mon Jun 27 07:12:48 BST 2016, operations=406.58904727279315, operationsPerMinute=101.64726181819829
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 07:12:52 BST 2016, end=Mon Jun 27 07:14:52 BST 2016, operations=350.4064912069808, operationsPerMinute=175.2032456034904, mode=normal, start=Mon Jun 27 07:14:54 BST 2016, end=Mon Jun 27 07:18:54 BST 2016, operations=704.5260014617797, operationsPerMinute=176.13150036544494
benchmark-name=derby, mod=warmup, start=Mon Jun 27 07:19:54 BST 2016, end=Mon Jun 27 07:21:54 BST 2016, operations=258.4704123805245, operationsPerMinute=129.23520619026226, mode=normal, start=Mon Jun 27 07:21:56 BST 2016, end=Mon Jun 27 07:25:56 BST 2016, operations=516.5560571585149, operationsPerMinute=129.13901428962873
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 07:25:59 BST 2016, end=Mon Jun 27 07:27:59 BST 2016, operations=172.9980311719919, operationsPerMinute=86.49901558599595, mode=normal, start=Mon Jun 27 07:28:04 BST 2016, end=Mon Jun 27 07:32:04 BST 2016, operations=345.3358048138415, operationsPerMinute=86.33395120346037
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 07:32:08 BST 2016, end=Mon Jun 27 07:34:08 BST 2016, operations=100.04273350166739, operationsPerMinute=50.02136675083369, mode=normal, start=Mon Jun 27 07:34:13 BST 2016, end=Mon Jun 27 07:38:13 BST 2016, operations=218.60781897731528, operationsPerMinute=54.65195474432882
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 07:38:19 BST 2016, end=Mon Jun 27 07:40:19 BST 2016, operations=22.531551821956455, operationsPerMinute=11.265775910978228, mode=normal, start=Mon Jun 27 07:40:43 BST 2016, end=Mon Jun 27 07:44:43 BST 2016, operations=44.9969427975056, operationsPerMinute=11.2492356993764
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 07:45:15 BST 2016, end=Mon Jun 27 07:47:15 BST 2016, operations=69.5228754385881, operationsPerMinute=34.76143771929405, mode=normal, start=Mon Jun 27 07:47:26 BST 2016, end=Mon Jun 27 07:51:26 BST 2016, operations=138.73058349831643, operationsPerMinute=34.68264587457911
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 07:51:35 BST 2016, end=Mon Jun 27 07:53:35 BST 2016, operations=74.68331481138597, operationsPerMinute=37.341657405692985, mode=normal, start=Mon Jun 27 07:53:44 BST 2016, end=Mon Jun 27 07:57:44 BST 2016, operations=149.9890865828422, operationsPerMinute=37.49727164571055
