spec.jvm2008.report.run.location=TOLL04
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
spec.jvm2008.report.hw.number.of.cores=2
spec.jvm2008.report.hw.memory.size=3991
benchmark-name=check, mode=normal, start=Tue Jun 28 19:59:45 BST 2016, end=Tue Jun 28 19:59:45 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 28 19:59:45 BST 2016, end=Tue Jun 28 19:59:45 BST 2016, operations=1.0, operationsPerMinute=428.57142857142856
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 28 19:59:45 BST 2016, end=Tue Jun 28 20:00:07 BST 2016, operations=1.0, operationsPerMinute=2.7453671928620453
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 28 20:00:07 BST 2016, end=Tue Jun 28 20:00:12 BST 2016, operations=1.0, operationsPerMinute=11.446012972148035
benchmark-name=startup.compress, mode=normal, start=Tue Jun 28 20:00:12 BST 2016, end=Tue Jun 28 20:00:14 BST 2016, operations=1.0, operationsPerMinute=33.149171270718234
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 28 20:00:14 BST 2016, end=Tue Jun 28 20:00:25 BST 2016, operations=1.0, operationsPerMinute=5.510653930933137
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 28 20:00:25 BST 2016, end=Tue Jun 28 20:00:33 BST 2016, operations=1.0, operationsPerMinute=7.1890726096333575
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 28 20:00:33 BST 2016, end=Tue Jun 28 20:00:41 BST 2016, operations=1.0, operationsPerMinute=8.028904054596548
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 28 20:00:41 BST 2016, end=Tue Jun 28 20:00:44 BST 2016, operations=1.0, operationsPerMinute=15.698587127158556
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 28 20:00:44 BST 2016, end=Tue Jun 28 20:00:46 BST 2016, operations=1.0, operationsPerMinute=50.5902192242833
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 28 20:00:46 BST 2016, end=Tue Jun 28 20:00:47 BST 2016, operations=1.0, operationsPerMinute=33.44481605351171
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 28 20:00:47 BST 2016, end=Tue Jun 28 20:00:55 BST 2016, operations=1.0, operationsPerMinute=7.6923076923076925
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 28 20:00:55 BST 2016, end=Tue Jun 28 20:00:57 BST 2016, operations=1.0, operationsPerMinute=33.16749585406302
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 28 20:00:57 BST 2016, end=Tue Jun 28 20:00:59 BST 2016, operations=1.0, operationsPerMinute=28.91566265060241
benchmark-name=startup.serial, mode=normal, start=Tue Jun 28 20:00:59 BST 2016, end=Tue Jun 28 20:01:03 BST 2016, operations=1.0, operationsPerMinute=14.140938015555031
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 28 20:01:03 BST 2016, end=Tue Jun 28 20:01:12 BST 2016, operations=1.0, operationsPerMinute=7.284205414592692
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 28 20:01:12 BST 2016, end=Tue Jun 28 20:01:50 BST 2016, operations=1.0, operationsPerMinute=1.5452766045122077
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 28 20:01:50 BST 2016, end=Tue Jun 28 20:01:52 BST 2016, operations=1.0, operationsPerMinute=40.92769440654843
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 28 20:02:08 BST 2016, end=Tue Jun 28 20:04:08 BST 2016, operations=245.5190454092056, operationsPerMinute=122.7595227046028, mode=normal, start=Tue Jun 28 20:04:10 BST 2016, end=Tue Jun 28 20:08:10 BST 2016, operations=499.5516447184433, operationsPerMinute=124.88791117961082
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 28 20:08:15 BST 2016, end=Tue Jun 28 20:10:15 BST 2016, operations=96.69563066717365, operationsPerMinute=48.34781533358682, mode=normal, start=Tue Jun 28 20:10:19 BST 2016, end=Tue Jun 28 20:14:19 BST 2016, operations=193.3694509492621, operationsPerMinute=48.342362737315526
benchmark-name=compress, mod=warmup, start=Tue Jun 28 20:14:21 BST 2016, end=Tue Jun 28 20:16:21 BST 2016, operations=150.04527424434343, operationsPerMinute=75.02263712217172, mode=normal, start=Tue Jun 28 20:16:24 BST 2016, end=Tue Jun 28 20:20:24 BST 2016, operations=299.4233889434602, operationsPerMinute=74.85584723586506
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 28 20:20:26 BST 2016, end=Tue Jun 28 20:22:26 BST 2016, operations=42.0708747233731, operationsPerMinute=21.03543736168655, mode=normal, start=Tue Jun 28 20:22:32 BST 2016, end=Tue Jun 28 20:26:32 BST 2016, operations=89.45186001973605, operationsPerMinute=22.36296500493401
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 28 20:26:39 BST 2016, end=Tue Jun 28 20:28:39 BST 2016, operations=86.13853462681732, operationsPerMinute=43.06926731340866, mode=normal, start=Tue Jun 28 20:28:44 BST 2016, end=Tue Jun 28 20:32:44 BST 2016, operations=173.07523277315715, operationsPerMinute=43.26880819328929
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 28 20:32:47 BST 2016, end=Tue Jun 28 20:34:47 BST 2016, operations=139.78505084101494, operationsPerMinute=69.89252542050747, mode=normal, start=Tue Jun 28 20:34:49 BST 2016, end=Tue Jun 28 20:38:49 BST 2016, operations=279.36050366182707, operationsPerMinute=69.84012591545677
benchmark-name=derby, mod=warmup, start=Tue Jun 28 20:40:56 BST 2016, end=Tue Jun 28 20:42:56 BST 2016, operations=106.30578256043688, operationsPerMinute=53.15289128021844, mode=normal, start=Tue Jun 28 20:43:00 BST 2016, end=Tue Jun 28 20:47:00 BST 2016, operations=213.37826989754825, operationsPerMinute=53.34456747438706
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 28 20:47:03 BST 2016, end=Tue Jun 28 20:49:03 BST 2016, operations=66.16698795180723, operationsPerMinute=33.083493975903615, mode=normal, start=Tue Jun 28 20:49:07 BST 2016, end=Tue Jun 28 20:53:07 BST 2016, operations=132.75455475004134, operationsPerMinute=33.188638687510334
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 28 20:53:13 BST 2016, end=Tue Jun 28 20:55:13 BST 2016, operations=31.03712606683595, operationsPerMinute=15.518563033417974, mode=normal, start=Tue Jun 28 20:55:21 BST 2016, end=Tue Jun 28 20:59:21 BST 2016, operations=69.24464338943983, operationsPerMinute=17.311160847359957
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 28 20:59:28 BST 2016, end=Tue Jun 28 21:01:28 BST 2016, operations=7.090156223377157, operationsPerMinute=3.5450781116885786, mode=normal, start=Tue Jun 28 21:02:00 BST 2016, end=Tue Jun 28 21:06:00 BST 2016, operations=14.19160390983772, operationsPerMinute=3.54790097745943
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 28 21:06:47 BST 2016, end=Tue Jun 28 21:08:47 BST 2016, operations=32.20996827922028, operationsPerMinute=16.10498413961014, mode=normal, start=Tue Jun 28 21:09:00 BST 2016, end=Tue Jun 28 21:13:00 BST 2016, operations=64.59914549780112, operationsPerMinute=16.14978637445028
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jun 28 21:13:12 BST 2016, end=Tue Jun 28 21:15:12 BST 2016, operations=23.782896644365223, operationsPerMinute=11.891448322182612, mode=normal, start=Tue Jun 28 21:15:19 BST 2016, end=Tue Jun 28 21:19:19 BST 2016, operations=47.36281607249721, operationsPerMinute=11.840704018124303
