spec.jvm2008.report.run.location=NIDD116
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Sun Jun 26 16:52:01 BST 2016, end=Sun Jun 26 16:52:02 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 16:52:02 BST 2016, end=Sun Jun 26 16:52:02 BST 2016, operations=1.0, operationsPerMinute=384.61538461538464
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 16:52:02 BST 2016, end=Sun Jun 26 16:52:27 BST 2016, operations=1.0, operationsPerMinute=2.3682652457075193
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 16:52:27 BST 2016, end=Sun Jun 26 16:52:32 BST 2016, operations=1.0, operationsPerMinute=12.096774193548388
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 16:52:32 BST 2016, end=Sun Jun 26 16:52:34 BST 2016, operations=1.0, operationsPerMinute=37.336652146857496
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 16:52:34 BST 2016, end=Sun Jun 26 16:52:44 BST 2016, operations=1.0, operationsPerMinute=5.99101347978033
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 16:52:44 BST 2016, end=Sun Jun 26 16:52:52 BST 2016, operations=1.0, operationsPerMinute=7.135212272565108
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 16:52:52 BST 2016, end=Sun Jun 26 16:52:59 BST 2016, operations=1.0, operationsPerMinute=8.271298593879239
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 16:52:59 BST 2016, end=Sun Jun 26 16:53:03 BST 2016, operations=1.0, operationsPerMinute=18.58160421183029
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 16:53:03 BST 2016, end=Sun Jun 26 16:53:03 BST 2016, operations=1.0, operationsPerMinute=65.21739130434783
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 16:53:03 BST 2016, end=Sun Jun 26 16:53:05 BST 2016, operations=1.0, operationsPerMinute=49.91680532445923
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 16:53:05 BST 2016, end=Sun Jun 26 16:53:11 BST 2016, operations=1.0, operationsPerMinute=9.029345372460497
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 16:53:11 BST 2016, end=Sun Jun 26 16:53:13 BST 2016, operations=1.0, operationsPerMinute=35.27336860670194
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 16:53:13 BST 2016, end=Sun Jun 26 16:53:14 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 16:53:14 BST 2016, end=Sun Jun 26 16:53:17 BST 2016, operations=1.0, operationsPerMinute=19.723865877712033
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 16:53:17 BST 2016, end=Sun Jun 26 16:53:24 BST 2016, operations=1.0, operationsPerMinute=8.527572484366116
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 16:53:24 BST 2016, end=Sun Jun 26 16:53:53 BST 2016, operations=1.0, operationsPerMinute=2.088045937010614
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 16:53:53 BST 2016, end=Sun Jun 26 16:53:54 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 16:54:10 BST 2016, end=Sun Jun 26 16:56:10 BST 2016, operations=350.21854579482044, operationsPerMinute=175.10927289741022, mode=normal, start=Sun Jun 26 16:56:12 BST 2016, end=Sun Jun 26 17:00:12 BST 2016, operations=712.0728121648244, operationsPerMinute=178.0182030412061
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 17:00:18 BST 2016, end=Sun Jun 26 17:02:18 BST 2016, operations=141.6565029317979, operationsPerMinute=70.82825146589894, mode=normal, start=Sun Jun 26 17:02:23 BST 2016, end=Sun Jun 26 17:06:23 BST 2016, operations=279.78128738384214, operationsPerMinute=69.94532184596054
benchmark-name=compress, mod=warmup, start=Sun Jun 26 17:06:28 BST 2016, end=Sun Jun 26 17:08:28 BST 2016, operations=271.3361742109373, operationsPerMinute=135.66808710546866, mode=normal, start=Sun Jun 26 17:08:31 BST 2016, end=Sun Jun 26 17:12:31 BST 2016, operations=510.4037827837458, operationsPerMinute=127.60094569593645
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 17:12:34 BST 2016, end=Sun Jun 26 17:14:34 BST 2016, operations=76.69486787917836, operationsPerMinute=38.34743393958918, mode=normal, start=Sun Jun 26 17:14:41 BST 2016, end=Sun Jun 26 17:18:41 BST 2016, operations=180.49097777992836, operationsPerMinute=45.12274444498209
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 17:18:50 BST 2016, end=Sun Jun 26 17:20:50 BST 2016, operations=145.7307231451269, operationsPerMinute=72.86536157256344, mode=normal, start=Sun Jun 26 17:20:55 BST 2016, end=Sun Jun 26 17:24:55 BST 2016, operations=292.1441627674734, operationsPerMinute=73.03604069186835
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 17:25:01 BST 2016, end=Sun Jun 26 17:27:01 BST 2016, operations=252.47410083283376, operationsPerMinute=126.23705041641688, mode=normal, start=Sun Jun 26 17:27:04 BST 2016, end=Sun Jun 26 17:31:04 BST 2016, operations=504.24572684995735, operationsPerMinute=126.06143171248934
benchmark-name=derby, mod=warmup, start=Sun Jun 26 17:32:34 BST 2016, end=Sun Jun 26 17:34:34 BST 2016, operations=203.01474136459655, operationsPerMinute=101.50737068229827, mode=normal, start=Sun Jun 26 17:34:36 BST 2016, end=Sun Jun 26 17:38:36 BST 2016, operations=408.45729748396764, operationsPerMinute=102.11432437099191
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 17:38:40 BST 2016, end=Sun Jun 26 17:40:40 BST 2016, operations=133.8477626173052, operationsPerMinute=66.9238813086526, mode=normal, start=Sun Jun 26 17:40:46 BST 2016, end=Sun Jun 26 17:44:46 BST 2016, operations=268.7626041906827, operationsPerMinute=67.19065104767067
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 17:44:51 BST 2016, end=Sun Jun 26 17:46:51 BST 2016, operations=60.350145696407566, operationsPerMinute=30.175072848203783, mode=normal, start=Sun Jun 26 17:47:03 BST 2016, end=Sun Jun 26 17:51:03 BST 2016, operations=121.0505379685084, operationsPerMinute=30.2626344921271
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 26 17:51:15 BST 2016, end=Sun Jun 26 17:53:15 BST 2016, operations=11.574323956413348, operationsPerMinute=5.787161978206674, mode=normal, start=Sun Jun 26 17:53:50 BST 2016, end=Sun Jun 26 17:57:50 BST 2016, operations=23.132775785029896, operationsPerMinute=5.783193946257474
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 26 17:58:29 BST 2016, end=Sun Jun 26 18:00:29 BST 2016, operations=55.021071621714334, operationsPerMinute=27.510535810857167, mode=normal, start=Sun Jun 26 18:00:40 BST 2016, end=Sun Jun 26 18:04:40 BST 2016, operations=110.60226846451334, operationsPerMinute=27.650567116128336
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 26 18:04:50 BST 2016, end=Sun Jun 26 18:06:50 BST 2016, operations=37.39447835304597, operationsPerMinute=18.697239176522984, mode=normal, start=Sun Jun 26 18:07:05 BST 2016, end=Sun Jun 26 18:11:05 BST 2016, operations=74.77022603242168, operationsPerMinute=18.69255650810542
