spec.jvm2008.report.run.location=RIDLEY2B001
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:02:35 BST 2016, end=Fri Jun 03 15:02:36 BST 2016, operations=1.0, operationsPerMinute=1428.5714285714287
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:02:36 BST 2016, end=Fri Jun 03 15:02:36 BST 2016, operations=1.0, operationsPerMinute=600.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:02:36 BST 2016, end=Fri Jun 03 15:02:48 BST 2016, operations=1.0, operationsPerMinute=4.667807686323323
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:02:48 BST 2016, end=Fri Jun 03 15:02:52 BST 2016, operations=1.0, operationsPerMinute=17.81472684085511
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:02:52 BST 2016, end=Fri Jun 03 15:02:53 BST 2016, operations=1.0, operationsPerMinute=46.403712296983755
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:02:53 BST 2016, end=Fri Jun 03 15:03:02 BST 2016, operations=1.0, operationsPerMinute=7.133515634288432
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:03:02 BST 2016, end=Fri Jun 03 15:03:09 BST 2016, operations=1.0, operationsPerMinute=8.202323991797677
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:03:09 BST 2016, end=Fri Jun 03 15:03:15 BST 2016, operations=1.0, operationsPerMinute=9.372071227741332
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:03:15 BST 2016, end=Fri Jun 03 15:03:18 BST 2016, operations=1.0, operationsPerMinute=25.45608824777259
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:03:18 BST 2016, end=Fri Jun 03 15:03:18 BST 2016, operations=1.0, operationsPerMinute=80.10680907877169
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:03:18 BST 2016, end=Fri Jun 03 15:03:19 BST 2016, operations=1.0, operationsPerMinute=63.89776357827476
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:03:19 BST 2016, end=Fri Jun 03 15:03:25 BST 2016, operations=1.0, operationsPerMinute=10.463899546564353
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:03:25 BST 2016, end=Fri Jun 03 15:03:27 BST 2016, operations=1.0, operationsPerMinute=40.187541862022776
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:03:27 BST 2016, end=Fri Jun 03 15:03:28 BST 2016, operations=1.0, operationsPerMinute=58.19592628516004
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:03:28 BST 2016, end=Fri Jun 03 15:03:30 BST 2016, operations=1.0, operationsPerMinute=27.18622564567286
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:03:30 BST 2016, end=Fri Jun 03 15:03:36 BST 2016, operations=1.0, operationsPerMinute=9.657170449058427
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:03:36 BST 2016, end=Fri Jun 03 15:03:56 BST 2016, operations=1.0, operationsPerMinute=2.932407995699135
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:03:56 BST 2016, end=Fri Jun 03 15:03:57 BST 2016, operations=1.0, operationsPerMinute=72.90400972053463
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:04:08 BST 2016, end=Fri Jun 03 15:06:08 BST 2016, operations=473.5436478912379, operationsPerMinute=236.77182394561896, mode=normal, start=Fri Jun 03 15:06:09 BST 2016, end=Fri Jun 03 15:10:09 BST 2016, operations=992.6032348369517, operationsPerMinute=248.15080870923794
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:10:13 BST 2016, end=Fri Jun 03 15:12:13 BST 2016, operations=189.5927024865394, operationsPerMinute=94.7963512432697, mode=normal, start=Fri Jun 03 15:12:17 BST 2016, end=Fri Jun 03 15:16:17 BST 2016, operations=373.9404425708533, operationsPerMinute=93.48511064271332
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:16:20 BST 2016, end=Fri Jun 03 15:18:20 BST 2016, operations=390.37272690748944, operationsPerMinute=195.18636345374472, mode=normal, start=Fri Jun 03 15:18:22 BST 2016, end=Fri Jun 03 15:22:22 BST 2016, operations=780.5490432319502, operationsPerMinute=195.13726080798756
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:22:24 BST 2016, end=Fri Jun 03 15:24:24 BST 2016, operations=133.49715326283322, operationsPerMinute=66.74857663141661, mode=normal, start=Fri Jun 03 15:24:30 BST 2016, end=Fri Jun 03 15:28:30 BST 2016, operations=283.970938021325, operationsPerMinute=70.99273450533126
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:28:35 BST 2016, end=Fri Jun 03 15:30:35 BST 2016, operations=233.33839838050608, operationsPerMinute=116.66919919025304, mode=normal, start=Fri Jun 03 15:30:38 BST 2016, end=Fri Jun 03 15:34:38 BST 2016, operations=466.06329745294454, operationsPerMinute=116.51582436323613
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:34:42 BST 2016, end=Fri Jun 03 15:36:42 BST 2016, operations=365.6894043275657, operationsPerMinute=182.84470216378284, mode=normal, start=Fri Jun 03 15:36:44 BST 2016, end=Fri Jun 03 15:40:44 BST 2016, operations=771.1024877127743, operationsPerMinute=192.77562192819357
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:41:06 BST 2016, end=Fri Jun 03 15:43:06 BST 2016, operations=357.2947574113298, operationsPerMinute=178.6473787056649, mode=normal, start=Fri Jun 03 15:43:08 BST 2016, end=Fri Jun 03 15:47:08 BST 2016, operations=718.5486058389355, operationsPerMinute=179.63715145973387
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:47:10 BST 2016, end=Fri Jun 03 15:49:10 BST 2016, operations=206.1185903963899, operationsPerMinute=103.05929519819495, mode=normal, start=Fri Jun 03 15:49:15 BST 2016, end=Fri Jun 03 15:53:15 BST 2016, operations=412.5680235336754, operationsPerMinute=103.14200588341885
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:53:19 BST 2016, end=Fri Jun 03 15:55:19 BST 2016, operations=69.92098137274961, operationsPerMinute=34.960490686374804, mode=normal, start=Fri Jun 03 15:55:27 BST 2016, end=Fri Jun 03 15:59:27 BST 2016, operations=151.75037154655956, operationsPerMinute=37.93759288663989
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 15:59:36 BST 2016, end=Fri Jun 03 16:01:36 BST 2016, operations=13.739763126128848, operationsPerMinute=6.869881563064424, mode=normal, start=Fri Jun 03 16:02:21 BST 2016, end=Fri Jun 03 16:06:21 BST 2016, operations=27.785476437264894, operationsPerMinute=6.946369109316223
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:06:57 BST 2016, end=Fri Jun 03 16:08:57 BST 2016, operations=73.59279987206716, operationsPerMinute=36.79639993603358, mode=normal, start=Fri Jun 03 16:09:08 BST 2016, end=Fri Jun 03 16:13:08 BST 2016, operations=146.58343055319938, operationsPerMinute=36.645857638299844
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:13:17 BST 2016, end=Fri Jun 03 16:15:17 BST 2016, operations=42.55769017836799, operationsPerMinute=21.278845089183996, mode=normal, start=Fri Jun 03 16:15:29 BST 2016, end=Fri Jun 03 16:19:29 BST 2016, operations=85.31778656649622, operationsPerMinute=21.329446641624056
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jun 03 16:19:42 BST 2016, end=Fri Jun 03 16:21:42 BST 2016, operations=737.6228713097196, operationsPerMinute=368.8114356548598, mode=normal, start=Fri Jun 03 16:21:43 BST 2016, end=Fri Jun 03 16:25:43 BST 2016, operations=1415.2743754733588, operationsPerMinute=353.8185938683397
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jun 03 16:25:44 BST 2016, end=Fri Jun 03 16:27:44 BST 2016, operations=571.9523475803278, operationsPerMinute=285.9761737901639, mode=normal, start=Fri Jun 03 16:27:46 BST 2016, end=Fri Jun 03 16:31:46 BST 2016, operations=1141.3260265067534, operationsPerMinute=285.33150662668834
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jun 03 16:31:47 BST 2016, end=Fri Jun 03 16:33:47 BST 2016, operations=328.40433535792516, operationsPerMinute=164.20216767896258, mode=normal, start=Fri Jun 03 16:33:49 BST 2016, end=Fri Jun 03 16:37:49 BST 2016, operations=656.4070751730337, operationsPerMinute=164.10176879325843
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri Jun 03 16:37:52 BST 2016, end=Fri Jun 03 16:39:52 BST 2016, operations=506.24663131696377, operationsPerMinute=253.12331565848189, mode=normal, start=Fri Jun 03 16:39:53 BST 2016, end=Fri Jun 03 16:43:53 BST 2016, operations=1008.8206109277276, operationsPerMinute=252.2051527319319
benchmark-name=scimark.monte_carlo, mod=warmup, start=Fri Jun 03 16:43:55 BST 2016, end=Fri Jun 03 16:45:55 BST 2016, operations=117.36899189463513, operationsPerMinute=58.684495947317565, mode=normal, start=Fri Jun 03 16:46:02 BST 2016, end=Fri Jun 03 16:50:02 BST 2016, operations=236.66225685775566, operationsPerMinute=59.165564214438916
benchmark-name=serial, mod=warmup, start=Fri Jun 03 16:50:08 BST 2016, end=Fri Jun 03 16:52:08 BST 2016, operations=240.67152084556665, operationsPerMinute=120.33576042278332, mode=normal, start=Fri Jun 03 16:52:10 BST 2016, end=Fri Jun 03 16:56:10 BST 2016, operations=475.20330584139674, operationsPerMinute=118.80082646034919
benchmark-name=sunflow, mod=warmup, start=Fri Jun 03 16:56:13 BST 2016, end=Fri Jun 03 16:58:13 BST 2016, operations=178.6451317634555, operationsPerMinute=89.32256588172775, mode=normal, start=Fri Jun 03 16:58:15 BST 2016, end=Fri Jun 03 17:02:15 BST 2016, operations=358.2330271758858, operationsPerMinute=89.55825679397145
benchmark-name=xml.transform, mod=warmup, start=Fri Jun 03 17:02:35 BST 2016, end=Fri Jun 03 17:04:35 BST 2016, operations=506.14841900978655, operationsPerMinute=253.07420950489328, mode=normal, start=Fri Jun 03 17:04:37 BST 2016, end=Fri Jun 03 17:08:37 BST 2016, operations=1044.4534632566747, operationsPerMinute=261.1133658141687
benchmark-name=xml.validation, mod=warmup, start=Fri Jun 03 17:08:38 BST 2016, end=Fri Jun 03 17:10:38 BST 2016, operations=997.48756335038, operationsPerMinute=498.74378167519, mode=normal, start=Fri Jun 03 17:10:39 BST 2016, end=Fri Jun 03 17:14:39 BST 2016, operations=2012.6366420606164, operationsPerMinute=503.1591605151541
