spec.jvm2008.report.run.location=CASTLEAZES002
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Thu Jun 23 07:22:52 BST 2016, end=Thu Jun 23 07:22:52 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 07:22:52 BST 2016, end=Thu Jun 23 07:22:52 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 07:22:52 BST 2016, end=Thu Jun 23 07:23:05 BST 2016, operations=1.0, operationsPerMinute=4.71364600518501
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 07:23:05 BST 2016, end=Thu Jun 23 07:23:08 BST 2016, operations=1.0, operationsPerMinute=18.315018315018314
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 07:23:08 BST 2016, end=Thu Jun 23 07:23:09 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 07:23:09 BST 2016, end=Thu Jun 23 07:23:18 BST 2016, operations=1.0, operationsPerMinute=7.095553453169347
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 07:23:18 BST 2016, end=Thu Jun 23 07:23:25 BST 2016, operations=1.0, operationsPerMinute=8.012820512820513
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 07:23:25 BST 2016, end=Thu Jun 23 07:23:32 BST 2016, operations=1.0, operationsPerMinute=9.179926560587516
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 07:23:32 BST 2016, end=Thu Jun 23 07:23:34 BST 2016, operations=1.0, operationsPerMinute=26.89376961004034
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 07:23:34 BST 2016, end=Thu Jun 23 07:23:35 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 07:23:35 BST 2016, end=Thu Jun 23 07:23:36 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 07:23:36 BST 2016, end=Thu Jun 23 07:23:41 BST 2016, operations=1.0, operationsPerMinute=10.989010989010989
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 07:23:41 BST 2016, end=Thu Jun 23 07:23:42 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 07:23:42 BST 2016, end=Thu Jun 23 07:23:43 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 07:23:43 BST 2016, end=Thu Jun 23 07:23:45 BST 2016, operations=1.0, operationsPerMinute=28.91566265060241
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 07:23:45 BST 2016, end=Thu Jun 23 07:23:52 BST 2016, operations=1.0, operationsPerMinute=9.426551453260016
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 07:23:52 BST 2016, end=Thu Jun 23 07:24:12 BST 2016, operations=1.0, operationsPerMinute=2.9563932002956395
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 07:24:12 BST 2016, end=Thu Jun 23 07:24:13 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 07:24:23 BST 2016, end=Thu Jun 23 07:26:23 BST 2016, operations=489.69164743084866, operationsPerMinute=244.84582371542433, mode=normal, start=Thu Jun 23 07:26:24 BST 2016, end=Thu Jun 23 07:30:24 BST 2016, operations=1010.1285444891504, operationsPerMinute=252.5321361222876
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 07:30:27 BST 2016, end=Thu Jun 23 07:32:27 BST 2016, operations=194.08411860666635, operationsPerMinute=97.04205930333318, mode=normal, start=Thu Jun 23 07:32:31 BST 2016, end=Thu Jun 23 07:36:31 BST 2016, operations=386.70354250997553, operationsPerMinute=96.67588562749388
benchmark-name=compress, mod=warmup, start=Thu Jun 23 07:36:34 BST 2016, end=Thu Jun 23 07:38:34 BST 2016, operations=400.08547304618645, operationsPerMinute=200.04273652309323, mode=normal, start=Thu Jun 23 07:38:36 BST 2016, end=Thu Jun 23 07:42:36 BST 2016, operations=799.3990730040873, operationsPerMinute=199.84976825102183
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 07:42:38 BST 2016, end=Thu Jun 23 07:44:38 BST 2016, operations=139.64717002894434, operationsPerMinute=69.82358501447217, mode=normal, start=Thu Jun 23 07:44:42 BST 2016, end=Thu Jun 23 07:48:42 BST 2016, operations=294.1346870963886, operationsPerMinute=73.53367177409714
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 07:48:47 BST 2016, end=Thu Jun 23 07:50:47 BST 2016, operations=236.17000890586408, operationsPerMinute=118.08500445293204, mode=normal, start=Thu Jun 23 07:50:51 BST 2016, end=Thu Jun 23 07:54:51 BST 2016, operations=465.05320611678843, operationsPerMinute=116.26330152919711
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 07:54:55 BST 2016, end=Thu Jun 23 07:56:55 BST 2016, operations=384.4286092461642, operationsPerMinute=192.2143046230821, mode=normal, start=Thu Jun 23 07:56:57 BST 2016, end=Thu Jun 23 08:00:57 BST 2016, operations=813.7059091929243, operationsPerMinute=203.42647729823108
benchmark-name=derby, mod=warmup, start=Thu Jun 23 08:01:20 BST 2016, end=Thu Jun 23 08:03:20 BST 2016, operations=362.60216693746105, operationsPerMinute=181.30108346873052, mode=normal, start=Thu Jun 23 08:03:21 BST 2016, end=Thu Jun 23 08:07:21 BST 2016, operations=728.5604278347447, operationsPerMinute=182.14010695868618
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 08:07:23 BST 2016, end=Thu Jun 23 08:09:23 BST 2016, operations=205.3995584130426, operationsPerMinute=102.6997792065213, mode=normal, start=Thu Jun 23 08:09:27 BST 2016, end=Thu Jun 23 08:13:27 BST 2016, operations=410.83245527068686, operationsPerMinute=102.70811381767172
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 08:13:31 BST 2016, end=Thu Jun 23 08:15:31 BST 2016, operations=73.73603457958043, operationsPerMinute=36.86801728979022, mode=normal, start=Thu Jun 23 08:15:39 BST 2016, end=Thu Jun 23 08:19:39 BST 2016, operations=152.28252587598558, operationsPerMinute=38.070631468996396
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 08:19:49 BST 2016, end=Thu Jun 23 08:21:49 BST 2016, operations=13.78839411938403, operationsPerMinute=6.894197059692015, mode=normal, start=Thu Jun 23 08:22:33 BST 2016, end=Thu Jun 23 08:26:33 BST 2016, operations=27.742897428125175, operationsPerMinute=6.935724357031294
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 08:27:10 BST 2016, end=Thu Jun 23 08:29:10 BST 2016, operations=74.67945306284143, operationsPerMinute=37.339726531420716, mode=normal, start=Thu Jun 23 08:29:19 BST 2016, end=Thu Jun 23 08:33:19 BST 2016, operations=149.2029731753818, operationsPerMinute=37.30074329384545
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 08:33:31 BST 2016, end=Thu Jun 23 08:35:31 BST 2016, operations=42.86661176131585, operationsPerMinute=21.433305880657926, mode=normal, start=Thu Jun 23 08:35:43 BST 2016, end=Thu Jun 23 08:39:43 BST 2016, operations=86.37001910362473, operationsPerMinute=21.592504775906182
benchmark-name=scimark.fft.small, mod=warmup, start=Thu Jun 23 08:39:55 BST 2016, end=Thu Jun 23 08:41:55 BST 2016, operations=724.1313033561053, operationsPerMinute=362.06565167805263, mode=normal, start=Thu Jun 23 08:41:56 BST 2016, end=Thu Jun 23 08:45:56 BST 2016, operations=1463.0307236045007, operationsPerMinute=365.7576809011252
benchmark-name=scimark.lu.small, mod=warmup, start=Thu Jun 23 08:45:58 BST 2016, end=Thu Jun 23 08:47:58 BST 2016, operations=542.7644717076091, operationsPerMinute=271.38223585380456, mode=normal, start=Thu Jun 23 08:47:59 BST 2016, end=Thu Jun 23 08:51:59 BST 2016, operations=1120.8528510295002, operationsPerMinute=280.21321275737506
benchmark-name=scimark.sor.small, mod=warmup, start=Thu Jun 23 08:52:00 BST 2016, end=Thu Jun 23 08:54:00 BST 2016, operations=330.71264727160883, operationsPerMinute=165.35632363580442, mode=normal, start=Thu Jun 23 08:54:02 BST 2016, end=Thu Jun 23 08:58:02 BST 2016, operations=660.4979079839281, operationsPerMinute=165.12447699598204
benchmark-name=scimark.sparse.small, mod=warmup, start=Thu Jun 23 08:58:04 BST 2016, end=Thu Jun 23 09:00:04 BST 2016, operations=512.2010719078901, operationsPerMinute=256.10053595394504, mode=normal, start=Thu Jun 23 09:00:06 BST 2016, end=Thu Jun 23 09:04:06 BST 2016, operations=1026.2577129365068, operationsPerMinute=256.5644282341267
benchmark-name=scimark.monte_carlo, mod=warmup, start=Thu Jun 23 09:04:07 BST 2016, end=Thu Jun 23 09:06:07 BST 2016, operations=117.3902953582506, operationsPerMinute=58.6951476791253, mode=normal, start=Thu Jun 23 09:06:14 BST 2016, end=Thu Jun 23 09:10:14 BST 2016, operations=234.5847520164595, operationsPerMinute=58.646188004114876
benchmark-name=serial, mod=warmup, start=Thu Jun 23 09:10:20 BST 2016, end=Thu Jun 23 09:12:20 BST 2016, operations=240.2240720277412, operationsPerMinute=120.1120360138706, mode=normal, start=Thu Jun 23 09:12:23 BST 2016, end=Thu Jun 23 09:16:23 BST 2016, operations=478.8583091476319, operationsPerMinute=119.71457728690798
benchmark-name=sunflow, mod=warmup, start=Thu Jun 23 09:16:26 BST 2016, end=Thu Jun 23 09:18:26 BST 2016, operations=174.76797333153064, operationsPerMinute=87.38398666576532, mode=normal, start=Thu Jun 23 09:18:27 BST 2016, end=Thu Jun 23 09:22:27 BST 2016, operations=361.86272659050906, operationsPerMinute=90.46568164762726
