spec.jvm2008.report.run.location=GREY-05
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 16:42:26 BST 2016, end=Mon Jul 04 16:42:26 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Mon Jul 04 16:42:26 BST 2016, end=Mon Jul 04 16:42:26 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jul 04 16:42:26 BST 2016, end=Mon Jul 04 16:42:41 BST 2016, operations=1.0, operationsPerMinute=4.039859951521681
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jul 04 16:42:41 BST 2016, end=Mon Jul 04 16:42:45 BST 2016, operations=1.0, operationsPerMinute=17.40644038294169
benchmark-name=startup.compress, mode=normal, start=Mon Jul 04 16:42:45 BST 2016, end=Mon Jul 04 16:42:46 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jul 04 16:42:46 BST 2016, end=Mon Jul 04 16:42:54 BST 2016, operations=1.0, operationsPerMinute=7.083825265643448
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jul 04 16:42:54 BST 2016, end=Mon Jul 04 16:43:02 BST 2016, operations=1.0, operationsPerMinute=7.962840079628401
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jul 04 16:43:02 BST 2016, end=Mon Jul 04 16:43:08 BST 2016, operations=1.0, operationsPerMinute=9.223674096848578
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jul 04 16:43:08 BST 2016, end=Mon Jul 04 16:43:11 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jul 04 16:43:11 BST 2016, end=Mon Jul 04 16:43:11 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jul 04 16:43:11 BST 2016, end=Mon Jul 04 16:43:12 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jul 04 16:43:12 BST 2016, end=Mon Jul 04 16:43:18 BST 2016, operations=1.0, operationsPerMinute=10.834236186348862
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jul 04 16:43:18 BST 2016, end=Mon Jul 04 16:43:19 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jul 04 16:43:19 BST 2016, end=Mon Jul 04 16:43:20 BST 2016, operations=1.0, operationsPerMinute=59.171597633136095
benchmark-name=startup.serial, mode=normal, start=Mon Jul 04 16:43:20 BST 2016, end=Mon Jul 04 16:43:23 BST 2016, operations=1.0, operationsPerMinute=26.33889376646181
benchmark-name=startup.sunflow, mode=normal, start=Mon Jul 04 16:43:23 BST 2016, end=Mon Jul 04 16:43:29 BST 2016, operations=1.0, operationsPerMinute=9.335615372646647
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jul 04 16:43:29 BST 2016, end=Mon Jul 04 16:43:49 BST 2016, operations=1.0, operationsPerMinute=2.983887010145216
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jul 04 16:43:49 BST 2016, end=Mon Jul 04 16:43:50 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jul 04 16:44:01 BST 2016, end=Mon Jul 04 16:46:01 BST 2016, operations=493.12836698208355, operationsPerMinute=246.56418349104177, mode=normal, start=Mon Jul 04 16:46:02 BST 2016, end=Mon Jul 04 16:50:02 BST 2016, operations=1010.1606502533737, operationsPerMinute=252.54016256334342
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jul 04 16:50:07 BST 2016, end=Mon Jul 04 16:52:07 BST 2016, operations=200.11914865082457, operationsPerMinute=100.05957432541229, mode=normal, start=Mon Jul 04 16:52:11 BST 2016, end=Mon Jul 04 16:56:11 BST 2016, operations=394.27427870711387, operationsPerMinute=98.56856967677847
benchmark-name=compress, mod=warmup, start=Mon Jul 04 16:56:15 BST 2016, end=Mon Jul 04 16:58:15 BST 2016, operations=401.0197606332217, operationsPerMinute=200.50988031661086, mode=normal, start=Mon Jul 04 16:58:17 BST 2016, end=Mon Jul 04 17:02:17 BST 2016, operations=796.4948386695519, operationsPerMinute=199.12370966738797
benchmark-name=crypto.aes, mod=warmup, start=Mon Jul 04 17:02:18 BST 2016, end=Mon Jul 04 17:04:18 BST 2016, operations=139.21646363258102, operationsPerMinute=69.60823181629051, mode=normal, start=Mon Jul 04 17:04:23 BST 2016, end=Mon Jul 04 17:08:23 BST 2016, operations=293.9669167423689, operationsPerMinute=73.49172918559222
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jul 04 17:08:29 BST 2016, end=Mon Jul 04 17:10:29 BST 2016, operations=236.456406876016, operationsPerMinute=118.228203438008, mode=normal, start=Mon Jul 04 17:10:32 BST 2016, end=Mon Jul 04 17:14:32 BST 2016, operations=472.7088926010015, operationsPerMinute=118.17722315025037
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jul 04 17:14:36 BST 2016, end=Mon Jul 04 17:16:36 BST 2016, operations=407.0896844957553, operationsPerMinute=203.54484224787765, mode=normal, start=Mon Jul 04 17:16:37 BST 2016, end=Mon Jul 04 17:20:37 BST 2016, operations=814.8584950389361, operationsPerMinute=203.71462375973402
benchmark-name=derby, mod=warmup, start=Mon Jul 04 17:21:19 BST 2016, end=Mon Jul 04 17:23:19 BST 2016, operations=360.81942232143444, operationsPerMinute=180.40971116071722, mode=normal, start=Mon Jul 04 17:23:21 BST 2016, end=Mon Jul 04 17:27:21 BST 2016, operations=722.1998764020092, operationsPerMinute=180.5499691005023
benchmark-name=mpegaudio, mod=warmup, start=Mon Jul 04 17:27:23 BST 2016, end=Mon Jul 04 17:29:23 BST 2016, operations=208.02618476017417, operationsPerMinute=104.01309238008709, mode=normal, start=Mon Jul 04 17:29:27 BST 2016, end=Mon Jul 04 17:33:27 BST 2016, operations=416.4409935024114, operationsPerMinute=104.11024837560285
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jul 04 17:33:31 BST 2016, end=Mon Jul 04 17:35:31 BST 2016, operations=77.9068860230775, operationsPerMinute=38.95344301153875, mode=normal, start=Mon Jul 04 17:35:39 BST 2016, end=Mon Jul 04 17:39:39 BST 2016, operations=146.48831982406668, operationsPerMinute=36.62207995601667
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jul 04 17:39:48 BST 2016, end=Mon Jul 04 17:41:48 BST 2016, operations=13.622902356362234, operationsPerMinute=6.811451178181117, mode=normal, start=Mon Jul 04 17:42:34 BST 2016, end=Mon Jul 04 17:46:34 BST 2016, operations=27.79939114108658, operationsPerMinute=6.949847785271645
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jul 04 17:47:01 BST 2016, end=Mon Jul 04 17:49:01 BST 2016, operations=74.62191532050932, operationsPerMinute=37.31095766025466, mode=normal, start=Mon Jul 04 17:49:10 BST 2016, end=Mon Jul 04 17:53:10 BST 2016, operations=149.2025124887948, operationsPerMinute=37.3006281221987
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jul 04 17:53:21 BST 2016, end=Mon Jul 04 17:55:21 BST 2016, operations=42.82110850501284, operationsPerMinute=21.41055425250642, mode=normal, start=Mon Jul 04 17:55:33 BST 2016, end=Mon Jul 04 17:59:33 BST 2016, operations=86.20547032991858, operationsPerMinute=21.551367582479646
