spec.jvm2008.report.run.location=PERCY001
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 26 19:39:53 BST 2016, end=Sun Jun 26 19:39:53 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 19:39:53 BST 2016, end=Sun Jun 26 19:39:53 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 19:39:53 BST 2016, end=Sun Jun 26 19:40:06 BST 2016, operations=1.0, operationsPerMinute=4.64504141828598
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 19:40:06 BST 2016, end=Sun Jun 26 19:40:10 BST 2016, operations=1.0, operationsPerMinute=18.315018315018314
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 19:40:10 BST 2016, end=Sun Jun 26 19:40:11 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 19:40:11 BST 2016, end=Sun Jun 26 19:40:19 BST 2016, operations=1.0, operationsPerMinute=7.122507122507122
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 19:40:19 BST 2016, end=Sun Jun 26 19:40:27 BST 2016, operations=1.0, operationsPerMinute=8.029978586723768
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 19:40:27 BST 2016, end=Sun Jun 26 19:40:33 BST 2016, operations=1.0, operationsPerMinute=9.070294784580499
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 19:40:33 BST 2016, end=Sun Jun 26 19:40:36 BST 2016, operations=1.0, operationsPerMinute=26.89376961004034
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 19:40:36 BST 2016, end=Sun Jun 26 19:40:36 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 19:40:36 BST 2016, end=Sun Jun 26 19:40:37 BST 2016, operations=1.0, operationsPerMinute=67.41573033707866
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 19:40:37 BST 2016, end=Sun Jun 26 19:40:43 BST 2016, operations=1.0, operationsPerMinute=10.897203051216854
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 19:40:43 BST 2016, end=Sun Jun 26 19:40:44 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 19:40:44 BST 2016, end=Sun Jun 26 19:40:45 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 19:40:45 BST 2016, end=Sun Jun 26 19:40:47 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 19:40:47 BST 2016, end=Sun Jun 26 19:40:54 BST 2016, operations=1.0, operationsPerMinute=9.358914365933552
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 19:40:54 BST 2016, end=Sun Jun 26 19:41:14 BST 2016, operations=1.0, operationsPerMinute=2.988345452734336
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 19:41:14 BST 2016, end=Sun Jun 26 19:41:15 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 19:41:25 BST 2016, end=Sun Jun 26 19:43:25 BST 2016, operations=486.9699989018407, operationsPerMinute=243.48499945092036, mode=normal, start=Sun Jun 26 19:43:26 BST 2016, end=Sun Jun 26 19:47:26 BST 2016, operations=1010.4935143485134, operationsPerMinute=252.62337858712834
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 19:47:30 BST 2016, end=Sun Jun 26 19:49:30 BST 2016, operations=195.51690150068134, operationsPerMinute=97.75845075034067, mode=normal, start=Sun Jun 26 19:49:33 BST 2016, end=Sun Jun 26 19:53:33 BST 2016, operations=388.5544782891582, operationsPerMinute=97.13861957228956
benchmark-name=compress, mod=warmup, start=Sun Jun 26 19:53:37 BST 2016, end=Sun Jun 26 19:55:37 BST 2016, operations=400.43448043000876, operationsPerMinute=200.21724021500438, mode=normal, start=Sun Jun 26 19:55:39 BST 2016, end=Sun Jun 26 19:59:39 BST 2016, operations=799.9447437987641, operationsPerMinute=199.98618594969102
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 19:59:41 BST 2016, end=Sun Jun 26 20:01:41 BST 2016, operations=139.1998503299065, operationsPerMinute=69.59992516495325, mode=normal, start=Sun Jun 26 20:01:46 BST 2016, end=Sun Jun 26 20:05:46 BST 2016, operations=293.08012445485844, operationsPerMinute=73.27003111371461
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 20:05:52 BST 2016, end=Sun Jun 26 20:07:52 BST 2016, operations=234.64884281507042, operationsPerMinute=117.32442140753521, mode=normal, start=Sun Jun 26 20:07:55 BST 2016, end=Sun Jun 26 20:11:55 BST 2016, operations=467.3524295645112, operationsPerMinute=116.8381073911278
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 20:11:57 BST 2016, end=Sun Jun 26 20:13:57 BST 2016, operations=405.8320303829579, operationsPerMinute=202.91601519147895, mode=normal, start=Sun Jun 26 20:13:59 BST 2016, end=Sun Jun 26 20:17:59 BST 2016, operations=812.0639075073968, operationsPerMinute=203.0159768768492
benchmark-name=derby, mod=warmup, start=Sun Jun 26 20:18:22 BST 2016, end=Sun Jun 26 20:20:22 BST 2016, operations=364.92282974347717, operationsPerMinute=182.46141487173858, mode=normal, start=Sun Jun 26 20:20:24 BST 2016, end=Sun Jun 26 20:24:24 BST 2016, operations=732.3039779834719, operationsPerMinute=183.07599449586797
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 20:24:26 BST 2016, end=Sun Jun 26 20:26:26 BST 2016, operations=207.80512544154593, operationsPerMinute=103.90256272077296, mode=normal, start=Sun Jun 26 20:26:29 BST 2016, end=Sun Jun 26 20:30:29 BST 2016, operations=414.68347468343313, operationsPerMinute=103.67086867085828
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 20:30:33 BST 2016, end=Sun Jun 26 20:32:33 BST 2016, operations=70.29433039608328, operationsPerMinute=35.14716519804164, mode=normal, start=Sun Jun 26 20:32:41 BST 2016, end=Sun Jun 26 20:36:41 BST 2016, operations=152.70902599710433, operationsPerMinute=38.17725649927608
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 26 20:36:50 BST 2016, end=Sun Jun 26 20:38:50 BST 2016, operations=13.857201653570879, operationsPerMinute=6.9286008267854395, mode=normal, start=Sun Jun 26 20:39:34 BST 2016, end=Sun Jun 26 20:43:34 BST 2016, operations=27.425191496654374, operationsPerMinute=6.856297874163594
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 26 20:44:04 BST 2016, end=Sun Jun 26 20:46:04 BST 2016, operations=74.70677211386341, operationsPerMinute=37.353386056931704, mode=normal, start=Sun Jun 26 20:46:12 BST 2016, end=Sun Jun 26 20:50:12 BST 2016, operations=149.02344079949046, operationsPerMinute=37.255860199872615
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 26 20:50:22 BST 2016, end=Sun Jun 26 20:52:22 BST 2016, operations=43.27531267415301, operationsPerMinute=21.637656337076503, mode=normal, start=Sun Jun 26 20:52:33 BST 2016, end=Sun Jun 26 20:56:33 BST 2016, operations=86.58827772958777, operationsPerMinute=21.647069432396943
benchmark-name=scimark.fft.small, mod=warmup, start=Sun Jun 26 20:56:45 BST 2016, end=Sun Jun 26 20:58:45 BST 2016, operations=683.2636807369706, operationsPerMinute=341.6318403684853, mode=normal, start=Sun Jun 26 20:58:45 BST 2016, end=Sun Jun 26 21:02:45 BST 2016, operations=1407.6421730425204, operationsPerMinute=351.9105432606301
benchmark-name=scimark.lu.small, mod=warmup, start=Sun Jun 26 21:02:47 BST 2016, end=Sun Jun 26 21:04:47 BST 2016, operations=576.4004769885448, operationsPerMinute=288.2002384942724, mode=normal, start=Sun Jun 26 21:04:48 BST 2016, end=Sun Jun 26 21:08:48 BST 2016, operations=1151.4148999710146, operationsPerMinute=287.85372499275365
benchmark-name=scimark.sor.small, mod=warmup, start=Sun Jun 26 21:08:49 BST 2016, end=Sun Jun 26 21:10:49 BST 2016, operations=330.69932928017647, operationsPerMinute=165.34966464008824, mode=normal, start=Sun Jun 26 21:10:51 BST 2016, end=Sun Jun 26 21:14:51 BST 2016, operations=661.9473122672114, operationsPerMinute=165.48682806680284
benchmark-name=scimark.sparse.small, mod=warmup, start=Sun Jun 26 21:14:53 BST 2016, end=Sun Jun 26 21:16:53 BST 2016, operations=512.5670836374596, operationsPerMinute=256.2835418187298, mode=normal, start=Sun Jun 26 21:16:55 BST 2016, end=Sun Jun 26 21:20:55 BST 2016, operations=1023.8525641025641, operationsPerMinute=255.96314102564102
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sun Jun 26 21:20:57 BST 2016, end=Sun Jun 26 21:22:57 BST 2016, operations=119.5966735171476, operationsPerMinute=59.7983367585738, mode=normal, start=Sun Jun 26 21:23:01 BST 2016, end=Sun Jun 26 21:27:01 BST 2016, operations=239.90361997926067, operationsPerMinute=59.97590499481517
