spec.jvm2008.report.run.location=HULL14
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 16:06:41 BST 2016, end=Sat Jun 04 16:06:41 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:06:41 BST 2016, end=Sat Jun 04 16:06:41 BST 2016, operations=1.0, operationsPerMinute=384.61538461538464
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:06:41 BST 2016, end=Sat Jun 04 16:06:55 BST 2016, operations=1.0, operationsPerMinute=4.505857614899369
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:06:55 BST 2016, end=Sat Jun 04 16:06:58 BST 2016, operations=1.0, operationsPerMinute=17.809439002671414
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:06:58 BST 2016, end=Sat Jun 04 16:06:59 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:06:59 BST 2016, end=Sat Jun 04 16:07:08 BST 2016, operations=1.0, operationsPerMinute=7.105637138796779
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:07:08 BST 2016, end=Sat Jun 04 16:07:15 BST 2016, operations=1.0, operationsPerMinute=8.043973723019171
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:07:15 BST 2016, end=Sat Jun 04 16:07:22 BST 2016, operations=1.0, operationsPerMinute=9.24356801725466
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:07:22 BST 2016, end=Sat Jun 04 16:07:24 BST 2016, operations=1.0, operationsPerMinute=26.67852378835038
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:07:24 BST 2016, end=Sat Jun 04 16:07:25 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:07:25 BST 2016, end=Sat Jun 04 16:07:25 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:07:25 BST 2016, end=Sat Jun 04 16:07:31 BST 2016, operations=1.0, operationsPerMinute=10.865628395508873
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:07:31 BST 2016, end=Sat Jun 04 16:07:32 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:07:32 BST 2016, end=Sat Jun 04 16:07:33 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:07:33 BST 2016, end=Sat Jun 04 16:07:35 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:07:35 BST 2016, end=Sat Jun 04 16:07:42 BST 2016, operations=1.0, operationsPerMinute=9.354536950420954
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:07:42 BST 2016, end=Sat Jun 04 16:08:02 BST 2016, operations=1.0, operationsPerMinute=2.9694150252400275
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:08:02 BST 2016, end=Sat Jun 04 16:08:03 BST 2016, operations=1.0, operationsPerMinute=71.17437722419929
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:08:13 BST 2016, end=Sat Jun 04 16:10:13 BST 2016, operations=488.6009835432902, operationsPerMinute=244.3004917716451, mode=normal, start=Sat Jun 04 16:10:14 BST 2016, end=Sat Jun 04 16:14:14 BST 2016, operations=952.7818818719385, operationsPerMinute=238.19547046798462
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:14:18 BST 2016, end=Sat Jun 04 16:16:18 BST 2016, operations=181.44872100324886, operationsPerMinute=90.72436050162443, mode=normal, start=Sat Jun 04 16:16:22 BST 2016, end=Sat Jun 04 16:20:22 BST 2016, operations=381.48732836378997, operationsPerMinute=95.37183209094749
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:20:25 BST 2016, end=Sat Jun 04 16:22:25 BST 2016, operations=387.0523687526141, operationsPerMinute=193.52618437630704, mode=normal, start=Sat Jun 04 16:22:27 BST 2016, end=Sat Jun 04 16:26:27 BST 2016, operations=712.9481911843807, operationsPerMinute=178.23704779609517
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:26:30 BST 2016, end=Sat Jun 04 16:28:30 BST 2016, operations=137.91355215961573, operationsPerMinute=68.95677607980787, mode=normal, start=Sat Jun 04 16:28:35 BST 2016, end=Sat Jun 04 16:32:35 BST 2016, operations=290.4625924826752, operationsPerMinute=72.6156481206688
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:32:40 BST 2016, end=Sat Jun 04 16:34:40 BST 2016, operations=227.96567215377218, operationsPerMinute=113.98283607688609, mode=normal, start=Sat Jun 04 16:34:43 BST 2016, end=Sat Jun 04 16:38:43 BST 2016, operations=464.31112108392614, operationsPerMinute=116.07778027098153
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:38:46 BST 2016, end=Sat Jun 04 16:40:46 BST 2016, operations=401.76581196581196, operationsPerMinute=200.88290598290598, mode=normal, start=Sat Jun 04 16:40:48 BST 2016, end=Sat Jun 04 16:44:48 BST 2016, operations=803.3279165279165, operationsPerMinute=200.83197913197912
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:45:11 BST 2016, end=Sat Jun 04 16:47:11 BST 2016, operations=359.60730988399587, operationsPerMinute=179.80365494199793, mode=normal, start=Sat Jun 04 16:47:12 BST 2016, end=Sat Jun 04 16:51:12 BST 2016, operations=720.2950868578948, operationsPerMinute=180.0737717144737
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:51:14 BST 2016, end=Sat Jun 04 16:53:14 BST 2016, operations=205.6211235714366, operationsPerMinute=102.8105617857183, mode=normal, start=Sat Jun 04 16:53:18 BST 2016, end=Sat Jun 04 16:57:18 BST 2016, operations=408.75110176130255, operationsPerMinute=102.18777544032564
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 16:57:21 BST 2016, end=Sat Jun 04 16:59:21 BST 2016, operations=68.05739874453859, operationsPerMinute=34.028699372269294, mode=normal, start=Sat Jun 04 16:59:34 BST 2016, end=Sat Jun 04 17:03:34 BST 2016, operations=145.1656769540051, operationsPerMinute=36.29141923850128
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:03:42 BST 2016, end=Sat Jun 04 17:05:42 BST 2016, operations=13.695915596931775, operationsPerMinute=6.847957798465887, mode=normal, start=Sat Jun 04 17:06:28 BST 2016, end=Sat Jun 04 17:10:28 BST 2016, operations=26.822544129296315, operationsPerMinute=6.705636032324079
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:11:12 BST 2016, end=Sat Jun 04 17:13:12 BST 2016, operations=73.34911298097452, operationsPerMinute=36.67455649048726, mode=normal, start=Sat Jun 04 17:13:23 BST 2016, end=Sat Jun 04 17:17:23 BST 2016, operations=147.75694987009604, operationsPerMinute=36.93923746752401
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:17:34 BST 2016, end=Sat Jun 04 17:19:34 BST 2016, operations=42.613598991773344, operationsPerMinute=21.306799495886672, mode=normal, start=Sat Jun 04 17:19:46 BST 2016, end=Sat Jun 04 17:23:46 BST 2016, operations=85.90624264213648, operationsPerMinute=21.47656066053412
