spec.jvm2008.report.run.location=SUNSPACE07
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Tue Jun 28 21:40:50 BST 2016, end=Tue Jun 28 21:40:50 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 28 21:40:50 BST 2016, end=Tue Jun 28 21:40:51 BST 2016, operations=1.0, operationsPerMinute=113.20754716981132
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 28 21:40:51 BST 2016, end=Tue Jun 28 21:41:19 BST 2016, operations=1.0, operationsPerMinute=2.1062978305132347
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 28 21:41:19 BST 2016, end=Tue Jun 28 21:41:25 BST 2016, operations=1.0, operationsPerMinute=10.989010989010989
benchmark-name=startup.compress, mode=normal, start=Tue Jun 28 21:41:25 BST 2016, end=Tue Jun 28 21:41:26 BST 2016, operations=1.0, operationsPerMinute=37.71213073538655
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 28 21:41:26 BST 2016, end=Tue Jun 28 21:41:37 BST 2016, operations=1.0, operationsPerMinute=5.827505827505828
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 28 21:41:37 BST 2016, end=Tue Jun 28 21:41:45 BST 2016, operations=1.0, operationsPerMinute=6.993006993006993
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 28 21:41:45 BST 2016, end=Tue Jun 28 21:41:53 BST 2016, operations=1.0, operationsPerMinute=8.343763037129746
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 28 21:41:53 BST 2016, end=Tue Jun 28 21:41:56 BST 2016, operations=1.0, operationsPerMinute=19.5248942401562
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 28 21:41:56 BST 2016, end=Tue Jun 28 21:41:57 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 28 21:41:57 BST 2016, end=Tue Jun 28 21:41:58 BST 2016, operations=1.0, operationsPerMinute=49.958368026644465
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 28 21:41:58 BST 2016, end=Tue Jun 28 21:42:05 BST 2016, operations=1.0, operationsPerMinute=8.60461781155887
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 28 21:42:05 BST 2016, end=Tue Jun 28 21:42:06 BST 2016, operations=1.0, operationsPerMinute=35.27336860670194
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 28 21:42:06 BST 2016, end=Tue Jun 28 21:42:08 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.serial, mode=normal, start=Tue Jun 28 21:42:08 BST 2016, end=Tue Jun 28 21:42:11 BST 2016, operations=1.0, operationsPerMinute=19.828155981493722
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 28 21:42:11 BST 2016, end=Tue Jun 28 21:42:18 BST 2016, operations=1.0, operationsPerMinute=8.397480755773268
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 28 21:42:18 BST 2016, end=Tue Jun 28 21:42:46 BST 2016, operations=1.0, operationsPerMinute=2.127282396738167
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 28 21:42:46 BST 2016, end=Tue Jun 28 21:42:47 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 28 21:43:04 BST 2016, end=Tue Jun 28 21:45:04 BST 2016, operations=359.5786179584612, operationsPerMinute=179.7893089792306, mode=normal, start=Tue Jun 28 21:45:06 BST 2016, end=Tue Jun 28 21:49:06 BST 2016, operations=737.3119644629471, operationsPerMinute=184.32799111573678
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 28 21:49:12 BST 2016, end=Tue Jun 28 21:51:12 BST 2016, operations=133.75247989881032, operationsPerMinute=66.87623994940516, mode=normal, start=Tue Jun 28 21:51:17 BST 2016, end=Tue Jun 28 21:55:17 BST 2016, operations=264.51282791121423, operationsPerMinute=66.12820697780356
benchmark-name=compress, mod=warmup, start=Tue Jun 28 21:55:22 BST 2016, end=Tue Jun 28 21:57:22 BST 2016, operations=273.36160094739853, operationsPerMinute=136.68080047369926, mode=normal, start=Tue Jun 28 21:57:25 BST 2016, end=Tue Jun 28 22:01:25 BST 2016, operations=546.1368758352704, operationsPerMinute=136.5342189588176
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 28 22:01:28 BST 2016, end=Tue Jun 28 22:03:28 BST 2016, operations=85.2706996242622, operationsPerMinute=42.6353498121311, mode=normal, start=Tue Jun 28 22:03:37 BST 2016, end=Tue Jun 28 22:07:37 BST 2016, operations=180.61546263590822, operationsPerMinute=45.153865658977054
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 28 22:07:46 BST 2016, end=Tue Jun 28 22:09:46 BST 2016, operations=146.57153793853297, operationsPerMinute=73.28576896926648, mode=normal, start=Tue Jun 28 22:09:51 BST 2016, end=Tue Jun 28 22:13:51 BST 2016, operations=293.6356083788072, operationsPerMinute=73.4089020947018
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 28 22:13:56 BST 2016, end=Tue Jun 28 22:15:56 BST 2016, operations=253.3065288642619, operationsPerMinute=126.65326443213095, mode=normal, start=Tue Jun 28 22:15:59 BST 2016, end=Tue Jun 28 22:19:59 BST 2016, operations=508.0747863247863, operationsPerMinute=127.01869658119658
benchmark-name=derby, mod=warmup, start=Tue Jun 28 22:21:26 BST 2016, end=Tue Jun 28 22:23:26 BST 2016, operations=203.4145194398128, operationsPerMinute=101.7072597199064, mode=normal, start=Tue Jun 28 22:23:29 BST 2016, end=Tue Jun 28 22:27:29 BST 2016, operations=411.7981358079642, operationsPerMinute=102.94953395199104
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 28 22:27:32 BST 2016, end=Tue Jun 28 22:29:32 BST 2016, operations=134.93199436623289, operationsPerMinute=67.46599718311644, mode=normal, start=Tue Jun 28 22:29:36 BST 2016, end=Tue Jun 28 22:33:36 BST 2016, operations=270.93288591894157, operationsPerMinute=67.73322147973539
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 28 22:33:40 BST 2016, end=Tue Jun 28 22:35:40 BST 2016, operations=60.159244324612445, operationsPerMinute=30.079622162306222, mode=normal, start=Tue Jun 28 22:35:52 BST 2016, end=Tue Jun 28 22:39:52 BST 2016, operations=123.6433322162409, operationsPerMinute=30.910833054060227
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 28 22:39:59 BST 2016, end=Tue Jun 28 22:41:59 BST 2016, operations=11.579761536270162, operationsPerMinute=5.789880768135081, mode=normal, start=Tue Jun 28 22:42:34 BST 2016, end=Tue Jun 28 22:46:34 BST 2016, operations=23.209643859660055, operationsPerMinute=5.802410964915014
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 28 22:47:12 BST 2016, end=Tue Jun 28 22:49:12 BST 2016, operations=55.62966761597464, operationsPerMinute=27.81483380798732, mode=normal, start=Tue Jun 28 22:49:21 BST 2016, end=Tue Jun 28 22:53:21 BST 2016, operations=111.5102275857019, operationsPerMinute=27.877556896425475
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jun 28 22:53:31 BST 2016, end=Tue Jun 28 22:55:31 BST 2016, operations=37.495276204947245, operationsPerMinute=18.747638102473623, mode=normal, start=Tue Jun 28 22:55:48 BST 2016, end=Tue Jun 28 22:59:48 BST 2016, operations=75.00446145799461, operationsPerMinute=18.751115364498652
