spec.jvm2008.report.run.location=UNION35
spec.jvm2008.report.hw.cpu.name=Intel(R) Xeon(R) CPU E31270 @ 3.40GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=16341
benchmark-name=check, mode=normal, start=Sat Jun 04 16:06:59 BST 2016, end=Sat Jun 04 16:06:59 BST 2016, operations=1.0, operationsPerMinute=1224.4897959183672
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:06:59 BST 2016, end=Sat Jun 04 16:06:59 BST 2016, operations=1.0, operationsPerMinute=500.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:06:59 BST 2016, end=Sat Jun 04 16:07:20 BST 2016, operations=1.0, operationsPerMinute=2.896591677126581
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:07:20 BST 2016, end=Sat Jun 04 16:07:24 BST 2016, operations=1.0, operationsPerMinute=14.903129657228018
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:07:24 BST 2016, end=Sat Jun 04 16:07:25 BST 2016, operations=1.0, operationsPerMinute=42.04625087596356
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:07:25 BST 2016, end=Sat Jun 04 16:07:34 BST 2016, operations=1.0, operationsPerMinute=6.610841780520053
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:07:34 BST 2016, end=Sat Jun 04 16:07:42 BST 2016, operations=1.0, operationsPerMinute=7.745933384972889
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:07:42 BST 2016, end=Sat Jun 04 16:07:49 BST 2016, operations=1.0, operationsPerMinute=8.960573476702509
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:07:49 BST 2016, end=Sat Jun 04 16:07:52 BST 2016, operations=1.0, operationsPerMinute=21.969974368363236
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:07:52 BST 2016, end=Sat Jun 04 16:07:52 BST 2016, operations=1.0, operationsPerMinute=74.16563658838072
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:07:52 BST 2016, end=Sat Jun 04 16:07:54 BST 2016, operations=1.0, operationsPerMinute=53.475935828877006
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:07:54 BST 2016, end=Sat Jun 04 16:08:00 BST 2016, operations=1.0, operationsPerMinute=9.57548675390999
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:08:00 BST 2016, end=Sat Jun 04 16:08:01 BST 2016, operations=1.0, operationsPerMinute=38.58520900321543
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:08:01 BST 2016, end=Sat Jun 04 16:08:03 BST 2016, operations=1.0, operationsPerMinute=48.19277108433735
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:08:03 BST 2016, end=Sat Jun 04 16:08:05 BST 2016, operations=1.0, operationsPerMinute=22.263450834879407
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:08:05 BST 2016, end=Sat Jun 04 16:08:12 BST 2016, operations=1.0, operationsPerMinute=9.279307145066502
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:08:12 BST 2016, end=Sat Jun 04 16:08:37 BST 2016, operations=1.0, operationsPerMinute=2.371447768862891
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:08:37 BST 2016, end=Sat Jun 04 16:08:38 BST 2016, operations=1.0, operationsPerMinute=54.4464609800363
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:08:52 BST 2016, end=Sat Jun 04 16:10:52 BST 2016, operations=446.65797814526485, operationsPerMinute=223.32898907263242, mode=normal, start=Sat Jun 04 16:10:55 BST 2016, end=Sat Jun 04 16:14:55 BST 2016, operations=908.6508973434951, operationsPerMinute=227.16272433587378
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:15:02 BST 2016, end=Sat Jun 04 16:17:02 BST 2016, operations=175.9769729211609, operationsPerMinute=87.98848646058045, mode=normal, start=Sat Jun 04 16:17:09 BST 2016, end=Sat Jun 04 16:21:09 BST 2016, operations=359.8532795979667, operationsPerMinute=89.96331989949168
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:21:16 BST 2016, end=Sat Jun 04 16:23:16 BST 2016, operations=483.7772904744306, operationsPerMinute=241.8886452372153, mode=normal, start=Sat Jun 04 16:23:19 BST 2016, end=Sat Jun 04 16:27:19 BST 2016, operations=923.0812037636548, operationsPerMinute=230.7703009409137
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:27:23 BST 2016, end=Sat Jun 04 16:29:23 BST 2016, operations=111.91708543987589, operationsPerMinute=55.958542719937945, mode=normal, start=Sat Jun 04 16:29:34 BST 2016, end=Sat Jun 04 16:33:34 BST 2016, operations=258.15619339680705, operationsPerMinute=64.53904834920176
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:33:44 BST 2016, end=Sat Jun 04 16:35:44 BST 2016, operations=226.76867109286312, operationsPerMinute=113.38433554643156, mode=normal, start=Sat Jun 04 16:35:50 BST 2016, end=Sat Jun 04 16:39:50 BST 2016, operations=453.1101350188404, operationsPerMinute=113.2775337547101
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:39:57 BST 2016, end=Sat Jun 04 16:41:57 BST 2016, operations=392.14991002852383, operationsPerMinute=196.07495501426192, mode=normal, start=Sat Jun 04 16:42:01 BST 2016, end=Sat Jun 04 16:46:01 BST 2016, operations=768.1715251892032, operationsPerMinute=192.0428812973008
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:47:43 BST 2016, end=Sat Jun 04 16:49:43 BST 2016, operations=300.30888079410107, operationsPerMinute=150.15444039705054, mode=normal, start=Sat Jun 04 16:49:49 BST 2016, end=Sat Jun 04 16:53:49 BST 2016, operations=640.551954302411, operationsPerMinute=160.13798857560275
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:53:54 BST 2016, end=Sat Jun 04 16:55:54 BST 2016, operations=212.68701121658123, operationsPerMinute=106.34350560829061, mode=normal, start=Sat Jun 04 16:56:01 BST 2016, end=Sat Jun 04 17:00:01 BST 2016, operations=436.237856198365, operationsPerMinute=109.05946404959126
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 17:00:08 BST 2016, end=Sat Jun 04 17:02:08 BST 2016, operations=89.52233332830832, operationsPerMinute=44.76116666415416, mode=normal, start=Sat Jun 04 17:02:26 BST 2016, end=Sat Jun 04 17:06:26 BST 2016, operations=190.7999680488545, operationsPerMinute=47.69999201221363
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:06:38 BST 2016, end=Sat Jun 04 17:08:38 BST 2016, operations=20.738163404780543, operationsPerMinute=10.369081702390272, mode=normal, start=Sat Jun 04 17:09:37 BST 2016, end=Sat Jun 04 17:13:37 BST 2016, operations=41.24586667879327, operationsPerMinute=10.311466669698317
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:14:51 BST 2016, end=Sat Jun 04 17:16:51 BST 2016, operations=120.64372618972996, operationsPerMinute=60.32186309486498, mode=normal, start=Sat Jun 04 17:17:05 BST 2016, end=Sat Jun 04 17:21:05 BST 2016, operations=245.30604329286606, operationsPerMinute=61.326510823216516
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:21:19 BST 2016, end=Sat Jun 04 17:23:19 BST 2016, operations=63.103343687478116, operationsPerMinute=31.551671843739058, mode=normal, start=Sat Jun 04 17:23:34 BST 2016, end=Sat Jun 04 17:27:34 BST 2016, operations=126.25811592948894, operationsPerMinute=31.564528982372234
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 04 17:27:50 BST 2016, end=Sat Jun 04 17:29:50 BST 2016, operations=830.4651160741173, operationsPerMinute=415.23255803705865, mode=normal, start=Sat Jun 04 17:29:52 BST 2016, end=Sat Jun 04 17:33:52 BST 2016, operations=1674.5494647651658, operationsPerMinute=418.63736619129145
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jun 04 17:33:54 BST 2016, end=Sat Jun 04 17:35:54 BST 2016, operations=528.2735987225203, operationsPerMinute=264.13679936126016, mode=normal, start=Sat Jun 04 17:35:56 BST 2016, end=Sat Jun 04 17:39:56 BST 2016, operations=1056.411422031742, operationsPerMinute=264.1028555079355
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jun 04 17:39:59 BST 2016, end=Sat Jun 04 17:41:59 BST 2016, operations=618.4207976929897, operationsPerMinute=309.21039884649485, mode=normal, start=Sat Jun 04 17:42:02 BST 2016, end=Sat Jun 04 17:46:02 BST 2016, operations=1238.6626992371819, operationsPerMinute=309.66567480929547
benchmark-name=scimark.sparse.small, mod=warmup, start=Sat Jun 04 17:46:05 BST 2016, end=Sat Jun 04 17:48:05 BST 2016, operations=443.91701213643245, operationsPerMinute=221.95850606821622, mode=normal, start=Sat Jun 04 17:48:08 BST 2016, end=Sat Jun 04 17:52:08 BST 2016, operations=885.441294755092, operationsPerMinute=221.360323688773
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sat Jun 04 17:52:12 BST 2016, end=Sat Jun 04 17:54:12 BST 2016, operations=152.98481965828043, operationsPerMinute=76.49240982914021, mode=normal, start=Sat Jun 04 17:54:23 BST 2016, end=Sat Jun 04 17:58:23 BST 2016, operations=304.2573374330953, operationsPerMinute=76.06433435827383
benchmark-name=serial, mod=warmup, start=Sat Jun 04 17:58:33 BST 2016, end=Sat Jun 04 18:00:33 BST 2016, operations=224.48325195960857, operationsPerMinute=112.24162597980428, mode=normal, start=Sat Jun 04 18:00:41 BST 2016, end=Sat Jun 04 18:04:41 BST 2016, operations=447.0159447892581, operationsPerMinute=111.75398619731453
benchmark-name=sunflow, mod=warmup, start=Sat Jun 04 18:04:47 BST 2016, end=Sat Jun 04 18:06:47 BST 2016, operations=178.52196920080297, operationsPerMinute=89.26098460040149, mode=normal, start=Sat Jun 04 18:06:51 BST 2016, end=Sat Jun 04 18:10:51 BST 2016, operations=356.00734382256405, operationsPerMinute=89.00183595564101
benchmark-name=xml.transform, mod=warmup, start=Sat Jun 04 18:11:18 BST 2016, end=Sat Jun 04 18:13:18 BST 2016, operations=509.16545415073585, operationsPerMinute=254.58272707536793, mode=normal, start=Sat Jun 04 18:13:21 BST 2016, end=Sat Jun 04 18:17:21 BST 2016, operations=1016.5271093781157, operationsPerMinute=254.13177734452893
benchmark-name=xml.validation, mod=warmup, start=Sat Jun 04 18:17:25 BST 2016, end=Sat Jun 04 18:19:25 BST 2016, operations=645.4625728532799, operationsPerMinute=322.73128642663994, mode=normal, start=Sat Jun 04 18:19:27 BST 2016, end=Sat Jun 04 18:23:27 BST 2016, operations=1291.62929174258, operationsPerMinute=322.907322935645
