spec.jvm2008.report.run.location=BARN-17
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:02:36 BST 2016, end=Fri Jun 03 15:02:36 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:02:36 BST 2016, end=Fri Jun 03 15:02:36 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:02:36 BST 2016, end=Fri Jun 03 15:02:49 BST 2016, operations=1.0, operationsPerMinute=4.813863928112966
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:02:49 BST 2016, end=Fri Jun 03 15:02:52 BST 2016, operations=1.0, operationsPerMinute=18.58160421183029
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:02:52 BST 2016, end=Fri Jun 03 15:02:53 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:02:53 BST 2016, end=Fri Jun 03 15:03:02 BST 2016, operations=1.0, operationsPerMinute=7.070469007777516
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:03:02 BST 2016, end=Fri Jun 03 15:03:09 BST 2016, operations=1.0, operationsPerMinute=8.028904054596548
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:03:09 BST 2016, end=Fri Jun 03 15:03:16 BST 2016, operations=1.0, operationsPerMinute=8.92458723784025
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:03:16 BST 2016, end=Fri Jun 03 15:03:18 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:03:18 BST 2016, end=Fri Jun 03 15:03:19 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:03:19 BST 2016, end=Fri Jun 03 15:03:20 BST 2016, operations=1.0, operationsPerMinute=66.3716814159292
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:03:20 BST 2016, end=Fri Jun 03 15:03:25 BST 2016, operations=1.0, operationsPerMinute=10.895224260032686
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:03:25 BST 2016, end=Fri Jun 03 15:03:27 BST 2016, operations=1.0, operationsPerMinute=41.81184668989547
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:03:27 BST 2016, end=Fri Jun 03 15:03:28 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:03:28 BST 2016, end=Fri Jun 03 15:03:30 BST 2016, operations=1.0, operationsPerMinute=28.076743097800655
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:03:30 BST 2016, end=Fri Jun 03 15:03:36 BST 2016, operations=1.0, operationsPerMinute=9.426551453260016
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:03:36 BST 2016, end=Fri Jun 03 15:03:56 BST 2016, operations=1.0, operationsPerMinute=2.96545247862403
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:03:56 BST 2016, end=Fri Jun 03 15:03:57 BST 2016, operations=1.0, operationsPerMinute=73.89162561576354
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:04:07 BST 2016, end=Fri Jun 03 15:06:07 BST 2016, operations=481.335245735214, operationsPerMinute=240.667622867607, mode=normal, start=Fri Jun 03 15:06:09 BST 2016, end=Fri Jun 03 15:10:09 BST 2016, operations=1007.6997139680204, operationsPerMinute=251.9249284920051
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:10:12 BST 2016, end=Fri Jun 03 15:12:12 BST 2016, operations=197.69825010672247, operationsPerMinute=98.84912505336123, mode=normal, start=Fri Jun 03 15:12:16 BST 2016, end=Fri Jun 03 15:16:16 BST 2016, operations=391.50887152739745, operationsPerMinute=97.87721788184936
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:16:19 BST 2016, end=Fri Jun 03 15:18:19 BST 2016, operations=399.601587175653, operationsPerMinute=199.8007935878265, mode=normal, start=Fri Jun 03 15:18:21 BST 2016, end=Fri Jun 03 15:22:21 BST 2016, operations=799.0581787521079, operationsPerMinute=199.76454468802697
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:22:23 BST 2016, end=Fri Jun 03 15:24:23 BST 2016, operations=139.25307166594263, operationsPerMinute=69.62653583297131, mode=normal, start=Fri Jun 03 15:24:27 BST 2016, end=Fri Jun 03 15:28:27 BST 2016, operations=292.52669832846465, operationsPerMinute=73.13167458211616
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:28:32 BST 2016, end=Fri Jun 03 15:30:32 BST 2016, operations=236.4311796650743, operationsPerMinute=118.21558983253715, mode=normal, start=Fri Jun 03 15:30:35 BST 2016, end=Fri Jun 03 15:34:35 BST 2016, operations=470.8655914610954, operationsPerMinute=117.71639786527385
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:34:39 BST 2016, end=Fri Jun 03 15:36:39 BST 2016, operations=407.77566170011363, operationsPerMinute=203.88783085005682, mode=normal, start=Fri Jun 03 15:36:41 BST 2016, end=Fri Jun 03 15:40:41 BST 2016, operations=812.0086857817915, operationsPerMinute=203.00217144544789
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:41:03 BST 2016, end=Fri Jun 03 15:43:03 BST 2016, operations=358.7864828781977, operationsPerMinute=179.39324143909886, mode=normal, start=Fri Jun 03 15:43:05 BST 2016, end=Fri Jun 03 15:47:05 BST 2016, operations=723.8626355907949, operationsPerMinute=180.96565889769872
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:47:07 BST 2016, end=Fri Jun 03 15:49:07 BST 2016, operations=205.7957011520812, operationsPerMinute=102.8978505760406, mode=normal, start=Fri Jun 03 15:49:11 BST 2016, end=Fri Jun 03 15:53:11 BST 2016, operations=408.7266825543934, operationsPerMinute=102.18167063859835
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:53:15 BST 2016, end=Fri Jun 03 15:55:15 BST 2016, operations=72.28082733390656, operationsPerMinute=36.14041366695328, mode=normal, start=Fri Jun 03 15:55:23 BST 2016, end=Fri Jun 03 15:59:23 BST 2016, operations=147.75277338350702, operationsPerMinute=36.938193345876755
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 15:59:32 BST 2016, end=Fri Jun 03 16:01:32 BST 2016, operations=13.918687068243127, operationsPerMinute=6.9593435341215635, mode=normal, start=Fri Jun 03 16:02:17 BST 2016, end=Fri Jun 03 16:06:17 BST 2016, operations=27.98997670943765, operationsPerMinute=6.997494177359412
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:06:59 BST 2016, end=Fri Jun 03 16:08:59 BST 2016, operations=66.0432645328384, operationsPerMinute=33.0216322664192, mode=normal, start=Fri Jun 03 16:09:09 BST 2016, end=Fri Jun 03 16:13:09 BST 2016, operations=148.61008207949214, operationsPerMinute=37.152520519873036
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:13:21 BST 2016, end=Fri Jun 03 16:15:21 BST 2016, operations=42.17368243109237, operationsPerMinute=21.086841215546183, mode=normal, start=Fri Jun 03 16:15:34 BST 2016, end=Fri Jun 03 16:19:34 BST 2016, operations=83.9381393739667, operationsPerMinute=20.984534843491677
