spec.jvm2008.report.run.location=LEAZESTCE007
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 26 18:31:33 BST 2016, end=Sun Jun 26 18:31:33 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 18:31:33 BST 2016, end=Sun Jun 26 18:31:33 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 18:31:33 BST 2016, end=Sun Jun 26 18:31:46 BST 2016, operations=1.0, operationsPerMinute=4.667444574095683
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 18:31:46 BST 2016, end=Sun Jun 26 18:31:49 BST 2016, operations=1.0, operationsPerMinute=18.58160421183029
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 18:31:49 BST 2016, end=Sun Jun 26 18:31:51 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 18:31:51 BST 2016, end=Sun Jun 26 18:31:59 BST 2016, operations=1.0, operationsPerMinute=7.082989021367017
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 18:31:59 BST 2016, end=Sun Jun 26 18:32:07 BST 2016, operations=1.0, operationsPerMinute=7.962840079628401
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 18:32:07 BST 2016, end=Sun Jun 26 18:32:13 BST 2016, operations=1.0, operationsPerMinute=9.049773755656108
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 18:32:13 BST 2016, end=Sun Jun 26 18:32:15 BST 2016, operations=1.0, operationsPerMinute=26.89376961004034
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 18:32:15 BST 2016, end=Sun Jun 26 18:32:16 BST 2016, operations=1.0, operationsPerMinute=81.74386920980926
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 18:32:16 BST 2016, end=Sun Jun 26 18:32:17 BST 2016, operations=1.0, operationsPerMinute=66.3716814159292
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 18:32:17 BST 2016, end=Sun Jun 26 18:32:23 BST 2016, operations=1.0, operationsPerMinute=10.989010989010989
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 18:32:23 BST 2016, end=Sun Jun 26 18:32:24 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 18:32:24 BST 2016, end=Sun Jun 26 18:32:25 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 18:32:25 BST 2016, end=Sun Jun 26 18:32:27 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 18:32:27 BST 2016, end=Sun Jun 26 18:32:33 BST 2016, operations=1.0, operationsPerMinute=9.335615372646647
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 18:32:33 BST 2016, end=Sun Jun 26 18:32:54 BST 2016, operations=1.0, operationsPerMinute=2.949417490045716
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 18:32:54 BST 2016, end=Sun Jun 26 18:32:55 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 18:33:05 BST 2016, end=Sun Jun 26 18:35:05 BST 2016, operations=495.4390416164696, operationsPerMinute=247.7195208082348, mode=normal, start=Sun Jun 26 18:35:06 BST 2016, end=Sun Jun 26 18:39:06 BST 2016, operations=1001.228501917856, operationsPerMinute=250.307125479464
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 18:39:10 BST 2016, end=Sun Jun 26 18:41:10 BST 2016, operations=196.74703968727005, operationsPerMinute=98.37351984363502, mode=normal, start=Sun Jun 26 18:41:13 BST 2016, end=Sun Jun 26 18:45:13 BST 2016, operations=395.080894833917, operationsPerMinute=98.77022370847925
benchmark-name=compress, mod=warmup, start=Sun Jun 26 18:45:17 BST 2016, end=Sun Jun 26 18:47:17 BST 2016, operations=401.02782462057337, operationsPerMinute=200.51391231028668, mode=normal, start=Sun Jun 26 18:47:19 BST 2016, end=Sun Jun 26 18:51:19 BST 2016, operations=802.1370999045159, operationsPerMinute=200.53427497612898
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 18:51:20 BST 2016, end=Sun Jun 26 18:53:20 BST 2016, operations=140.0181295679635, operationsPerMinute=70.00906478398176, mode=normal, start=Sun Jun 26 18:53:26 BST 2016, end=Sun Jun 26 18:57:26 BST 2016, operations=293.2250153888268, operationsPerMinute=73.3062538472067
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 18:57:31 BST 2016, end=Sun Jun 26 18:59:31 BST 2016, operations=235.30322934008353, operationsPerMinute=117.65161467004177, mode=normal, start=Sun Jun 26 18:59:34 BST 2016, end=Sun Jun 26 19:03:34 BST 2016, operations=472.13608412250073, operationsPerMinute=118.03402103062518
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 19:03:38 BST 2016, end=Sun Jun 26 19:05:38 BST 2016, operations=407.6352704630951, operationsPerMinute=203.81763523154754, mode=normal, start=Sun Jun 26 19:05:39 BST 2016, end=Sun Jun 26 19:09:39 BST 2016, operations=815.8771450771451, operationsPerMinute=203.96928626928627
benchmark-name=derby, mod=warmup, start=Sun Jun 26 19:10:01 BST 2016, end=Sun Jun 26 19:12:01 BST 2016, operations=366.2503154330062, operationsPerMinute=183.1251577165031, mode=normal, start=Sun Jun 26 19:12:03 BST 2016, end=Sun Jun 26 19:16:03 BST 2016, operations=736.2418384845448, operationsPerMinute=184.0604596211362
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 19:16:05 BST 2016, end=Sun Jun 26 19:18:05 BST 2016, operations=208.27269573215568, operationsPerMinute=104.13634786607784, mode=normal, start=Sun Jun 26 19:18:09 BST 2016, end=Sun Jun 26 19:22:09 BST 2016, operations=411.67053994898, operationsPerMinute=102.917634987245
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 19:22:13 BST 2016, end=Sun Jun 26 19:24:13 BST 2016, operations=72.53079762778506, operationsPerMinute=36.26539881389253, mode=normal, start=Sun Jun 26 19:24:21 BST 2016, end=Sun Jun 26 19:28:21 BST 2016, operations=145.20459964795137, operationsPerMinute=36.30114991198784
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 26 19:28:31 BST 2016, end=Sun Jun 26 19:30:31 BST 2016, operations=13.85634990052262, operationsPerMinute=6.92817495026131, mode=normal, start=Sun Jun 26 19:31:15 BST 2016, end=Sun Jun 26 19:35:15 BST 2016, operations=27.708060924708985, operationsPerMinute=6.927015231177246
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 26 19:35:42 BST 2016, end=Sun Jun 26 19:37:42 BST 2016, operations=74.55046824757417, operationsPerMinute=37.27523412378709, mode=normal, start=Sun Jun 26 19:37:51 BST 2016, end=Sun Jun 26 19:41:51 BST 2016, operations=149.45825032816413, operationsPerMinute=37.36456258204103
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 26 19:42:02 BST 2016, end=Sun Jun 26 19:44:02 BST 2016, operations=42.4953540352086, operationsPerMinute=21.2476770176043, mode=normal, start=Sun Jun 26 19:44:15 BST 2016, end=Sun Jun 26 19:48:15 BST 2016, operations=85.98098573503015, operationsPerMinute=21.495246433757536
