spec.jvm2008.report.run.location=KRC023
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 19 00:40:43 BST 2016, end=Sun Jun 19 00:40:43 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:40:43 BST 2016, end=Sun Jun 19 00:40:43 BST 2016, operations=1.0, operationsPerMinute=425.531914893617
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:40:43 BST 2016, end=Sun Jun 19 00:41:03 BST 2016, operations=1.0, operationsPerMinute=3.0307622367025306
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:41:03 BST 2016, end=Sun Jun 19 00:41:08 BST 2016, operations=1.0, operationsPerMinute=10.595090941197245
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:41:08 BST 2016, end=Sun Jun 19 00:41:10 BST 2016, operations=1.0, operationsPerMinute=39.656311962987445
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:41:10 BST 2016, end=Sun Jun 19 00:41:19 BST 2016, operations=1.0, operationsPerMinute=6.642311524410495
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:41:19 BST 2016, end=Sun Jun 19 00:41:27 BST 2016, operations=1.0, operationsPerMinute=7.527286413248024
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:41:27 BST 2016, end=Sun Jun 19 00:41:34 BST 2016, operations=1.0, operationsPerMinute=8.820935019112026
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:41:34 BST 2016, end=Sun Jun 19 00:41:36 BST 2016, operations=1.0, operationsPerMinute=21.367521367521366
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:41:36 BST 2016, end=Sun Jun 19 00:41:37 BST 2016, operations=1.0, operationsPerMinute=69.93006993006993
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:41:37 BST 2016, end=Sun Jun 19 00:41:38 BST 2016, operations=1.0, operationsPerMinute=56.60377358490566
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:41:38 BST 2016, end=Sun Jun 19 00:41:45 BST 2016, operations=1.0, operationsPerMinute=9.66339185053954
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:41:45 BST 2016, end=Sun Jun 19 00:41:46 BST 2016, operations=1.0, operationsPerMinute=35.60830860534124
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:41:46 BST 2016, end=Sun Jun 19 00:41:47 BST 2016, operations=1.0, operationsPerMinute=50.5902192242833
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:41:47 BST 2016, end=Sun Jun 19 00:41:50 BST 2016, operations=1.0, operationsPerMinute=23.174971031286212
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:41:50 BST 2016, end=Sun Jun 19 00:41:57 BST 2016, operations=1.0, operationsPerMinute=8.56898029134533
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:41:57 BST 2016, end=Sun Jun 19 00:42:22 BST 2016, operations=1.0, operationsPerMinute=2.4466827060310727
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:42:22 BST 2016, end=Sun Jun 19 00:42:22 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:42:37 BST 2016, end=Sun Jun 19 00:44:37 BST 2016, operations=412.7082887232018, operationsPerMinute=206.3541443616009, mode=normal, start=Sun Jun 19 00:44:38 BST 2016, end=Sun Jun 19 00:48:38 BST 2016, operations=858.0692746625139, operationsPerMinute=214.51731866562847
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:48:43 BST 2016, end=Sun Jun 19 00:50:43 BST 2016, operations=179.3524750393202, operationsPerMinute=89.6762375196601, mode=normal, start=Sun Jun 19 00:50:46 BST 2016, end=Sun Jun 19 00:54:46 BST 2016, operations=350.98736291214414, operationsPerMinute=87.74684072803603
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:54:50 BST 2016, end=Sun Jun 19 00:56:50 BST 2016, operations=350.4881273544063, operationsPerMinute=175.24406367720314, mode=normal, start=Sun Jun 19 00:56:52 BST 2016, end=Sun Jun 19 01:00:52 BST 2016, operations=697.7332811377111, operationsPerMinute=174.43332028442777
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 01:00:54 BST 2016, end=Sun Jun 19 01:02:54 BST 2016, operations=122.32611658289537, operationsPerMinute=61.16305829144768, mode=normal, start=Sun Jun 19 01:02:59 BST 2016, end=Sun Jun 19 01:06:59 BST 2016, operations=260.64264249688404, operationsPerMinute=65.16066062422101
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:07:05 BST 2016, end=Sun Jun 19 01:09:05 BST 2016, operations=207.6782857589707, operationsPerMinute=103.83914287948535, mode=normal, start=Sun Jun 19 01:09:09 BST 2016, end=Sun Jun 19 01:13:09 BST 2016, operations=416.4381654998468, operationsPerMinute=104.1095413749617
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:13:12 BST 2016, end=Sun Jun 19 01:15:12 BST 2016, operations=361.4287281877655, operationsPerMinute=180.71436409388275, mode=normal, start=Sun Jun 19 01:15:14 BST 2016, end=Sun Jun 19 01:19:14 BST 2016, operations=714.2328729612948, operationsPerMinute=178.5582182403237
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:20:29 BST 2016, end=Sun Jun 19 01:22:29 BST 2016, operations=304.87203279463256, operationsPerMinute=152.43601639731628, mode=normal, start=Sun Jun 19 01:22:32 BST 2016, end=Sun Jun 19 01:26:32 BST 2016, operations=647.7618422801228, operationsPerMinute=161.9404605700307
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:26:35 BST 2016, end=Sun Jun 19 01:28:35 BST 2016, operations=186.34146592388961, operationsPerMinute=93.17073296194481, mode=normal, start=Sun Jun 19 01:28:39 BST 2016, end=Sun Jun 19 01:32:39 BST 2016, operations=373.2410889021496, operationsPerMinute=93.3102722255374
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:32:42 BST 2016, end=Sun Jun 19 01:34:42 BST 2016, operations=74.57941514337608, operationsPerMinute=37.28970757168804, mode=normal, start=Sun Jun 19 01:34:52 BST 2016, end=Sun Jun 19 01:38:52 BST 2016, operations=132.1890600247845, operationsPerMinute=33.04726500619613
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:39:02 BST 2016, end=Sun Jun 19 01:41:02 BST 2016, operations=11.217981222304033, operationsPerMinute=5.6089906111520165, mode=normal, start=Sun Jun 19 01:41:40 BST 2016, end=Sun Jun 19 01:45:40 BST 2016, operations=24.157852599707063, operationsPerMinute=6.039463149926766
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:46:34 BST 2016, end=Sun Jun 19 01:48:34 BST 2016, operations=66.86498400571334, operationsPerMinute=33.43249200285667, mode=normal, start=Sun Jun 19 01:48:43 BST 2016, end=Sun Jun 19 01:52:43 BST 2016, operations=115.835664640571, operationsPerMinute=28.95891616014275
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:52:52 BST 2016, end=Sun Jun 19 01:54:52 BST 2016, operations=40.856239426887214, operationsPerMinute=20.428119713443607, mode=normal, start=Sun Jun 19 01:55:10 BST 2016, end=Sun Jun 19 01:59:10 BST 2016, operations=81.90846401068708, operationsPerMinute=20.47711600267177
