spec.jvm2008.report.run.location=LAW012
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Mon Jun 27 10:49:57 BST 2016, end=Mon Jun 27 10:49:57 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 10:49:57 BST 2016, end=Mon Jun 27 10:49:57 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 10:49:57 BST 2016, end=Mon Jun 27 10:50:14 BST 2016, operations=1.0, operationsPerMinute=3.5316969803990816
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 10:50:14 BST 2016, end=Mon Jun 27 10:50:18 BST 2016, operations=1.0, operationsPerMinute=14.62701121404193
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 10:50:18 BST 2016, end=Mon Jun 27 10:50:20 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 10:50:20 BST 2016, end=Mon Jun 27 10:50:29 BST 2016, operations=1.0, operationsPerMinute=6.619593998234775
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 10:50:29 BST 2016, end=Mon Jun 27 10:50:36 BST 2016, operations=1.0, operationsPerMinute=7.616146230007616
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 10:50:36 BST 2016, end=Mon Jun 27 10:50:43 BST 2016, operations=1.0, operationsPerMinute=8.820935019112026
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 10:50:43 BST 2016, end=Mon Jun 27 10:50:46 BST 2016, operations=1.0, operationsPerMinute=22.363026462914647
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 10:50:46 BST 2016, end=Mon Jun 27 10:50:47 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 10:50:47 BST 2016, end=Mon Jun 27 10:50:48 BST 2016, operations=1.0, operationsPerMinute=54.151624548736464
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 10:50:48 BST 2016, end=Mon Jun 27 10:50:54 BST 2016, operations=1.0, operationsPerMinute=9.811937857726901
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 10:50:54 BST 2016, end=Mon Jun 27 10:50:56 BST 2016, operations=1.0, operationsPerMinute=38.83495145631068
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 10:50:56 BST 2016, end=Mon Jun 27 10:50:57 BST 2016, operations=1.0, operationsPerMinute=51.99306759098787
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 10:50:57 BST 2016, end=Mon Jun 27 10:50:59 BST 2016, operations=1.0, operationsPerMinute=23.032629558541267
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 10:50:59 BST 2016, end=Mon Jun 27 10:51:06 BST 2016, operations=1.0, operationsPerMinute=8.94454382826476
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 10:51:06 BST 2016, end=Mon Jun 27 10:51:31 BST 2016, operations=1.0, operationsPerMinute=2.3977940294928666
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 10:51:31 BST 2016, end=Mon Jun 27 10:51:32 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 10:51:45 BST 2016, end=Mon Jun 27 10:53:45 BST 2016, operations=415.8231170228907, operationsPerMinute=207.91155851144535, mode=normal, start=Mon Jun 27 10:53:46 BST 2016, end=Mon Jun 27 10:57:46 BST 2016, operations=868.852584949103, operationsPerMinute=217.21314623727574
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 10:57:51 BST 2016, end=Mon Jun 27 10:59:51 BST 2016, operations=169.94583586172408, operationsPerMinute=84.97291793086204, mode=normal, start=Mon Jun 27 10:59:55 BST 2016, end=Mon Jun 27 11:03:55 BST 2016, operations=336.6045069755672, operationsPerMinute=84.1511267438918
benchmark-name=compress, mod=warmup, start=Mon Jun 27 11:03:59 BST 2016, end=Mon Jun 27 11:05:59 BST 2016, operations=351.0417135895644, operationsPerMinute=175.5208567947822, mode=normal, start=Mon Jun 27 11:06:02 BST 2016, end=Mon Jun 27 11:10:02 BST 2016, operations=703.9202309005866, operationsPerMinute=175.98005772514665
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 11:10:04 BST 2016, end=Mon Jun 27 11:12:04 BST 2016, operations=116.12393775395007, operationsPerMinute=58.06196887697504, mode=normal, start=Mon Jun 27 11:12:10 BST 2016, end=Mon Jun 27 11:16:10 BST 2016, operations=244.79547884619916, operationsPerMinute=61.19886971154979
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 11:16:16 BST 2016, end=Mon Jun 27 11:18:16 BST 2016, operations=205.1976368754807, operationsPerMinute=102.59881843774035, mode=normal, start=Mon Jun 27 11:18:20 BST 2016, end=Mon Jun 27 11:22:20 BST 2016, operations=410.3652738046597, operationsPerMinute=102.59131845116492
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 11:22:25 BST 2016, end=Mon Jun 27 11:24:25 BST 2016, operations=351.1308020638709, operationsPerMinute=175.56540103193544, mode=normal, start=Mon Jun 27 11:24:27 BST 2016, end=Mon Jun 27 11:28:27 BST 2016, operations=704.5193402154922, operationsPerMinute=176.12983505387305
benchmark-name=derby, mod=warmup, start=Mon Jun 27 11:29:26 BST 2016, end=Mon Jun 27 11:31:26 BST 2016, operations=264.01976850279885, operationsPerMinute=132.00988425139943, mode=normal, start=Mon Jun 27 11:31:29 BST 2016, end=Mon Jun 27 11:35:29 BST 2016, operations=529.8197461875757, operationsPerMinute=132.45493654689392
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 11:35:32 BST 2016, end=Mon Jun 27 11:37:32 BST 2016, operations=161.48215914679758, operationsPerMinute=80.74107957339879, mode=normal, start=Mon Jun 27 11:37:39 BST 2016, end=Mon Jun 27 11:41:39 BST 2016, operations=154.87500432654448, operationsPerMinute=38.71875108163612
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 11:41:45 BST 2016, end=Mon Jun 27 11:43:45 BST 2016, operations=93.4388999159558, operationsPerMinute=46.7194499579779, mode=normal, start=Mon Jun 27 11:44:26 BST 2016, end=Mon Jun 27 11:48:26 BST 2016, operations=197.9600773005193, operationsPerMinute=49.49001932512982
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 11:48:32 BST 2016, end=Mon Jun 27 11:50:32 BST 2016, operations=22.48164129254374, operationsPerMinute=11.24082064627187, mode=normal, start=Mon Jun 27 11:50:56 BST 2016, end=Mon Jun 27 11:54:56 BST 2016, operations=45.11279041307195, operationsPerMinute=11.278197603267987
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 11:55:27 BST 2016, end=Mon Jun 27 11:57:27 BST 2016, operations=69.5543221216902, operationsPerMinute=34.7771610608451, mode=normal, start=Mon Jun 27 11:57:38 BST 2016, end=Mon Jun 27 12:01:38 BST 2016, operations=138.99907220109935, operationsPerMinute=34.74976805027484
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 12:01:46 BST 2016, end=Mon Jun 27 12:03:46 BST 2016, operations=75.16674596232221, operationsPerMinute=37.583372981161105, mode=normal, start=Mon Jun 27 12:03:54 BST 2016, end=Mon Jun 27 12:07:54 BST 2016, operations=150.74965787019835, operationsPerMinute=37.68741446754959
benchmark-name=scimark.fft.small, mod=warmup, start=Mon Jun 27 12:08:02 BST 2016, end=Mon Jun 27 12:10:02 BST 2016, operations=573.7654098449759, operationsPerMinute=286.88270492248796, mode=normal, start=Mon Jun 27 12:10:03 BST 2016, end=Mon Jun 27 12:14:03 BST 2016, operations=1175.4285299633598, operationsPerMinute=293.85713249083994
benchmark-name=scimark.lu.small, mod=warmup, start=Mon Jun 27 12:14:04 BST 2016, end=Mon Jun 27 12:16:04 BST 2016, operations=463.1691450882974, operationsPerMinute=231.5845725441487, mode=normal, start=Mon Jun 27 12:16:06 BST 2016, end=Mon Jun 27 12:20:06 BST 2016, operations=926.4628195888488, operationsPerMinute=231.6157048972122
benchmark-name=scimark.sor.small, mod=warmup, start=Mon Jun 27 12:20:08 BST 2016, end=Mon Jun 27 12:22:08 BST 2016, operations=300.63372243089526, operationsPerMinute=150.31686121544763, mode=normal, start=Mon Jun 27 12:22:10 BST 2016, end=Mon Jun 27 12:26:10 BST 2016, operations=600.560644420508, operationsPerMinute=150.140161105127
benchmark-name=scimark.sparse.small, mod=warmup, start=Mon Jun 27 12:26:13 BST 2016, end=Mon Jun 27 12:28:13 BST 2016, operations=431.61907324247727, operationsPerMinute=215.80953662123864, mode=normal, start=Mon Jun 27 12:28:15 BST 2016, end=Mon Jun 27 12:32:15 BST 2016, operations=864.7681893918356, operationsPerMinute=216.1920473479589
benchmark-name=scimark.monte_carlo, mod=warmup, start=Mon Jun 27 12:32:17 BST 2016, end=Mon Jun 27 12:34:17 BST 2016, operations=97.0992136665518, operationsPerMinute=48.5496068332759, mode=normal, start=Mon Jun 27 12:34:25 BST 2016, end=Mon Jun 27 12:38:25 BST 2016, operations=194.0152191560374, operationsPerMinute=48.50380478900935
benchmark-name=serial, mod=warmup, start=Mon Jun 27 12:38:34 BST 2016, end=Mon Jun 27 12:40:34 BST 2016, operations=190.19434257826765, operationsPerMinute=95.09717128913383, mode=normal, start=Mon Jun 27 12:40:38 BST 2016, end=Mon Jun 27 12:44:38 BST 2016, operations=378.7889395656257, operationsPerMinute=94.69723489140642
benchmark-name=sunflow, mod=warmup, start=Mon Jun 27 12:44:42 BST 2016, end=Mon Jun 27 12:46:42 BST 2016, operations=137.83039991308203, operationsPerMinute=68.91519995654102, mode=normal, start=Mon Jun 27 12:46:44 BST 2016, end=Mon Jun 27 12:50:44 BST 2016, operations=277.9778264651259, operationsPerMinute=69.49445661628147
benchmark-name=xml.transform, mod=warmup, start=Mon Jun 27 12:51:10 BST 2016, end=Mon Jun 27 12:53:10 BST 2016, operations=417.3663923531351, operationsPerMinute=208.68319617656755, mode=normal, start=Mon Jun 27 12:53:12 BST 2016, end=Mon Jun 27 12:57:12 BST 2016, operations=875.6292881945352, operationsPerMinute=218.9073220486338
benchmark-name=xml.validation, mod=warmup, start=Mon Jun 27 12:57:14 BST 2016, end=Mon Jun 27 12:59:14 BST 2016, operations=662.7032540007431, operationsPerMinute=331.35162700037154, mode=normal, start=Mon Jun 27 12:59:15 BST 2016, end=Mon Jun 27 13:03:15 BST 2016, operations=1324.8378624403576, operationsPerMinute=331.2094656100894
