spec.jvm2008.report.run.location=GREY-02
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 05:53:23 BST 2016, end=Mon Jul 04 05:53:23 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Mon Jul 04 05:53:23 BST 2016, end=Mon Jul 04 05:53:23 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jul 04 05:53:23 BST 2016, end=Mon Jul 04 05:53:37 BST 2016, operations=1.0, operationsPerMinute=4.451699065143196
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jul 04 05:53:37 BST 2016, end=Mon Jul 04 05:53:40 BST 2016, operations=1.0, operationsPerMinute=17.80415430267062
benchmark-name=startup.compress, mode=normal, start=Mon Jul 04 05:53:40 BST 2016, end=Mon Jul 04 05:53:41 BST 2016, operations=1.0, operationsPerMinute=45.80152671755725
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jul 04 05:53:41 BST 2016, end=Mon Jul 04 05:53:50 BST 2016, operations=1.0, operationsPerMinute=7.005253940455342
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jul 04 05:53:50 BST 2016, end=Mon Jul 04 05:53:58 BST 2016, operations=1.0, operationsPerMinute=7.882291119285339
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jul 04 05:53:58 BST 2016, end=Mon Jul 04 05:54:04 BST 2016, operations=1.0, operationsPerMinute=8.882309400444116
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jul 04 05:54:04 BST 2016, end=Mon Jul 04 05:54:07 BST 2016, operations=1.0, operationsPerMinute=25.29510961214165
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jul 04 05:54:07 BST 2016, end=Mon Jul 04 05:54:08 BST 2016, operations=1.0, operationsPerMinute=80.21390374331551
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jul 04 05:54:08 BST 2016, end=Mon Jul 04 05:54:08 BST 2016, operations=1.0, operationsPerMinute=63.02521008403362
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jul 04 05:54:08 BST 2016, end=Mon Jul 04 05:54:14 BST 2016, operations=1.0, operationsPerMinute=10.395010395010395
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jul 04 05:54:14 BST 2016, end=Mon Jul 04 05:54:16 BST 2016, operations=1.0, operationsPerMinute=40.48582995951417
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jul 04 05:54:16 BST 2016, end=Mon Jul 04 05:54:17 BST 2016, operations=1.0, operationsPerMinute=59.171597633136095
benchmark-name=startup.serial, mode=normal, start=Mon Jul 04 05:54:17 BST 2016, end=Mon Jul 04 05:54:19 BST 2016, operations=1.0, operationsPerMinute=27.08803611738149
benchmark-name=startup.sunflow, mode=normal, start=Mon Jul 04 05:54:19 BST 2016, end=Mon Jul 04 05:54:26 BST 2016, operations=1.0, operationsPerMinute=8.986071589036992
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jul 04 05:54:26 BST 2016, end=Mon Jul 04 05:54:47 BST 2016, operations=1.0, operationsPerMinute=2.849002849002849
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jul 04 05:54:47 BST 2016, end=Mon Jul 04 05:54:48 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jul 04 05:54:58 BST 2016, end=Mon Jul 04 05:56:58 BST 2016, operations=441.61470363487445, operationsPerMinute=220.80735181743722, mode=normal, start=Mon Jul 04 05:56:59 BST 2016, end=Mon Jul 04 06:00:59 BST 2016, operations=887.9876747466802, operationsPerMinute=221.99691868667006
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jul 04 06:01:04 BST 2016, end=Mon Jul 04 06:03:04 BST 2016, operations=176.34379468214604, operationsPerMinute=88.17189734107302, mode=normal, start=Mon Jul 04 06:03:07 BST 2016, end=Mon Jul 04 06:07:07 BST 2016, operations=354.0060295813445, operationsPerMinute=88.50150739533612
benchmark-name=compress, mod=warmup, start=Mon Jul 04 06:07:10 BST 2016, end=Mon Jul 04 06:09:10 BST 2016, operations=296.0438174862648, operationsPerMinute=148.0219087431324, mode=normal, start=Mon Jul 04 06:09:13 BST 2016, end=Mon Jul 04 06:13:13 BST 2016, operations=431.1794143905006, operationsPerMinute=107.79485359762515
benchmark-name=crypto.aes, mod=warmup, start=Mon Jul 04 06:13:22 BST 2016, end=Mon Jul 04 06:15:22 BST 2016, operations=105.3766211401215, operationsPerMinute=52.68831057006075, mode=normal, start=Mon Jul 04 06:15:27 BST 2016, end=Mon Jul 04 06:19:27 BST 2016, operations=222.44076994232873, operationsPerMinute=55.61019248558218
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jul 04 06:19:36 BST 2016, end=Mon Jul 04 06:21:36 BST 2016, operations=176.10094475125447, operationsPerMinute=88.05047237562724, mode=normal, start=Mon Jul 04 06:21:39 BST 2016, end=Mon Jul 04 06:25:39 BST 2016, operations=291.6018602895752, operationsPerMinute=72.9004650723938
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jul 04 06:26:10 BST 2016, end=Mon Jul 04 06:28:10 BST 2016, operations=306.3326831343178, operationsPerMinute=153.1663415671589, mode=normal, start=Mon Jul 04 06:28:13 BST 2016, end=Mon Jul 04 06:32:13 BST 2016, operations=611.9037650146101, operationsPerMinute=152.97594125365254
benchmark-name=derby, mod=warmup, start=Mon Jul 04 06:32:35 BST 2016, end=Mon Jul 04 06:34:35 BST 2016, operations=272.91580704241994, operationsPerMinute=136.45790352120997, mode=normal, start=Mon Jul 04 06:34:38 BST 2016, end=Mon Jul 04 06:38:38 BST 2016, operations=548.8224775860663, operationsPerMinute=137.20561939651657
benchmark-name=mpegaudio, mod=warmup, start=Mon Jul 04 06:38:40 BST 2016, end=Mon Jul 04 06:40:40 BST 2016, operations=154.13631232077825, operationsPerMinute=77.06815616038912, mode=normal, start=Mon Jul 04 06:40:46 BST 2016, end=Mon Jul 04 06:44:46 BST 2016, operations=236.95823604892541, operationsPerMinute=59.239559012231354
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jul 04 06:44:51 BST 2016, end=Mon Jul 04 06:46:51 BST 2016, operations=34.067151888765935, operationsPerMinute=17.033575944382967, mode=normal, start=Mon Jul 04 06:47:00 BST 2016, end=Mon Jul 04 06:51:00 BST 2016, operations=115.30146687791616, operationsPerMinute=28.82536671947904
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jul 04 06:51:42 BST 2016, end=Mon Jul 04 06:53:42 BST 2016, operations=12.429165486441137, operationsPerMinute=6.214582743220569, mode=normal, start=Mon Jul 04 06:55:08 BST 2016, end=Mon Jul 04 06:59:08 BST 2016, operations=28.266024794141686, operationsPerMinute=7.066506198535421
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jul 04 07:00:24 BST 2016, end=Mon Jul 04 07:02:24 BST 2016, operations=57.162751262032344, operationsPerMinute=28.581375631016172, mode=normal, start=Mon Jul 04 07:02:37 BST 2016, end=Mon Jul 04 07:06:37 BST 2016, operations=112.25812754511281, operationsPerMinute=28.064531886278203
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jul 04 07:07:55 BST 2016, end=Mon Jul 04 07:09:55 BST 2016, operations=43.84499059731307, operationsPerMinute=21.922495298656536, mode=normal, start=Mon Jul 04 07:10:07 BST 2016, end=Mon Jul 04 07:14:07 BST 2016, operations=77.94536691566783, operationsPerMinute=19.48634172891696
