spec.jvm2008.report.run.location=RIDLEY2B005
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 25 06:45:18 BST 2016, end=Sat Jun 25 06:45:18 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 06:45:18 BST 2016, end=Sat Jun 25 06:45:18 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 06:45:18 BST 2016, end=Sat Jun 25 06:45:31 BST 2016, operations=1.0, operationsPerMinute=4.656577415599535
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 06:45:31 BST 2016, end=Sat Jun 25 06:45:34 BST 2016, operations=1.0, operationsPerMinute=18.39926402943882
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 06:45:34 BST 2016, end=Sat Jun 25 06:45:36 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 06:45:36 BST 2016, end=Sat Jun 25 06:45:44 BST 2016, operations=1.0, operationsPerMinute=7.095553453169347
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 06:45:44 BST 2016, end=Sat Jun 25 06:45:52 BST 2016, operations=1.0, operationsPerMinute=7.947019867549669
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 06:45:52 BST 2016, end=Sat Jun 25 06:45:58 BST 2016, operations=1.0, operationsPerMinute=8.94454382826476
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 06:45:58 BST 2016, end=Sat Jun 25 06:46:01 BST 2016, operations=1.0, operationsPerMinute=25.641025641025642
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 06:46:01 BST 2016, end=Sat Jun 25 06:46:01 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 06:46:01 BST 2016, end=Sat Jun 25 06:46:02 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 06:46:02 BST 2016, end=Sat Jun 25 06:46:08 BST 2016, operations=1.0, operationsPerMinute=10.863661053775122
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 06:46:08 BST 2016, end=Sat Jun 25 06:46:09 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 06:46:09 BST 2016, end=Sat Jun 25 06:46:10 BST 2016, operations=1.0, operationsPerMinute=60.06006006006006
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 06:46:10 BST 2016, end=Sat Jun 25 06:46:12 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 06:46:12 BST 2016, end=Sat Jun 25 06:46:19 BST 2016, operations=1.0, operationsPerMinute=9.335615372646647
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 06:46:19 BST 2016, end=Sat Jun 25 06:46:39 BST 2016, operations=1.0, operationsPerMinute=2.963109289347622
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 06:46:39 BST 2016, end=Sat Jun 25 06:46:40 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 06:46:50 BST 2016, end=Sat Jun 25 06:48:50 BST 2016, operations=487.70764480130134, operationsPerMinute=243.85382240065067, mode=normal, start=Sat Jun 25 06:48:51 BST 2016, end=Sat Jun 25 06:52:51 BST 2016, operations=994.8918042568885, operationsPerMinute=248.72295106422212
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 06:52:55 BST 2016, end=Sat Jun 25 06:54:55 BST 2016, operations=198.73505094477133, operationsPerMinute=99.36752547238567, mode=normal, start=Sat Jun 25 06:54:58 BST 2016, end=Sat Jun 25 06:58:58 BST 2016, operations=395.38414667317124, operationsPerMinute=98.84603666829281
benchmark-name=compress, mod=warmup, start=Sat Jun 25 06:59:02 BST 2016, end=Sat Jun 25 07:01:02 BST 2016, operations=396.6063133597903, operationsPerMinute=198.30315667989515, mode=normal, start=Sat Jun 25 07:01:04 BST 2016, end=Sat Jun 25 07:05:04 BST 2016, operations=793.7378640844021, operationsPerMinute=198.43446602110052
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 07:05:06 BST 2016, end=Sat Jun 25 07:07:06 BST 2016, operations=138.4291834505851, operationsPerMinute=69.21459172529255, mode=normal, start=Sat Jun 25 07:07:12 BST 2016, end=Sat Jun 25 07:11:12 BST 2016, operations=293.31542687628877, operationsPerMinute=73.32885671907219
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 07:11:17 BST 2016, end=Sat Jun 25 07:13:17 BST 2016, operations=237.4870973605056, operationsPerMinute=118.7435486802528, mode=normal, start=Sat Jun 25 07:13:20 BST 2016, end=Sat Jun 25 07:17:20 BST 2016, operations=473.541083568153, operationsPerMinute=118.38527089203825
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 07:17:23 BST 2016, end=Sat Jun 25 07:19:23 BST 2016, operations=405.26227079330823, operationsPerMinute=202.63113539665412, mode=normal, start=Sat Jun 25 07:19:25 BST 2016, end=Sat Jun 25 07:23:25 BST 2016, operations=799.6139571421733, operationsPerMinute=199.90348928554332
benchmark-name=derby, mod=warmup, start=Sat Jun 25 07:23:49 BST 2016, end=Sat Jun 25 07:25:49 BST 2016, operations=361.77687571314897, operationsPerMinute=180.88843785657448, mode=normal, start=Sat Jun 25 07:25:51 BST 2016, end=Sat Jun 25 07:29:51 BST 2016, operations=713.2006939634052, operationsPerMinute=178.3001734908513
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 07:29:53 BST 2016, end=Sat Jun 25 07:31:53 BST 2016, operations=203.54706232714048, operationsPerMinute=101.77353116357024, mode=normal, start=Sat Jun 25 07:31:57 BST 2016, end=Sat Jun 25 07:35:57 BST 2016, operations=408.0716621936187, operationsPerMinute=102.01791554840467
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 07:36:01 BST 2016, end=Sat Jun 25 07:38:01 BST 2016, operations=71.40684407415921, operationsPerMinute=35.703422037079605, mode=normal, start=Sat Jun 25 07:38:09 BST 2016, end=Sat Jun 25 07:42:09 BST 2016, operations=142.66300942184023, operationsPerMinute=35.66575235546006
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 07:42:18 BST 2016, end=Sat Jun 25 07:44:18 BST 2016, operations=13.8561645753596, operationsPerMinute=6.9280822876798, mode=normal, start=Sat Jun 25 07:45:03 BST 2016, end=Sat Jun 25 07:49:03 BST 2016, operations=27.703740313090115, operationsPerMinute=6.925935078272529
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 07:49:31 BST 2016, end=Sat Jun 25 07:51:31 BST 2016, operations=74.18526265966828, operationsPerMinute=37.09263132983414, mode=normal, start=Sat Jun 25 07:51:40 BST 2016, end=Sat Jun 25 07:55:40 BST 2016, operations=148.2517823560638, operationsPerMinute=37.06294558901595
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 07:55:52 BST 2016, end=Sat Jun 25 07:57:52 BST 2016, operations=43.12522591813156, operationsPerMinute=21.56261295906578, mode=normal, start=Sat Jun 25 07:58:03 BST 2016, end=Sat Jun 25 08:02:03 BST 2016, operations=85.4945422851922, operationsPerMinute=21.37363557129805
