spec.jvm2008.report.run.location=UNION29
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:21:34 BST 2016, end=Thu May 26 14:21:34 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:21:34 BST 2016, end=Thu May 26 14:21:35 BST 2016, operations=1.0, operationsPerMinute=60.06006006006006
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:21:35 BST 2016, end=Thu May 26 14:22:15 BST 2016, operations=1.0, operationsPerMinute=1.511258878645912
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:22:15 BST 2016, end=Thu May 26 14:22:23 BST 2016, operations=1.0, operationsPerMinute=7.109004739336493
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:22:23 BST 2016, end=Thu May 26 14:22:25 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:22:25 BST 2016, end=Thu May 26 14:22:34 BST 2016, operations=1.0, operationsPerMinute=6.233766233766234
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:22:34 BST 2016, end=Thu May 26 14:22:42 BST 2016, operations=1.0, operationsPerMinute=7.453416149068323
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:22:42 BST 2016, end=Thu May 26 14:22:49 BST 2016, operations=1.0, operationsPerMinute=8.780916142250842
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:22:49 BST 2016, end=Thu May 26 14:22:52 BST 2016, operations=1.0, operationsPerMinute=22.099447513812155
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:22:52 BST 2016, end=Thu May 26 14:22:53 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:22:53 BST 2016, end=Thu May 26 14:22:54 BST 2016, operations=1.0, operationsPerMinute=56.550424128180964
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:22:54 BST 2016, end=Thu May 26 14:23:00 BST 2016, operations=1.0, operationsPerMinute=9.861932938856016
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:23:00 BST 2016, end=Thu May 26 14:23:01 BST 2016, operations=1.0, operationsPerMinute=40.08016032064128
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:23:01 BST 2016, end=Thu May 26 14:23:03 BST 2016, operations=1.0, operationsPerMinute=49.91680532445923
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:23:03 BST 2016, end=Thu May 26 14:23:05 BST 2016, operations=1.0, operationsPerMinute=22.624434389140273
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:23:05 BST 2016, end=Thu May 26 14:23:12 BST 2016, operations=1.0, operationsPerMinute=8.566533409480297
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:23:12 BST 2016, end=Thu May 26 14:23:37 BST 2016, operations=1.0, operationsPerMinute=2.397889856925905
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:23:37 BST 2016, end=Thu May 26 14:23:39 BST 2016, operations=1.0, operationsPerMinute=46.36785162287481
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:23:54 BST 2016, end=Thu May 26 14:25:54 BST 2016, operations=455.3462093807618, operationsPerMinute=227.6731046903809, mode=normal, start=Thu May 26 14:25:57 BST 2016, end=Thu May 26 14:29:57 BST 2016, operations=877.6093843023989, operationsPerMinute=219.40234607559972
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:30:05 BST 2016, end=Thu May 26 14:32:05 BST 2016, operations=171.11203655978446, operationsPerMinute=85.55601827989223, mode=normal, start=Thu May 26 14:32:12 BST 2016, end=Thu May 26 14:36:12 BST 2016, operations=348.29146392968977, operationsPerMinute=87.07286598242244
benchmark-name=compress, mod=warmup, start=Thu May 26 14:36:19 BST 2016, end=Thu May 26 14:38:19 BST 2016, operations=485.78614880819833, operationsPerMinute=242.89307440409917, mode=normal, start=Thu May 26 14:38:22 BST 2016, end=Thu May 26 14:42:22 BST 2016, operations=975.4131083638665, operationsPerMinute=243.85327709096663
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:42:25 BST 2016, end=Thu May 26 14:44:25 BST 2016, operations=128.1797087528732, operationsPerMinute=64.0898543764366, mode=normal, start=Thu May 26 14:44:36 BST 2016, end=Thu May 26 14:48:36 BST 2016, operations=264.7961991672836, operationsPerMinute=66.1990497918209
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:48:48 BST 2016, end=Thu May 26 14:50:48 BST 2016, operations=205.29580971459237, operationsPerMinute=102.64790485729618, mode=normal, start=Thu May 26 14:50:56 BST 2016, end=Thu May 26 14:54:56 BST 2016, operations=441.0772460678986, operationsPerMinute=110.26931151697465
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:55:02 BST 2016, end=Thu May 26 14:57:02 BST 2016, operations=389.05472372001316, operationsPerMinute=194.52736186000658, mode=normal, start=Thu May 26 14:57:06 BST 2016, end=Thu May 26 15:01:06 BST 2016, operations=794.3247635155561, operationsPerMinute=198.58119087888903
benchmark-name=derby, mod=warmup, start=Thu May 26 15:02:50 BST 2016, end=Thu May 26 15:04:50 BST 2016, operations=319.48842375484503, operationsPerMinute=159.74421187742252, mode=normal, start=Thu May 26 15:04:55 BST 2016, end=Thu May 26 15:08:55 BST 2016, operations=615.9788294325726, operationsPerMinute=153.99470735814316
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:09:48 BST 2016, end=Thu May 26 15:11:48 BST 2016, operations=113.62598066106378, operationsPerMinute=56.81299033053189, mode=normal, start=Thu May 26 15:12:14 BST 2016, end=Thu May 26 15:16:14 BST 2016, operations=142.8982304326762, operationsPerMinute=35.72455760816905
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:16:36 BST 2016, end=Thu May 26 15:18:36 BST 2016, operations=89.9137807873458, operationsPerMinute=44.9568903936729, mode=normal, start=Thu May 26 15:18:51 BST 2016, end=Thu May 26 15:22:51 BST 2016, operations=181.14168393499392, operationsPerMinute=45.28542098374848
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:23:07 BST 2016, end=Thu May 26 15:25:07 BST 2016, operations=20.611901636768252, operationsPerMinute=10.305950818384126, mode=normal, start=Thu May 26 15:26:07 BST 2016, end=Thu May 26 15:30:07 BST 2016, operations=41.171391506256946, operationsPerMinute=10.292847876564236
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:31:24 BST 2016, end=Thu May 26 15:33:24 BST 2016, operations=117.12608982316239, operationsPerMinute=58.563044911581194, mode=normal, start=Thu May 26 15:33:37 BST 2016, end=Thu May 26 15:37:37 BST 2016, operations=238.31139680335994, operationsPerMinute=59.577849200839985
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:37:50 BST 2016, end=Thu May 26 15:39:50 BST 2016, operations=61.78941554499024, operationsPerMinute=30.89470777249512, mode=normal, start=Thu May 26 15:40:11 BST 2016, end=Thu May 26 15:44:11 BST 2016, operations=123.46420584850466, operationsPerMinute=30.866051462126165
