spec.jvm2008.report.run.location=LAW004
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Mon Jun 27 02:28:48 BST 2016, end=Mon Jun 27 02:28:49 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 02:28:49 BST 2016, end=Mon Jun 27 02:29:07 BST 2016, operations=1.0, operationsPerMinute=3.2934460423756726
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 02:29:07 BST 2016, end=Mon Jun 27 02:32:29 BST 2016, operations=1.0, operationsPerMinute=0.29775640548467297
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 02:32:29 BST 2016, end=Mon Jun 27 02:32:35 BST 2016, operations=1.0, operationsPerMinute=10.0418410041841
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 02:32:35 BST 2016, end=Mon Jun 27 02:32:36 BST 2016, operations=1.0, operationsPerMinute=41.78272980501393
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 02:32:36 BST 2016, end=Mon Jun 27 02:32:46 BST 2016, operations=1.0, operationsPerMinute=6.264355815410315
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 02:32:46 BST 2016, end=Mon Jun 27 02:32:54 BST 2016, operations=1.0, operationsPerMinute=7.454342154304882
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 02:32:54 BST 2016, end=Mon Jun 27 02:33:01 BST 2016, operations=1.0, operationsPerMinute=8.60461781155887
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 02:33:01 BST 2016, end=Mon Jun 27 02:33:04 BST 2016, operations=1.0, operationsPerMinute=19.93355481727575
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 02:33:04 BST 2016, end=Mon Jun 27 02:33:05 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 02:33:05 BST 2016, end=Mon Jun 27 02:33:06 BST 2016, operations=1.0, operationsPerMinute=50.5902192242833
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 02:33:06 BST 2016, end=Mon Jun 27 02:33:12 BST 2016, operations=1.0, operationsPerMinute=9.267840593141798
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 02:33:12 BST 2016, end=Mon Jun 27 02:33:14 BST 2016, operations=1.0, operationsPerMinute=36.63003663003663
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 02:33:14 BST 2016, end=Mon Jun 27 02:33:15 BST 2016, operations=1.0, operationsPerMinute=47.50593824228029
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 02:33:15 BST 2016, end=Mon Jun 27 02:33:18 BST 2016, operations=1.0, operationsPerMinute=20.56907781967775
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 02:33:18 BST 2016, end=Mon Jun 27 02:33:28 BST 2016, operations=1.0, operationsPerMinute=6.485785320505891
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 02:33:28 BST 2016, end=Mon Jun 27 02:33:58 BST 2016, operations=1.0, operationsPerMinute=1.9939516799042902
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 02:33:58 BST 2016, end=Mon Jun 27 02:33:59 BST 2016, operations=1.0, operationsPerMinute=36.63003663003663
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 02:34:15 BST 2016, end=Mon Jun 27 02:36:15 BST 2016, operations=370.7900454916415, operationsPerMinute=185.39502274582074, mode=normal, start=Mon Jun 27 02:36:17 BST 2016, end=Mon Jun 27 02:40:17 BST 2016, operations=752.8234440929599, operationsPerMinute=188.20586102323998
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 02:40:24 BST 2016, end=Mon Jun 27 02:42:24 BST 2016, operations=150.09004915511875, operationsPerMinute=75.04502457755937, mode=normal, start=Mon Jun 27 02:42:28 BST 2016, end=Mon Jun 27 02:46:28 BST 2016, operations=300.53889385584716, operationsPerMinute=75.13472346396179
benchmark-name=compress, mod=warmup, start=Mon Jun 27 02:46:33 BST 2016, end=Mon Jun 27 02:48:33 BST 2016, operations=350.9348364362573, operationsPerMinute=175.46741821812864, mode=normal, start=Mon Jun 27 02:48:35 BST 2016, end=Mon Jun 27 02:52:35 BST 2016, operations=706.8383670592583, operationsPerMinute=176.70959176481458
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 02:52:37 BST 2016, end=Mon Jun 27 02:54:37 BST 2016, operations=116.85658719085362, operationsPerMinute=58.42829359542681, mode=normal, start=Mon Jun 27 02:54:44 BST 2016, end=Mon Jun 27 02:58:44 BST 2016, operations=242.70171798895137, operationsPerMinute=60.67542949723784
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 02:58:53 BST 2016, end=Mon Jun 27 03:00:53 BST 2016, operations=173.34205832735807, operationsPerMinute=86.67102916367904, mode=normal, start=Mon Jun 27 03:00:59 BST 2016, end=Mon Jun 27 03:04:59 BST 2016, operations=373.87106371432526, operationsPerMinute=93.46776592858131
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 03:05:03 BST 2016, end=Mon Jun 27 03:07:03 BST 2016, operations=327.6225105855307, operationsPerMinute=163.81125529276534, mode=normal, start=Mon Jun 27 03:07:05 BST 2016, end=Mon Jun 27 03:11:05 BST 2016, operations=655.1642988930593, operationsPerMinute=163.7910747232648
benchmark-name=derby, mod=warmup, start=Mon Jun 27 03:12:06 BST 2016, end=Mon Jun 27 03:14:06 BST 2016, operations=256.09789878874443, operationsPerMinute=128.04894939437222, mode=normal, start=Mon Jun 27 03:14:09 BST 2016, end=Mon Jun 27 03:18:09 BST 2016, operations=518.1568365209394, operationsPerMinute=129.53920913023484
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 03:18:12 BST 2016, end=Mon Jun 27 03:20:12 BST 2016, operations=172.94035996563673, operationsPerMinute=86.47017998281837, mode=normal, start=Mon Jun 27 03:20:16 BST 2016, end=Mon Jun 27 03:24:16 BST 2016, operations=347.4961227480459, operationsPerMinute=86.87403068701147
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 03:24:21 BST 2016, end=Mon Jun 27 03:26:21 BST 2016, operations=103.5591807925197, operationsPerMinute=51.77959039625985, mode=normal, start=Mon Jun 27 03:26:25 BST 2016, end=Mon Jun 27 03:30:25 BST 2016, operations=216.11386848087216, operationsPerMinute=54.02846712021804
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 03:30:31 BST 2016, end=Mon Jun 27 03:32:31 BST 2016, operations=22.703299850281763, operationsPerMinute=11.351649925140881, mode=normal, start=Mon Jun 27 03:32:54 BST 2016, end=Mon Jun 27 03:36:54 BST 2016, operations=45.55815592997999, operationsPerMinute=11.389538982494997
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 03:37:23 BST 2016, end=Mon Jun 27 03:39:23 BST 2016, operations=69.6870677422554, operationsPerMinute=34.8435338711277, mode=normal, start=Mon Jun 27 03:39:34 BST 2016, end=Mon Jun 27 03:43:34 BST 2016, operations=139.41000397356947, operationsPerMinute=34.85250099339237
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 03:43:46 BST 2016, end=Mon Jun 27 03:45:46 BST 2016, operations=75.3870756203435, operationsPerMinute=37.69353781017175, mode=normal, start=Mon Jun 27 03:45:56 BST 2016, end=Mon Jun 27 03:49:56 BST 2016, operations=150.78979381771234, operationsPerMinute=37.697448454428084
