spec.jvm2008.report.run.location=HULL85
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Tue Jun 21 15:31:16 BST 2016, end=Tue Jun 21 15:31:17 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 21 15:31:17 BST 2016, end=Tue Jun 21 15:31:17 BST 2016, operations=1.0, operationsPerMinute=68.72852233676976
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 21 15:31:17 BST 2016, end=Tue Jun 21 15:31:46 BST 2016, operations=1.0, operationsPerMinute=2.121490700799095
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 21 15:31:46 BST 2016, end=Tue Jun 21 15:31:52 BST 2016, operations=1.0, operationsPerMinute=10.256410256410257
benchmark-name=startup.compress, mode=normal, start=Tue Jun 21 15:31:52 BST 2016, end=Tue Jun 21 15:31:53 BST 2016, operations=1.0, operationsPerMinute=34.66204506065858
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 21 15:31:53 BST 2016, end=Tue Jun 21 15:32:04 BST 2016, operations=1.0, operationsPerMinute=5.522827687776141
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 21 15:32:04 BST 2016, end=Tue Jun 21 15:32:13 BST 2016, operations=1.0, operationsPerMinute=6.691947356680794
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 21 15:32:13 BST 2016, end=Tue Jun 21 15:32:21 BST 2016, operations=1.0, operationsPerMinute=8.079719903043362
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 21 15:32:21 BST 2016, end=Tue Jun 21 15:32:24 BST 2016, operations=1.0, operationsPerMinute=18.055973517905507
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 21 15:32:24 BST 2016, end=Tue Jun 21 15:32:25 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 21 15:32:25 BST 2016, end=Tue Jun 21 15:32:26 BST 2016, operations=1.0, operationsPerMinute=46.36785162287481
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 21 15:32:26 BST 2016, end=Tue Jun 21 15:32:34 BST 2016, operations=1.0, operationsPerMinute=8.169934640522875
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 21 15:32:34 BST 2016, end=Tue Jun 21 15:32:35 BST 2016, operations=1.0, operationsPerMinute=32.05128205128205
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 21 15:32:35 BST 2016, end=Tue Jun 21 15:32:37 BST 2016, operations=1.0, operationsPerMinute=40.48582995951417
benchmark-name=startup.serial, mode=normal, start=Tue Jun 21 15:32:37 BST 2016, end=Tue Jun 21 15:32:40 BST 2016, operations=1.0, operationsPerMinute=18.39926402943882
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 21 15:32:40 BST 2016, end=Tue Jun 21 15:32:47 BST 2016, operations=1.0, operationsPerMinute=8.174386920980927
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 21 15:32:47 BST 2016, end=Tue Jun 21 15:33:19 BST 2016, operations=1.0, operationsPerMinute=1.9171779141104295
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 21 15:33:19 BST 2016, end=Tue Jun 21 15:33:20 BST 2016, operations=1.0, operationsPerMinute=38.07106598984772
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 21 15:33:37 BST 2016, end=Tue Jun 21 15:35:37 BST 2016, operations=317.3000581968442, operationsPerMinute=158.6500290984221, mode=normal, start=Tue Jun 21 15:35:40 BST 2016, end=Tue Jun 21 15:39:40 BST 2016, operations=637.0298847492397, operationsPerMinute=159.25747118730993
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 21 15:39:46 BST 2016, end=Tue Jun 21 15:41:46 BST 2016, operations=127.1534309947612, operationsPerMinute=63.5767154973806, mode=normal, start=Tue Jun 21 15:41:50 BST 2016, end=Tue Jun 21 15:45:50 BST 2016, operations=257.13340398703997, operationsPerMinute=64.28335099675999
benchmark-name=compress, mod=warmup, start=Tue Jun 21 15:45:56 BST 2016, end=Tue Jun 21 15:47:56 BST 2016, operations=251.9010203743992, operationsPerMinute=125.9505101871996, mode=normal, start=Tue Jun 21 15:47:59 BST 2016, end=Tue Jun 21 15:51:59 BST 2016, operations=501.1930724202913, operationsPerMinute=125.29826810507282
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 21 15:52:03 BST 2016, end=Tue Jun 21 15:54:03 BST 2016, operations=79.16803294642996, operationsPerMinute=39.58401647321498, mode=normal, start=Tue Jun 21 15:54:13 BST 2016, end=Tue Jun 21 15:58:13 BST 2016, operations=163.21896028660984, operationsPerMinute=40.80474007165246
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 21 15:58:21 BST 2016, end=Tue Jun 21 16:00:21 BST 2016, operations=128.77611540854278, operationsPerMinute=64.38805770427139, mode=normal, start=Tue Jun 21 16:00:26 BST 2016, end=Tue Jun 21 16:04:26 BST 2016, operations=257.9843969403385, operationsPerMinute=64.49609923508463
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 21 16:04:31 BST 2016, end=Tue Jun 21 16:06:31 BST 2016, operations=217.0394942907149, operationsPerMinute=108.51974714535746, mode=normal, start=Tue Jun 21 16:06:35 BST 2016, end=Tue Jun 21 16:10:35 BST 2016, operations=479.3026169768898, operationsPerMinute=119.82565424422245
benchmark-name=derby, mod=warmup, start=Tue Jun 21 16:12:28 BST 2016, end=Tue Jun 21 16:14:28 BST 2016, operations=192.9873706291898, operationsPerMinute=96.4936853145949, mode=normal, start=Tue Jun 21 16:14:31 BST 2016, end=Tue Jun 21 16:18:31 BST 2016, operations=396.2920458188038, operationsPerMinute=99.07301145470095
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 21 16:18:35 BST 2016, end=Tue Jun 21 16:20:35 BST 2016, operations=133.81133493709774, operationsPerMinute=66.90566746854887, mode=normal, start=Tue Jun 21 16:20:40 BST 2016, end=Tue Jun 21 16:24:40 BST 2016, operations=268.0415574821931, operationsPerMinute=67.01038937054828
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 21 16:24:46 BST 2016, end=Tue Jun 21 16:26:46 BST 2016, operations=60.56375043968488, operationsPerMinute=30.28187521984244, mode=normal, start=Tue Jun 21 16:26:59 BST 2016, end=Tue Jun 21 16:30:59 BST 2016, operations=115.84525485515634, operationsPerMinute=28.961313713789085
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 21 16:31:12 BST 2016, end=Tue Jun 21 16:33:12 BST 2016, operations=11.37409608927619, operationsPerMinute=5.687048044638095, mode=normal, start=Tue Jun 21 16:34:11 BST 2016, end=Tue Jun 21 16:38:11 BST 2016, operations=23.02412692996043, operationsPerMinute=5.756031732490108
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 21 16:38:51 BST 2016, end=Tue Jun 21 16:40:51 BST 2016, operations=55.14790976642496, operationsPerMinute=27.57395488321248, mode=normal, start=Tue Jun 21 16:41:01 BST 2016, end=Tue Jun 21 16:45:01 BST 2016, operations=110.32851248305579, operationsPerMinute=27.582128120763947
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jun 21 16:45:13 BST 2016, end=Tue Jun 21 16:47:13 BST 2016, operations=37.36669578885122, operationsPerMinute=18.68334789442561, mode=normal, start=Tue Jun 21 16:47:31 BST 2016, end=Tue Jun 21 16:51:31 BST 2016, operations=74.49907420879198, operationsPerMinute=18.624768552197995
benchmark-name=scimark.fft.small, mod=warmup, start=Tue Jun 21 16:51:46 BST 2016, end=Tue Jun 21 16:53:46 BST 2016, operations=511.6451030473197, operationsPerMinute=255.82255152365985, mode=normal, start=Tue Jun 21 16:53:47 BST 2016, end=Tue Jun 21 16:57:47 BST 2016, operations=1015.2325649710449, operationsPerMinute=253.80814124276122
benchmark-name=scimark.lu.small, mod=warmup, start=Tue Jun 21 16:57:48 BST 2016, end=Tue Jun 21 16:59:48 BST 2016, operations=368.79057148888467, operationsPerMinute=184.39528574444233, mode=normal, start=Tue Jun 21 16:59:51 BST 2016, end=Tue Jun 21 17:03:51 BST 2016, operations=738.9274262292951, operationsPerMinute=184.73185655732377
benchmark-name=scimark.sor.small, mod=warmup, start=Tue Jun 21 17:03:53 BST 2016, end=Tue Jun 21 17:05:53 BST 2016, operations=242.60551389468094, operationsPerMinute=121.30275694734047, mode=normal, start=Tue Jun 21 17:05:56 BST 2016, end=Tue Jun 21 17:09:56 BST 2016, operations=483.70184596360355, operationsPerMinute=120.92546149090089
