spec.jvm2008.report.run.location=UNION79
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Thu Jun 30 16:53:38 BST 2016, end=Thu Jun 30 16:53:38 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 30 16:53:38 BST 2016, end=Thu Jun 30 16:53:38 BST 2016, operations=1.0, operationsPerMinute=350.87719298245617
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 30 16:53:38 BST 2016, end=Thu Jun 30 16:54:00 BST 2016, operations=1.0, operationsPerMinute=2.6951756356122543
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 30 16:54:00 BST 2016, end=Thu Jun 30 16:54:05 BST 2016, operations=1.0, operationsPerMinute=12.448132780082988
benchmark-name=startup.compress, mode=normal, start=Thu Jun 30 16:54:05 BST 2016, end=Thu Jun 30 16:54:07 BST 2016, operations=1.0, operationsPerMinute=37.336652146857496
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 30 16:54:07 BST 2016, end=Thu Jun 30 16:54:17 BST 2016, operations=1.0, operationsPerMinute=5.963029218843173
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 30 16:54:17 BST 2016, end=Thu Jun 30 16:54:25 BST 2016, operations=1.0, operationsPerMinute=6.993006993006993
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 30 16:54:25 BST 2016, end=Thu Jun 30 16:54:33 BST 2016, operations=1.0, operationsPerMinute=7.897854416216927
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 30 16:54:33 BST 2016, end=Thu Jun 30 16:54:36 BST 2016, operations=1.0, operationsPerMinute=19.42376173518938
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 30 16:54:36 BST 2016, end=Thu Jun 30 16:54:37 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 30 16:54:37 BST 2016, end=Thu Jun 30 16:54:38 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 30 16:54:38 BST 2016, end=Thu Jun 30 16:54:45 BST 2016, operations=1.0, operationsPerMinute=8.964589870013446
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 30 16:54:45 BST 2016, end=Thu Jun 30 16:54:46 BST 2016, operations=1.0, operationsPerMinute=35.294117647058826
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 30 16:54:46 BST 2016, end=Thu Jun 30 16:54:48 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.serial, mode=normal, start=Thu Jun 30 16:54:48 BST 2016, end=Thu Jun 30 16:54:51 BST 2016, operations=1.0, operationsPerMinute=19.926934573231485
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 30 16:54:51 BST 2016, end=Thu Jun 30 16:54:58 BST 2016, operations=1.0, operationsPerMinute=8.490165558228385
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 30 16:54:58 BST 2016, end=Thu Jun 30 16:55:27 BST 2016, operations=1.0, operationsPerMinute=2.062280882656218
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 30 16:55:27 BST 2016, end=Thu Jun 30 16:55:28 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 30 16:55:44 BST 2016, end=Thu Jun 30 16:57:44 BST 2016, operations=349.6308032424466, operationsPerMinute=174.8154016212233, mode=normal, start=Thu Jun 30 16:57:46 BST 2016, end=Thu Jun 30 17:01:46 BST 2016, operations=713.7800381628624, operationsPerMinute=178.4450095407156
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 30 17:01:52 BST 2016, end=Thu Jun 30 17:03:52 BST 2016, operations=141.16049947530806, operationsPerMinute=70.58024973765403, mode=normal, start=Thu Jun 30 17:03:57 BST 2016, end=Thu Jun 30 17:07:57 BST 2016, operations=278.8146146739389, operationsPerMinute=69.70365366848472
benchmark-name=compress, mod=warmup, start=Thu Jun 30 17:08:02 BST 2016, end=Thu Jun 30 17:10:02 BST 2016, operations=268.5254396770784, operationsPerMinute=134.2627198385392, mode=normal, start=Thu Jun 30 17:10:04 BST 2016, end=Thu Jun 30 17:14:04 BST 2016, operations=540.2841429171837, operationsPerMinute=135.07103572929591
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 30 17:14:07 BST 2016, end=Thu Jun 30 17:16:07 BST 2016, operations=86.01621152508713, operationsPerMinute=43.008105762543565, mode=normal, start=Thu Jun 30 17:16:15 BST 2016, end=Thu Jun 30 17:20:15 BST 2016, operations=180.4987285000863, operationsPerMinute=45.12468212502157
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 30 17:20:24 BST 2016, end=Thu Jun 30 17:22:24 BST 2016, operations=145.9283168167618, operationsPerMinute=72.9641584083809, mode=normal, start=Thu Jun 30 17:22:29 BST 2016, end=Thu Jun 30 17:26:29 BST 2016, operations=286.0852614790951, operationsPerMinute=71.52131536977377
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 30 17:26:34 BST 2016, end=Thu Jun 30 17:28:34 BST 2016, operations=251.84020260790095, operationsPerMinute=125.92010130395047, mode=normal, start=Thu Jun 30 17:28:37 BST 2016, end=Thu Jun 30 17:32:37 BST 2016, operations=506.2851531095751, operationsPerMinute=126.57128827739378
benchmark-name=derby, mod=warmup, start=Thu Jun 30 17:34:12 BST 2016, end=Thu Jun 30 17:36:12 BST 2016, operations=199.88137389478476, operationsPerMinute=99.94068694739238, mode=normal, start=Thu Jun 30 17:36:16 BST 2016, end=Thu Jun 30 17:40:16 BST 2016, operations=401.33177094782127, operationsPerMinute=100.33294273695532
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 30 17:40:20 BST 2016, end=Thu Jun 30 17:42:20 BST 2016, operations=133.78681577082568, operationsPerMinute=66.89340788541284, mode=normal, start=Thu Jun 30 17:42:26 BST 2016, end=Thu Jun 30 17:46:26 BST 2016, operations=268.07138789989716, operationsPerMinute=67.01784697497429
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 30 17:46:32 BST 2016, end=Thu Jun 30 17:48:32 BST 2016, operations=77.29297767934598, operationsPerMinute=38.64648883967299, mode=normal, start=Thu Jun 30 17:48:41 BST 2016, end=Thu Jun 30 17:52:41 BST 2016, operations=160.193792073625, operationsPerMinute=40.04844801840625
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 30 17:52:51 BST 2016, end=Thu Jun 30 17:54:51 BST 2016, operations=20.096801984000308, operationsPerMinute=10.048400992000154, mode=normal, start=Thu Jun 30 17:55:32 BST 2016, end=Thu Jun 30 17:59:32 BST 2016, operations=39.884163520373924, operationsPerMinute=9.971040880093481
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 30 17:59:56 BST 2016, end=Thu Jun 30 18:01:56 BST 2016, operations=55.178551076186096, operationsPerMinute=27.589275538093048, mode=normal, start=Thu Jun 30 18:02:06 BST 2016, end=Thu Jun 30 18:06:06 BST 2016, operations=110.69310746484713, operationsPerMinute=27.673276866211783
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 30 18:06:16 BST 2016, end=Thu Jun 30 18:08:16 BST 2016, operations=60.69762887515111, operationsPerMinute=30.348814437575555, mode=normal, start=Thu Jun 30 18:08:27 BST 2016, end=Thu Jun 30 18:12:27 BST 2016, operations=121.51715659858891, operationsPerMinute=30.379289149647228
