spec.jvm2008.report.run.location=SUNSPACE12
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Quad CPU    Q9400  @ 2.66GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=4027
benchmark-name=check, mode=normal, start=Wed Jun 29 05:50:25 BST 2016, end=Wed Jun 29 05:50:25 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Wed Jun 29 05:50:25 BST 2016, end=Wed Jun 29 05:50:25 BST 2016, operations=1.0, operationsPerMinute=320.85561497326205
benchmark-name=startup.compiler.compiler, mode=normal, start=Wed Jun 29 05:50:25 BST 2016, end=Wed Jun 29 05:50:53 BST 2016, operations=1.0, operationsPerMinute=2.1284898364610307
benchmark-name=startup.compiler.sunflow, mode=normal, start=Wed Jun 29 05:50:53 BST 2016, end=Wed Jun 29 05:51:00 BST 2016, operations=1.0, operationsPerMinute=9.289363678588018
benchmark-name=startup.compress, mode=normal, start=Wed Jun 29 05:51:00 BST 2016, end=Wed Jun 29 05:51:02 BST 2016, operations=1.0, operationsPerMinute=27.675276752767527
benchmark-name=startup.crypto.aes, mode=normal, start=Wed Jun 29 05:51:02 BST 2016, end=Wed Jun 29 05:51:14 BST 2016, operations=1.0, operationsPerMinute=5.080870522482852
benchmark-name=startup.crypto.rsa, mode=normal, start=Wed Jun 29 05:51:14 BST 2016, end=Wed Jun 29 05:51:23 BST 2016, operations=1.0, operationsPerMinute=6.665926008221309
benchmark-name=startup.crypto.signverify, mode=normal, start=Wed Jun 29 05:51:23 BST 2016, end=Wed Jun 29 05:51:30 BST 2016, operations=1.0, operationsPerMinute=7.962840079628401
benchmark-name=startup.mpegaudio, mode=normal, start=Wed Jun 29 05:51:30 BST 2016, end=Wed Jun 29 05:51:35 BST 2016, operations=1.0, operationsPerMinute=13.44688480502017
benchmark-name=startup.scimark.fft, mode=normal, start=Wed Jun 29 05:51:35 BST 2016, end=Wed Jun 29 05:51:36 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.lu, mode=normal, start=Wed Jun 29 05:51:36 BST 2016, end=Wed Jun 29 05:51:38 BST 2016, operations=1.0, operationsPerMinute=28.275212064090482
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Wed Jun 29 05:51:38 BST 2016, end=Wed Jun 29 05:51:48 BST 2016, operations=1.0, operationsPerMinute=6.34719136781974
benchmark-name=startup.scimark.sor, mode=normal, start=Wed Jun 29 05:51:48 BST 2016, end=Wed Jun 29 05:51:50 BST 2016, operations=1.0, operationsPerMinute=27.86809103576405
benchmark-name=startup.scimark.sparse, mode=normal, start=Wed Jun 29 05:51:50 BST 2016, end=Wed Jun 29 05:51:52 BST 2016, operations=1.0, operationsPerMinute=24.66091245376079
benchmark-name=startup.serial, mode=normal, start=Wed Jun 29 05:51:52 BST 2016, end=Wed Jun 29 05:51:57 BST 2016, operations=1.0, operationsPerMinute=12.610340479192939
benchmark-name=startup.sunflow, mode=normal, start=Wed Jun 29 05:51:57 BST 2016, end=Wed Jun 29 05:52:05 BST 2016, operations=1.0, operationsPerMinute=7.930214115781126
benchmark-name=startup.xml.transform, mode=normal, start=Wed Jun 29 05:52:05 BST 2016, end=Wed Jun 29 05:52:51 BST 2016, operations=1.0, operationsPerMinute=1.2812026221947002
benchmark-name=startup.xml.validation, mode=normal, start=Wed Jun 29 05:52:51 BST 2016, end=Wed Jun 29 05:52:53 BST 2016, operations=1.0, operationsPerMinute=34.32494279176201
benchmark-name=compiler.compiler, mod=warmup, start=Wed Jun 29 05:53:14 BST 2016, end=Wed Jun 29 05:55:14 BST 2016, operations=293.16501116727574, operationsPerMinute=146.58250558363787, mode=normal, start=Wed Jun 29 05:55:17 BST 2016, end=Wed Jun 29 05:59:17 BST 2016, operations=584.6589219070295, operationsPerMinute=146.16473047675737
benchmark-name=compiler.sunflow, mod=warmup, start=Wed Jun 29 05:59:25 BST 2016, end=Wed Jun 29 06:01:25 BST 2016, operations=105.90347530846981, operationsPerMinute=52.951737654234904, mode=normal, start=Wed Jun 29 06:01:31 BST 2016, end=Wed Jun 29 06:05:31 BST 2016, operations=225.28642420946989, operationsPerMinute=56.32160605236747
benchmark-name=compress, mod=warmup, start=Wed Jun 29 06:05:38 BST 2016, end=Wed Jun 29 06:07:38 BST 2016, operations=249.61350348603466, operationsPerMinute=124.80675174301733, mode=normal, start=Wed Jun 29 06:07:41 BST 2016, end=Wed Jun 29 06:11:41 BST 2016, operations=500.6322366802775, operationsPerMinute=125.15805917006938
benchmark-name=crypto.aes, mod=warmup, start=Wed Jun 29 06:11:44 BST 2016, end=Wed Jun 29 06:13:44 BST 2016, operations=71.18462560287782, operationsPerMinute=35.59231280143891, mode=normal, start=Wed Jun 29 06:13:52 BST 2016, end=Wed Jun 29 06:17:52 BST 2016, operations=149.85032597326654, operationsPerMinute=37.462581493316634
benchmark-name=crypto.rsa, mod=warmup, start=Wed Jun 29 06:18:03 BST 2016, end=Wed Jun 29 06:20:03 BST 2016, operations=151.30368866157298, operationsPerMinute=75.65184433078649, mode=normal, start=Wed Jun 29 06:20:07 BST 2016, end=Wed Jun 29 06:24:07 BST 2016, operations=302.44393899184115, operationsPerMinute=75.61098474796029
benchmark-name=crypto.signverify, mod=warmup, start=Wed Jun 29 06:24:13 BST 2016, end=Wed Jun 29 06:26:13 BST 2016, operations=240.74271496007495, operationsPerMinute=120.37135748003747, mode=normal, start=Wed Jun 29 06:26:16 BST 2016, end=Wed Jun 29 06:30:16 BST 2016, operations=483.0224745530539, operationsPerMinute=120.75561863826347
benchmark-name=derby, mod=warmup, start=Wed Jun 29 06:31:07 BST 2016, end=Wed Jun 29 06:33:07 BST 2016, operations=168.42826419105523, operationsPerMinute=84.21413209552762, mode=normal, start=Wed Jun 29 06:33:12 BST 2016, end=Wed Jun 29 06:37:12 BST 2016, operations=339.5670874189278, operationsPerMinute=84.89177185473196
benchmark-name=mpegaudio, mod=warmup, start=Wed Jun 29 06:37:16 BST 2016, end=Wed Jun 29 06:39:16 BST 2016, operations=114.06647746090351, operationsPerMinute=57.03323873045176, mode=normal, start=Wed Jun 29 06:39:22 BST 2016, end=Wed Jun 29 06:43:22 BST 2016, operations=227.8702524708653, operationsPerMinute=56.967563117716324
benchmark-name=scimark.fft.large, mod=warmup, start=Wed Jun 29 06:43:30 BST 2016, end=Wed Jun 29 06:45:30 BST 2016, operations=32.679231802156664, operationsPerMinute=16.339615901078332, mode=normal, start=Wed Jun 29 06:45:50 BST 2016, end=Wed Jun 29 06:49:50 BST 2016, operations=66.42201477022874, operationsPerMinute=16.605503692557186
benchmark-name=scimark.lu.large, mod=warmup, start=Wed Jun 29 06:50:07 BST 2016, end=Wed Jun 29 06:52:07 BST 2016, operations=8.845354899722606, operationsPerMinute=4.422677449861303, mode=normal, start=Wed Jun 29 06:53:31 BST 2016, end=Wed Jun 29 06:57:31 BST 2016, operations=17.643656644405645, operationsPerMinute=4.410914161101411
benchmark-name=scimark.sor.large, mod=warmup, start=Wed Jun 29 06:58:44 BST 2016, end=Wed Jun 29 07:00:44 BST 2016, operations=49.39471892535248, operationsPerMinute=24.69735946267624, mode=normal, start=Wed Jun 29 07:00:59 BST 2016, end=Wed Jun 29 07:04:59 BST 2016, operations=98.76806273623693, operationsPerMinute=24.692015684059232
benchmark-name=scimark.sparse.large, mod=warmup, start=Wed Jun 29 07:05:11 BST 2016, end=Wed Jun 29 07:07:11 BST 2016, operations=28.3454214707716, operationsPerMinute=14.1727107353858, mode=normal, start=Wed Jun 29 07:07:39 BST 2016, end=Wed Jun 29 07:11:39 BST 2016, operations=56.67078769437573, operationsPerMinute=14.167696923593933
