spec.jvm2008.report.run.location=CASTLEAZES008
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Thu Jun 23 02:51:03 BST 2016, end=Thu Jun 23 02:51:03 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 02:51:03 BST 2016, end=Thu Jun 23 02:51:03 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 02:51:03 BST 2016, end=Thu Jun 23 02:51:16 BST 2016, operations=1.0, operationsPerMinute=4.702194357366771
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 02:51:16 BST 2016, end=Thu Jun 23 02:51:19 BST 2016, operations=1.0, operationsPerMinute=18.315018315018314
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 02:51:19 BST 2016, end=Thu Jun 23 02:51:20 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 02:51:20 BST 2016, end=Thu Jun 23 02:51:29 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 02:51:29 BST 2016, end=Thu Jun 23 02:51:36 BST 2016, operations=1.0, operationsPerMinute=7.979784545817263
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 02:51:36 BST 2016, end=Thu Jun 23 02:51:43 BST 2016, operations=1.0, operationsPerMinute=9.178522257916475
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 02:51:43 BST 2016, end=Thu Jun 23 02:51:45 BST 2016, operations=1.0, operationsPerMinute=26.89376961004034
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 02:51:45 BST 2016, end=Thu Jun 23 02:51:46 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 02:51:46 BST 2016, end=Thu Jun 23 02:51:47 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 02:51:47 BST 2016, end=Thu Jun 23 02:51:52 BST 2016, operations=1.0, operationsPerMinute=10.924981791697014
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 02:51:52 BST 2016, end=Thu Jun 23 02:51:53 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 02:51:53 BST 2016, end=Thu Jun 23 02:51:54 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 02:51:54 BST 2016, end=Thu Jun 23 02:51:57 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 02:51:57 BST 2016, end=Thu Jun 23 02:52:03 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 02:52:03 BST 2016, end=Thu Jun 23 02:52:23 BST 2016, operations=1.0, operationsPerMinute=2.9791459781529297
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 02:52:23 BST 2016, end=Thu Jun 23 02:52:24 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 02:52:34 BST 2016, end=Thu Jun 23 02:54:34 BST 2016, operations=489.4929351568612, operationsPerMinute=244.7464675784306, mode=normal, start=Thu Jun 23 02:54:35 BST 2016, end=Thu Jun 23 02:58:35 BST 2016, operations=1005.9815100875137, operationsPerMinute=251.49537752187842
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 02:58:39 BST 2016, end=Thu Jun 23 03:00:39 BST 2016, operations=197.11926482447603, operationsPerMinute=98.55963241223802, mode=normal, start=Thu Jun 23 03:00:43 BST 2016, end=Thu Jun 23 03:04:43 BST 2016, operations=393.3129946177561, operationsPerMinute=98.32824865443902
benchmark-name=compress, mod=warmup, start=Thu Jun 23 03:04:46 BST 2016, end=Thu Jun 23 03:06:46 BST 2016, operations=400.4314626741563, operationsPerMinute=200.21573133707815, mode=normal, start=Thu Jun 23 03:06:48 BST 2016, end=Thu Jun 23 03:10:48 BST 2016, operations=801.276928266826, operationsPerMinute=200.3192320667065
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 03:10:50 BST 2016, end=Thu Jun 23 03:12:50 BST 2016, operations=139.41627698905506, operationsPerMinute=69.70813849452753, mode=normal, start=Thu Jun 23 03:12:55 BST 2016, end=Thu Jun 23 03:16:55 BST 2016, operations=291.4312817059955, operationsPerMinute=72.85782042649888
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 03:16:59 BST 2016, end=Thu Jun 23 03:18:59 BST 2016, operations=234.71303242478365, operationsPerMinute=117.35651621239182, mode=normal, start=Thu Jun 23 03:19:02 BST 2016, end=Thu Jun 23 03:23:02 BST 2016, operations=469.557570798437, operationsPerMinute=117.38939269960925
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 03:23:06 BST 2016, end=Thu Jun 23 03:25:06 BST 2016, operations=409.1317641315303, operationsPerMinute=204.56588206576515, mode=normal, start=Thu Jun 23 03:25:07 BST 2016, end=Thu Jun 23 03:29:07 BST 2016, operations=816.6262198330418, operationsPerMinute=204.15655495826044
benchmark-name=derby, mod=warmup, start=Thu Jun 23 03:29:30 BST 2016, end=Thu Jun 23 03:31:30 BST 2016, operations=366.10675233575995, operationsPerMinute=183.05337616787997, mode=normal, start=Thu Jun 23 03:31:31 BST 2016, end=Thu Jun 23 03:35:31 BST 2016, operations=733.4652502455008, operationsPerMinute=183.3663125613752
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 03:35:34 BST 2016, end=Thu Jun 23 03:37:34 BST 2016, operations=193.03384428415004, operationsPerMinute=96.51692214207502, mode=normal, start=Thu Jun 23 03:37:37 BST 2016, end=Thu Jun 23 03:41:37 BST 2016, operations=415.7219827911283, operationsPerMinute=103.93049569778208
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 03:41:41 BST 2016, end=Thu Jun 23 03:43:41 BST 2016, operations=69.19304385938108, operationsPerMinute=34.59652192969054, mode=normal, start=Thu Jun 23 03:43:49 BST 2016, end=Thu Jun 23 03:47:49 BST 2016, operations=145.1574190226387, operationsPerMinute=36.28935475565967
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 03:47:59 BST 2016, end=Thu Jun 23 03:49:59 BST 2016, operations=13.863872212425697, operationsPerMinute=6.931936106212849, mode=normal, start=Thu Jun 23 03:50:43 BST 2016, end=Thu Jun 23 03:54:43 BST 2016, operations=27.83453551463596, operationsPerMinute=6.95863387865899
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 03:55:10 BST 2016, end=Thu Jun 23 03:57:10 BST 2016, operations=74.6173462030258, operationsPerMinute=37.3086731015129, mode=normal, start=Thu Jun 23 03:57:19 BST 2016, end=Thu Jun 23 04:01:19 BST 2016, operations=149.38791278126936, operationsPerMinute=37.34697819531734
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 04:01:28 BST 2016, end=Thu Jun 23 04:03:28 BST 2016, operations=42.68354521765984, operationsPerMinute=21.34177260882992, mode=normal, start=Thu Jun 23 04:03:40 BST 2016, end=Thu Jun 23 04:07:40 BST 2016, operations=85.66580117312554, operationsPerMinute=21.416450293281386
