spec.jvm2008.report.run.location=CASTLEAZES019
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Thu Jun 23 13:55:00 BST 2016, end=Thu Jun 23 13:55:00 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 13:55:00 BST 2016, end=Thu Jun 23 13:55:00 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 13:55:00 BST 2016, end=Thu Jun 23 13:55:12 BST 2016, operations=1.0, operationsPerMinute=4.713275726630008
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 13:55:12 BST 2016, end=Thu Jun 23 13:55:16 BST 2016, operations=1.0, operationsPerMinute=18.404907975460123
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 13:55:16 BST 2016, end=Thu Jun 23 13:55:17 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 13:55:17 BST 2016, end=Thu Jun 23 13:55:25 BST 2016, operations=1.0, operationsPerMinute=7.136060894386299
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 13:55:25 BST 2016, end=Thu Jun 23 13:55:33 BST 2016, operations=1.0, operationsPerMinute=7.897854416216927
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 13:55:33 BST 2016, end=Thu Jun 23 13:55:40 BST 2016, operations=1.0, operationsPerMinute=9.113001215066829
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 13:55:40 BST 2016, end=Thu Jun 23 13:55:42 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 13:55:42 BST 2016, end=Thu Jun 23 13:55:43 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 13:55:43 BST 2016, end=Thu Jun 23 13:55:43 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 13:55:43 BST 2016, end=Thu Jun 23 13:55:49 BST 2016, operations=1.0, operationsPerMinute=10.95690284879474
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 13:55:49 BST 2016, end=Thu Jun 23 13:55:50 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 13:55:50 BST 2016, end=Thu Jun 23 13:55:51 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 13:55:51 BST 2016, end=Thu Jun 23 13:55:53 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 13:55:53 BST 2016, end=Thu Jun 23 13:56:00 BST 2016, operations=1.0, operationsPerMinute=9.244992295839754
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 13:56:00 BST 2016, end=Thu Jun 23 13:56:20 BST 2016, operations=1.0, operationsPerMinute=2.9791459781529297
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 13:56:20 BST 2016, end=Thu Jun 23 13:56:21 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 13:56:31 BST 2016, end=Thu Jun 23 13:58:31 BST 2016, operations=483.9738835778887, operationsPerMinute=241.98694178894436, mode=normal, start=Thu Jun 23 13:58:32 BST 2016, end=Thu Jun 23 14:02:32 BST 2016, operations=992.7365729206485, operationsPerMinute=248.18414323016214
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 14:02:36 BST 2016, end=Thu Jun 23 14:04:36 BST 2016, operations=196.7246864108311, operationsPerMinute=98.36234320541556, mode=normal, start=Thu Jun 23 14:04:40 BST 2016, end=Thu Jun 23 14:08:40 BST 2016, operations=392.14523267982185, operationsPerMinute=98.03630816995546
benchmark-name=compress, mod=warmup, start=Thu Jun 23 14:08:43 BST 2016, end=Thu Jun 23 14:10:43 BST 2016, operations=400.6321119396067, operationsPerMinute=200.31605596980336, mode=normal, start=Thu Jun 23 14:10:45 BST 2016, end=Thu Jun 23 14:14:45 BST 2016, operations=799.2933324188041, operationsPerMinute=199.82333310470102
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 14:14:47 BST 2016, end=Thu Jun 23 14:16:47 BST 2016, operations=138.89808520047808, operationsPerMinute=69.44904260023904, mode=normal, start=Thu Jun 23 14:16:51 BST 2016, end=Thu Jun 23 14:20:51 BST 2016, operations=292.8570003282566, operationsPerMinute=73.21425008206415
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 14:20:57 BST 2016, end=Thu Jun 23 14:22:57 BST 2016, operations=234.7980578474359, operationsPerMinute=117.39902892371795, mode=normal, start=Thu Jun 23 14:23:00 BST 2016, end=Thu Jun 23 14:27:00 BST 2016, operations=471.1997517947302, operationsPerMinute=117.79993794868255
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 14:27:03 BST 2016, end=Thu Jun 23 14:29:03 BST 2016, operations=403.0726865040513, operationsPerMinute=201.53634325202566, mode=normal, start=Thu Jun 23 14:29:05 BST 2016, end=Thu Jun 23 14:33:05 BST 2016, operations=793.4741831337111, operationsPerMinute=198.36854578342778
benchmark-name=derby, mod=warmup, start=Thu Jun 23 14:33:28 BST 2016, end=Thu Jun 23 14:35:28 BST 2016, operations=357.7339263030113, operationsPerMinute=178.86696315150564, mode=normal, start=Thu Jun 23 14:35:30 BST 2016, end=Thu Jun 23 14:39:30 BST 2016, operations=704.8032254549418, operationsPerMinute=176.20080636373544
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 14:39:32 BST 2016, end=Thu Jun 23 14:41:32 BST 2016, operations=205.84831417314345, operationsPerMinute=102.92415708657173, mode=normal, start=Thu Jun 23 14:41:36 BST 2016, end=Thu Jun 23 14:45:36 BST 2016, operations=411.2107054561231, operationsPerMinute=102.80267636403077
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 14:45:40 BST 2016, end=Thu Jun 23 14:47:40 BST 2016, operations=77.65939437513418, operationsPerMinute=38.82969718756709, mode=normal, start=Thu Jun 23 14:47:48 BST 2016, end=Thu Jun 23 14:51:48 BST 2016, operations=156.98368878287488, operationsPerMinute=39.24592219571872
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 14:51:55 BST 2016, end=Thu Jun 23 14:53:55 BST 2016, operations=13.877802901657676, operationsPerMinute=6.938901450828838, mode=normal, start=Thu Jun 23 14:54:39 BST 2016, end=Thu Jun 23 14:58:39 BST 2016, operations=27.860869775074086, operationsPerMinute=6.9652174437685215
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 14:59:15 BST 2016, end=Thu Jun 23 15:01:15 BST 2016, operations=74.44474510294944, operationsPerMinute=37.22237255147472, mode=normal, start=Thu Jun 23 15:01:25 BST 2016, end=Thu Jun 23 15:05:25 BST 2016, operations=148.31494418178914, operationsPerMinute=37.078736045447286
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 15:05:35 BST 2016, end=Thu Jun 23 15:07:35 BST 2016, operations=43.189487223031435, operationsPerMinute=21.594743611515717, mode=normal, start=Thu Jun 23 15:07:46 BST 2016, end=Thu Jun 23 15:11:46 BST 2016, operations=86.18582826930519, operationsPerMinute=21.546457067326298
benchmark-name=scimark.fft.small, mod=warmup, start=Thu Jun 23 15:12:00 BST 2016, end=Thu Jun 23 15:14:00 BST 2016, operations=721.3513989128514, operationsPerMinute=360.6756994564257, mode=normal, start=Thu Jun 23 15:14:01 BST 2016, end=Thu Jun 23 15:18:01 BST 2016, operations=1469.7790016865413, operationsPerMinute=367.4447504216353
benchmark-name=scimark.lu.small, mod=warmup, start=Thu Jun 23 15:18:02 BST 2016, end=Thu Jun 23 15:20:02 BST 2016, operations=575.6226978194678, operationsPerMinute=287.8113489097339, mode=normal, start=Thu Jun 23 15:20:04 BST 2016, end=Thu Jun 23 15:24:04 BST 2016, operations=1150.2359494713717, operationsPerMinute=287.5589873678429
benchmark-name=scimark.sor.small, mod=warmup, start=Thu Jun 23 15:24:05 BST 2016, end=Thu Jun 23 15:26:05 BST 2016, operations=331.08704504711943, operationsPerMinute=165.54352252355972, mode=normal, start=Thu Jun 23 15:26:08 BST 2016, end=Thu Jun 23 15:30:08 BST 2016, operations=662.1080362787646, operationsPerMinute=165.52700906969116
benchmark-name=scimark.sparse.small, mod=warmup, start=Thu Jun 23 15:30:10 BST 2016, end=Thu Jun 23 15:32:10 BST 2016, operations=512.690243355521, operationsPerMinute=256.3451216777605, mode=normal, start=Thu Jun 23 15:32:11 BST 2016, end=Thu Jun 23 15:36:11 BST 2016, operations=1024.1069676700113, operationsPerMinute=256.0267419175028
benchmark-name=scimark.monte_carlo, mod=warmup, start=Thu Jun 23 15:36:13 BST 2016, end=Thu Jun 23 15:38:13 BST 2016, operations=119.54452793118736, operationsPerMinute=59.77226396559368, mode=normal, start=Thu Jun 23 15:38:19 BST 2016, end=Thu Jun 23 15:42:19 BST 2016, operations=239.19621367899595, operationsPerMinute=59.79905341974899
