spec.jvm2008.report.run.location=SUNSPACE14
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Quad CPU    Q9400  @ 2.66GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=4027
benchmark-name=check, mode=normal, start=Wed Jun 29 15:04:55 BST 2016, end=Wed Jun 29 15:04:55 BST 2016, operations=1.0, operationsPerMinute=666.6666666666666
benchmark-name=startup.helloworld, mode=normal, start=Wed Jun 29 15:04:55 BST 2016, end=Wed Jun 29 15:04:55 BST 2016, operations=1.0, operationsPerMinute=133.33333333333334
benchmark-name=startup.compiler.compiler, mode=normal, start=Wed Jun 29 15:04:55 BST 2016, end=Wed Jun 29 15:05:35 BST 2016, operations=1.0, operationsPerMinute=1.4983518130056936
benchmark-name=startup.compiler.sunflow, mode=normal, start=Wed Jun 29 15:05:35 BST 2016, end=Wed Jun 29 15:05:42 BST 2016, operations=1.0, operationsPerMinute=8.347245409015025
benchmark-name=startup.compress, mode=normal, start=Wed Jun 29 15:05:42 BST 2016, end=Wed Jun 29 15:05:44 BST 2016, operations=1.0, operationsPerMinute=27.98507462686567
benchmark-name=startup.crypto.aes, mode=normal, start=Wed Jun 29 15:05:45 BST 2016, end=Wed Jun 29 15:05:57 BST 2016, operations=1.0, operationsPerMinute=4.964010920824026
benchmark-name=startup.crypto.rsa, mode=normal, start=Wed Jun 29 15:05:57 BST 2016, end=Wed Jun 29 15:06:06 BST 2016, operations=1.0, operationsPerMinute=6.716668532407926
benchmark-name=startup.crypto.signverify, mode=normal, start=Wed Jun 29 15:06:06 BST 2016, end=Wed Jun 29 15:06:13 BST 2016, operations=1.0, operationsPerMinute=7.9776625448743514
benchmark-name=startup.mpegaudio, mode=normal, start=Wed Jun 29 15:06:13 BST 2016, end=Wed Jun 29 15:06:18 BST 2016, operations=1.0, operationsPerMinute=13.30082021724673
benchmark-name=startup.scimark.fft, mode=normal, start=Wed Jun 29 15:06:18 BST 2016, end=Wed Jun 29 15:06:19 BST 2016, operations=1.0, operationsPerMinute=41.899441340782126
benchmark-name=startup.scimark.lu, mode=normal, start=Wed Jun 29 15:06:19 BST 2016, end=Wed Jun 29 15:06:21 BST 2016, operations=1.0, operationsPerMinute=28.06361085126286
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Wed Jun 29 15:06:21 BST 2016, end=Wed Jun 29 15:06:30 BST 2016, operations=1.0, operationsPerMinute=6.459252879750243
benchmark-name=startup.scimark.sor, mode=normal, start=Wed Jun 29 15:06:30 BST 2016, end=Wed Jun 29 15:06:33 BST 2016, operations=1.0, operationsPerMinute=27.598896044158234
benchmark-name=startup.scimark.sparse, mode=normal, start=Wed Jun 29 15:06:33 BST 2016, end=Wed Jun 29 15:06:35 BST 2016, operations=1.0, operationsPerMinute=24.429967426710096
benchmark-name=startup.serial, mode=normal, start=Wed Jun 29 15:06:35 BST 2016, end=Wed Jun 29 15:06:40 BST 2016, operations=1.0, operationsPerMinute=12.217470983506415
benchmark-name=startup.sunflow, mode=normal, start=Wed Jun 29 15:06:40 BST 2016, end=Wed Jun 29 15:06:48 BST 2016, operations=1.0, operationsPerMinute=7.989347536617843
benchmark-name=startup.xml.transform, mode=normal, start=Wed Jun 29 15:06:48 BST 2016, end=Wed Jun 29 15:07:36 BST 2016, operations=1.0, operationsPerMinute=1.2453300124533002
benchmark-name=startup.xml.validation, mode=normal, start=Wed Jun 29 15:07:36 BST 2016, end=Wed Jun 29 15:07:37 BST 2016, operations=1.0, operationsPerMinute=33.61344537815126
benchmark-name=compiler.compiler, mod=warmup, start=Wed Jun 29 15:08:00 BST 2016, end=Wed Jun 29 15:10:00 BST 2016, operations=271.38353778555415, operationsPerMinute=135.69176889277708, mode=normal, start=Wed Jun 29 15:10:03 BST 2016, end=Wed Jun 29 15:14:03 BST 2016, operations=567.8178929231482, operationsPerMinute=141.95447323078704
benchmark-name=compiler.sunflow, mod=warmup, start=Wed Jun 29 15:14:11 BST 2016, end=Wed Jun 29 15:16:11 BST 2016, operations=114.70546321494677, operationsPerMinute=57.35273160747339, mode=normal, start=Wed Jun 29 15:16:16 BST 2016, end=Wed Jun 29 15:20:16 BST 2016, operations=228.6367505973256, operationsPerMinute=57.1591876493314
benchmark-name=compress, mod=warmup, start=Wed Jun 29 15:20:23 BST 2016, end=Wed Jun 29 15:22:23 BST 2016, operations=243.05034198991822, operationsPerMinute=121.52517099495911, mode=normal, start=Wed Jun 29 15:22:27 BST 2016, end=Wed Jun 29 15:26:27 BST 2016, operations=487.78478330921297, operationsPerMinute=121.94619582730324
benchmark-name=crypto.aes, mod=warmup, start=Wed Jun 29 15:26:29 BST 2016, end=Wed Jun 29 15:28:29 BST 2016, operations=69.56564554739387, operationsPerMinute=34.782822773696935, mode=normal, start=Wed Jun 29 15:28:40 BST 2016, end=Wed Jun 29 15:32:40 BST 2016, operations=147.34144565037184, operationsPerMinute=36.83536141259296
benchmark-name=crypto.rsa, mod=warmup, start=Wed Jun 29 15:32:49 BST 2016, end=Wed Jun 29 15:34:49 BST 2016, operations=145.9812120598167, operationsPerMinute=72.99060602990835, mode=normal, start=Wed Jun 29 15:34:54 BST 2016, end=Wed Jun 29 15:38:54 BST 2016, operations=288.7921018722891, operationsPerMinute=72.19802546807227
benchmark-name=crypto.signverify, mod=warmup, start=Wed Jun 29 15:38:58 BST 2016, end=Wed Jun 29 15:40:58 BST 2016, operations=236.68409809183976, operationsPerMinute=118.34204904591988, mode=normal, start=Wed Jun 29 15:41:01 BST 2016, end=Wed Jun 29 15:45:01 BST 2016, operations=473.2196512709182, operationsPerMinute=118.30491281772954
benchmark-name=derby, mod=warmup, start=Wed Jun 29 15:45:59 BST 2016, end=Wed Jun 29 15:47:59 BST 2016, operations=154.89468584249528, operationsPerMinute=77.44734292124764, mode=normal, start=Wed Jun 29 15:48:06 BST 2016, end=Wed Jun 29 15:52:06 BST 2016, operations=321.4161411884554, operationsPerMinute=80.35403529711385
benchmark-name=mpegaudio, mod=warmup, start=Wed Jun 29 15:52:11 BST 2016, end=Wed Jun 29 15:54:11 BST 2016, operations=108.09971846662039, operationsPerMinute=54.049859233310194, mode=normal, start=Wed Jun 29 15:54:17 BST 2016, end=Wed Jun 29 15:58:17 BST 2016, operations=217.16736032194962, operationsPerMinute=54.291840080487404
benchmark-name=scimark.fft.large, mod=warmup, start=Wed Jun 29 15:58:24 BST 2016, end=Wed Jun 29 16:00:24 BST 2016, operations=33.48397570821872, operationsPerMinute=16.74198785410936, mode=normal, start=Wed Jun 29 16:00:43 BST 2016, end=Wed Jun 29 16:04:43 BST 2016, operations=73.04191554315653, operationsPerMinute=18.260478885789134
benchmark-name=scimark.lu.large, mod=warmup, start=Wed Jun 29 16:04:59 BST 2016, end=Wed Jun 29 16:06:59 BST 2016, operations=8.465061846562001, operationsPerMinute=4.232530923281001, mode=normal, start=Wed Jun 29 16:08:31 BST 2016, end=Wed Jun 29 16:12:31 BST 2016, operations=17.216216582570397, operationsPerMinute=4.304054145642599
benchmark-name=scimark.sor.large, mod=warmup, start=Wed Jun 29 16:13:51 BST 2016, end=Wed Jun 29 16:15:51 BST 2016, operations=47.58898330382956, operationsPerMinute=23.79449165191478, mode=normal, start=Wed Jun 29 16:16:01 BST 2016, end=Wed Jun 29 16:20:01 BST 2016, operations=95.40222723035637, operationsPerMinute=23.850556807589093
benchmark-name=scimark.sparse.large, mod=warmup, start=Wed Jun 29 16:20:15 BST 2016, end=Wed Jun 29 16:22:15 BST 2016, operations=27.52971364673114, operationsPerMinute=13.76485682336557, mode=normal, start=Wed Jun 29 16:22:32 BST 2016, end=Wed Jun 29 16:26:32 BST 2016, operations=54.54247833556946, operationsPerMinute=13.635619583892366
