spec.jvm2008.report.run.location=BEDSONTC116
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Thu Jun 23 03:10:24 BST 2016, end=Thu Jun 23 03:10:24 BST 2016, operations=1.0, operationsPerMinute=320.85561497326205
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 03:10:24 BST 2016, end=Thu Jun 23 03:10:25 BST 2016, operations=1.0, operationsPerMinute=98.6842105263158
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 03:10:25 BST 2016, end=Thu Jun 23 03:10:53 BST 2016, operations=1.0, operationsPerMinute=2.14799699280421
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 03:10:53 BST 2016, end=Thu Jun 23 03:10:58 BST 2016, operations=1.0, operationsPerMinute=10.506040973559797
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 03:10:58 BST 2016, end=Thu Jun 23 03:11:00 BST 2016, operations=1.0, operationsPerMinute=35.27336860670194
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 03:11:00 BST 2016, end=Thu Jun 23 03:11:11 BST 2016, operations=1.0, operationsPerMinute=5.696382796923953
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 03:11:11 BST 2016, end=Thu Jun 23 03:11:20 BST 2016, operations=1.0, operationsPerMinute=6.745362563237774
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 03:11:20 BST 2016, end=Thu Jun 23 03:11:27 BST 2016, operations=1.0, operationsPerMinute=8.305647840531561
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 03:11:27 BST 2016, end=Thu Jun 23 03:11:30 BST 2016, operations=1.0, operationsPerMinute=19.12655403251514
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 03:11:30 BST 2016, end=Thu Jun 23 03:11:31 BST 2016, operations=1.0, operationsPerMinute=63.02521008403362
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 03:11:31 BST 2016, end=Thu Jun 23 03:11:32 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 03:11:32 BST 2016, end=Thu Jun 23 03:11:39 BST 2016, operations=1.0, operationsPerMinute=8.839127872716558
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 03:11:39 BST 2016, end=Thu Jun 23 03:11:41 BST 2016, operations=1.0, operationsPerMinute=34.64203233256351
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 03:11:41 BST 2016, end=Thu Jun 23 03:11:42 BST 2016, operations=1.0, operationsPerMinute=40.48582995951417
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 03:11:42 BST 2016, end=Thu Jun 23 03:11:45 BST 2016, operations=1.0, operationsPerMinute=18.393623543838135
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 03:11:45 BST 2016, end=Thu Jun 23 03:11:53 BST 2016, operations=1.0, operationsPerMinute=7.7369439071566735
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 03:11:53 BST 2016, end=Thu Jun 23 03:12:27 BST 2016, operations=1.0, operationsPerMinute=1.7975373737978968
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 03:12:27 BST 2016, end=Thu Jun 23 03:12:29 BST 2016, operations=1.0, operationsPerMinute=26.32733655111891
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 03:12:44 BST 2016, end=Thu Jun 23 03:14:44 BST 2016, operations=345.19690430923924, operationsPerMinute=172.59845215461962, mode=normal, start=Thu Jun 23 03:14:46 BST 2016, end=Thu Jun 23 03:18:46 BST 2016, operations=699.7388228498409, operationsPerMinute=174.93470571246021
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 03:18:52 BST 2016, end=Thu Jun 23 03:20:52 BST 2016, operations=138.51141332023133, operationsPerMinute=69.25570666011566, mode=normal, start=Thu Jun 23 03:20:57 BST 2016, end=Thu Jun 23 03:24:57 BST 2016, operations=273.6295872568288, operationsPerMinute=68.4073968142072
benchmark-name=compress, mod=warmup, start=Thu Jun 23 03:25:03 BST 2016, end=Thu Jun 23 03:27:03 BST 2016, operations=270.41245223411244, operationsPerMinute=135.20622611705622, mode=normal, start=Thu Jun 23 03:27:05 BST 2016, end=Thu Jun 23 03:31:05 BST 2016, operations=540.7653641956601, operationsPerMinute=135.19134104891504
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 03:31:09 BST 2016, end=Thu Jun 23 03:33:09 BST 2016, operations=85.97537955455923, operationsPerMinute=42.98768977727961, mode=normal, start=Thu Jun 23 03:33:17 BST 2016, end=Thu Jun 23 03:37:17 BST 2016, operations=181.8299550297171, operationsPerMinute=45.457488757429275
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 03:37:24 BST 2016, end=Thu Jun 23 03:39:24 BST 2016, operations=145.11510883614287, operationsPerMinute=72.55755441807143, mode=normal, start=Thu Jun 23 03:39:29 BST 2016, end=Thu Jun 23 03:43:29 BST 2016, operations=290.0385523396701, operationsPerMinute=72.50963808491753
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 03:43:35 BST 2016, end=Thu Jun 23 03:45:35 BST 2016, operations=247.73404098789516, operationsPerMinute=123.86702049394758, mode=normal, start=Thu Jun 23 03:45:37 BST 2016, end=Thu Jun 23 03:49:37 BST 2016, operations=495.82877221004696, operationsPerMinute=123.95719305251174
benchmark-name=derby, mod=warmup, start=Thu Jun 23 03:51:11 BST 2016, end=Thu Jun 23 03:53:11 BST 2016, operations=199.06998074212908, operationsPerMinute=99.53499037106454, mode=normal, start=Thu Jun 23 03:53:16 BST 2016, end=Thu Jun 23 03:57:16 BST 2016, operations=402.533547392459, operationsPerMinute=100.63338684811475
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 03:57:20 BST 2016, end=Thu Jun 23 03:59:20 BST 2016, operations=133.16159774284148, operationsPerMinute=66.58079887142074, mode=normal, start=Thu Jun 23 03:59:26 BST 2016, end=Thu Jun 23 04:03:26 BST 2016, operations=266.05130503383265, operationsPerMinute=66.51282625845816
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 04:03:33 BST 2016, end=Thu Jun 23 04:05:33 BST 2016, operations=78.0544191591113, operationsPerMinute=39.02720957955565, mode=normal, start=Thu Jun 23 04:05:41 BST 2016, end=Thu Jun 23 04:09:41 BST 2016, operations=168.20390290117075, operationsPerMinute=42.05097572529269
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 04:09:47 BST 2016, end=Thu Jun 23 04:11:47 BST 2016, operations=20.002240304318516, operationsPerMinute=10.001120152159258, mode=normal, start=Thu Jun 23 04:12:29 BST 2016, end=Thu Jun 23 04:16:29 BST 2016, operations=40.15360284325868, operationsPerMinute=10.03840071081467
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 04:17:05 BST 2016, end=Thu Jun 23 04:19:05 BST 2016, operations=55.03637063485108, operationsPerMinute=27.51818531742554, mode=normal, start=Thu Jun 23 04:19:16 BST 2016, end=Thu Jun 23 04:23:16 BST 2016, operations=110.05113021272145, operationsPerMinute=27.51278255318036
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 04:23:29 BST 2016, end=Thu Jun 23 04:25:29 BST 2016, operations=60.302456810982584, operationsPerMinute=30.151228405491292, mode=normal, start=Thu Jun 23 04:25:41 BST 2016, end=Thu Jun 23 04:29:41 BST 2016, operations=120.64621032262625, operationsPerMinute=30.16155258065656
