spec.jvm2008.report.run.location=BEDSONTC095
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:01:22 BST 2016, end=Fri Jun 03 15:01:22 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:01:22 BST 2016, end=Fri Jun 03 15:01:22 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:01:22 BST 2016, end=Fri Jun 03 15:01:37 BST 2016, operations=1.0, operationsPerMinute=3.961180431768667
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:01:37 BST 2016, end=Fri Jun 03 15:01:41 BST 2016, operations=1.0, operationsPerMinute=17.969451931716083
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:01:41 BST 2016, end=Fri Jun 03 15:01:42 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:01:42 BST 2016, end=Fri Jun 03 15:01:50 BST 2016, operations=1.0, operationsPerMinute=7.109004739336493
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:01:50 BST 2016, end=Fri Jun 03 15:01:58 BST 2016, operations=1.0, operationsPerMinute=8.063432334363661
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:01:58 BST 2016, end=Fri Jun 03 15:02:04 BST 2016, operations=1.0, operationsPerMinute=9.179926560587516
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:02:04 BST 2016, end=Fri Jun 03 15:02:07 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:02:07 BST 2016, end=Fri Jun 03 15:02:07 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:02:07 BST 2016, end=Fri Jun 03 15:02:08 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:02:08 BST 2016, end=Fri Jun 03 15:02:14 BST 2016, operations=1.0, operationsPerMinute=10.95690284879474
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:02:14 BST 2016, end=Fri Jun 03 15:02:15 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:02:15 BST 2016, end=Fri Jun 03 15:02:16 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:02:16 BST 2016, end=Fri Jun 03 15:02:18 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:02:18 BST 2016, end=Fri Jun 03 15:02:25 BST 2016, operations=1.0, operationsPerMinute=9.357454772301933
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:02:25 BST 2016, end=Fri Jun 03 15:02:45 BST 2016, operations=1.0, operationsPerMinute=2.9837386244964943
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:02:45 BST 2016, end=Fri Jun 03 15:02:46 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:02:56 BST 2016, end=Fri Jun 03 15:04:56 BST 2016, operations=475.19628025042397, operationsPerMinute=237.59814012521198, mode=normal, start=Fri Jun 03 15:04:58 BST 2016, end=Fri Jun 03 15:08:58 BST 2016, operations=980.023297349828, operationsPerMinute=245.005824337457
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:09:04 BST 2016, end=Fri Jun 03 15:11:04 BST 2016, operations=189.93527480370622, operationsPerMinute=94.96763740185311, mode=normal, start=Fri Jun 03 15:11:07 BST 2016, end=Fri Jun 03 15:15:07 BST 2016, operations=381.7611668620577, operationsPerMinute=95.44029171551442
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:15:11 BST 2016, end=Fri Jun 03 15:17:11 BST 2016, operations=401.819888730344, operationsPerMinute=200.909944365172, mode=normal, start=Fri Jun 03 15:17:13 BST 2016, end=Fri Jun 03 15:21:13 BST 2016, operations=804.7465299542291, operationsPerMinute=201.18663248855728
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:21:15 BST 2016, end=Fri Jun 03 15:23:15 BST 2016, operations=139.02360864051175, operationsPerMinute=69.51180432025588, mode=normal, start=Fri Jun 03 15:23:20 BST 2016, end=Fri Jun 03 15:27:20 BST 2016, operations=294.4066909340329, operationsPerMinute=73.60167273350822
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:27:24 BST 2016, end=Fri Jun 03 15:29:24 BST 2016, operations=236.6887950422799, operationsPerMinute=118.34439752113995, mode=normal, start=Fri Jun 03 15:29:27 BST 2016, end=Fri Jun 03 15:33:27 BST 2016, operations=473.97990753702635, operationsPerMinute=118.49497688425659
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:33:31 BST 2016, end=Fri Jun 03 15:35:31 BST 2016, operations=410.06322566322564, operationsPerMinute=205.03161283161282, mode=normal, start=Fri Jun 03 15:35:33 BST 2016, end=Fri Jun 03 15:39:33 BST 2016, operations=820.8785424281091, operationsPerMinute=205.21963560702727
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:40:13 BST 2016, end=Fri Jun 03 15:42:13 BST 2016, operations=360.4228325301953, operationsPerMinute=180.21141626509765, mode=normal, start=Fri Jun 03 15:42:15 BST 2016, end=Fri Jun 03 15:46:15 BST 2016, operations=721.8982225666048, operationsPerMinute=180.4745556416512
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:46:17 BST 2016, end=Fri Jun 03 15:48:17 BST 2016, operations=209.31902595952855, operationsPerMinute=104.65951297976427, mode=normal, start=Fri Jun 03 15:48:21 BST 2016, end=Fri Jun 03 15:52:21 BST 2016, operations=418.3847244872039, operationsPerMinute=104.59618112180098
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:52:24 BST 2016, end=Fri Jun 03 15:54:24 BST 2016, operations=70.95330629568069, operationsPerMinute=35.476653147840345, mode=normal, start=Fri Jun 03 15:54:33 BST 2016, end=Fri Jun 03 15:58:33 BST 2016, operations=139.32685203397864, operationsPerMinute=34.83171300849466
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 15:58:39 BST 2016, end=Fri Jun 03 16:00:39 BST 2016, operations=13.935249048347364, operationsPerMinute=6.967624524173682, mode=normal, start=Fri Jun 03 16:01:23 BST 2016, end=Fri Jun 03 16:05:23 BST 2016, operations=28.032543426717424, operationsPerMinute=7.008135856679356
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:06:12 BST 2016, end=Fri Jun 03 16:08:12 BST 2016, operations=67.22729687531611, operationsPerMinute=33.61364843765806, mode=normal, start=Fri Jun 03 16:08:20 BST 2016, end=Fri Jun 03 16:12:20 BST 2016, operations=150.4170210675676, operationsPerMinute=37.6042552668919
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:12:28 BST 2016, end=Fri Jun 03 16:14:28 BST 2016, operations=41.82038822865739, operationsPerMinute=20.910194114328696, mode=normal, start=Fri Jun 03 16:14:43 BST 2016, end=Fri Jun 03 16:18:43 BST 2016, operations=83.72722126490277, operationsPerMinute=20.93180531622569
