spec.jvm2008.report.run.location=RIDLEY2B020
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 25 07:52:07 BST 2016, end=Sat Jun 25 07:52:07 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 07:52:07 BST 2016, end=Sat Jun 25 07:52:07 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 07:52:07 BST 2016, end=Sat Jun 25 07:52:20 BST 2016, operations=1.0, operationsPerMinute=4.656216048424647
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 07:52:20 BST 2016, end=Sat Jun 25 07:52:23 BST 2016, operations=1.0, operationsPerMinute=18.315018315018314
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 07:52:23 BST 2016, end=Sat Jun 25 07:52:24 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 07:52:24 BST 2016, end=Sat Jun 25 07:52:33 BST 2016, operations=1.0, operationsPerMinute=7.122507122507122
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 07:52:33 BST 2016, end=Sat Jun 25 07:52:40 BST 2016, operations=1.0, operationsPerMinute=7.849293563579278
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 07:52:40 BST 2016, end=Sat Jun 25 07:52:47 BST 2016, operations=1.0, operationsPerMinute=9.179926560587516
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 07:52:47 BST 2016, end=Sat Jun 25 07:52:49 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 07:52:49 BST 2016, end=Sat Jun 25 07:52:50 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 07:52:50 BST 2016, end=Sat Jun 25 07:52:51 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 07:52:51 BST 2016, end=Sat Jun 25 07:52:56 BST 2016, operations=1.0, operationsPerMinute=10.895224260032686
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 07:52:56 BST 2016, end=Sat Jun 25 07:52:58 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 07:52:58 BST 2016, end=Sat Jun 25 07:52:59 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 07:52:59 BST 2016, end=Sat Jun 25 07:53:01 BST 2016, operations=1.0, operationsPerMinute=27.86809103576405
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 07:53:01 BST 2016, end=Sat Jun 25 07:53:07 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 07:53:07 BST 2016, end=Sat Jun 25 07:53:27 BST 2016, operations=1.0, operationsPerMinute=2.9929665286576546
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 07:53:27 BST 2016, end=Sat Jun 25 07:53:28 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 07:53:38 BST 2016, end=Sat Jun 25 07:55:38 BST 2016, operations=486.7880142702872, operationsPerMinute=243.3940071351436, mode=normal, start=Sat Jun 25 07:55:40 BST 2016, end=Sat Jun 25 07:59:40 BST 2016, operations=965.4358186146362, operationsPerMinute=241.35895465365905
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 07:59:44 BST 2016, end=Sat Jun 25 08:01:44 BST 2016, operations=196.31861803362085, operationsPerMinute=98.15930901681043, mode=normal, start=Sat Jun 25 08:01:47 BST 2016, end=Sat Jun 25 08:05:47 BST 2016, operations=380.4561032646609, operationsPerMinute=95.11402581616522
benchmark-name=compress, mod=warmup, start=Sat Jun 25 08:05:51 BST 2016, end=Sat Jun 25 08:07:51 BST 2016, operations=396.4559699044113, operationsPerMinute=198.22798495220565, mode=normal, start=Sat Jun 25 08:07:53 BST 2016, end=Sat Jun 25 08:11:53 BST 2016, operations=794.6544623190744, operationsPerMinute=198.6636155797686
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 08:11:55 BST 2016, end=Sat Jun 25 08:13:55 BST 2016, operations=138.1075556732389, operationsPerMinute=69.05377783661945, mode=normal, start=Sat Jun 25 08:14:00 BST 2016, end=Sat Jun 25 08:18:00 BST 2016, operations=291.90429038729775, operationsPerMinute=72.97607259682444
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 08:18:04 BST 2016, end=Sat Jun 25 08:20:04 BST 2016, operations=236.07703777335985, operationsPerMinute=118.03851888667992, mode=normal, start=Sat Jun 25 08:20:08 BST 2016, end=Sat Jun 25 08:24:08 BST 2016, operations=471.93005122295756, operationsPerMinute=117.98251280573939
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 08:24:12 BST 2016, end=Sat Jun 25 08:26:12 BST 2016, operations=405.134188034188, operationsPerMinute=202.567094017094, mode=normal, start=Sat Jun 25 08:26:13 BST 2016, end=Sat Jun 25 08:30:13 BST 2016, operations=812.9552399071791, operationsPerMinute=203.23880997679478
benchmark-name=derby, mod=warmup, start=Sat Jun 25 08:30:36 BST 2016, end=Sat Jun 25 08:32:36 BST 2016, operations=353.92427276998154, operationsPerMinute=176.96213638499077, mode=normal, start=Sat Jun 25 08:32:38 BST 2016, end=Sat Jun 25 08:36:38 BST 2016, operations=709.7262561437717, operationsPerMinute=177.43156403594293
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 08:36:40 BST 2016, end=Sat Jun 25 08:38:40 BST 2016, operations=206.80244981168255, operationsPerMinute=103.40122490584127, mode=normal, start=Sat Jun 25 08:38:44 BST 2016, end=Sat Jun 25 08:42:44 BST 2016, operations=413.73148711560515, operationsPerMinute=103.43287177890129
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 08:42:48 BST 2016, end=Sat Jun 25 08:44:48 BST 2016, operations=78.63170274085445, operationsPerMinute=39.315851370427225, mode=normal, start=Sat Jun 25 08:44:55 BST 2016, end=Sat Jun 25 08:48:55 BST 2016, operations=141.68203037059703, operationsPerMinute=35.42050759264926
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 08:49:04 BST 2016, end=Sat Jun 25 08:51:04 BST 2016, operations=13.739115200871064, operationsPerMinute=6.869557600435532, mode=normal, start=Sat Jun 25 08:51:49 BST 2016, end=Sat Jun 25 08:55:49 BST 2016, operations=27.73694399029405, operationsPerMinute=6.934235997573513
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 08:56:26 BST 2016, end=Sat Jun 25 08:58:26 BST 2016, operations=74.0029376630161, operationsPerMinute=37.00146883150805, mode=normal, start=Sat Jun 25 08:58:35 BST 2016, end=Sat Jun 25 09:02:35 BST 2016, operations=132.33169874073826, operationsPerMinute=33.082924685184565
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 09:02:48 BST 2016, end=Sat Jun 25 09:04:48 BST 2016, operations=42.3676642929805, operationsPerMinute=21.18383214649025, mode=normal, start=Sat Jun 25 09:05:01 BST 2016, end=Sat Jun 25 09:09:01 BST 2016, operations=84.51916091163855, operationsPerMinute=21.129790227909638
