spec.jvm2008.report.run.location=OLDLIB032
spec.jvm2008.report.hw.cpu.name=Intel(R) Xeon(R) CPU E31270 @ 3.40GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=16341
benchmark-name=check, mode=normal, start=Sat Jun 04 16:07:55 BST 2016, end=Sat Jun 04 16:07:55 BST 2016, operations=1.0, operationsPerMinute=731.7073170731708
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:07:55 BST 2016, end=Sat Jun 04 16:07:56 BST 2016, operations=1.0, operationsPerMinute=52.038161318300084
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:07:56 BST 2016, end=Sat Jun 04 16:08:25 BST 2016, operations=1.0, operationsPerMinute=2.0782099684804822
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:08:25 BST 2016, end=Sat Jun 04 16:08:31 BST 2016, operations=1.0, operationsPerMinute=10.458427749694962
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:08:31 BST 2016, end=Sat Jun 04 16:08:32 BST 2016, operations=1.0, operationsPerMinute=39.31847968545216
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:08:32 BST 2016, end=Sat Jun 04 16:08:42 BST 2016, operations=1.0, operationsPerMinute=6.24934902614311
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:08:42 BST 2016, end=Sat Jun 04 16:08:50 BST 2016, operations=1.0, operationsPerMinute=7.578628268283441
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:08:50 BST 2016, end=Sat Jun 04 16:08:57 BST 2016, operations=1.0, operationsPerMinute=8.850862959138516
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:08:57 BST 2016, end=Sat Jun 04 16:09:00 BST 2016, operations=1.0, operationsPerMinute=21.015761821366024
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:09:00 BST 2016, end=Sat Jun 04 16:09:00 BST 2016, operations=1.0, operationsPerMinute=68.02721088435374
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:09:00 BST 2016, end=Sat Jun 04 16:09:02 BST 2016, operations=1.0, operationsPerMinute=52.53940455341506
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:09:02 BST 2016, end=Sat Jun 04 16:09:08 BST 2016, operations=1.0, operationsPerMinute=9.203865623561896
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:09:08 BST 2016, end=Sat Jun 04 16:09:10 BST 2016, operations=1.0, operationsPerMinute=38.28972559029994
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:09:10 BST 2016, end=Sat Jun 04 16:09:11 BST 2016, operations=1.0, operationsPerMinute=48.504446240905416
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:09:11 BST 2016, end=Sat Jun 04 16:09:14 BST 2016, operations=1.0, operationsPerMinute=21.134202183867558
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:09:14 BST 2016, end=Sat Jun 04 16:09:21 BST 2016, operations=1.0, operationsPerMinute=8.526360665056131
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:09:21 BST 2016, end=Sat Jun 04 16:09:50 BST 2016, operations=1.0, operationsPerMinute=2.0596615289554085
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:09:50 BST 2016, end=Sat Jun 04 16:09:52 BST 2016, operations=1.0, operationsPerMinute=37.406483790523694
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:10:10 BST 2016, end=Sat Jun 04 16:12:10 BST 2016, operations=424.5628532481288, operationsPerMinute=212.2814266240644, mode=normal, start=Sat Jun 04 16:12:13 BST 2016, end=Sat Jun 04 16:16:13 BST 2016, operations=852.19717991485, operationsPerMinute=213.0492949787125
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:16:20 BST 2016, end=Sat Jun 04 16:18:20 BST 2016, operations=169.09709931322047, operationsPerMinute=84.54854965661023, mode=normal, start=Sat Jun 04 16:18:28 BST 2016, end=Sat Jun 04 16:22:28 BST 2016, operations=332.1998928421564, operationsPerMinute=83.0499732105391
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:22:38 BST 2016, end=Sat Jun 04 16:24:38 BST 2016, operations=441.6862341556713, operationsPerMinute=220.84311707783564, mode=normal, start=Sat Jun 04 16:24:42 BST 2016, end=Sat Jun 04 16:28:42 BST 2016, operations=868.9058489749123, operationsPerMinute=217.22646224372807
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:28:46 BST 2016, end=Sat Jun 04 16:30:46 BST 2016, operations=110.95286492394091, operationsPerMinute=55.476432461970454, mode=normal, start=Sat Jun 04 16:30:57 BST 2016, end=Sat Jun 04 16:34:57 BST 2016, operations=234.08898998388872, operationsPerMinute=58.52224749597218
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:35:09 BST 2016, end=Sat Jun 04 16:37:09 BST 2016, operations=196.89837915396805, operationsPerMinute=98.44918957698403, mode=normal, start=Sat Jun 04 16:37:16 BST 2016, end=Sat Jun 04 16:41:16 BST 2016, operations=406.09756445477905, operationsPerMinute=101.52439111369476
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:41:23 BST 2016, end=Sat Jun 04 16:43:23 BST 2016, operations=349.52317952409766, operationsPerMinute=174.76158976204883, mode=normal, start=Sat Jun 04 16:43:28 BST 2016, end=Sat Jun 04 16:47:28 BST 2016, operations=708.7226720826459, operationsPerMinute=177.18066802066147
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:49:21 BST 2016, end=Sat Jun 04 16:51:21 BST 2016, operations=261.9376166069706, operationsPerMinute=130.9688083034853, mode=normal, start=Sat Jun 04 16:51:29 BST 2016, end=Sat Jun 04 16:55:29 BST 2016, operations=553.8646013523562, operationsPerMinute=138.46615033808905
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:55:35 BST 2016, end=Sat Jun 04 16:57:35 BST 2016, operations=187.55797497877444, operationsPerMinute=93.77898748938722, mode=normal, start=Sat Jun 04 16:57:42 BST 2016, end=Sat Jun 04 17:01:42 BST 2016, operations=380.3454499314287, operationsPerMinute=95.08636248285717
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 17:01:49 BST 2016, end=Sat Jun 04 17:03:49 BST 2016, operations=86.44464597043638, operationsPerMinute=43.22232298521819, mode=normal, start=Sat Jun 04 17:04:06 BST 2016, end=Sat Jun 04 17:08:06 BST 2016, operations=168.19205124347837, operationsPerMinute=42.048012810869594
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:08:21 BST 2016, end=Sat Jun 04 17:10:21 BST 2016, operations=19.513672873421672, operationsPerMinute=9.756836436710836, mode=normal, start=Sat Jun 04 17:11:32 BST 2016, end=Sat Jun 04 17:15:32 BST 2016, operations=39.07029969643479, operationsPerMinute=9.767574924108697
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:16:33 BST 2016, end=Sat Jun 04 17:18:33 BST 2016, operations=104.71091606561112, operationsPerMinute=52.35545803280556, mode=normal, start=Sat Jun 04 17:18:47 BST 2016, end=Sat Jun 04 17:22:47 BST 2016, operations=212.50315014400897, operationsPerMinute=53.12578753600224
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:23:03 BST 2016, end=Sat Jun 04 17:25:03 BST 2016, operations=56.99872449279617, operationsPerMinute=28.499362246398086, mode=normal, start=Sat Jun 04 17:25:26 BST 2016, end=Sat Jun 04 17:29:26 BST 2016, operations=113.83602807563567, operationsPerMinute=28.459007018908917
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 04 17:29:55 BST 2016, end=Sat Jun 04 17:31:55 BST 2016, operations=657.7246048899266, operationsPerMinute=328.8623024449633, mode=normal, start=Sat Jun 04 17:31:57 BST 2016, end=Sat Jun 04 17:35:57 BST 2016, operations=1384.60859823629, operationsPerMinute=346.1521495590725
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jun 04 17:36:00 BST 2016, end=Sat Jun 04 17:38:00 BST 2016, operations=430.3828924306264, operationsPerMinute=215.1914462153132, mode=normal, start=Sat Jun 04 17:38:04 BST 2016, end=Sat Jun 04 17:42:04 BST 2016, operations=860.8374188568532, operationsPerMinute=215.2093547142133
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jun 04 17:42:07 BST 2016, end=Sat Jun 04 17:44:07 BST 2016, operations=528.7750588611902, operationsPerMinute=264.3875294305951, mode=normal, start=Sat Jun 04 17:44:10 BST 2016, end=Sat Jun 04 17:48:10 BST 2016, operations=1071.2992926336508, operationsPerMinute=267.8248231584127
benchmark-name=scimark.sparse.small, mod=warmup, start=Sat Jun 04 17:48:13 BST 2016, end=Sat Jun 04 17:50:13 BST 2016, operations=358.0761543240193, operationsPerMinute=179.03807716200964, mode=normal, start=Sat Jun 04 17:50:17 BST 2016, end=Sat Jun 04 17:54:17 BST 2016, operations=723.1230098000257, operationsPerMinute=180.78075245000642
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sat Jun 04 17:54:21 BST 2016, end=Sat Jun 04 17:56:21 BST 2016, operations=128.79972941961577, operationsPerMinute=64.39986470980789, mode=normal, start=Sat Jun 04 17:56:32 BST 2016, end=Sat Jun 04 18:00:32 BST 2016, operations=272.97636411316154, operationsPerMinute=68.24409102829038
benchmark-name=serial, mod=warmup, start=Sat Jun 04 18:00:44 BST 2016, end=Sat Jun 04 18:02:44 BST 2016, operations=185.8672980177878, operationsPerMinute=92.9336490088939, mode=normal, start=Sat Jun 04 18:02:52 BST 2016, end=Sat Jun 04 18:06:52 BST 2016, operations=381.4657162647863, operationsPerMinute=95.36642906619657
benchmark-name=sunflow, mod=warmup, start=Sat Jun 04 18:07:01 BST 2016, end=Sat Jun 04 18:09:01 BST 2016, operations=156.87027811271037, operationsPerMinute=78.43513905635518, mode=normal, start=Sat Jun 04 18:09:05 BST 2016, end=Sat Jun 04 18:13:05 BST 2016, operations=316.1510066405928, operationsPerMinute=79.0377516601482
benchmark-name=xml.transform, mod=warmup, start=Sat Jun 04 18:13:37 BST 2016, end=Sat Jun 04 18:15:37 BST 2016, operations=427.5312248342209, operationsPerMinute=213.76561241711045, mode=normal, start=Sat Jun 04 18:15:40 BST 2016, end=Sat Jun 04 18:19:40 BST 2016, operations=849.0517119672729, operationsPerMinute=212.26292799181823
benchmark-name=xml.validation, mod=warmup, start=Sat Jun 04 18:19:44 BST 2016, end=Sat Jun 04 18:21:44 BST 2016, operations=557.5680539047098, operationsPerMinute=278.7840269523549, mode=normal, start=Sat Jun 04 18:21:47 BST 2016, end=Sat Jun 04 18:25:47 BST 2016, operations=1161.8135365060496, operationsPerMinute=290.4533841265124
##-nursultan-##,OLDLIB032,Intel(R) Xeon(R) CPU E31270 @ 3.40GHz,4,16341,check,Sat Jun 04 16:07:55 BST 2016,Sat Jun 04 16:07:55 BST 2016,1.0,731.7073170731708,startup.helloworld,Sat Jun 04 16:07:55 BST 2016,Sat Jun 04 16:07:56 BST 2016,1.0,52.038161318300084,startup.compiler.compiler,Sat Jun 04 16:07:56 BST 2016,Sat Jun 04 16:08:25 BST 2016,1.0,2.0782099684804822,startup.compiler.sunflow,Sat Jun 04 16:08:25 BST 2016,Sat Jun 04 16:08:31 BST 2016,1.0,10.458427749694962,startup.compress,Sat Jun 04 16:08:31 BST 2016,Sat Jun 04 16:08:32 BST 2016,1.0,39.31847968545216,startup.crypto.aes,Sat Jun 04 16:08:32 BST 2016,Sat Jun 04 16:08:42 BST 2016,1.0,6.24934902614311,startup.crypto.rsa,Sat Jun 04 16:08:42 BST 2016,Sat Jun 04 16:08:50 BST 2016,1.0,7.578628268283441,startup.crypto.signverify,Sat Jun 04 16:08:50 BST 2016,Sat Jun 04 16:08:57 BST 2016,1.0,8.850862959138516,startup.mpegaudio,Sat Jun 04 16:08:57 BST 2016,Sat Jun 04 16:09:00 BST 2016,1.0,21.015761821366024,startup.scimark.fft,Sat Jun 04 16:09:00 BST 2016,Sat Jun 04 16:09:00 BST 2016,1.0,68.02721088435374,startup.scimark.lu,Sat Jun 04 16:09:00 BST 2016,Sat Jun 04 16:09:02 BST 2016,1.0,52.53940455341506,startup.scimark.monte_carlo,Sat Jun 04 16:09:02 BST 2016,Sat Jun 04 16:09:08 BST 2016,1.0,9.203865623561896,startup.scimark.sor,Sat Jun 04 16:09:08 BST 2016,Sat Jun 04 16:09:10 BST 2016,1.0,38.28972559029994,startup.scimark.sparse,Sat Jun 04 16:09:10 BST 2016,Sat Jun 04 16:09:11 BST 2016,1.0,48.504446240905416,startup.serial,Sat Jun 04 16:09:11 BST 2016,Sat Jun 04 16:09:14 BST 2016,1.0,21.134202183867558,startup.sunflow,Sat Jun 04 16:09:14 BST 2016,Sat Jun 04 16:09:21 BST 2016,1.0,8.526360665056131,startup.xml.transform,Sat Jun 04 16:09:21 BST 2016,Sat Jun 04 16:09:50 BST 2016,1.0,2.0596615289554085,startup.xml.validation,Sat Jun 04 16:09:50 BST 2016,Sat Jun 04 16:09:52 BST 2016,1.0,37.406483790523694,compiler.compiler,Sat Jun 04 16:10:10 BST 2016,Sat Jun 04 16:12:10 BST 2016,424.5628532481288,212.2814266240644,Sat Jun 04 16:12:13 BST 2016,Sat Jun 04 16:16:13 BST 2016,852.19717991485,213.0492949787125,compiler.sunflow,Sat Jun 04 16:16:20 BST 2016,Sat Jun 04 16:18:20 BST 2016,169.09709931322047,84.54854965661023,Sat Jun 04 16:18:28 BST 2016,Sat Jun 04 16:22:28 BST 2016,332.1998928421564,83.0499732105391,compress,Sat Jun 04 16:22:38 BST 2016,Sat Jun 04 16:24:38 BST 2016,441.6862341556713,220.84311707783564,Sat Jun 04 16:24:42 BST 2016,Sat Jun 04 16:28:42 BST 2016,868.9058489749123,217.22646224372807,crypto.aes,Sat Jun 04 16:28:46 BST 2016,Sat Jun 04 16:30:46 BST 2016,110.95286492394091,55.476432461970454,Sat Jun 04 16:30:57 BST 2016,Sat Jun 04 16:34:57 BST 2016,234.08898998388872,58.52224749597218,crypto.rsa,Sat Jun 04 16:35:09 BST 2016,Sat Jun 04 16:37:09 BST 2016,196.89837915396805,98.44918957698403,Sat Jun 04 16:37:16 BST 2016,Sat Jun 04 16:41:16 BST 2016,406.09756445477905,101.52439111369476,crypto.signverify,Sat Jun 04 16:41:23 BST 2016,Sat Jun 04 16:43:23 BST 2016,349.52317952409766,174.76158976204883,Sat Jun 04 16:43:28 BST 2016,Sat Jun 04 16:47:28 BST 2016,708.7226720826459,177.18066802066147,derby,Sat Jun 04 16:49:21 BST 2016,Sat Jun 04 16:51:21 BST 2016,261.9376166069706,130.9688083034853,Sat Jun 04 16:51:29 BST 2016,Sat Jun 04 16:55:29 BST 2016,553.8646013523562,138.46615033808905,mpegaudio,Sat Jun 04 16:55:35 BST 2016,Sat Jun 04 16:57:35 BST 2016,187.55797497877444,93.77898748938722,Sat Jun 04 16:57:42 BST 2016,Sat Jun 04 17:01:42 BST 2016,380.3454499314287,95.08636248285717,scimark.fft.large,Sat Jun 04 17:01:49 BST 2016,Sat Jun 04 17:03:49 BST 2016,86.44464597043638,43.22232298521819,Sat Jun 04 17:04:06 BST 2016,Sat Jun 04 17:08:06 BST 2016,168.19205124347837,42.048012810869594,scimark.lu.large,Sat Jun 04 17:08:21 BST 2016,Sat Jun 04 17:10:21 BST 2016,19.513672873421672,9.756836436710836,Sat Jun 04 17:11:32 BST 2016,Sat Jun 04 17:15:32 BST 2016,39.07029969643479,9.767574924108697,scimark.sor.large,Sat Jun 04 17:16:33 BST 2016,Sat Jun 04 17:18:33 BST 2016,104.71091606561112,52.35545803280556,Sat Jun 04 17:18:47 BST 2016,Sat Jun 04 17:22:47 BST 2016,212.50315014400897,53.12578753600224,scimark.sparse.large,Sat Jun 04 17:23:03 BST 2016,Sat Jun 04 17:25:03 BST 2016,56.99872449279617,28.499362246398086,Sat Jun 04 17:25:26 BST 2016,Sat Jun 04 17:29:26 BST 2016,113.83602807563567,28.459007018908917,scimark.fft.small,Sat Jun 04 17:29:55 BST 2016,Sat Jun 04 17:31:55 BST 2016,657.7246048899266,328.8623024449633,Sat Jun 04 17:31:57 BST 2016,Sat Jun 04 17:35:57 BST 2016,1384.60859823629,346.1521495590725,scimark.lu.small,Sat Jun 04 17:36:00 BST 2016,Sat Jun 04 17:38:00 BST 2016,430.3828924306264,215.1914462153132,Sat Jun 04 17:38:04 BST 2016,Sat Jun 04 17:42:04 BST 2016,860.8374188568532,215.2093547142133,scimark.sor.small,Sat Jun 04 17:42:07 BST 2016,Sat Jun 04 17:44:07 BST 2016,528.7750588611902,264.3875294305951,Sat Jun 04 17:44:10 BST 2016,Sat Jun 04 17:48:10 BST 2016,1071.2992926336508,267.8248231584127,scimark.sparse.small,Sat Jun 04 17:48:13 BST 2016,Sat Jun 04 17:50:13 BST 2016,358.0761543240193,179.03807716200964,Sat Jun 04 17:50:17 BST 2016,Sat Jun 04 17:54:17 BST 2016,723.1230098000257,180.78075245000642,scimark.monte_carlo,Sat Jun 04 17:54:21 BST 2016,Sat Jun 04 17:56:21 BST 2016,128.79972941961577,64.39986470980789,Sat Jun 04 17:56:32 BST 2016,Sat Jun 04 18:00:32 BST 2016,272.97636411316154,68.24409102829038,serial,Sat Jun 04 18:00:44 BST 2016,Sat Jun 04 18:02:44 BST 2016,185.8672980177878,92.9336490088939,Sat Jun 04 18:02:52 BST 2016,Sat Jun 04 18:06:52 BST 2016,381.4657162647863,95.36642906619657,sunflow,Sat Jun 04 18:07:01 BST 2016,Sat Jun 04 18:09:01 BST 2016,156.87027811271037,78.43513905635518,Sat Jun 04 18:09:05 BST 2016,Sat Jun 04 18:13:05 BST 2016,316.1510066405928,79.0377516601482,xml.transform,Sat Jun 04 18:13:37 BST 2016,Sat Jun 04 18:15:37 BST 2016,427.5312248342209,213.76561241711045,Sat Jun 04 18:15:40 BST 2016,Sat Jun 04 18:19:40 BST 2016,849.0517119672729,212.26292799181823,xml.validation,Sat Jun 04 18:19:44 BST 2016,Sat Jun 04 18:21:44 BST 2016,557.5680539047098,278.7840269523549,Sat Jun 04 18:21:47 BST 2016,Sat Jun 04 18:25:47 BST 2016,1161.8135365060496,290.4533841265124
