spec.jvm2008.report.run.location=HOPE14
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Fri Jun 24 09:26:46 BST 2016, end=Fri Jun 24 09:26:46 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 09:26:46 BST 2016, end=Fri Jun 24 09:26:46 BST 2016, operations=1.0, operationsPerMinute=148.14814814814815
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 09:26:46 BST 2016, end=Fri Jun 24 09:27:09 BST 2016, operations=1.0, operationsPerMinute=2.6451527575717497
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 09:27:09 BST 2016, end=Fri Jun 24 09:27:14 BST 2016, operations=1.0, operationsPerMinute=12.906001290600129
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 09:27:14 BST 2016, end=Fri Jun 24 09:27:15 BST 2016, operations=1.0, operationsPerMinute=37.336652146857496
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 09:27:15 BST 2016, end=Fri Jun 24 09:27:25 BST 2016, operations=1.0, operationsPerMinute=5.99101347978033
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 09:27:25 BST 2016, end=Fri Jun 24 09:27:34 BST 2016, operations=1.0, operationsPerMinute=7.04390702042733
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 09:27:34 BST 2016, end=Fri Jun 24 09:27:41 BST 2016, operations=1.0, operationsPerMinute=8.046131151937777
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 09:27:41 BST 2016, end=Fri Jun 24 09:27:44 BST 2016, operations=1.0, operationsPerMinute=19.04157410345922
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 09:27:44 BST 2016, end=Fri Jun 24 09:27:45 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 09:27:45 BST 2016, end=Fri Jun 24 09:27:46 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 09:27:46 BST 2016, end=Fri Jun 24 09:27:53 BST 2016, operations=1.0, operationsPerMinute=8.965929468021518
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 09:27:53 BST 2016, end=Fri Jun 24 09:27:55 BST 2016, operations=1.0, operationsPerMinute=35.27336860670194
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 09:27:55 BST 2016, end=Fri Jun 24 09:27:56 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 09:27:56 BST 2016, end=Fri Jun 24 09:27:59 BST 2016, operations=1.0, operationsPerMinute=19.329896907216494
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 09:27:59 BST 2016, end=Fri Jun 24 09:28:06 BST 2016, operations=1.0, operationsPerMinute=8.43407365757661
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 09:28:06 BST 2016, end=Fri Jun 24 09:28:35 BST 2016, operations=1.0, operationsPerMinute=2.0677533859461694
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 09:28:35 BST 2016, end=Fri Jun 24 09:28:37 BST 2016, operations=1.0, operationsPerMinute=46.33204633204633
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 09:28:52 BST 2016, end=Fri Jun 24 09:30:52 BST 2016, operations=353.5014653645856, operationsPerMinute=176.7507326822928, mode=normal, start=Fri Jun 24 09:30:54 BST 2016, end=Fri Jun 24 09:34:54 BST 2016, operations=715.2768076890699, operationsPerMinute=178.81920192226747
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 09:35:00 BST 2016, end=Fri Jun 24 09:37:00 BST 2016, operations=137.83150829989293, operationsPerMinute=68.91575414994647, mode=normal, start=Fri Jun 24 09:37:05 BST 2016, end=Fri Jun 24 09:41:05 BST 2016, operations=276.1367851711369, operationsPerMinute=69.03419629278423
benchmark-name=compress, mod=warmup, start=Fri Jun 24 09:41:10 BST 2016, end=Fri Jun 24 09:43:10 BST 2016, operations=269.71443508805623, operationsPerMinute=134.85721754402812, mode=normal, start=Fri Jun 24 09:43:13 BST 2016, end=Fri Jun 24 09:47:13 BST 2016, operations=539.4944059716869, operationsPerMinute=134.87360149292172
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 09:47:15 BST 2016, end=Fri Jun 24 09:49:15 BST 2016, operations=85.34105360851599, operationsPerMinute=42.670526804257996, mode=normal, start=Fri Jun 24 09:49:22 BST 2016, end=Fri Jun 24 09:53:22 BST 2016, operations=179.98716240986386, operationsPerMinute=44.996790602465964
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 09:53:29 BST 2016, end=Fri Jun 24 09:55:29 BST 2016, operations=147.37613615280787, operationsPerMinute=73.68806807640394, mode=normal, start=Fri Jun 24 09:55:34 BST 2016, end=Fri Jun 24 09:59:34 BST 2016, operations=294.6969988520023, operationsPerMinute=73.67424971300058
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 09:59:38 BST 2016, end=Fri Jun 24 10:01:38 BST 2016, operations=251.8944544766842, operationsPerMinute=125.9472272383421, mode=normal, start=Fri Jun 24 10:01:40 BST 2016, end=Fri Jun 24 10:05:40 BST 2016, operations=506.46091653285697, operationsPerMinute=126.61522913321424
benchmark-name=derby, mod=warmup, start=Fri Jun 24 10:07:08 BST 2016, end=Fri Jun 24 10:09:08 BST 2016, operations=203.56605406271782, operationsPerMinute=101.78302703135891, mode=normal, start=Fri Jun 24 10:09:11 BST 2016, end=Fri Jun 24 10:13:11 BST 2016, operations=410.22495261650147, operationsPerMinute=102.55623815412537
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 10:13:14 BST 2016, end=Fri Jun 24 10:15:14 BST 2016, operations=133.86086416711433, operationsPerMinute=66.93043208355716, mode=normal, start=Fri Jun 24 10:15:20 BST 2016, end=Fri Jun 24 10:19:20 BST 2016, operations=267.82889045941744, operationsPerMinute=66.95722261485436
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 10:19:26 BST 2016, end=Fri Jun 24 10:21:26 BST 2016, operations=55.81782722811886, operationsPerMinute=27.90891361405943, mode=normal, start=Fri Jun 24 10:21:40 BST 2016, end=Fri Jun 24 10:25:40 BST 2016, operations=119.85546052165175, operationsPerMinute=29.963865130412938
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 10:25:48 BST 2016, end=Fri Jun 24 10:27:48 BST 2016, operations=11.475698993579146, operationsPerMinute=5.737849496789573, mode=normal, start=Fri Jun 24 10:28:25 BST 2016, end=Fri Jun 24 10:32:25 BST 2016, operations=23.035154559224594, operationsPerMinute=5.7587886398061485
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 10:33:05 BST 2016, end=Fri Jun 24 10:35:05 BST 2016, operations=53.466250154079916, operationsPerMinute=26.733125077039958, mode=normal, start=Fri Jun 24 10:35:17 BST 2016, end=Fri Jun 24 10:39:17 BST 2016, operations=106.34298382045752, operationsPerMinute=26.58574595511438
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 10:39:30 BST 2016, end=Fri Jun 24 10:41:30 BST 2016, operations=37.131068640513696, operationsPerMinute=18.565534320256848, mode=normal, start=Fri Jun 24 10:41:49 BST 2016, end=Fri Jun 24 10:45:49 BST 2016, operations=74.22131994377375, operationsPerMinute=18.555329985943438
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jun 24 10:46:08 BST 2016, end=Fri Jun 24 10:48:08 BST 2016, operations=513.7590972975853, operationsPerMinute=256.87954864879265, mode=normal, start=Fri Jun 24 10:48:09 BST 2016, end=Fri Jun 24 10:52:09 BST 2016, operations=1001.2694959135779, operationsPerMinute=250.31737397839447
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jun 24 10:52:11 BST 2016, end=Fri Jun 24 10:54:11 BST 2016, operations=370.41832393286177, operationsPerMinute=185.20916196643088, mode=normal, start=Fri Jun 24 10:54:13 BST 2016, end=Fri Jun 24 10:58:13 BST 2016, operations=738.046342032884, operationsPerMinute=184.511585508221
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jun 24 10:58:15 BST 2016, end=Fri Jun 24 11:00:15 BST 2016, operations=243.3357022482818, operationsPerMinute=121.6678511241409, mode=normal, start=Fri Jun 24 11:00:18 BST 2016, end=Fri Jun 24 11:04:18 BST 2016, operations=485.5119724183629, operationsPerMinute=121.37799310459073
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri Jun 24 11:04:22 BST 2016, end=Fri Jun 24 11:06:22 BST 2016, operations=307.5347486030461, operationsPerMinute=153.76737430152306, mode=normal, start=Fri Jun 24 11:06:24 BST 2016, end=Fri Jun 24 11:10:24 BST 2016, operations=614.071577464175, operationsPerMinute=153.51789436604375
benchmark-name=scimark.monte_carlo, mod=warmup, start=Fri Jun 24 11:10:26 BST 2016, end=Fri Jun 24 11:12:26 BST 2016, operations=77.76258253611697, operationsPerMinute=38.88129126805848, mode=normal, start=Fri Jun 24 11:12:34 BST 2016, end=Fri Jun 24 11:16:34 BST 2016, operations=157.86167162871416, operationsPerMinute=39.46541790717854
benchmark-name=serial, mod=warmup, start=Fri Jun 24 11:16:43 BST 2016, end=Fri Jun 24 11:18:43 BST 2016, operations=144.01426370988122, operationsPerMinute=72.00713185494061, mode=normal, start=Fri Jun 24 11:18:49 BST 2016, end=Fri Jun 24 11:22:49 BST 2016, operations=283.1224538206572, operationsPerMinute=70.7806134551643
benchmark-name=sunflow, mod=warmup, start=Fri Jun 24 11:22:54 BST 2016, end=Fri Jun 24 11:24:54 BST 2016, operations=110.0608236605679, operationsPerMinute=55.03041183028395, mode=normal, start=Fri Jun 24 11:24:56 BST 2016, end=Fri Jun 24 11:28:56 BST 2016, operations=219.9521306639541, operationsPerMinute=54.98803266598853
