spec.jvm2008.report.run.location=PERCY006
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 26 23:08:49 BST 2016, end=Sun Jun 26 23:08:49 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 23:08:49 BST 2016, end=Sun Jun 26 23:08:49 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 23:08:49 BST 2016, end=Sun Jun 26 23:09:01 BST 2016, operations=1.0, operationsPerMinute=4.730741938027281
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 23:09:01 BST 2016, end=Sun Jun 26 23:09:05 BST 2016, operations=1.0, operationsPerMinute=18.49568434032059
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 23:09:05 BST 2016, end=Sun Jun 26 23:09:06 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 23:09:06 BST 2016, end=Sun Jun 26 23:09:14 BST 2016, operations=1.0, operationsPerMinute=7.109004739336493
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 23:09:14 BST 2016, end=Sun Jun 26 23:09:22 BST 2016, operations=1.0, operationsPerMinute=8.080808080808081
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 23:09:22 BST 2016, end=Sun Jun 26 23:09:28 BST 2016, operations=1.0, operationsPerMinute=9.113001215066829
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 23:09:28 BST 2016, end=Sun Jun 26 23:09:31 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 23:09:31 BST 2016, end=Sun Jun 26 23:09:31 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 23:09:31 BST 2016, end=Sun Jun 26 23:09:32 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 23:09:32 BST 2016, end=Sun Jun 26 23:09:38 BST 2016, operations=1.0, operationsPerMinute=10.895224260032686
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 23:09:38 BST 2016, end=Sun Jun 26 23:09:39 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 23:09:39 BST 2016, end=Sun Jun 26 23:09:40 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 23:09:40 BST 2016, end=Sun Jun 26 23:09:42 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 23:09:42 BST 2016, end=Sun Jun 26 23:09:49 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 23:09:49 BST 2016, end=Sun Jun 26 23:10:09 BST 2016, operations=1.0, operationsPerMinute=2.9884942969567168
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 23:10:09 BST 2016, end=Sun Jun 26 23:10:10 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 23:10:20 BST 2016, end=Sun Jun 26 23:12:20 BST 2016, operations=500.73590019529667, operationsPerMinute=250.36795009764833, mode=normal, start=Sun Jun 26 23:12:21 BST 2016, end=Sun Jun 26 23:16:21 BST 2016, operations=1028.064253632158, operationsPerMinute=257.0160634080395
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 23:16:25 BST 2016, end=Sun Jun 26 23:18:25 BST 2016, operations=200.95291603530356, operationsPerMinute=100.47645801765178, mode=normal, start=Sun Jun 26 23:18:28 BST 2016, end=Sun Jun 26 23:22:28 BST 2016, operations=397.0808438601977, operationsPerMinute=99.27021096504943
benchmark-name=compress, mod=warmup, start=Sun Jun 26 23:22:32 BST 2016, end=Sun Jun 26 23:24:32 BST 2016, operations=399.789029535865, operationsPerMinute=199.8945147679325, mode=normal, start=Sun Jun 26 23:24:34 BST 2016, end=Sun Jun 26 23:28:34 BST 2016, operations=801.0854063245467, operationsPerMinute=200.27135158113668
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 23:28:36 BST 2016, end=Sun Jun 26 23:30:36 BST 2016, operations=139.02886272147893, operationsPerMinute=69.51443136073947, mode=normal, start=Sun Jun 26 23:30:41 BST 2016, end=Sun Jun 26 23:34:41 BST 2016, operations=293.867670291723, operationsPerMinute=73.46691757293075
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 23:34:45 BST 2016, end=Sun Jun 26 23:36:45 BST 2016, operations=235.9651289106455, operationsPerMinute=117.98256445532274, mode=normal, start=Sun Jun 26 23:36:49 BST 2016, end=Sun Jun 26 23:40:49 BST 2016, operations=471.6430712046666, operationsPerMinute=117.91076780116666
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 23:40:52 BST 2016, end=Sun Jun 26 23:42:52 BST 2016, operations=407.10068759933006, operationsPerMinute=203.55034379966503, mode=normal, start=Sun Jun 26 23:42:54 BST 2016, end=Sun Jun 26 23:46:54 BST 2016, operations=814.2410004591981, operationsPerMinute=203.56025011479952
benchmark-name=derby, mod=warmup, start=Sun Jun 26 23:47:17 BST 2016, end=Sun Jun 26 23:49:17 BST 2016, operations=357.7810078876617, operationsPerMinute=178.89050394383085, mode=normal, start=Sun Jun 26 23:49:19 BST 2016, end=Sun Jun 26 23:53:19 BST 2016, operations=721.8211124980543, operationsPerMinute=180.45527812451357
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 23:53:21 BST 2016, end=Sun Jun 26 23:55:21 BST 2016, operations=207.8093927649505, operationsPerMinute=103.90469638247525, mode=normal, start=Sun Jun 26 23:55:25 BST 2016, end=Sun Jun 26 23:59:25 BST 2016, operations=417.1076843615389, operationsPerMinute=104.27692109038472
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 23:59:28 BST 2016, end=Mon Jun 27 00:01:28 BST 2016, operations=70.65251773296225, operationsPerMinute=35.326258866481126, mode=normal, start=Mon Jun 27 00:01:36 BST 2016, end=Mon Jun 27 00:05:36 BST 2016, operations=153.39980225533984, operationsPerMinute=38.34995056383496
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 00:05:43 BST 2016, end=Mon Jun 27 00:07:43 BST 2016, operations=13.80366103238767, operationsPerMinute=6.901830516193835, mode=normal, start=Mon Jun 27 00:08:28 BST 2016, end=Mon Jun 27 00:12:28 BST 2016, operations=27.82380336272193, operationsPerMinute=6.955950840680482
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 00:13:20 BST 2016, end=Mon Jun 27 00:15:20 BST 2016, operations=74.40207332023942, operationsPerMinute=37.20103666011971, mode=normal, start=Mon Jun 27 00:15:30 BST 2016, end=Mon Jun 27 00:19:30 BST 2016, operations=149.21501063616273, operationsPerMinute=37.30375265904068
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 00:19:39 BST 2016, end=Mon Jun 27 00:21:39 BST 2016, operations=42.35391096562014, operationsPerMinute=21.17695548281007, mode=normal, start=Mon Jun 27 00:21:52 BST 2016, end=Mon Jun 27 00:25:52 BST 2016, operations=85.36015084752192, operationsPerMinute=21.34003771188048
