spec.jvm2008.report.run.location=TOLL04
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
spec.jvm2008.report.hw.number.of.cores=2
spec.jvm2008.report.hw.memory.size=3991
benchmark-name=check, mode=normal, start=Tue Jun 28 13:03:49 BST 2016, end=Tue Jun 28 13:03:49 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 28 13:03:50 BST 2016, end=Tue Jun 28 13:03:50 BST 2016, operations=1.0, operationsPerMinute=96.15384615384616
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 28 13:03:50 BST 2016, end=Tue Jun 28 13:04:18 BST 2016, operations=1.0, operationsPerMinute=2.1791239921551537
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 28 13:04:18 BST 2016, end=Tue Jun 28 13:04:24 BST 2016, operations=1.0, operationsPerMinute=9.938711280437303
benchmark-name=startup.compress, mode=normal, start=Tue Jun 28 13:04:24 BST 2016, end=Tue Jun 28 13:04:26 BST 2016, operations=1.0, operationsPerMinute=33.16749585406302
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 28 13:04:26 BST 2016, end=Tue Jun 28 13:04:37 BST 2016, operations=1.0, operationsPerMinute=5.218752718100374
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 28 13:04:37 BST 2016, end=Tue Jun 28 13:04:46 BST 2016, operations=1.0, operationsPerMinute=7.069635913750441
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 28 13:04:46 BST 2016, end=Tue Jun 28 13:04:53 BST 2016, operations=1.0, operationsPerMinute=8.254230293025175
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 28 13:04:53 BST 2016, end=Tue Jun 28 13:04:57 BST 2016, operations=1.0, operationsPerMinute=15.63314226159458
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 28 13:04:57 BST 2016, end=Tue Jun 28 13:04:58 BST 2016, operations=1.0, operationsPerMinute=49.958368026644465
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 28 13:04:58 BST 2016, end=Tue Jun 28 13:05:00 BST 2016, operations=1.0, operationsPerMinute=32.87671232876713
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 28 13:05:00 BST 2016, end=Tue Jun 28 13:05:08 BST 2016, operations=1.0, operationsPerMinute=7.512207336922499
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 28 13:05:08 BST 2016, end=Tue Jun 28 13:05:09 BST 2016, operations=1.0, operationsPerMinute=32.87671232876713
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 28 13:05:09 BST 2016, end=Tue Jun 28 13:05:12 BST 2016, operations=1.0, operationsPerMinute=29.140359397765906
benchmark-name=startup.serial, mode=normal, start=Tue Jun 28 13:05:12 BST 2016, end=Tue Jun 28 13:05:16 BST 2016, operations=1.0, operationsPerMinute=14.566642388929353
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 28 13:05:16 BST 2016, end=Tue Jun 28 13:05:24 BST 2016, operations=1.0, operationsPerMinute=6.868918145392101
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 28 13:05:24 BST 2016, end=Tue Jun 28 13:06:04 BST 2016, operations=1.0, operationsPerMinute=1.5100797825485113
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 28 13:06:04 BST 2016, end=Tue Jun 28 13:06:06 BST 2016, operations=1.0, operationsPerMinute=36.63003663003663
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 28 13:06:22 BST 2016, end=Tue Jun 28 13:08:22 BST 2016, operations=239.2639378684832, operationsPerMinute=119.6319689342416, mode=normal, start=Tue Jun 28 13:08:23 BST 2016, end=Tue Jun 28 13:12:23 BST 2016, operations=485.08633897007496, operationsPerMinute=121.27158474251874
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 28 13:12:29 BST 2016, end=Tue Jun 28 13:14:29 BST 2016, operations=95.69675487433321, operationsPerMinute=47.848377437166604, mode=normal, start=Tue Jun 28 13:14:31 BST 2016, end=Tue Jun 28 13:18:31 BST 2016, operations=191.60526315789474, operationsPerMinute=47.901315789473685
benchmark-name=compress, mod=warmup, start=Tue Jun 28 13:18:33 BST 2016, end=Tue Jun 28 13:20:33 BST 2016, operations=149.8168539303423, operationsPerMinute=74.90842696517115, mode=normal, start=Tue Jun 28 13:20:36 BST 2016, end=Tue Jun 28 13:24:36 BST 2016, operations=299.4550529596553, operationsPerMinute=74.86376323991382
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 28 13:24:37 BST 2016, end=Tue Jun 28 13:26:37 BST 2016, operations=42.173278103606684, operationsPerMinute=21.086639051803342, mode=normal, start=Tue Jun 28 13:26:43 BST 2016, end=Tue Jun 28 13:30:43 BST 2016, operations=89.443723199749, operationsPerMinute=22.36093079993725
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 28 13:30:50 BST 2016, end=Tue Jun 28 13:32:50 BST 2016, operations=87.26844341664733, operationsPerMinute=43.634221708323665, mode=normal, start=Tue Jun 28 13:32:53 BST 2016, end=Tue Jun 28 13:36:53 BST 2016, operations=174.94349854172012, operationsPerMinute=43.73587463543003
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 28 13:36:56 BST 2016, end=Tue Jun 28 13:38:56 BST 2016, operations=138.95135003168414, operationsPerMinute=69.47567501584207, mode=normal, start=Tue Jun 28 13:38:58 BST 2016, end=Tue Jun 28 13:42:58 BST 2016, operations=278.5903619624688, operationsPerMinute=69.6475904906172
benchmark-name=derby, mod=warmup, start=Tue Jun 28 13:45:03 BST 2016, end=Tue Jun 28 13:47:03 BST 2016, operations=103.66851014352031, operationsPerMinute=51.834255071760154, mode=normal, start=Tue Jun 28 13:47:05 BST 2016, end=Tue Jun 28 13:51:05 BST 2016, operations=200.20529570054148, operationsPerMinute=50.05132392513537
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 28 13:51:09 BST 2016, end=Tue Jun 28 13:53:09 BST 2016, operations=66.21132797701608, operationsPerMinute=33.10566398850804, mode=normal, start=Tue Jun 28 13:53:13 BST 2016, end=Tue Jun 28 13:57:13 BST 2016, operations=132.16361897127655, operationsPerMinute=33.04090474281914
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 28 13:57:17 BST 2016, end=Tue Jun 28 13:59:17 BST 2016, operations=30.0616272690245, operationsPerMinute=15.03081363451225, mode=normal, start=Tue Jun 28 13:59:30 BST 2016, end=Tue Jun 28 14:03:30 BST 2016, operations=61.15328339772195, operationsPerMinute=15.288320849430487
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 28 14:03:39 BST 2016, end=Tue Jun 28 14:05:39 BST 2016, operations=7.060984818038277, operationsPerMinute=3.5304924090191383, mode=normal, start=Tue Jun 28 14:06:13 BST 2016, end=Tue Jun 28 14:10:13 BST 2016, operations=14.097164715810527, operationsPerMinute=3.5242911789526317
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 28 14:11:04 BST 2016, end=Tue Jun 28 14:13:04 BST 2016, operations=32.194902041127065, operationsPerMinute=16.097451020563533, mode=normal, start=Tue Jun 28 14:13:11 BST 2016, end=Tue Jun 28 14:17:11 BST 2016, operations=64.57561015028458, operationsPerMinute=16.143902537571144
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jun 28 14:17:19 BST 2016, end=Tue Jun 28 14:19:19 BST 2016, operations=23.83652814449212, operationsPerMinute=11.91826407224606, mode=normal, start=Tue Jun 28 14:19:26 BST 2016, end=Tue Jun 28 14:23:26 BST 2016, operations=47.545826599234644, operationsPerMinute=11.886456649808661
benchmark-name=scimark.fft.small, mod=warmup, start=Tue Jun 28 14:23:39 BST 2016, end=Tue Jun 28 14:25:39 BST 2016, operations=238.8853193870037, operationsPerMinute=119.44265969350185, mode=normal, start=Tue Jun 28 14:25:41 BST 2016, end=Tue Jun 28 14:29:41 BST 2016, operations=481.92319799889333, operationsPerMinute=120.48079949972333
benchmark-name=scimark.lu.small, mod=warmup, start=Tue Jun 28 14:29:42 BST 2016, end=Tue Jun 28 14:31:42 BST 2016, operations=149.2540121516866, operationsPerMinute=74.6270060758433, mode=normal, start=Tue Jun 28 14:31:45 BST 2016, end=Tue Jun 28 14:35:45 BST 2016, operations=304.509408209473, operationsPerMinute=76.12735205236825
benchmark-name=scimark.sor.small, mod=warmup, start=Tue Jun 28 14:35:47 BST 2016, end=Tue Jun 28 14:37:47 BST 2016, operations=141.95427585932038, operationsPerMinute=70.97713792966019, mode=normal, start=Tue Jun 28 14:37:49 BST 2016, end=Tue Jun 28 14:41:49 BST 2016, operations=284.30355156951975, operationsPerMinute=71.07588789237994
benchmark-name=scimark.sparse.small, mod=warmup, start=Tue Jun 28 14:41:52 BST 2016, end=Tue Jun 28 14:43:52 BST 2016, operations=125.37916430161988, operationsPerMinute=62.68958215080994, mode=normal, start=Tue Jun 28 14:43:55 BST 2016, end=Tue Jun 28 14:47:55 BST 2016, operations=250.5875563793636, operationsPerMinute=62.6468890948409
benchmark-name=scimark.monte_carlo, mod=warmup, start=Tue Jun 28 14:47:56 BST 2016, end=Tue Jun 28 14:49:56 BST 2016, operations=45.78420996473878, operationsPerMinute=22.89210498236939, mode=normal, start=Tue Jun 28 14:50:04 BST 2016, end=Tue Jun 28 14:54:04 BST 2016, operations=91.14882813638945, operationsPerMinute=22.787207034097364
benchmark-name=serial, mod=warmup, start=Tue Jun 28 14:54:10 BST 2016, end=Tue Jun 28 14:56:10 BST 2016, operations=67.6837313378086, operationsPerMinute=33.8418656689043, mode=normal, start=Tue Jun 28 14:56:15 BST 2016, end=Tue Jun 28 15:00:15 BST 2016, operations=135.7758061615907, operationsPerMinute=33.94395154039768
benchmark-name=sunflow, mod=warmup, start=Tue Jun 28 15:00:20 BST 2016, end=Tue Jun 28 15:02:20 BST 2016, operations=56.6564561734213, operationsPerMinute=28.32822808671065, mode=normal, start=Tue Jun 28 15:02:21 BST 2016, end=Tue Jun 28 15:06:21 BST 2016, operations=113.80622347949081, operationsPerMinute=28.451555869872703
benchmark-name=xml.transform, mod=warmup, start=Tue Jun 28 15:06:58 BST 2016, end=Tue Jun 28 15:08:58 BST 2016, operations=170.6480310246041, operationsPerMinute=85.32401551230205, mode=normal, start=Tue Jun 28 15:09:00 BST 2016, end=Tue Jun 28 15:13:00 BST 2016, operations=343.69461788574904, operationsPerMinute=85.92365447143726
benchmark-name=xml.validation, mod=warmup, start=Tue Jun 28 15:13:02 BST 2016, end=Tue Jun 28 15:15:02 BST 2016, operations=271.5545556805399, operationsPerMinute=135.77727784026996, mode=normal, start=Tue Jun 28 15:15:03 BST 2016, end=Tue Jun 28 15:19:03 BST 2016, operations=543.5068688496317, operationsPerMinute=135.87671721240793
