spec.jvm2008.report.run.location=BEDSONTC096
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:19:28 BST 2016, end=Thu May 26 14:19:28 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:19:28 BST 2016, end=Thu May 26 14:19:29 BST 2016, operations=1.0, operationsPerMinute=273.972602739726
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:19:29 BST 2016, end=Thu May 26 14:19:43 BST 2016, operations=1.0, operationsPerMinute=4.212595661026469
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:19:43 BST 2016, end=Thu May 26 14:19:46 BST 2016, operations=1.0, operationsPerMinute=17.40644038294169
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:19:46 BST 2016, end=Thu May 26 14:19:48 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:19:48 BST 2016, end=Thu May 26 14:19:56 BST 2016, operations=1.0, operationsPerMinute=7.069635913750441
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:19:56 BST 2016, end=Thu May 26 14:20:04 BST 2016, operations=1.0, operationsPerMinute=8.063432334363661
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:20:04 BST 2016, end=Thu May 26 14:20:10 BST 2016, operations=1.0, operationsPerMinute=9.157509157509157
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:20:10 BST 2016, end=Thu May 26 14:20:12 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:20:12 BST 2016, end=Thu May 26 14:20:13 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:20:13 BST 2016, end=Thu May 26 14:20:14 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:20:14 BST 2016, end=Thu May 26 14:20:20 BST 2016, operations=1.0, operationsPerMinute=10.895224260032686
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:20:20 BST 2016, end=Thu May 26 14:20:21 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:20:21 BST 2016, end=Thu May 26 14:20:22 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:20:22 BST 2016, end=Thu May 26 14:20:24 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:20:24 BST 2016, end=Thu May 26 14:20:30 BST 2016, operations=1.0, operationsPerMinute=9.312432096849294
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:20:30 BST 2016, end=Thu May 26 14:20:51 BST 2016, operations=1.0, operationsPerMinute=2.9815146094215863
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:20:51 BST 2016, end=Thu May 26 14:20:51 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:21:02 BST 2016, end=Thu May 26 14:23:02 BST 2016, operations=505.00425184353566, operationsPerMinute=252.50212592176783, mode=normal, start=Thu May 26 14:23:04 BST 2016, end=Thu May 26 14:27:04 BST 2016, operations=1027.1801290295693, operationsPerMinute=256.79503225739234
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:27:09 BST 2016, end=Thu May 26 14:29:09 BST 2016, operations=200.8565289960129, operationsPerMinute=100.42826449800646, mode=normal, start=Thu May 26 14:29:12 BST 2016, end=Thu May 26 14:33:12 BST 2016, operations=394.5154235231379, operationsPerMinute=98.62885588078447
benchmark-name=compress, mod=warmup, start=Thu May 26 14:33:16 BST 2016, end=Thu May 26 14:35:16 BST 2016, operations=402.35079859974115, operationsPerMinute=201.17539929987058, mode=normal, start=Thu May 26 14:35:18 BST 2016, end=Thu May 26 14:39:18 BST 2016, operations=805.1492873965603, operationsPerMinute=201.28732184914008
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:39:20 BST 2016, end=Thu May 26 14:41:20 BST 2016, operations=139.86106161669034, operationsPerMinute=69.93053080834517, mode=normal, start=Thu May 26 14:41:24 BST 2016, end=Thu May 26 14:45:24 BST 2016, operations=293.68488922701664, operationsPerMinute=73.42122230675416
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:45:28 BST 2016, end=Thu May 26 14:47:28 BST 2016, operations=238.3065224095731, operationsPerMinute=119.15326120478655, mode=normal, start=Thu May 26 14:47:31 BST 2016, end=Thu May 26 14:51:31 BST 2016, operations=476.4301465754571, operationsPerMinute=119.10753664386428
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:51:35 BST 2016, end=Thu May 26 14:53:35 BST 2016, operations=409.41880341880346, operationsPerMinute=204.70940170940173, mode=normal, start=Thu May 26 14:53:36 BST 2016, end=Thu May 26 14:57:36 BST 2016, operations=820.9616921495603, operationsPerMinute=205.2404230373901
benchmark-name=derby, mod=warmup, start=Thu May 26 14:58:17 BST 2016, end=Thu May 26 15:00:17 BST 2016, operations=361.30939516230745, operationsPerMinute=180.65469758115373, mode=normal, start=Thu May 26 15:00:19 BST 2016, end=Thu May 26 15:04:19 BST 2016, operations=722.0434777286571, operationsPerMinute=180.51086943216427
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:04:21 BST 2016, end=Thu May 26 15:06:21 BST 2016, operations=209.3335255751808, operationsPerMinute=104.6667627875904, mode=normal, start=Thu May 26 15:06:25 BST 2016, end=Thu May 26 15:10:25 BST 2016, operations=414.2399620548084, operationsPerMinute=103.5599905137021
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:10:29 BST 2016, end=Thu May 26 15:12:29 BST 2016, operations=73.02743911027616, operationsPerMinute=36.51371955513808, mode=normal, start=Thu May 26 15:12:35 BST 2016, end=Thu May 26 15:16:35 BST 2016, operations=144.37948107421337, operationsPerMinute=36.09487026855334
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:16:45 BST 2016, end=Thu May 26 15:18:45 BST 2016, operations=13.926683734986131, operationsPerMinute=6.963341867493066, mode=normal, start=Thu May 26 15:19:29 BST 2016, end=Thu May 26 15:23:29 BST 2016, operations=27.904391084300396, operationsPerMinute=6.976097771075099
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:24:05 BST 2016, end=Thu May 26 15:26:05 BST 2016, operations=74.36712576809838, operationsPerMinute=37.18356288404919, mode=normal, start=Thu May 26 15:26:14 BST 2016, end=Thu May 26 15:30:14 BST 2016, operations=150.2980373563271, operationsPerMinute=37.57450933908177
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:30:23 BST 2016, end=Thu May 26 15:32:23 BST 2016, operations=43.30165352200643, operationsPerMinute=21.650826761003216, mode=normal, start=Thu May 26 15:32:36 BST 2016, end=Thu May 26 15:36:36 BST 2016, operations=86.45410316119398, operationsPerMinute=21.613525790298496
