spec.jvm2008.report.run.location=KRC023
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:03:48 BST 2016, end=Fri Jun 03 15:03:48 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:03:48 BST 2016, end=Fri Jun 03 15:03:48 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:03:48 BST 2016, end=Fri Jun 03 15:04:06 BST 2016, operations=1.0, operationsPerMinute=3.437016669530847
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:04:06 BST 2016, end=Fri Jun 03 15:04:09 BST 2016, operations=1.0, operationsPerMinute=17.172295363480252
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:04:09 BST 2016, end=Fri Jun 03 15:04:10 BST 2016, operations=1.0, operationsPerMinute=44.21518054532056
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:04:10 BST 2016, end=Fri Jun 03 15:04:19 BST 2016, operations=1.0, operationsPerMinute=6.9052825411439755
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:04:19 BST 2016, end=Fri Jun 03 15:04:27 BST 2016, operations=1.0, operationsPerMinute=7.896814951302974
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:04:27 BST 2016, end=Fri Jun 03 15:04:33 BST 2016, operations=1.0, operationsPerMinute=8.903398130286392
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:04:33 BST 2016, end=Fri Jun 03 15:04:36 BST 2016, operations=1.0, operationsPerMinute=24.66091245376079
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:04:36 BST 2016, end=Fri Jun 03 15:04:37 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:04:37 BST 2016, end=Fri Jun 03 15:04:38 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:04:38 BST 2016, end=Fri Jun 03 15:04:43 BST 2016, operations=1.0, operationsPerMinute=10.625110678236231
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:04:43 BST 2016, end=Fri Jun 03 15:04:45 BST 2016, operations=1.0, operationsPerMinute=38.83495145631068
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:04:45 BST 2016, end=Fri Jun 03 15:04:46 BST 2016, operations=1.0, operationsPerMinute=56.550424128180964
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:04:46 BST 2016, end=Fri Jun 03 15:04:48 BST 2016, operations=1.0, operationsPerMinute=26.905829596412556
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:04:48 BST 2016, end=Fri Jun 03 15:04:55 BST 2016, operations=1.0, operationsPerMinute=9.244992295839754
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:04:55 BST 2016, end=Fri Jun 03 15:05:17 BST 2016, operations=1.0, operationsPerMinute=2.693360865466625
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:05:17 BST 2016, end=Fri Jun 03 15:05:18 BST 2016, operations=1.0, operationsPerMinute=69.93006993006993
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:05:30 BST 2016, end=Fri Jun 03 15:07:30 BST 2016, operations=457.3375875476539, operationsPerMinute=228.66879377382696, mode=normal, start=Fri Jun 03 15:07:31 BST 2016, end=Fri Jun 03 15:11:31 BST 2016, operations=954.6006104717851, operationsPerMinute=238.65015261794628
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:11:36 BST 2016, end=Fri Jun 03 15:13:36 BST 2016, operations=187.07581232855154, operationsPerMinute=93.53790616427577, mode=normal, start=Fri Jun 03 15:13:39 BST 2016, end=Fri Jun 03 15:17:39 BST 2016, operations=373.35443396781193, operationsPerMinute=93.33860849195298
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:17:42 BST 2016, end=Fri Jun 03 15:19:42 BST 2016, operations=366.91012351942277, operationsPerMinute=183.45506175971138, mode=normal, start=Fri Jun 03 15:19:45 BST 2016, end=Fri Jun 03 15:23:45 BST 2016, operations=732.3719494747702, operationsPerMinute=183.09298736869255
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:23:47 BST 2016, end=Fri Jun 03 15:25:47 BST 2016, operations=126.68782266794388, operationsPerMinute=63.34391133397194, mode=normal, start=Fri Jun 03 15:25:51 BST 2016, end=Fri Jun 03 15:29:51 BST 2016, operations=266.9013050296807, operationsPerMinute=66.72532625742018
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:29:56 BST 2016, end=Fri Jun 03 15:31:56 BST 2016, operations=215.6324913605261, operationsPerMinute=107.81624568026305, mode=normal, start=Fri Jun 03 15:32:00 BST 2016, end=Fri Jun 03 15:36:00 BST 2016, operations=433.15991862304764, operationsPerMinute=108.28997965576191
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:36:04 BST 2016, end=Fri Jun 03 15:38:04 BST 2016, operations=370.7952062937112, operationsPerMinute=185.3976031468556, mode=normal, start=Fri Jun 03 15:38:06 BST 2016, end=Fri Jun 03 15:42:06 BST 2016, operations=741.4090121677091, operationsPerMinute=185.35225304192727
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:43:19 BST 2016, end=Fri Jun 03 15:45:19 BST 2016, operations=328.7512949287857, operationsPerMinute=164.37564746439284, mode=normal, start=Fri Jun 03 15:45:22 BST 2016, end=Fri Jun 03 15:49:22 BST 2016, operations=659.3971963709938, operationsPerMinute=164.84929909274845
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:49:24 BST 2016, end=Fri Jun 03 15:51:24 BST 2016, operations=189.205071583213, operationsPerMinute=94.6025357916065, mode=normal, start=Fri Jun 03 15:51:28 BST 2016, end=Fri Jun 03 15:55:28 BST 2016, operations=379.9677263022766, operationsPerMinute=94.99193157556915
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:55:32 BST 2016, end=Fri Jun 03 15:57:32 BST 2016, operations=77.69187316578059, operationsPerMinute=38.845936582890296, mode=normal, start=Fri Jun 03 15:57:41 BST 2016, end=Fri Jun 03 16:01:41 BST 2016, operations=156.59440057152867, operationsPerMinute=39.14860014288217
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 16:01:50 BST 2016, end=Fri Jun 03 16:03:50 BST 2016, operations=13.841667565834921, operationsPerMinute=6.920833782917461, mode=normal, start=Fri Jun 03 16:04:34 BST 2016, end=Fri Jun 03 16:08:34 BST 2016, operations=27.594991394053302, operationsPerMinute=6.898747848513326
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:09:03 BST 2016, end=Fri Jun 03 16:11:03 BST 2016, operations=69.04990398961509, operationsPerMinute=34.524951994807545, mode=normal, start=Fri Jun 03 16:11:15 BST 2016, end=Fri Jun 03 16:15:15 BST 2016, operations=133.0270662014578, operationsPerMinute=33.25676655036445
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:15:26 BST 2016, end=Fri Jun 03 16:17:26 BST 2016, operations=41.863112355858256, operationsPerMinute=20.931556177929128, mode=normal, start=Fri Jun 03 16:17:41 BST 2016, end=Fri Jun 03 16:21:41 BST 2016, operations=84.24757000193497, operationsPerMinute=21.061892500483744
