spec.jvm2008.report.run.location=NIDD106
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Sun Jun 19 00:41:37 BST 2016, end=Sun Jun 19 00:41:38 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:41:38 BST 2016, end=Sun Jun 19 00:41:38 BST 2016, operations=1.0, operationsPerMinute=425.531914893617
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:41:38 BST 2016, end=Sun Jun 19 00:41:59 BST 2016, operations=1.0, operationsPerMinute=2.876732032411181
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:41:59 BST 2016, end=Sun Jun 19 00:42:04 BST 2016, operations=1.0, operationsPerMinute=11.869436201780415
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:42:04 BST 2016, end=Sun Jun 19 00:42:05 BST 2016, operations=1.0, operationsPerMinute=37.359900373599004
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:42:05 BST 2016, end=Sun Jun 19 00:42:15 BST 2016, operations=1.0, operationsPerMinute=6.018657839301835
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:42:15 BST 2016, end=Sun Jun 19 00:42:24 BST 2016, operations=1.0, operationsPerMinute=7.122507122507122
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:42:24 BST 2016, end=Sun Jun 19 00:42:31 BST 2016, operations=1.0, operationsPerMinute=8.254230293025175
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:42:31 BST 2016, end=Sun Jun 19 00:42:34 BST 2016, operations=1.0, operationsPerMinute=19.32367149758454
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:42:34 BST 2016, end=Sun Jun 19 00:42:35 BST 2016, operations=1.0, operationsPerMinute=65.21739130434783
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:42:35 BST 2016, end=Sun Jun 19 00:42:36 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:42:36 BST 2016, end=Sun Jun 19 00:42:43 BST 2016, operations=1.0, operationsPerMinute=9.007656508031827
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:42:43 BST 2016, end=Sun Jun 19 00:42:44 BST 2016, operations=1.0, operationsPerMinute=34.96503496503497
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:42:44 BST 2016, end=Sun Jun 19 00:42:46 BST 2016, operations=1.0, operationsPerMinute=43.196544276457885
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:42:46 BST 2016, end=Sun Jun 19 00:42:49 BST 2016, operations=1.0, operationsPerMinute=19.627085377821395
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:42:49 BST 2016, end=Sun Jun 19 00:42:56 BST 2016, operations=1.0, operationsPerMinute=8.361204013377927
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:42:56 BST 2016, end=Sun Jun 19 00:43:25 BST 2016, operations=1.0, operationsPerMinute=2.0688941760628943
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:43:25 BST 2016, end=Sun Jun 19 00:43:26 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:43:43 BST 2016, end=Sun Jun 19 00:45:43 BST 2016, operations=347.3084195798658, operationsPerMinute=173.6542097899329, mode=normal, start=Sun Jun 19 00:45:44 BST 2016, end=Sun Jun 19 00:49:44 BST 2016, operations=718.4366754744381, operationsPerMinute=179.60916886860952
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:49:50 BST 2016, end=Sun Jun 19 00:51:50 BST 2016, operations=139.83057092740745, operationsPerMinute=69.91528546370373, mode=normal, start=Sun Jun 19 00:51:55 BST 2016, end=Sun Jun 19 00:55:55 BST 2016, operations=277.0407345596261, operationsPerMinute=69.26018363990653
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:56:00 BST 2016, end=Sun Jun 19 00:58:00 BST 2016, operations=270.0233923042925, operationsPerMinute=135.01169615214624, mode=normal, start=Sun Jun 19 00:58:02 BST 2016, end=Sun Jun 19 01:02:02 BST 2016, operations=540.6733807503679, operationsPerMinute=135.16834518759197
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 01:02:05 BST 2016, end=Sun Jun 19 01:04:05 BST 2016, operations=85.80951015829515, operationsPerMinute=42.90475507914758, mode=normal, start=Sun Jun 19 01:04:13 BST 2016, end=Sun Jun 19 01:08:13 BST 2016, operations=179.65598478214014, operationsPerMinute=44.913996195535034
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:08:22 BST 2016, end=Sun Jun 19 01:10:22 BST 2016, operations=144.39698969652488, operationsPerMinute=72.19849484826244, mode=normal, start=Sun Jun 19 01:10:27 BST 2016, end=Sun Jun 19 01:14:27 BST 2016, operations=293.434315792417, operationsPerMinute=73.35857894810425
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:14:32 BST 2016, end=Sun Jun 19 01:16:32 BST 2016, operations=251.76549819075836, operationsPerMinute=125.88274909537918, mode=normal, start=Sun Jun 19 01:16:35 BST 2016, end=Sun Jun 19 01:20:35 BST 2016, operations=503.0958302335756, operationsPerMinute=125.7739575583939
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:22:01 BST 2016, end=Sun Jun 19 01:24:01 BST 2016, operations=203.31197518253575, operationsPerMinute=101.65598759126787, mode=normal, start=Sun Jun 19 01:24:04 BST 2016, end=Sun Jun 19 01:28:04 BST 2016, operations=408.2889811310391, operationsPerMinute=102.07224528275978
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:28:08 BST 2016, end=Sun Jun 19 01:30:08 BST 2016, operations=133.65808943581902, operationsPerMinute=66.82904471790951, mode=normal, start=Sun Jun 19 01:30:14 BST 2016, end=Sun Jun 19 01:34:14 BST 2016, operations=267.1169918165477, operationsPerMinute=66.77924795413692
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:34:21 BST 2016, end=Sun Jun 19 01:36:21 BST 2016, operations=60.43153336573297, operationsPerMinute=30.215766682866484, mode=normal, start=Sun Jun 19 01:36:32 BST 2016, end=Sun Jun 19 01:40:32 BST 2016, operations=121.07161859475568, operationsPerMinute=30.26790464868892
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:40:45 BST 2016, end=Sun Jun 19 01:42:45 BST 2016, operations=11.510174653329559, operationsPerMinute=5.755087326664779, mode=normal, start=Sun Jun 19 01:43:21 BST 2016, end=Sun Jun 19 01:47:21 BST 2016, operations=23.1187956410258, operationsPerMinute=5.77969891025645
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:48:02 BST 2016, end=Sun Jun 19 01:50:02 BST 2016, operations=54.864840380834146, operationsPerMinute=27.432420190417073, mode=normal, start=Sun Jun 19 01:50:14 BST 2016, end=Sun Jun 19 01:54:14 BST 2016, operations=102.399385848193, operationsPerMinute=25.59984646204825
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:54:28 BST 2016, end=Sun Jun 19 01:56:28 BST 2016, operations=37.23927003735304, operationsPerMinute=18.61963501867652, mode=normal, start=Sun Jun 19 01:56:47 BST 2016, end=Sun Jun 19 02:00:47 BST 2016, operations=73.28690756412202, operationsPerMinute=18.321726891030504
