spec.jvm2008.report.run.location=KINGS06
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 23:36:56 BST 2016, end=Fri Jun 24 23:36:56 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 23:36:56 BST 2016, end=Fri Jun 24 23:36:56 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 23:36:56 BST 2016, end=Fri Jun 24 23:37:14 BST 2016, operations=1.0, operationsPerMinute=3.515556336790297
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 23:37:14 BST 2016, end=Fri Jun 24 23:37:18 BST 2016, operations=1.0, operationsPerMinute=14.570179698882953
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 23:37:18 BST 2016, end=Fri Jun 24 23:37:19 BST 2016, operations=1.0, operationsPerMinute=43.69992716678806
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 23:37:19 BST 2016, end=Fri Jun 24 23:37:28 BST 2016, operations=1.0, operationsPerMinute=6.724195898240502
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 23:37:28 BST 2016, end=Fri Jun 24 23:37:36 BST 2016, operations=1.0, operationsPerMinute=7.881255746748982
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 23:37:36 BST 2016, end=Fri Jun 24 23:37:42 BST 2016, operations=1.0, operationsPerMinute=8.965929468021518
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 23:37:42 BST 2016, end=Fri Jun 24 23:37:45 BST 2016, operations=1.0, operationsPerMinute=22.624434389140273
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 23:37:45 BST 2016, end=Fri Jun 24 23:37:46 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 23:37:46 BST 2016, end=Fri Jun 24 23:37:47 BST 2016, operations=1.0, operationsPerMinute=55.710306406685234
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 23:37:47 BST 2016, end=Fri Jun 24 23:37:53 BST 2016, operations=1.0, operationsPerMinute=9.965122072745391
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 23:37:53 BST 2016, end=Fri Jun 24 23:37:54 BST 2016, operations=1.0, operationsPerMinute=38.83495145631068
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 23:37:54 BST 2016, end=Fri Jun 24 23:37:56 BST 2016, operations=1.0, operationsPerMinute=53.42831700801425
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 23:37:56 BST 2016, end=Fri Jun 24 23:37:58 BST 2016, operations=1.0, operationsPerMinute=23.455824863174357
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 23:37:58 BST 2016, end=Fri Jun 24 23:38:05 BST 2016, operations=1.0, operationsPerMinute=9.070294784580499
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 23:38:05 BST 2016, end=Fri Jun 24 23:38:30 BST 2016, operations=1.0, operationsPerMinute=2.38597049349823
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 23:38:30 BST 2016, end=Fri Jun 24 23:38:31 BST 2016, operations=1.0, operationsPerMinute=55.762081784386616
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 23:38:43 BST 2016, end=Fri Jun 24 23:40:43 BST 2016, operations=436.2559425096739, operationsPerMinute=218.12797125483695, mode=normal, start=Fri Jun 24 23:40:45 BST 2016, end=Fri Jun 24 23:44:45 BST 2016, operations=892.4360117968242, operationsPerMinute=223.10900294920606
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 23:44:49 BST 2016, end=Fri Jun 24 23:46:49 BST 2016, operations=167.9898766954865, operationsPerMinute=83.99493834774324, mode=normal, start=Fri Jun 24 23:46:53 BST 2016, end=Fri Jun 24 23:50:53 BST 2016, operations=335.6969110214383, operationsPerMinute=83.92422775535958
benchmark-name=compress, mod=warmup, start=Fri Jun 24 23:50:57 BST 2016, end=Fri Jun 24 23:52:57 BST 2016, operations=373.27661736444475, operationsPerMinute=186.63830868222237, mode=normal, start=Fri Jun 24 23:52:59 BST 2016, end=Fri Jun 24 23:56:59 BST 2016, operations=746.494774858721, operationsPerMinute=186.62369371468026
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 23:57:02 BST 2016, end=Fri Jun 24 23:59:02 BST 2016, operations=123.14830307150558, operationsPerMinute=61.57415153575279, mode=normal, start=Fri Jun 24 23:59:07 BST 2016, end=Sat Jun 25 00:03:07 BST 2016, operations=259.6738181476714, operationsPerMinute=64.91845453691785
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 00:03:13 BST 2016, end=Sat Jun 25 00:05:13 BST 2016, operations=217.74902688512125, operationsPerMinute=108.87451344256063, mode=normal, start=Sat Jun 25 00:05:17 BST 2016, end=Sat Jun 25 00:09:17 BST 2016, operations=434.8338044574144, operationsPerMinute=108.7084511143536
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 00:09:21 BST 2016, end=Sat Jun 25 00:11:21 BST 2016, operations=373.4447205974646, operationsPerMinute=186.7223602987323, mode=normal, start=Sat Jun 25 00:11:23 BST 2016, end=Sat Jun 25 00:15:23 BST 2016, operations=747.1684134262712, operationsPerMinute=186.7921033565678
benchmark-name=derby, mod=warmup, start=Sat Jun 25 00:16:38 BST 2016, end=Sat Jun 25 00:18:38 BST 2016, operations=272.64319457354134, operationsPerMinute=136.32159728677067, mode=normal, start=Sat Jun 25 00:18:41 BST 2016, end=Sat Jun 25 00:22:41 BST 2016, operations=548.5570716635455, operationsPerMinute=137.13926791588636
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 00:22:44 BST 2016, end=Sat Jun 25 00:24:44 BST 2016, operations=183.87150453023773, operationsPerMinute=91.93575226511886, mode=normal, start=Sat Jun 25 00:24:49 BST 2016, end=Sat Jun 25 00:28:49 BST 2016, operations=367.62206488329326, operationsPerMinute=91.90551622082332
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 00:28:54 BST 2016, end=Sat Jun 25 00:30:54 BST 2016, operations=100.74042399471054, operationsPerMinute=50.37021199735527, mode=normal, start=Sat Jun 25 00:30:59 BST 2016, end=Sat Jun 25 00:34:59 BST 2016, operations=202.6510184290131, operationsPerMinute=50.66275460725328
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 00:35:06 BST 2016, end=Sat Jun 25 00:37:06 BST 2016, operations=21.645086001888767, operationsPerMinute=10.822543000944384, mode=normal, start=Sat Jun 25 00:37:35 BST 2016, end=Sat Jun 25 00:41:35 BST 2016, operations=43.24516495781632, operationsPerMinute=10.81129123945408
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 00:41:56 BST 2016, end=Sat Jun 25 00:43:56 BST 2016, operations=73.70070266307364, operationsPerMinute=36.85035133153682, mode=normal, start=Sat Jun 25 00:44:05 BST 2016, end=Sat Jun 25 00:48:05 BST 2016, operations=147.23745207265387, operationsPerMinute=36.80936301816347
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 00:48:13 BST 2016, end=Sat Jun 25 00:50:13 BST 2016, operations=72.41102123426015, operationsPerMinute=36.205510617130074, mode=normal, start=Sat Jun 25 00:50:22 BST 2016, end=Sat Jun 25 00:54:22 BST 2016, operations=144.74483586674475, operationsPerMinute=36.18620896668619
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 25 00:54:31 BST 2016, end=Sat Jun 25 00:56:31 BST 2016, operations=624.3928610025366, operationsPerMinute=312.1964305012683, mode=normal, start=Sat Jun 25 00:56:32 BST 2016, end=Sat Jun 25 01:00:32 BST 2016, operations=1213.6300359786735, operationsPerMinute=303.4075089946684
