spec.jvm2008.report.run.location=NIDD35
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Sun Jun 26 13:14:03 BST 2016, end=Sun Jun 26 13:14:03 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 13:14:03 BST 2016, end=Sun Jun 26 13:14:04 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 13:14:04 BST 2016, end=Sun Jun 26 13:14:36 BST 2016, operations=1.0, operationsPerMinute=1.8886335736094935
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 13:14:36 BST 2016, end=Sun Jun 26 13:14:42 BST 2016, operations=1.0, operationsPerMinute=9.566326530612244
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 13:14:42 BST 2016, end=Sun Jun 26 13:14:44 BST 2016, operations=1.0, operationsPerMinute=36.96857670979667
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 13:14:44 BST 2016, end=Sun Jun 26 13:14:54 BST 2016, operations=1.0, operationsPerMinute=5.655042412818096
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 13:14:54 BST 2016, end=Sun Jun 26 13:15:03 BST 2016, operations=1.0, operationsPerMinute=6.698671430166351
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 13:15:03 BST 2016, end=Sun Jun 26 13:15:11 BST 2016, operations=1.0, operationsPerMinute=8.198961464881116
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 13:15:11 BST 2016, end=Sun Jun 26 13:15:14 BST 2016, operations=1.0, operationsPerMinute=19.32367149758454
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 13:15:14 BST 2016, end=Sun Jun 26 13:15:15 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 13:15:15 BST 2016, end=Sun Jun 26 13:15:16 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 13:15:16 BST 2016, end=Sun Jun 26 13:15:23 BST 2016, operations=1.0, operationsPerMinute=8.921933085501859
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 13:15:23 BST 2016, end=Sun Jun 26 13:15:24 BST 2016, operations=1.0, operationsPerMinute=34.96503496503497
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 13:15:24 BST 2016, end=Sun Jun 26 13:15:26 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 13:15:26 BST 2016, end=Sun Jun 26 13:15:29 BST 2016, operations=1.0, operationsPerMinute=19.32367149758454
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 13:15:29 BST 2016, end=Sun Jun 26 13:15:36 BST 2016, operations=1.0, operationsPerMinute=8.078632018311566
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 13:15:36 BST 2016, end=Sun Jun 26 13:16:07 BST 2016, operations=1.0, operationsPerMinute=1.9391745580297985
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 13:16:07 BST 2016, end=Sun Jun 26 13:16:09 BST 2016, operations=1.0, operationsPerMinute=26.89376961004034
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 13:16:28 BST 2016, end=Sun Jun 26 13:18:28 BST 2016, operations=352.34069348620386, operationsPerMinute=176.17034674310193, mode=normal, start=Sun Jun 26 13:18:30 BST 2016, end=Sun Jun 26 13:22:30 BST 2016, operations=705.7182934793937, operationsPerMinute=176.4295733698484
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 13:22:36 BST 2016, end=Sun Jun 26 13:24:36 BST 2016, operations=142.34842028324545, operationsPerMinute=71.17421014162272, mode=normal, start=Sun Jun 26 13:24:40 BST 2016, end=Sun Jun 26 13:28:40 BST 2016, operations=284.5227819656841, operationsPerMinute=71.13069549142102
benchmark-name=compress, mod=warmup, start=Sun Jun 26 13:28:46 BST 2016, end=Sun Jun 26 13:30:46 BST 2016, operations=270.92453520400875, operationsPerMinute=135.46226760200437, mode=normal, start=Sun Jun 26 13:30:48 BST 2016, end=Sun Jun 26 13:34:48 BST 2016, operations=543.0035941808535, operationsPerMinute=135.75089854521337
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 13:34:51 BST 2016, end=Sun Jun 26 13:36:51 BST 2016, operations=85.93460023868099, operationsPerMinute=42.96730011934049, mode=normal, start=Sun Jun 26 13:36:59 BST 2016, end=Sun Jun 26 13:40:59 BST 2016, operations=182.18212355055653, operationsPerMinute=45.54553088763913
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 13:41:07 BST 2016, end=Sun Jun 26 13:43:07 BST 2016, operations=144.8806207312927, operationsPerMinute=72.44031036564635, mode=normal, start=Sun Jun 26 13:43:11 BST 2016, end=Sun Jun 26 13:47:11 BST 2016, operations=290.53232099399645, operationsPerMinute=72.63308024849911
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 13:47:16 BST 2016, end=Sun Jun 26 13:49:16 BST 2016, operations=252.6954718542131, operationsPerMinute=126.34773592710656, mode=normal, start=Sun Jun 26 13:49:20 BST 2016, end=Sun Jun 26 13:53:20 BST 2016, operations=504.202290876177, operationsPerMinute=126.05057271904425
benchmark-name=derby, mod=warmup, start=Sun Jun 26 13:54:53 BST 2016, end=Sun Jun 26 13:56:53 BST 2016, operations=206.6700613463439, operationsPerMinute=103.33503067317196, mode=normal, start=Sun Jun 26 13:56:56 BST 2016, end=Sun Jun 26 14:00:56 BST 2016, operations=415.1882347732677, operationsPerMinute=103.79705869331693
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 14:01:01 BST 2016, end=Sun Jun 26 14:03:01 BST 2016, operations=134.4134137602279, operationsPerMinute=67.20670688011396, mode=normal, start=Sun Jun 26 14:03:06 BST 2016, end=Sun Jun 26 14:07:06 BST 2016, operations=268.81824892671324, operationsPerMinute=67.20456223167831
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 14:07:11 BST 2016, end=Sun Jun 26 14:09:11 BST 2016, operations=97.36572404745233, operationsPerMinute=48.682862023726166, mode=normal, start=Sun Jun 26 14:09:18 BST 2016, end=Sun Jun 26 14:13:18 BST 2016, operations=182.84437492494007, operationsPerMinute=45.71109373123502
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 26 14:13:24 BST 2016, end=Sun Jun 26 14:15:24 BST 2016, operations=22.34600170463445, operationsPerMinute=11.173000852317225, mode=normal, start=Sun Jun 26 14:15:49 BST 2016, end=Sun Jun 26 14:19:49 BST 2016, operations=44.70983015402072, operationsPerMinute=11.17745753850518
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 26 14:20:18 BST 2016, end=Sun Jun 26 14:22:18 BST 2016, operations=55.73483898378646, operationsPerMinute=27.86741949189323, mode=normal, start=Sun Jun 26 14:22:34 BST 2016, end=Sun Jun 26 14:26:34 BST 2016, operations=111.41522332174091, operationsPerMinute=27.853805830435228
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 26 14:26:50 BST 2016, end=Sun Jun 26 14:28:50 BST 2016, operations=67.65280363701908, operationsPerMinute=33.82640181850954, mode=normal, start=Sun Jun 26 14:29:00 BST 2016, end=Sun Jun 26 14:33:00 BST 2016, operations=135.625239955631, operationsPerMinute=33.90630998890775
benchmark-name=scimark.fft.small, mod=warmup, start=Sun Jun 26 14:33:11 BST 2016, end=Sun Jun 26 14:35:11 BST 2016, operations=519.2337882906803, operationsPerMinute=259.61689414534015, mode=normal, start=Sun Jun 26 14:35:12 BST 2016, end=Sun Jun 26 14:39:12 BST 2016, operations=1047.3438593112007, operationsPerMinute=261.8359648278002
