spec.jvm2008.report.run.location=NIDD92
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Sun Jun 26 12:25:46 BST 2016, end=Sun Jun 26 12:25:46 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 12:25:46 BST 2016, end=Sun Jun 26 12:25:46 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 12:25:46 BST 2016, end=Sun Jun 26 12:26:06 BST 2016, operations=1.0, operationsPerMinute=2.933841865923427
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 12:26:06 BST 2016, end=Sun Jun 26 12:26:12 BST 2016, operations=1.0, operationsPerMinute=11.797090051120724
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 12:26:12 BST 2016, end=Sun Jun 26 12:26:13 BST 2016, operations=1.0, operationsPerMinute=35.62945368171022
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 12:26:13 BST 2016, end=Sun Jun 26 12:26:24 BST 2016, operations=1.0, operationsPerMinute=5.706134094151213
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 12:26:24 BST 2016, end=Sun Jun 26 12:26:33 BST 2016, operations=1.0, operationsPerMinute=6.771244780498815
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 12:26:33 BST 2016, end=Sun Jun 26 12:26:40 BST 2016, operations=1.0, operationsPerMinute=7.996801279488205
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 12:26:40 BST 2016, end=Sun Jun 26 12:26:43 BST 2016, operations=1.0, operationsPerMinute=18.575851393188856
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 12:26:43 BST 2016, end=Sun Jun 26 12:26:44 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 12:26:44 BST 2016, end=Sun Jun 26 12:26:46 BST 2016, operations=1.0, operationsPerMinute=46.33204633204633
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 12:26:46 BST 2016, end=Sun Jun 26 12:26:53 BST 2016, operations=1.0, operationsPerMinute=8.528784648187633
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 12:26:53 BST 2016, end=Sun Jun 26 12:26:54 BST 2016, operations=1.0, operationsPerMinute=33.44481605351171
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 12:26:54 BST 2016, end=Sun Jun 26 12:26:56 BST 2016, operations=1.0, operationsPerMinute=40.48582995951417
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 12:26:56 BST 2016, end=Sun Jun 26 12:26:59 BST 2016, operations=1.0, operationsPerMinute=18.94537417113988
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 12:26:59 BST 2016, end=Sun Jun 26 12:27:07 BST 2016, operations=1.0, operationsPerMinute=7.849293563579278
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 12:27:07 BST 2016, end=Sun Jun 26 12:27:07 BST 2016, operations=1.0, operationsPerMinute=153.84615384615384
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 12:27:07 BST 2016, end=Sun Jun 26 12:27:08 BST 2016, operations=1.0, operationsPerMinute=45.248868778280546
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 12:27:25 BST 2016, end=Sun Jun 26 12:29:25 BST 2016, operations=298.46471050093845, operationsPerMinute=149.23235525046923, mode=normal, start=Sun Jun 26 12:29:27 BST 2016, end=Sun Jun 26 12:33:27 BST 2016, operations=610.9227634650308, operationsPerMinute=152.7306908662577
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 12:33:34 BST 2016, end=Sun Jun 26 12:35:34 BST 2016, operations=119.77971264666641, operationsPerMinute=59.889856323333206, mode=normal, start=Sun Jun 26 12:35:40 BST 2016, end=Sun Jun 26 12:39:40 BST 2016, operations=240.5454345295376, operationsPerMinute=60.1363586323844
benchmark-name=compress, mod=warmup, start=Sun Jun 26 12:39:45 BST 2016, end=Sun Jun 26 12:41:45 BST 2016, operations=199.04855076746142, operationsPerMinute=99.52427538373071, mode=normal, start=Sun Jun 26 12:41:49 BST 2016, end=Sun Jun 26 12:45:49 BST 2016, operations=270.5508945489298, operationsPerMinute=67.63772363723245
