spec.jvm2008.report.run.location=ROBLIB143
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 08:28:38 BST 2016, end=Sat Jun 04 08:28:38 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 08:28:38 BST 2016, end=Sat Jun 04 08:28:39 BST 2016, operations=1.0, operationsPerMinute=106.76156583629893
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 08:28:39 BST 2016, end=Sat Jun 04 08:28:58 BST 2016, operations=1.0, operationsPerMinute=3.1892840057407112
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 08:28:58 BST 2016, end=Sat Jun 04 08:29:02 BST 2016, operations=1.0, operationsPerMinute=13.636363636363637
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 08:29:02 BST 2016, end=Sat Jun 04 08:29:04 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 08:29:04 BST 2016, end=Sat Jun 04 08:29:13 BST 2016, operations=1.0, operationsPerMinute=6.421232876712328
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 08:29:13 BST 2016, end=Sat Jun 04 08:29:21 BST 2016, operations=1.0, operationsPerMinute=7.6923076923076925
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 08:29:21 BST 2016, end=Sat Jun 04 08:29:28 BST 2016, operations=1.0, operationsPerMinute=8.416327675690841
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 08:29:28 BST 2016, end=Sat Jun 04 08:29:30 BST 2016, operations=1.0, operationsPerMinute=23.31002331002331
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 08:29:30 BST 2016, end=Sat Jun 04 08:29:31 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 08:29:31 BST 2016, end=Sat Jun 04 08:29:32 BST 2016, operations=1.0, operationsPerMinute=58.25242718446602
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 08:29:32 BST 2016, end=Sat Jun 04 08:29:38 BST 2016, operations=1.0, operationsPerMinute=9.99000999000999
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 08:29:38 BST 2016, end=Sat Jun 04 08:29:40 BST 2016, operations=1.0, operationsPerMinute=36.99136868064118
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 08:29:40 BST 2016, end=Sat Jun 04 08:29:41 BST 2016, operations=1.0, operationsPerMinute=53.42831700801425
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 08:29:41 BST 2016, end=Sat Jun 04 08:29:43 BST 2016, operations=1.0, operationsPerMinute=24.81389578163772
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 08:29:43 BST 2016, end=Sat Jun 04 08:29:50 BST 2016, operations=1.0, operationsPerMinute=8.663008951775916
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 08:29:50 BST 2016, end=Sat Jun 04 08:30:14 BST 2016, operations=1.0, operationsPerMinute=2.567503958235269
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 08:30:14 BST 2016, end=Sat Jun 04 08:30:15 BST 2016, operations=1.0, operationsPerMinute=54.151624548736464
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 08:30:26 BST 2016, end=Sat Jun 04 08:32:26 BST 2016, operations=412.47886956232566, operationsPerMinute=206.23943478116283, mode=normal, start=Sat Jun 04 08:32:27 BST 2016, end=Sat Jun 04 08:36:27 BST 2016, operations=836.273966959035, operationsPerMinute=209.06849173975874
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 08:36:32 BST 2016, end=Sat Jun 04 08:38:32 BST 2016, operations=165.1157353104099, operationsPerMinute=82.55786765520494, mode=normal, start=Sat Jun 04 08:38:37 BST 2016, end=Sat Jun 04 08:42:37 BST 2016, operations=329.7599112725379, operationsPerMinute=82.43997781813448
benchmark-name=compress, mod=warmup, start=Sat Jun 04 08:42:41 BST 2016, end=Sat Jun 04 08:44:41 BST 2016, operations=263.49990230340546, operationsPerMinute=131.74995115170273, mode=normal, start=Sat Jun 04 08:44:44 BST 2016, end=Sat Jun 04 08:48:44 BST 2016, operations=306.91176945050785, operationsPerMinute=76.72794236262696
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 08:49:28 BST 2016, end=Sat Jun 04 08:51:28 BST 2016, operations=96.20334876330716, operationsPerMinute=48.10167438165358, mode=normal, start=Sat Jun 04 08:51:36 BST 2016, end=Sat Jun 04 08:55:36 BST 2016, operations=203.48562574378207, operationsPerMinute=50.87140643594552
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 08:55:45 BST 2016, end=Sat Jun 04 08:57:45 BST 2016, operations=160.08689283262754, operationsPerMinute=80.04344641631377, mode=normal, start=Sat Jun 04 08:57:49 BST 2016, end=Sat Jun 04 09:01:49 BST 2016, operations=226.69204822102327, operationsPerMinute=56.67301205525582
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 09:02:45 BST 2016, end=Sat Jun 04 09:04:45 BST 2016, operations=278.2943236177292, operationsPerMinute=139.1471618088646, mode=normal, start=Sat Jun 04 09:04:48 BST 2016, end=Sat Jun 04 09:08:48 BST 2016, operations=488.8362200650312, operationsPerMinute=122.2090550162578
benchmark-name=derby, mod=warmup, start=Sat Jun 04 09:10:17 BST 2016, end=Sat Jun 04 09:12:17 BST 2016, operations=252.25908807045806, operationsPerMinute=126.12954403522903, mode=normal, start=Sat Jun 04 09:12:19 BST 2016, end=Sat Jun 04 09:16:19 BST 2016, operations=491.75110014812674, operationsPerMinute=122.93777503703168
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 09:16:23 BST 2016, end=Sat Jun 04 09:18:23 BST 2016, operations=142.39673204012323, operationsPerMinute=71.19836602006161, mode=normal, start=Sat Jun 04 09:18:30 BST 2016, end=Sat Jun 04 09:22:30 BST 2016, operations=203.2731006593189, operationsPerMinute=50.81827516482973
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 09:22:57 BST 2016, end=Sat Jun 04 09:24:57 BST 2016, operations=75.87001928924857, operationsPerMinute=37.93500964462429, mode=normal, start=Sat Jun 04 09:25:06 BST 2016, end=Sat Jun 04 09:29:06 BST 2016, operations=83.58448973493684, operationsPerMinute=20.89612243373421
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 09:29:36 BST 2016, end=Sat Jun 04 09:31:36 BST 2016, operations=13.688052785540368, operationsPerMinute=6.844026392770184, mode=normal, start=Sat Jun 04 09:33:11 BST 2016, end=Sat Jun 04 09:37:11 BST 2016, operations=13.715955921769218, operationsPerMinute=3.4289889804423046
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 09:39:25 BST 2016, end=Sat Jun 04 09:41:25 BST 2016, operations=28.140785079408523, operationsPerMinute=14.070392539704262, mode=normal, start=Sat Jun 04 09:41:52 BST 2016, end=Sat Jun 04 09:45:52 BST 2016, operations=82.82587414935475, operationsPerMinute=20.706468537338687
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 09:46:05 BST 2016, end=Sat Jun 04 09:48:05 BST 2016, operations=28.570515719385185, operationsPerMinute=14.285257859692592, mode=normal, start=Sat Jun 04 09:48:20 BST 2016, end=Sat Jun 04 09:52:20 BST 2016, operations=68.22491021629398, operationsPerMinute=17.056227554073494
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 04 09:52:45 BST 2016, end=Sat Jun 04 09:54:45 BST 2016, operations=512.3087387472149, operationsPerMinute=256.15436937360744, mode=normal, start=Sat Jun 04 09:54:48 BST 2016, end=Sat Jun 04 09:58:48 BST 2016, operations=761.7115591091086, operationsPerMinute=190.42788977727716
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jun 04 09:58:51 BST 2016, end=Sat Jun 04 10:00:51 BST 2016, operations=316.4072298064938, operationsPerMinute=158.2036149032469, mode=normal, start=Sat Jun 04 10:01:24 BST 2016, end=Sat Jun 04 10:05:24 BST 2016, operations=716.9191286874469, operationsPerMinute=179.22978217186173
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jun 04 10:05:26 BST 2016, end=Sat Jun 04 10:07:26 BST 2016, operations=123.8721886913388, operationsPerMinute=61.9360943456694, mode=normal, start=Sat Jun 04 10:07:34 BST 2016, end=Sat Jun 04 10:11:34 BST 2016, operations=340.2173987418532, operationsPerMinute=85.0543496854633
benchmark-name=scimark.sparse.small, mod=warmup, start=Sat Jun 04 10:11:45 BST 2016, end=Sat Jun 04 10:13:45 BST 2016, operations=249.2533707000211, operationsPerMinute=124.62668535001055, mode=normal, start=Sat Jun 04 10:14:16 BST 2016, end=Sat Jun 04 10:18:16 BST 2016, operations=580.2988752850376, operationsPerMinute=145.0747188212594
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sat Jun 04 10:18:22 BST 2016, end=Sat Jun 04 10:20:22 BST 2016, operations=49.73052122722409, operationsPerMinute=24.865260613612044, mode=normal, start=Sat Jun 04 10:20:55 BST 2016, end=Sat Jun 04 10:24:55 BST 2016, operations=134.34207192512497, operationsPerMinute=33.58551798128124
