spec.jvm2008.report.run.location=BEDSONTC124
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Thu Jun 23 02:34:20 BST 2016, end=Thu Jun 23 02:34:21 BST 2016, operations=1.0, operationsPerMinute=256.4102564102564
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 02:34:21 BST 2016, end=Thu Jun 23 02:34:21 BST 2016, operations=1.0, operationsPerMinute=124.22360248447205
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 02:34:21 BST 2016, end=Thu Jun 23 02:34:50 BST 2016, operations=1.0, operationsPerMinute=2.1200664287481006
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 02:34:50 BST 2016, end=Thu Jun 23 02:34:55 BST 2016, operations=1.0, operationsPerMinute=10.393209769617183
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 02:34:55 BST 2016, end=Thu Jun 23 02:34:57 BST 2016, operations=1.0, operationsPerMinute=37.336652146857496
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 02:34:57 BST 2016, end=Thu Jun 23 02:35:07 BST 2016, operations=1.0, operationsPerMinute=5.739978953410504
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 02:35:07 BST 2016, end=Thu Jun 23 02:35:16 BST 2016, operations=1.0, operationsPerMinute=6.867345770859563
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 02:35:16 BST 2016, end=Thu Jun 23 02:35:23 BST 2016, operations=1.0, operationsPerMinute=8.253094910591471
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 02:35:23 BST 2016, end=Thu Jun 23 02:35:27 BST 2016, operations=1.0, operationsPerMinute=18.939393939393938
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 02:35:27 BST 2016, end=Thu Jun 23 02:35:27 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 02:35:27 BST 2016, end=Thu Jun 23 02:35:29 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 02:35:29 BST 2016, end=Thu Jun 23 02:35:35 BST 2016, operations=1.0, operationsPerMinute=8.92325996430696
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 02:35:35 BST 2016, end=Thu Jun 23 02:35:37 BST 2016, operations=1.0, operationsPerMinute=35.27336860670194
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 02:35:37 BST 2016, end=Thu Jun 23 02:35:39 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 02:35:39 BST 2016, end=Thu Jun 23 02:35:42 BST 2016, operations=1.0, operationsPerMinute=19.32367149758454
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 02:35:42 BST 2016, end=Thu Jun 23 02:35:49 BST 2016, operations=1.0, operationsPerMinute=8.045052292839904
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 02:35:49 BST 2016, end=Thu Jun 23 02:36:20 BST 2016, operations=1.0, operationsPerMinute=1.9521717911176184
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 02:36:20 BST 2016, end=Thu Jun 23 02:36:21 BST 2016, operations=1.0, operationsPerMinute=39.63011889035667
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 02:36:36 BST 2016, end=Thu Jun 23 02:38:36 BST 2016, operations=350.3688141546435, operationsPerMinute=175.18440707732174, mode=normal, start=Thu Jun 23 02:38:38 BST 2016, end=Thu Jun 23 02:42:38 BST 2016, operations=722.0057925638381, operationsPerMinute=180.50144814095952
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 02:42:44 BST 2016, end=Thu Jun 23 02:44:44 BST 2016, operations=142.2471188266801, operationsPerMinute=71.12355941334005, mode=normal, start=Thu Jun 23 02:44:48 BST 2016, end=Thu Jun 23 02:48:48 BST 2016, operations=282.8998327307737, operationsPerMinute=70.72495818269343
benchmark-name=compress, mod=warmup, start=Thu Jun 23 02:48:52 BST 2016, end=Thu Jun 23 02:50:52 BST 2016, operations=267.0187038547174, operationsPerMinute=133.5093519273587, mode=normal, start=Thu Jun 23 02:50:55 BST 2016, end=Thu Jun 23 02:54:55 BST 2016, operations=534.616542173992, operationsPerMinute=133.654135543498
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 02:54:58 BST 2016, end=Thu Jun 23 02:56:58 BST 2016, operations=85.27452870227921, operationsPerMinute=42.637264351139606, mode=normal, start=Thu Jun 23 02:57:07 BST 2016, end=Thu Jun 23 03:01:07 BST 2016, operations=179.13586970726487, operationsPerMinute=44.78396742681622
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 03:01:17 BST 2016, end=Thu Jun 23 03:03:17 BST 2016, operations=144.70521062808166, operationsPerMinute=72.35260531404083, mode=normal, start=Thu Jun 23 03:03:22 BST 2016, end=Thu Jun 23 03:07:22 BST 2016, operations=290.2227236558365, operationsPerMinute=72.55568091395912
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 03:07:27 BST 2016, end=Thu Jun 23 03:09:27 BST 2016, operations=250.49572543996987, operationsPerMinute=125.24786271998494, mode=normal, start=Thu Jun 23 03:09:30 BST 2016, end=Thu Jun 23 03:13:30 BST 2016, operations=502.8624059744198, operationsPerMinute=125.71560149360495
benchmark-name=derby, mod=warmup, start=Thu Jun 23 03:15:02 BST 2016, end=Thu Jun 23 03:17:02 BST 2016, operations=200.10502153441843, operationsPerMinute=100.05251076720921, mode=normal, start=Thu Jun 23 03:17:06 BST 2016, end=Thu Jun 23 03:21:06 BST 2016, operations=402.05591397849463, operationsPerMinute=100.51397849462366
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 03:21:10 BST 2016, end=Thu Jun 23 03:23:10 BST 2016, operations=130.12818071128498, operationsPerMinute=65.06409035564249, mode=normal, start=Thu Jun 23 03:23:16 BST 2016, end=Thu Jun 23 03:27:16 BST 2016, operations=255.1063160689539, operationsPerMinute=63.776579017238475
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 03:27:22 BST 2016, end=Thu Jun 23 03:29:22 BST 2016, operations=77.47676965880603, operationsPerMinute=38.73838482940302, mode=normal, start=Thu Jun 23 03:29:30 BST 2016, end=Thu Jun 23 03:33:30 BST 2016, operations=158.9604813964268, operationsPerMinute=39.7401203491067
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 03:33:38 BST 2016, end=Thu Jun 23 03:35:38 BST 2016, operations=19.85228511889879, operationsPerMinute=9.926142559449396, mode=normal, start=Thu Jun 23 03:36:10 BST 2016, end=Thu Jun 23 03:40:10 BST 2016, operations=39.98667525659418, operationsPerMinute=9.996668814148546
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 03:40:41 BST 2016, end=Thu Jun 23 03:42:41 BST 2016, operations=54.885842446320325, operationsPerMinute=27.442921223160162, mode=normal, start=Thu Jun 23 03:42:52 BST 2016, end=Thu Jun 23 03:46:52 BST 2016, operations=109.83710068077959, operationsPerMinute=27.459275170194896
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 03:47:03 BST 2016, end=Thu Jun 23 03:49:03 BST 2016, operations=60.27815718456468, operationsPerMinute=30.13907859228234, mode=normal, start=Thu Jun 23 03:49:16 BST 2016, end=Thu Jun 23 03:53:16 BST 2016, operations=119.31014831327018, operationsPerMinute=29.827537078317544
