spec.jvm2008.report.run.location=BEDSONTC032
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 19 00:38:42 BST 2016, end=Sun Jun 19 00:38:42 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:38:42 BST 2016, end=Sun Jun 19 00:38:42 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:38:42 BST 2016, end=Sun Jun 19 00:38:54 BST 2016, operations=1.0, operationsPerMinute=4.753981459472308
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:38:54 BST 2016, end=Sun Jun 19 00:38:58 BST 2016, operations=1.0, operationsPerMinute=18.404907975460123
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:38:58 BST 2016, end=Sun Jun 19 00:38:59 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:38:59 BST 2016, end=Sun Jun 19 00:39:07 BST 2016, operations=1.0, operationsPerMinute=7.1098471382865265
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:39:07 BST 2016, end=Sun Jun 19 00:39:15 BST 2016, operations=1.0, operationsPerMinute=7.962840079628401
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:39:15 BST 2016, end=Sun Jun 19 00:39:22 BST 2016, operations=1.0, operationsPerMinute=8.861320336730174
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:39:22 BST 2016, end=Sun Jun 19 00:39:24 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:39:24 BST 2016, end=Sun Jun 19 00:39:25 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:39:25 BST 2016, end=Sun Jun 19 00:39:25 BST 2016, operations=1.0, operationsPerMinute=65.21739130434783
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:39:25 BST 2016, end=Sun Jun 19 00:39:31 BST 2016, operations=1.0, operationsPerMinute=10.895224260032686
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:39:31 BST 2016, end=Sun Jun 19 00:39:32 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:39:32 BST 2016, end=Sun Jun 19 00:39:33 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:39:33 BST 2016, end=Sun Jun 19 00:39:36 BST 2016, operations=1.0, operationsPerMinute=28.275212064090482
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:39:36 BST 2016, end=Sun Jun 19 00:39:42 BST 2016, operations=1.0, operationsPerMinute=9.335615372646647
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:39:42 BST 2016, end=Sun Jun 19 00:40:02 BST 2016, operations=1.0, operationsPerMinute=2.97000297000297
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:40:02 BST 2016, end=Sun Jun 19 00:40:03 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:40:13 BST 2016, end=Sun Jun 19 00:42:13 BST 2016, operations=494.57701758584153, operationsPerMinute=247.28850879292077, mode=normal, start=Sun Jun 19 00:42:14 BST 2016, end=Sun Jun 19 00:46:14 BST 2016, operations=1017.5805022273344, operationsPerMinute=254.3951255568336
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:46:18 BST 2016, end=Sun Jun 19 00:48:18 BST 2016, operations=195.13147045844823, operationsPerMinute=97.56573522922412, mode=normal, start=Sun Jun 19 00:48:20 BST 2016, end=Sun Jun 19 00:52:20 BST 2016, operations=387.17020910407325, operationsPerMinute=96.79255227601831
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:52:24 BST 2016, end=Sun Jun 19 00:54:24 BST 2016, operations=399.374581063496, operationsPerMinute=199.687290531748, mode=normal, start=Sun Jun 19 00:54:26 BST 2016, end=Sun Jun 19 00:58:26 BST 2016, operations=800.3398707638279, operationsPerMinute=200.08496769095697
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 00:58:29 BST 2016, end=Sun Jun 19 01:00:29 BST 2016, operations=138.84449728810452, operationsPerMinute=69.42224864405226, mode=normal, start=Sun Jun 19 01:00:33 BST 2016, end=Sun Jun 19 01:04:33 BST 2016, operations=292.4768738332268, operationsPerMinute=73.1192184583067
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:04:38 BST 2016, end=Sun Jun 19 01:06:38 BST 2016, operations=233.3131436216821, operationsPerMinute=116.65657181084104, mode=normal, start=Sun Jun 19 01:06:41 BST 2016, end=Sun Jun 19 01:10:41 BST 2016, operations=466.2402373728462, operationsPerMinute=116.56005934321155
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:10:44 BST 2016, end=Sun Jun 19 01:12:44 BST 2016, operations=404.623604445021, operationsPerMinute=202.3118022225105, mode=normal, start=Sun Jun 19 01:12:46 BST 2016, end=Sun Jun 19 01:16:46 BST 2016, operations=807.7880398812955, operationsPerMinute=201.94700997032388
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:17:08 BST 2016, end=Sun Jun 19 01:19:08 BST 2016, operations=364.1561653885793, operationsPerMinute=182.07808269428966, mode=normal, start=Sun Jun 19 01:19:10 BST 2016, end=Sun Jun 19 01:23:10 BST 2016, operations=731.8502637321859, operationsPerMinute=182.96256593304648
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:23:12 BST 2016, end=Sun Jun 19 01:25:12 BST 2016, operations=205.08167478512374, operationsPerMinute=102.54083739256187, mode=normal, start=Sun Jun 19 01:25:16 BST 2016, end=Sun Jun 19 01:29:16 BST 2016, operations=411.14612498023786, operationsPerMinute=102.78653124505946
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:29:20 BST 2016, end=Sun Jun 19 01:31:20 BST 2016, operations=78.29592168040058, operationsPerMinute=39.14796084020029, mode=normal, start=Sun Jun 19 01:31:27 BST 2016, end=Sun Jun 19 01:35:27 BST 2016, operations=158.92807606257185, operationsPerMinute=39.73201901564296
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:35:35 BST 2016, end=Sun Jun 19 01:37:35 BST 2016, operations=13.888736585938997, operationsPerMinute=6.944368292969498, mode=normal, start=Sun Jun 19 01:38:19 BST 2016, end=Sun Jun 19 01:42:19 BST 2016, operations=27.607918551617956, operationsPerMinute=6.901979637904489
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:42:48 BST 2016, end=Sun Jun 19 01:44:48 BST 2016, operations=74.37199442154743, operationsPerMinute=37.185997210773714, mode=normal, start=Sun Jun 19 01:44:57 BST 2016, end=Sun Jun 19 01:48:57 BST 2016, operations=149.03688175245316, operationsPerMinute=37.25922043811329
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:49:08 BST 2016, end=Sun Jun 19 01:51:08 BST 2016, operations=42.49475022827844, operationsPerMinute=21.24737511413922, mode=normal, start=Sun Jun 19 01:51:20 BST 2016, end=Sun Jun 19 01:55:20 BST 2016, operations=85.53644729660951, operationsPerMinute=21.384111824152377
benchmark-name=scimark.fft.small, mod=warmup, start=Sun Jun 19 01:55:35 BST 2016, end=Sun Jun 19 01:57:35 BST 2016, operations=695.6997698228807, operationsPerMinute=347.84988491144037, mode=normal, start=Sun Jun 19 01:57:36 BST 2016, end=Sun Jun 19 02:01:36 BST 2016, operations=1468.6977342047699, operationsPerMinute=367.17443355119246
