spec.jvm2008.report.run.location=BARN-06
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jul 01 14:38:46 BST 2016, end=Fri Jul 01 14:38:46 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Fri Jul 01 14:38:46 BST 2016, end=Fri Jul 01 14:38:47 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jul 01 14:38:47 BST 2016, end=Fri Jul 01 14:39:00 BST 2016, operations=1.0, operationsPerMinute=4.47227191413238
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jul 01 14:39:00 BST 2016, end=Fri Jul 01 14:39:03 BST 2016, operations=1.0, operationsPerMinute=18.231540565177756
benchmark-name=startup.compress, mode=normal, start=Fri Jul 01 14:39:03 BST 2016, end=Fri Jul 01 14:39:05 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jul 01 14:39:05 BST 2016, end=Fri Jul 01 14:39:13 BST 2016, operations=1.0, operationsPerMinute=7.14881448826403
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jul 01 14:39:13 BST 2016, end=Fri Jul 01 14:39:20 BST 2016, operations=1.0, operationsPerMinute=8.029978586723768
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jul 01 14:39:20 BST 2016, end=Fri Jul 01 14:39:27 BST 2016, operations=1.0, operationsPerMinute=8.94454382826476
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jul 01 14:39:27 BST 2016, end=Fri Jul 01 14:39:29 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jul 01 14:39:29 BST 2016, end=Fri Jul 01 14:39:30 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jul 01 14:39:30 BST 2016, end=Fri Jul 01 14:39:31 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jul 01 14:39:31 BST 2016, end=Fri Jul 01 14:39:36 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jul 01 14:39:36 BST 2016, end=Fri Jul 01 14:39:38 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jul 01 14:39:38 BST 2016, end=Fri Jul 01 14:39:39 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Fri Jul 01 14:39:39 BST 2016, end=Fri Jul 01 14:39:41 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Fri Jul 01 14:39:41 BST 2016, end=Fri Jul 01 14:39:47 BST 2016, operations=1.0, operationsPerMinute=9.426551453260016
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jul 01 14:39:47 BST 2016, end=Fri Jul 01 14:40:08 BST 2016, operations=1.0, operationsPerMinute=2.9248318221702254
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jul 01 14:40:08 BST 2016, end=Fri Jul 01 14:40:09 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jul 01 14:40:19 BST 2016, end=Fri Jul 01 14:42:19 BST 2016, operations=490.65790517389206, operationsPerMinute=245.32895258694603, mode=normal, start=Fri Jul 01 14:42:21 BST 2016, end=Fri Jul 01 14:46:21 BST 2016, operations=1001.3032741986096, operationsPerMinute=250.3258185496524
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jul 01 14:46:24 BST 2016, end=Fri Jul 01 14:48:24 BST 2016, operations=201.9352611117157, operationsPerMinute=100.96763055585785, mode=normal, start=Fri Jul 01 14:48:28 BST 2016, end=Fri Jul 01 14:52:28 BST 2016, operations=390.15688878206134, operationsPerMinute=97.53922219551534
benchmark-name=compress, mod=warmup, start=Fri Jul 01 14:52:30 BST 2016, end=Fri Jul 01 14:54:30 BST 2016, operations=399.8724478977665, operationsPerMinute=199.93622394888325, mode=normal, start=Fri Jul 01 14:54:32 BST 2016, end=Fri Jul 01 14:58:32 BST 2016, operations=800.5881208050525, operationsPerMinute=200.14703020126314
benchmark-name=crypto.aes, mod=warmup, start=Fri Jul 01 14:58:34 BST 2016, end=Fri Jul 01 15:00:34 BST 2016, operations=139.78913190616356, operationsPerMinute=69.89456595308178, mode=normal, start=Fri Jul 01 15:00:40 BST 2016, end=Fri Jul 01 15:04:40 BST 2016, operations=293.21942035328266, operationsPerMinute=73.30485508832066
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jul 01 15:04:45 BST 2016, end=Fri Jul 01 15:06:45 BST 2016, operations=237.68802288209542, operationsPerMinute=118.84401144104771, mode=normal, start=Fri Jul 01 15:06:48 BST 2016, end=Fri Jul 01 15:10:48 BST 2016, operations=474.7387681757579, operationsPerMinute=118.68469204393948
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jul 01 15:10:52 BST 2016, end=Fri Jul 01 15:12:52 BST 2016, operations=406.0143167064541, operationsPerMinute=203.00715835322706, mode=normal, start=Fri Jul 01 15:12:54 BST 2016, end=Fri Jul 01 15:16:54 BST 2016, operations=811.9801062437818, operationsPerMinute=202.99502656094546
benchmark-name=derby, mod=warmup, start=Fri Jul 01 15:17:16 BST 2016, end=Fri Jul 01 15:19:16 BST 2016, operations=364.88194739258137, operationsPerMinute=182.44097369629068, mode=normal, start=Fri Jul 01 15:19:18 BST 2016, end=Fri Jul 01 15:23:18 BST 2016, operations=683.9814170217012, operationsPerMinute=170.9953542554253
benchmark-name=mpegaudio, mod=warmup, start=Fri Jul 01 15:23:20 BST 2016, end=Fri Jul 01 15:25:20 BST 2016, operations=207.56578234493622, operationsPerMinute=103.78289117246811, mode=normal, start=Fri Jul 01 15:25:24 BST 2016, end=Fri Jul 01 15:29:24 BST 2016, operations=415.3625192563445, operationsPerMinute=103.84062981408613
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jul 01 15:29:27 BST 2016, end=Fri Jul 01 15:31:27 BST 2016, operations=78.38385926613958, operationsPerMinute=39.19192963306979, mode=normal, start=Fri Jul 01 15:31:35 BST 2016, end=Fri Jul 01 15:35:35 BST 2016, operations=146.11605419588957, operationsPerMinute=36.529013548972394
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jul 01 15:35:41 BST 2016, end=Fri Jul 01 15:37:41 BST 2016, operations=13.916803682772715, operationsPerMinute=6.958401841386357, mode=normal, start=Fri Jul 01 15:38:25 BST 2016, end=Fri Jul 01 15:42:25 BST 2016, operations=27.898685013524027, operationsPerMinute=6.974671253381007
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jul 01 15:43:08 BST 2016, end=Fri Jul 01 15:45:08 BST 2016, operations=74.6085958964954, operationsPerMinute=37.3042979482477, mode=normal, start=Fri Jul 01 15:45:17 BST 2016, end=Fri Jul 01 15:49:17 BST 2016, operations=149.07547115324263, operationsPerMinute=37.26886778831066
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jul 01 15:49:27 BST 2016, end=Fri Jul 01 15:51:27 BST 2016, operations=43.10754563529281, operationsPerMinute=21.553772817646404, mode=normal, start=Fri Jul 01 15:51:37 BST 2016, end=Fri Jul 01 15:55:37 BST 2016, operations=86.49787290217866, operationsPerMinute=21.624468225544664
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jul 01 15:55:50 BST 2016, end=Fri Jul 01 15:57:50 BST 2016, operations=728.8031815909613, operationsPerMinute=364.4015907954807, mode=normal, start=Fri Jul 01 15:57:51 BST 2016, end=Fri Jul 01 16:01:51 BST 2016, operations=1418.2064917987336, operationsPerMinute=354.5516229496834
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jul 01 16:01:52 BST 2016, end=Fri Jul 01 16:03:52 BST 2016, operations=563.6618894396445, operationsPerMinute=281.83094471982224, mode=normal, start=Fri Jul 01 16:03:54 BST 2016, end=Fri Jul 01 16:07:54 BST 2016, operations=1141.5022403946973, operationsPerMinute=285.3755600986743
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jul 01 16:07:55 BST 2016, end=Fri Jul 01 16:09:55 BST 2016, operations=330.39873492130243, operationsPerMinute=165.19936746065122, mode=normal, start=Fri Jul 01 16:09:58 BST 2016, end=Fri Jul 01 16:13:58 BST 2016, operations=657.6282962368857, operationsPerMinute=164.40707405922143
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri Jul 01 16:14:00 BST 2016, end=Fri Jul 01 16:16:00 BST 2016, operations=511.82733273747715, operationsPerMinute=255.91366636873857, mode=normal, start=Fri Jul 01 16:16:02 BST 2016, end=Fri Jul 01 16:20:02 BST 2016, operations=1019.6942699258575, operationsPerMinute=254.92356748146437
