spec.jvm2008.report.run.location=BEDSONTC005
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 19 00:39:11 BST 2016, end=Sun Jun 19 00:39:11 BST 2016, operations=1.0, operationsPerMinute=1875.0
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:39:11 BST 2016, end=Sun Jun 19 00:39:11 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:39:11 BST 2016, end=Sun Jun 19 00:39:24 BST 2016, operations=1.0, operationsPerMinute=4.801920768307323
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:39:24 BST 2016, end=Sun Jun 19 00:39:27 BST 2016, operations=1.0, operationsPerMinute=18.39926402943882
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:39:27 BST 2016, end=Sun Jun 19 00:39:28 BST 2016, operations=1.0, operationsPerMinute=47.50593824228029
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:39:28 BST 2016, end=Sun Jun 19 00:39:37 BST 2016, operations=1.0, operationsPerMinute=7.109004739336493
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:39:37 BST 2016, end=Sun Jun 19 00:39:44 BST 2016, operations=1.0, operationsPerMinute=8.097165991902834
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:39:44 BST 2016, end=Sun Jun 19 00:39:51 BST 2016, operations=1.0, operationsPerMinute=9.157509157509157
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:39:51 BST 2016, end=Sun Jun 19 00:39:53 BST 2016, operations=1.0, operationsPerMinute=26.905829596412556
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:39:53 BST 2016, end=Sun Jun 19 00:39:54 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:39:54 BST 2016, end=Sun Jun 19 00:39:55 BST 2016, operations=1.0, operationsPerMinute=65.21739130434783
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:39:55 BST 2016, end=Sun Jun 19 00:40:00 BST 2016, operations=1.0, operationsPerMinute=10.834236186348862
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:40:00 BST 2016, end=Sun Jun 19 00:40:02 BST 2016, operations=1.0, operationsPerMinute=41.78272980501393
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:40:02 BST 2016, end=Sun Jun 19 00:40:02 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:40:02 BST 2016, end=Sun Jun 19 00:40:05 BST 2016, operations=1.0, operationsPerMinute=28.91566265060241
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:40:05 BST 2016, end=Sun Jun 19 00:40:11 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:40:11 BST 2016, end=Sun Jun 19 00:40:31 BST 2016, operations=1.0, operationsPerMinute=2.9977516862353233
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:40:31 BST 2016, end=Sun Jun 19 00:40:32 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:40:42 BST 2016, end=Sun Jun 19 00:42:42 BST 2016, operations=484.73010990352014, operationsPerMinute=242.36505495176007, mode=normal, start=Sun Jun 19 00:42:43 BST 2016, end=Sun Jun 19 00:46:43 BST 2016, operations=999.4119221653159, operationsPerMinute=249.85298054132898
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:46:47 BST 2016, end=Sun Jun 19 00:48:47 BST 2016, operations=194.47598934242336, operationsPerMinute=97.23799467121168, mode=normal, start=Sun Jun 19 00:48:50 BST 2016, end=Sun Jun 19 00:52:50 BST 2016, operations=377.1104038039739, operationsPerMinute=94.27760095099347
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:52:53 BST 2016, end=Sun Jun 19 00:54:53 BST 2016, operations=399.7362662515135, operationsPerMinute=199.86813312575674, mode=normal, start=Sun Jun 19 00:54:55 BST 2016, end=Sun Jun 19 00:58:55 BST 2016, operations=800.5975111763339, operationsPerMinute=200.14937779408348
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 00:58:57 BST 2016, end=Sun Jun 19 01:00:57 BST 2016, operations=139.28143145423167, operationsPerMinute=69.64071572711583, mode=normal, start=Sun Jun 19 01:01:01 BST 2016, end=Sun Jun 19 01:05:01 BST 2016, operations=293.74305829110347, operationsPerMinute=73.43576457277587
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:05:06 BST 2016, end=Sun Jun 19 01:07:06 BST 2016, operations=233.44990408788897, operationsPerMinute=116.72495204394448, mode=normal, start=Sun Jun 19 01:07:09 BST 2016, end=Sun Jun 19 01:11:09 BST 2016, operations=470.1644230155913, operationsPerMinute=117.54110575389782
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:11:13 BST 2016, end=Sun Jun 19 01:13:13 BST 2016, operations=408.0102583832163, operationsPerMinute=204.00512919160815, mode=normal, start=Sun Jun 19 01:13:15 BST 2016, end=Sun Jun 19 01:17:15 BST 2016, operations=817.1572808746471, operationsPerMinute=204.28932021866177
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:17:37 BST 2016, end=Sun Jun 19 01:19:37 BST 2016, operations=359.87179487179486, operationsPerMinute=179.93589743589743, mode=normal, start=Sun Jun 19 01:19:40 BST 2016, end=Sun Jun 19 01:23:40 BST 2016, operations=716.6073422909974, operationsPerMinute=179.15183557274935
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:23:42 BST 2016, end=Sun Jun 19 01:25:42 BST 2016, operations=207.94310279169125, operationsPerMinute=103.97155139584562, mode=normal, start=Sun Jun 19 01:25:46 BST 2016, end=Sun Jun 19 01:29:46 BST 2016, operations=415.3205346387707, operationsPerMinute=103.83013365969268
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:29:50 BST 2016, end=Sun Jun 19 01:31:50 BST 2016, operations=71.06446304180594, operationsPerMinute=35.53223152090297, mode=normal, start=Sun Jun 19 01:31:58 BST 2016, end=Sun Jun 19 01:35:58 BST 2016, operations=157.17293458912422, operationsPerMinute=39.293233647281056
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:36:07 BST 2016, end=Sun Jun 19 01:38:07 BST 2016, operations=13.864772437147897, operationsPerMinute=6.932386218573948, mode=normal, start=Sun Jun 19 01:38:52 BST 2016, end=Sun Jun 19 01:42:52 BST 2016, operations=27.71615378026266, operationsPerMinute=6.929038445065665
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:43:38 BST 2016, end=Sun Jun 19 01:45:38 BST 2016, operations=74.23048179430258, operationsPerMinute=37.11524089715129, mode=normal, start=Sun Jun 19 01:45:47 BST 2016, end=Sun Jun 19 01:49:47 BST 2016, operations=149.10250842388507, operationsPerMinute=37.27562710597127
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:49:58 BST 2016, end=Sun Jun 19 01:51:58 BST 2016, operations=42.62049626538675, operationsPerMinute=21.310248132693374, mode=normal, start=Sun Jun 19 01:52:14 BST 2016, end=Sun Jun 19 01:56:14 BST 2016, operations=85.05046606895911, operationsPerMinute=21.262616517239778
benchmark-name=scimark.fft.small, mod=warmup, start=Sun Jun 19 01:56:31 BST 2016, end=Sun Jun 19 01:58:31 BST 2016, operations=719.9765163078337, operationsPerMinute=359.98825815391683, mode=normal, start=Sun Jun 19 01:58:32 BST 2016, end=Sun Jun 19 02:02:32 BST 2016, operations=1400.901141060316, operationsPerMinute=350.225285265079
benchmark-name=scimark.lu.small, mod=warmup, start=Sun Jun 19 02:02:34 BST 2016, end=Sun Jun 19 02:04:34 BST 2016, operations=574.6507293913553, operationsPerMinute=287.32536469567765, mode=normal, start=Sun Jun 19 02:04:35 BST 2016, end=Sun Jun 19 02:08:35 BST 2016, operations=1152.629175079775, operationsPerMinute=288.15729376994375
benchmark-name=scimark.sor.small, mod=warmup, start=Sun Jun 19 02:08:37 BST 2016, end=Sun Jun 19 02:10:37 BST 2016, operations=330.7544327915441, operationsPerMinute=165.37721639577205, mode=normal, start=Sun Jun 19 02:10:39 BST 2016, end=Sun Jun 19 02:14:39 BST 2016, operations=661.1318361371101, operationsPerMinute=165.28295903427752
benchmark-name=scimark.sparse.small, mod=warmup, start=Sun Jun 19 02:14:42 BST 2016, end=Sun Jun 19 02:16:42 BST 2016, operations=512.7457822370866, operationsPerMinute=256.3728911185433, mode=normal, start=Sun Jun 19 02:16:43 BST 2016, end=Sun Jun 19 02:20:43 BST 2016, operations=1024.5570182234474, operationsPerMinute=256.13925455586184
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sun Jun 19 02:20:45 BST 2016, end=Sun Jun 19 02:22:45 BST 2016, operations=119.97595252042868, operationsPerMinute=59.98797626021434, mode=normal, start=Sun Jun 19 02:22:52 BST 2016, end=Sun Jun 19 02:26:52 BST 2016, operations=240.02282681582147, operationsPerMinute=60.00570670395537
