spec.jvm2008.report.run.location=GLAZIER10
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 02:37:44 BST 2016, end=Fri Jun 24 02:37:44 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 02:37:44 BST 2016, end=Fri Jun 24 02:37:45 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 02:37:45 BST 2016, end=Fri Jun 24 02:38:01 BST 2016, operations=1.0, operationsPerMinute=3.597985128328136
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 02:38:01 BST 2016, end=Fri Jun 24 02:38:05 BST 2016, operations=1.0, operationsPerMinute=14.513788098693759
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 02:38:05 BST 2016, end=Fri Jun 24 02:38:07 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 02:38:07 BST 2016, end=Fri Jun 24 02:38:16 BST 2016, operations=1.0, operationsPerMinute=6.485785320505891
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 02:38:16 BST 2016, end=Fri Jun 24 02:38:24 BST 2016, operations=1.0, operationsPerMinute=7.677543186180422
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 02:38:24 BST 2016, end=Fri Jun 24 02:38:31 BST 2016, operations=1.0, operationsPerMinute=8.760402978537012
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 02:38:31 BST 2016, end=Fri Jun 24 02:38:33 BST 2016, operations=1.0, operationsPerMinute=22.10759027266028
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 02:38:33 BST 2016, end=Fri Jun 24 02:38:34 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 02:38:34 BST 2016, end=Fri Jun 24 02:38:35 BST 2016, operations=1.0, operationsPerMinute=54.151624548736464
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 02:38:35 BST 2016, end=Fri Jun 24 02:38:42 BST 2016, operations=1.0, operationsPerMinute=9.7624471200781
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 02:38:42 BST 2016, end=Fri Jun 24 02:38:43 BST 2016, operations=1.0, operationsPerMinute=38.46153846153846
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 02:38:43 BST 2016, end=Fri Jun 24 02:38:44 BST 2016, operations=1.0, operationsPerMinute=51.282051282051285
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 02:38:44 BST 2016, end=Fri Jun 24 02:38:47 BST 2016, operations=1.0, operationsPerMinute=23.032629558541267
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 02:38:47 BST 2016, end=Fri Jun 24 02:38:54 BST 2016, operations=1.0, operationsPerMinute=8.841732979664014
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 02:38:54 BST 2016, end=Fri Jun 24 02:39:19 BST 2016, operations=1.0, operationsPerMinute=2.4007682458386683
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 02:39:19 BST 2016, end=Fri Jun 24 02:39:20 BST 2016, operations=1.0, operationsPerMinute=51.99306759098787
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 02:39:33 BST 2016, end=Fri Jun 24 02:41:33 BST 2016, operations=392.5684766611977, operationsPerMinute=196.28423833059884, mode=normal, start=Fri Jun 24 02:41:34 BST 2016, end=Fri Jun 24 02:45:34 BST 2016, operations=798.2624630064192, operationsPerMinute=199.5656157516048
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 02:45:40 BST 2016, end=Fri Jun 24 02:47:40 BST 2016, operations=162.95340385874084, operationsPerMinute=81.47670192937042, mode=normal, start=Fri Jun 24 02:47:44 BST 2016, end=Fri Jun 24 02:51:44 BST 2016, operations=323.0754456009412, operationsPerMinute=80.7688614002353
benchmark-name=compress, mod=warmup, start=Fri Jun 24 02:51:48 BST 2016, end=Fri Jun 24 02:53:48 BST 2016, operations=327.36104569363204, operationsPerMinute=163.68052284681602, mode=normal, start=Fri Jun 24 02:53:50 BST 2016, end=Fri Jun 24 02:57:50 BST 2016, operations=656.1351787858993, operationsPerMinute=164.0337946964748
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 02:57:53 BST 2016, end=Fri Jun 24 02:59:53 BST 2016, operations=107.22351037348352, operationsPerMinute=53.61175518674176, mode=normal, start=Fri Jun 24 02:59:58 BST 2016, end=Fri Jun 24 03:03:58 BST 2016, operations=230.17970759631976, operationsPerMinute=57.54492689907994
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 03:04:04 BST 2016, end=Fri Jun 24 03:06:04 BST 2016, operations=192.4394909406663, operationsPerMinute=96.21974547033315, mode=normal, start=Fri Jun 24 03:06:08 BST 2016, end=Fri Jun 24 03:10:08 BST 2016, operations=383.33527529261085, operationsPerMinute=95.83381882315271
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 03:10:12 BST 2016, end=Fri Jun 24 03:12:12 BST 2016, operations=326.32440319735827, operationsPerMinute=163.16220159867913, mode=normal, start=Fri Jun 24 03:12:15 BST 2016, end=Fri Jun 24 03:16:15 BST 2016, operations=633.9297257194586, operationsPerMinute=158.48243142986465
benchmark-name=derby, mod=warmup, start=Fri Jun 24 03:17:36 BST 2016, end=Fri Jun 24 03:19:36 BST 2016, operations=240.5674580714072, operationsPerMinute=120.2837290357036, mode=normal, start=Fri Jun 24 03:19:39 BST 2016, end=Fri Jun 24 03:23:39 BST 2016, operations=478.598094831932, operationsPerMinute=119.649523707983
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 03:23:42 BST 2016, end=Fri Jun 24 03:25:42 BST 2016, operations=161.76711935383088, operationsPerMinute=80.88355967691544, mode=normal, start=Fri Jun 24 03:25:46 BST 2016, end=Fri Jun 24 03:29:46 BST 2016, operations=324.01676615238534, operationsPerMinute=81.00419153809634
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 03:29:51 BST 2016, end=Fri Jun 24 03:31:51 BST 2016, operations=102.20677341042341, operationsPerMinute=51.103386705211705, mode=normal, start=Fri Jun 24 03:31:57 BST 2016, end=Fri Jun 24 03:35:57 BST 2016, operations=201.3338714054429, operationsPerMinute=50.33346785136072
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 03:36:03 BST 2016, end=Fri Jun 24 03:38:03 BST 2016, operations=21.319144472523885, operationsPerMinute=10.659572236261942, mode=normal, start=Fri Jun 24 03:38:31 BST 2016, end=Fri Jun 24 03:42:31 BST 2016, operations=42.956558511861246, operationsPerMinute=10.739139627965312
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 03:42:59 BST 2016, end=Fri Jun 24 03:44:59 BST 2016, operations=64.84149324570276, operationsPerMinute=32.42074662285138, mode=normal, start=Fri Jun 24 03:45:10 BST 2016, end=Fri Jun 24 03:49:10 BST 2016, operations=129.95132272673285, operationsPerMinute=32.487830681683214
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 03:49:22 BST 2016, end=Fri Jun 24 03:51:22 BST 2016, operations=71.04034792918101, operationsPerMinute=35.520173964590505, mode=normal, start=Fri Jun 24 03:51:33 BST 2016, end=Fri Jun 24 03:55:33 BST 2016, operations=141.92942470159358, operationsPerMinute=35.482356175398394
