spec.jvm2008.report.run.location=GREY-04
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 23:26:48 BST 2016, end=Mon Jul 04 23:26:48 BST 2016, operations=1.0, operationsPerMinute=1875.0
benchmark-name=startup.helloworld, mode=normal, start=Mon Jul 04 23:26:48 BST 2016, end=Mon Jul 04 23:26:48 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jul 04 23:26:48 BST 2016, end=Mon Jul 04 23:27:03 BST 2016, operations=1.0, operationsPerMinute=3.9489272081084636
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jul 04 23:27:03 BST 2016, end=Mon Jul 04 23:27:07 BST 2016, operations=1.0, operationsPerMinute=17.482517482517483
benchmark-name=startup.compress, mode=normal, start=Mon Jul 04 23:27:07 BST 2016, end=Mon Jul 04 23:27:08 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jul 04 23:27:08 BST 2016, end=Mon Jul 04 23:27:16 BST 2016, operations=1.0, operationsPerMinute=7.1098471382865265
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jul 04 23:27:16 BST 2016, end=Mon Jul 04 23:27:24 BST 2016, operations=1.0, operationsPerMinute=8.028904054596548
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jul 04 23:27:24 BST 2016, end=Mon Jul 04 23:27:31 BST 2016, operations=1.0, operationsPerMinute=9.029345372460497
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jul 04 23:27:31 BST 2016, end=Mon Jul 04 23:27:33 BST 2016, operations=1.0, operationsPerMinute=26.89376961004034
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jul 04 23:27:33 BST 2016, end=Mon Jul 04 23:27:34 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jul 04 23:27:34 BST 2016, end=Mon Jul 04 23:27:34 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jul 04 23:27:34 BST 2016, end=Mon Jul 04 23:27:40 BST 2016, operations=1.0, operationsPerMinute=10.95690284879474
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jul 04 23:27:40 BST 2016, end=Mon Jul 04 23:27:41 BST 2016, operations=1.0, operationsPerMinute=41.81184668989547
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jul 04 23:27:41 BST 2016, end=Mon Jul 04 23:27:42 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Mon Jul 04 23:27:42 BST 2016, end=Mon Jul 04 23:27:44 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Mon Jul 04 23:27:44 BST 2016, end=Mon Jul 04 23:27:51 BST 2016, operations=1.0, operationsPerMinute=9.358914365933552
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jul 04 23:27:51 BST 2016, end=Mon Jul 04 23:28:11 BST 2016, operations=1.0, operationsPerMinute=3.0070666065253344
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jul 04 23:28:11 BST 2016, end=Mon Jul 04 23:28:12 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jul 04 23:28:23 BST 2016, end=Mon Jul 04 23:30:23 BST 2016, operations=487.9976495889547, operationsPerMinute=243.99882479447734, mode=normal, start=Mon Jul 04 23:30:24 BST 2016, end=Mon Jul 04 23:34:24 BST 2016, operations=1011.6831599146877, operationsPerMinute=252.92078997867193
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jul 04 23:34:29 BST 2016, end=Mon Jul 04 23:36:29 BST 2016, operations=200.71356261052267, operationsPerMinute=100.35678130526134, mode=normal, start=Mon Jul 04 23:36:33 BST 2016, end=Mon Jul 04 23:40:33 BST 2016, operations=386.48211415976016, operationsPerMinute=96.62052853994004
benchmark-name=compress, mod=warmup, start=Mon Jul 04 23:40:36 BST 2016, end=Mon Jul 04 23:42:36 BST 2016, operations=399.105817281575, operationsPerMinute=199.5529086407875, mode=normal, start=Mon Jul 04 23:42:38 BST 2016, end=Mon Jul 04 23:46:38 BST 2016, operations=800.3111619880488, operationsPerMinute=200.0777904970122
benchmark-name=crypto.aes, mod=warmup, start=Mon Jul 04 23:46:40 BST 2016, end=Mon Jul 04 23:48:40 BST 2016, operations=139.17797921163975, operationsPerMinute=69.58898960581988, mode=normal, start=Mon Jul 04 23:48:45 BST 2016, end=Mon Jul 04 23:52:45 BST 2016, operations=293.42629167929255, operationsPerMinute=73.35657291982314
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jul 04 23:52:51 BST 2016, end=Mon Jul 04 23:54:51 BST 2016, operations=234.15982489737658, operationsPerMinute=117.07991244868829, mode=normal, start=Mon Jul 04 23:54:54 BST 2016, end=Mon Jul 04 23:58:54 BST 2016, operations=467.62298853236683, operationsPerMinute=116.90574713309171
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jul 04 23:58:58 BST 2016, end=Tue Jul 05 00:00:58 BST 2016, operations=406.1750666609014, operationsPerMinute=203.0875333304507, mode=normal, start=Tue Jul 05 00:01:00 BST 2016, end=Tue Jul 05 00:05:00 BST 2016, operations=810.8173746263792, operationsPerMinute=202.7043436565948
benchmark-name=derby, mod=warmup, start=Tue Jul 05 00:05:42 BST 2016, end=Tue Jul 05 00:07:42 BST 2016, operations=358.6815891329372, operationsPerMinute=179.3407945664686, mode=normal, start=Tue Jul 05 00:07:44 BST 2016, end=Tue Jul 05 00:11:44 BST 2016, operations=715.4729818008484, operationsPerMinute=178.8682454502121
benchmark-name=mpegaudio, mod=warmup, start=Tue Jul 05 00:11:46 BST 2016, end=Tue Jul 05 00:13:46 BST 2016, operations=207.23875266616733, operationsPerMinute=103.61937633308366, mode=normal, start=Tue Jul 05 00:13:51 BST 2016, end=Tue Jul 05 00:17:51 BST 2016, operations=415.7501583873638, operationsPerMinute=103.93753959684095
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jul 05 00:17:55 BST 2016, end=Tue Jul 05 00:19:55 BST 2016, operations=78.67153220785237, operationsPerMinute=39.33576610392618, mode=normal, start=Tue Jul 05 00:20:02 BST 2016, end=Tue Jul 05 00:24:02 BST 2016, operations=153.63794334635134, operationsPerMinute=38.409485836587834
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jul 05 00:24:10 BST 2016, end=Tue Jul 05 00:26:10 BST 2016, operations=13.832199610422522, operationsPerMinute=6.916099805211261, mode=normal, start=Tue Jul 05 00:26:54 BST 2016, end=Tue Jul 05 00:30:54 BST 2016, operations=27.852389430649424, operationsPerMinute=6.963097357662356
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jul 05 00:31:29 BST 2016, end=Tue Jul 05 00:33:29 BST 2016, operations=74.56248104210466, operationsPerMinute=37.28124052105233, mode=normal, start=Tue Jul 05 00:33:38 BST 2016, end=Tue Jul 05 00:37:38 BST 2016, operations=149.03734538823375, operationsPerMinute=37.259336347058436
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jul 05 00:37:49 BST 2016, end=Tue Jul 05 00:39:49 BST 2016, operations=42.71593031292681, operationsPerMinute=21.357965156463404, mode=normal, start=Tue Jul 05 00:40:01 BST 2016, end=Tue Jul 05 00:44:01 BST 2016, operations=85.12050589390768, operationsPerMinute=21.28012647347692
