spec.jvm2008.report.run.location=CASTLEAZES020
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Thu Jun 23 15:17:40 BST 2016, end=Thu Jun 23 15:17:40 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 15:17:40 BST 2016, end=Thu Jun 23 15:17:40 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 15:17:40 BST 2016, end=Thu Jun 23 15:17:53 BST 2016, operations=1.0, operationsPerMinute=4.61716044632551
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 15:17:53 BST 2016, end=Thu Jun 23 15:17:56 BST 2016, operations=1.0, operationsPerMinute=17.482517482517483
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 15:17:56 BST 2016, end=Thu Jun 23 15:17:57 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 15:17:57 BST 2016, end=Thu Jun 23 15:18:06 BST 2016, operations=1.0, operationsPerMinute=7.095553453169347
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 15:18:06 BST 2016, end=Thu Jun 23 15:18:13 BST 2016, operations=1.0, operationsPerMinute=8.063432334363661
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 15:18:13 BST 2016, end=Thu Jun 23 15:18:20 BST 2016, operations=1.0, operationsPerMinute=9.135200974421437
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 15:18:20 BST 2016, end=Thu Jun 23 15:18:22 BST 2016, operations=1.0, operationsPerMinute=26.905829596412556
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 15:18:22 BST 2016, end=Thu Jun 23 15:18:23 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 15:18:23 BST 2016, end=Thu Jun 23 15:18:24 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 15:18:24 BST 2016, end=Thu Jun 23 15:18:29 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 15:18:29 BST 2016, end=Thu Jun 23 15:18:31 BST 2016, operations=1.0, operationsPerMinute=41.81184668989547
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 15:18:31 BST 2016, end=Thu Jun 23 15:18:32 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 15:18:32 BST 2016, end=Thu Jun 23 15:18:34 BST 2016, operations=1.0, operationsPerMinute=28.91566265060241
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 15:18:34 BST 2016, end=Thu Jun 23 15:18:40 BST 2016, operations=1.0, operationsPerMinute=9.357454772301933
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 15:18:40 BST 2016, end=Thu Jun 23 15:19:00 BST 2016, operations=1.0, operationsPerMinute=2.97000297000297
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 15:19:00 BST 2016, end=Thu Jun 23 15:19:01 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 15:19:11 BST 2016, end=Thu Jun 23 15:21:11 BST 2016, operations=486.4945719259907, operationsPerMinute=243.24728596299536, mode=normal, start=Thu Jun 23 15:21:13 BST 2016, end=Thu Jun 23 15:25:13 BST 2016, operations=993.9148959340528, operationsPerMinute=248.4787239835132
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 15:25:16 BST 2016, end=Thu Jun 23 15:27:16 BST 2016, operations=197.01811618540353, operationsPerMinute=98.50905809270176, mode=normal, start=Thu Jun 23 15:27:20 BST 2016, end=Thu Jun 23 15:31:20 BST 2016, operations=390.94379568204454, operationsPerMinute=97.73594892051113
benchmark-name=compress, mod=warmup, start=Thu Jun 23 15:31:24 BST 2016, end=Thu Jun 23 15:33:24 BST 2016, operations=399.8036310608585, operationsPerMinute=199.90181553042925, mode=normal, start=Thu Jun 23 15:33:26 BST 2016, end=Thu Jun 23 15:37:26 BST 2016, operations=798.966838231176, operationsPerMinute=199.741709557794
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 15:37:28 BST 2016, end=Thu Jun 23 15:39:28 BST 2016, operations=139.74062003395812, operationsPerMinute=69.87031001697906, mode=normal, start=Thu Jun 23 15:39:34 BST 2016, end=Thu Jun 23 15:43:34 BST 2016, operations=293.4559806090682, operationsPerMinute=73.36399515226705
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 15:43:40 BST 2016, end=Thu Jun 23 15:45:40 BST 2016, operations=236.26049253055618, operationsPerMinute=118.13024626527809, mode=normal, start=Thu Jun 23 15:45:43 BST 2016, end=Thu Jun 23 15:49:43 BST 2016, operations=474.0800473294356, operationsPerMinute=118.5200118323589
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 15:49:46 BST 2016, end=Thu Jun 23 15:51:46 BST 2016, operations=409.01097554305164, operationsPerMinute=204.50548777152582, mode=normal, start=Thu Jun 23 15:51:48 BST 2016, end=Thu Jun 23 15:55:48 BST 2016, operations=818.2479235380449, operationsPerMinute=204.56198088451123
benchmark-name=derby, mod=warmup, start=Thu Jun 23 15:56:10 BST 2016, end=Thu Jun 23 15:58:10 BST 2016, operations=365.44463876020666, operationsPerMinute=182.72231938010333, mode=normal, start=Thu Jun 23 15:58:12 BST 2016, end=Thu Jun 23 16:02:12 BST 2016, operations=731.0102387958149, operationsPerMinute=182.75255969895372
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 16:02:14 BST 2016, end=Thu Jun 23 16:04:14 BST 2016, operations=203.38633271067368, operationsPerMinute=101.69316635533684, mode=normal, start=Thu Jun 23 16:04:18 BST 2016, end=Thu Jun 23 16:08:18 BST 2016, operations=405.47009153490603, operationsPerMinute=101.36752288372651
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 16:08:21 BST 2016, end=Thu Jun 23 16:10:21 BST 2016, operations=70.12582370735221, operationsPerMinute=35.062911853676106, mode=normal, start=Thu Jun 23 16:10:29 BST 2016, end=Thu Jun 23 16:14:29 BST 2016, operations=145.09666396856872, operationsPerMinute=36.27416599214218
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 16:14:37 BST 2016, end=Thu Jun 23 16:16:37 BST 2016, operations=13.998477949163886, operationsPerMinute=6.999238974581943, mode=normal, start=Thu Jun 23 16:17:20 BST 2016, end=Thu Jun 23 16:21:20 BST 2016, operations=27.74914498559381, operationsPerMinute=6.937286246398452
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 16:21:56 BST 2016, end=Thu Jun 23 16:23:56 BST 2016, operations=74.67239925744289, operationsPerMinute=37.336199628721445, mode=normal, start=Thu Jun 23 16:24:05 BST 2016, end=Thu Jun 23 16:28:05 BST 2016, operations=149.17473819834223, operationsPerMinute=37.29368454958556
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 16:28:16 BST 2016, end=Thu Jun 23 16:30:16 BST 2016, operations=43.30798380055831, operationsPerMinute=21.653991900279156, mode=normal, start=Thu Jun 23 16:30:26 BST 2016, end=Thu Jun 23 16:34:26 BST 2016, operations=85.60790694681212, operationsPerMinute=21.40197673670303
