spec.jvm2008.report.run.location=RIDLEY2B020
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 25 05:38:21 BST 2016, end=Sat Jun 25 05:38:21 BST 2016, operations=1.0, operationsPerMinute=1875.0
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 05:38:21 BST 2016, end=Sat Jun 25 05:38:21 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 05:38:21 BST 2016, end=Sat Jun 25 05:38:34 BST 2016, operations=1.0, operationsPerMinute=4.6008741660915575
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 05:38:34 BST 2016, end=Sat Jun 25 05:38:38 BST 2016, operations=1.0, operationsPerMinute=17.88908765652952
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 05:38:38 BST 2016, end=Sat Jun 25 05:38:39 BST 2016, operations=1.0, operationsPerMinute=46.875
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 05:38:39 BST 2016, end=Sat Jun 25 05:38:47 BST 2016, operations=1.0, operationsPerMinute=7.070469007777516
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 05:38:47 BST 2016, end=Sat Jun 25 05:38:55 BST 2016, operations=1.0, operationsPerMinute=8.063432334363661
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 05:38:55 BST 2016, end=Sat Jun 25 05:39:01 BST 2016, operations=1.0, operationsPerMinute=9.006304413089163
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 05:39:01 BST 2016, end=Sat Jun 25 05:39:04 BST 2016, operations=1.0, operationsPerMinute=26.350461133069828
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 05:39:04 BST 2016, end=Sat Jun 25 05:39:04 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 05:39:04 BST 2016, end=Sat Jun 25 05:39:05 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 05:39:05 BST 2016, end=Sat Jun 25 05:39:11 BST 2016, operations=1.0, operationsPerMinute=10.683760683760683
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 05:39:11 BST 2016, end=Sat Jun 25 05:39:12 BST 2016, operations=1.0, operationsPerMinute=41.35079255685734
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 05:39:12 BST 2016, end=Sat Jun 25 05:39:13 BST 2016, operations=1.0, operationsPerMinute=60.120240480961925
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 05:39:13 BST 2016, end=Sat Jun 25 05:39:16 BST 2016, operations=1.0, operationsPerMinute=27.86809103576405
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 05:39:16 BST 2016, end=Sat Jun 25 05:39:22 BST 2016, operations=1.0, operationsPerMinute=9.267840593141798
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 05:39:22 BST 2016, end=Sat Jun 25 05:39:43 BST 2016, operations=1.0, operationsPerMinute=2.9292584094126837
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 05:39:43 BST 2016, end=Sat Jun 25 05:39:43 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 05:39:54 BST 2016, end=Sat Jun 25 05:41:54 BST 2016, operations=472.6909628044485, operationsPerMinute=236.34548140222424, mode=normal, start=Sat Jun 25 05:41:55 BST 2016, end=Sat Jun 25 05:45:55 BST 2016, operations=952.1496329693698, operationsPerMinute=238.03740824234245
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 05:45:59 BST 2016, end=Sat Jun 25 05:47:59 BST 2016, operations=188.29318630707044, operationsPerMinute=94.14659315353522, mode=normal, start=Sat Jun 25 05:48:02 BST 2016, end=Sat Jun 25 05:52:02 BST 2016, operations=378.95928954861665, operationsPerMinute=94.73982238715416
benchmark-name=compress, mod=warmup, start=Sat Jun 25 05:52:06 BST 2016, end=Sat Jun 25 05:54:06 BST 2016, operations=360.96658245708693, operationsPerMinute=180.48329122854346, mode=normal, start=Sat Jun 25 05:54:08 BST 2016, end=Sat Jun 25 05:58:08 BST 2016, operations=732.1174321854265, operationsPerMinute=183.02935804635663
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 05:58:10 BST 2016, end=Sat Jun 25 06:00:10 BST 2016, operations=135.8773347214192, operationsPerMinute=67.9386673607096, mode=normal, start=Sat Jun 25 06:00:14 BST 2016, end=Sat Jun 25 06:04:14 BST 2016, operations=289.3355148910109, operationsPerMinute=72.33387872275273
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 06:04:19 BST 2016, end=Sat Jun 25 06:06:19 BST 2016, operations=233.5482397710175, operationsPerMinute=116.77411988550875, mode=normal, start=Sat Jun 25 06:06:22 BST 2016, end=Sat Jun 25 06:10:22 BST 2016, operations=464.702852996033, operationsPerMinute=116.17571324900825
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 06:10:26 BST 2016, end=Sat Jun 25 06:12:26 BST 2016, operations=404.1742870021116, operationsPerMinute=202.0871435010558, mode=normal, start=Sat Jun 25 06:12:28 BST 2016, end=Sat Jun 25 06:16:28 BST 2016, operations=808.3633873121471, operationsPerMinute=202.09084682803677
benchmark-name=derby, mod=warmup, start=Sat Jun 25 06:16:51 BST 2016, end=Sat Jun 25 06:18:51 BST 2016, operations=350.9214341308675, operationsPerMinute=175.46071706543376, mode=normal, start=Sat Jun 25 06:18:53 BST 2016, end=Sat Jun 25 06:22:53 BST 2016, operations=712.847807402575, operationsPerMinute=178.21195185064374
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 06:22:55 BST 2016, end=Sat Jun 25 06:24:55 BST 2016, operations=207.33622774590236, operationsPerMinute=103.66811387295118, mode=normal, start=Sat Jun 25 06:24:58 BST 2016, end=Sat Jun 25 06:28:58 BST 2016, operations=412.24935767041217, operationsPerMinute=103.06233941760304
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 06:29:01 BST 2016, end=Sat Jun 25 06:31:01 BST 2016, operations=79.05676259208344, operationsPerMinute=39.52838129604172, mode=normal, start=Sat Jun 25 06:31:09 BST 2016, end=Sat Jun 25 06:35:09 BST 2016, operations=144.6399593251094, operationsPerMinute=36.15998983127735
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 06:35:17 BST 2016, end=Sat Jun 25 06:37:17 BST 2016, operations=13.84195548482064, operationsPerMinute=6.92097774241032, mode=normal, start=Sat Jun 25 06:38:01 BST 2016, end=Sat Jun 25 06:42:01 BST 2016, operations=27.803561965789164, operationsPerMinute=6.950890491447291
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 06:42:37 BST 2016, end=Sat Jun 25 06:44:37 BST 2016, operations=73.99568926246579, operationsPerMinute=36.997844631232894, mode=normal, start=Sat Jun 25 06:44:47 BST 2016, end=Sat Jun 25 06:48:47 BST 2016, operations=134.07367007958425, operationsPerMinute=33.51841751989606
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 06:48:55 BST 2016, end=Sat Jun 25 06:50:55 BST 2016, operations=42.089798097889414, operationsPerMinute=21.044899048944707, mode=normal, start=Sat Jun 25 06:51:09 BST 2016, end=Sat Jun 25 06:55:09 BST 2016, operations=84.16266001935985, operationsPerMinute=21.040665004839962
