spec.jvm2008.report.run.location=PERCY015
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:19:13 BST 2016, end=Thu May 26 14:19:13 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:19:13 BST 2016, end=Thu May 26 14:19:13 BST 2016, operations=1.0, operationsPerMinute=256.4102564102564
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:19:13 BST 2016, end=Thu May 26 14:19:26 BST 2016, operations=1.0, operationsPerMinute=4.5892611289582375
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:19:26 BST 2016, end=Thu May 26 14:19:30 BST 2016, operations=1.0, operationsPerMinute=17.88908765652952
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:19:30 BST 2016, end=Thu May 26 14:19:31 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:19:31 BST 2016, end=Thu May 26 14:19:39 BST 2016, operations=1.0, operationsPerMinute=7.082989021367017
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:19:39 BST 2016, end=Thu May 26 14:19:47 BST 2016, operations=1.0, operationsPerMinute=8.011750567498998
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:19:47 BST 2016, end=Thu May 26 14:19:53 BST 2016, operations=1.0, operationsPerMinute=9.178522257916475
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:19:53 BST 2016, end=Thu May 26 14:19:56 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:19:56 BST 2016, end=Thu May 26 14:19:56 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:19:56 BST 2016, end=Thu May 26 14:19:57 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:19:57 BST 2016, end=Thu May 26 14:20:03 BST 2016, operations=1.0, operationsPerMinute=10.743061772605193
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:20:03 BST 2016, end=Thu May 26 14:20:04 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:20:04 BST 2016, end=Thu May 26 14:20:05 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:20:05 BST 2016, end=Thu May 26 14:20:07 BST 2016, operations=1.0, operationsPerMinute=28.28854314002829
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:20:07 BST 2016, end=Thu May 26 14:20:14 BST 2016, operations=1.0, operationsPerMinute=9.357454772301933
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:20:14 BST 2016, end=Thu May 26 14:20:34 BST 2016, operations=1.0, operationsPerMinute=2.9769288017861575
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:20:34 BST 2016, end=Thu May 26 14:20:35 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:20:45 BST 2016, end=Thu May 26 14:22:45 BST 2016, operations=494.8602789586609, operationsPerMinute=247.43013947933045, mode=normal, start=Thu May 26 14:22:46 BST 2016, end=Thu May 26 14:26:46 BST 2016, operations=1008.4002491154112, operationsPerMinute=252.1000622788528
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:26:50 BST 2016, end=Thu May 26 14:28:50 BST 2016, operations=199.09531137532576, operationsPerMinute=99.54765568766288, mode=normal, start=Thu May 26 14:28:52 BST 2016, end=Thu May 26 14:32:52 BST 2016, operations=397.29175042863346, operationsPerMinute=99.32293760715837
benchmark-name=compress, mod=warmup, start=Thu May 26 14:32:56 BST 2016, end=Thu May 26 14:34:56 BST 2016, operations=399.39531538234894, operationsPerMinute=199.69765769117447, mode=normal, start=Thu May 26 14:34:57 BST 2016, end=Thu May 26 14:38:57 BST 2016, operations=797.9112347414527, operationsPerMinute=199.4778086853632
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:38:59 BST 2016, end=Thu May 26 14:40:59 BST 2016, operations=139.22143289526264, operationsPerMinute=69.61071644763132, mode=normal, start=Thu May 26 14:41:04 BST 2016, end=Thu May 26 14:45:04 BST 2016, operations=292.9447542075595, operationsPerMinute=73.23618855188988
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:45:09 BST 2016, end=Thu May 26 14:47:09 BST 2016, operations=236.65820626357592, operationsPerMinute=118.32910313178796, mode=normal, start=Thu May 26 14:47:12 BST 2016, end=Thu May 26 14:51:12 BST 2016, operations=473.6789086809843, operationsPerMinute=118.41972717024608
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:51:16 BST 2016, end=Thu May 26 14:53:16 BST 2016, operations=406.6812438322804, operationsPerMinute=203.3406219161402, mode=normal, start=Thu May 26 14:53:18 BST 2016, end=Thu May 26 14:57:18 BST 2016, operations=815.5823040295645, operationsPerMinute=203.89557600739113
benchmark-name=derby, mod=warmup, start=Thu May 26 14:57:40 BST 2016, end=Thu May 26 14:59:40 BST 2016, operations=365.9694335721796, operationsPerMinute=182.9847167860898, mode=normal, start=Thu May 26 14:59:42 BST 2016, end=Thu May 26 15:03:42 BST 2016, operations=731.1356302867754, operationsPerMinute=182.78390757169385
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:03:44 BST 2016, end=Thu May 26 15:05:44 BST 2016, operations=208.1472622727241, operationsPerMinute=104.07363113636205, mode=normal, start=Thu May 26 15:05:48 BST 2016, end=Thu May 26 15:09:48 BST 2016, operations=416.23284001886077, operationsPerMinute=104.05821000471519
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:09:52 BST 2016, end=Thu May 26 15:11:52 BST 2016, operations=73.77619253520594, operationsPerMinute=36.88809626760297, mode=normal, start=Thu May 26 15:11:59 BST 2016, end=Thu May 26 15:15:59 BST 2016, operations=140.23728094082225, operationsPerMinute=35.05932023520556
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:16:07 BST 2016, end=Thu May 26 15:18:07 BST 2016, operations=13.758867906992897, operationsPerMinute=6.879433953496449, mode=normal, start=Thu May 26 15:18:52 BST 2016, end=Thu May 26 15:22:52 BST 2016, operations=27.700359760442222, operationsPerMinute=6.9250899401105555
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:23:21 BST 2016, end=Thu May 26 15:25:21 BST 2016, operations=74.6970389325347, operationsPerMinute=37.34851946626735, mode=normal, start=Thu May 26 15:25:29 BST 2016, end=Thu May 26 15:29:29 BST 2016, operations=149.30494259310504, operationsPerMinute=37.32623564827626
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:29:40 BST 2016, end=Thu May 26 15:31:40 BST 2016, operations=43.09334191532216, operationsPerMinute=21.54667095766108, mode=normal, start=Thu May 26 15:31:50 BST 2016, end=Thu May 26 15:35:50 BST 2016, operations=86.06342011894198, operationsPerMinute=21.515855029735494
