spec.jvm2008.report.run.location=BEDSONTC004
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 19 02:39:20 BST 2016, end=Sun Jun 19 02:39:20 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 02:39:20 BST 2016, end=Sun Jun 19 02:39:20 BST 2016, operations=1.0, operationsPerMinute=348.83720930232556
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 02:39:20 BST 2016, end=Sun Jun 19 02:39:34 BST 2016, operations=1.0, operationsPerMinute=4.524886877828054
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 02:39:34 BST 2016, end=Sun Jun 19 02:39:37 BST 2016, operations=1.0, operationsPerMinute=17.725258493353028
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 02:39:37 BST 2016, end=Sun Jun 19 02:39:38 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 02:39:38 BST 2016, end=Sun Jun 19 02:39:47 BST 2016, operations=1.0, operationsPerMinute=7.070469007777516
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 02:39:47 BST 2016, end=Sun Jun 19 02:39:54 BST 2016, operations=1.0, operationsPerMinute=8.062348830959419
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 02:39:54 BST 2016, end=Sun Jun 19 02:40:01 BST 2016, operations=1.0, operationsPerMinute=9.157509157509157
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 02:40:01 BST 2016, end=Sun Jun 19 02:40:03 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 02:40:03 BST 2016, end=Sun Jun 19 02:40:04 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 02:40:04 BST 2016, end=Sun Jun 19 02:40:05 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 02:40:05 BST 2016, end=Sun Jun 19 02:40:10 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 02:40:10 BST 2016, end=Sun Jun 19 02:40:12 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 02:40:12 BST 2016, end=Sun Jun 19 02:40:13 BST 2016, operations=1.0, operationsPerMinute=60.120240480961925
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 02:40:13 BST 2016, end=Sun Jun 19 02:40:15 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 02:40:15 BST 2016, end=Sun Jun 19 02:40:21 BST 2016, operations=1.0, operationsPerMinute=9.357454772301933
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 02:40:21 BST 2016, end=Sun Jun 19 02:40:41 BST 2016, operations=1.0, operationsPerMinute=2.9907287409032
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 02:40:41 BST 2016, end=Sun Jun 19 02:40:42 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 02:40:52 BST 2016, end=Sun Jun 19 02:42:52 BST 2016, operations=486.09945279932685, operationsPerMinute=243.04972639966343, mode=normal, start=Sun Jun 19 02:42:53 BST 2016, end=Sun Jun 19 02:46:53 BST 2016, operations=1011.0936342810057, operationsPerMinute=252.77340857025143
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 02:46:57 BST 2016, end=Sun Jun 19 02:48:57 BST 2016, operations=200.16054693769945, operationsPerMinute=100.08027346884973, mode=normal, start=Sun Jun 19 02:49:01 BST 2016, end=Sun Jun 19 02:53:01 BST 2016, operations=382.3736961083254, operationsPerMinute=95.59342402708135
benchmark-name=compress, mod=warmup, start=Sun Jun 19 02:53:03 BST 2016, end=Sun Jun 19 02:55:03 BST 2016, operations=399.35690573815816, operationsPerMinute=199.67845286907908, mode=normal, start=Sun Jun 19 02:55:05 BST 2016, end=Sun Jun 19 02:59:05 BST 2016, operations=800.5459513968386, operationsPerMinute=200.13648784920966
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 02:59:07 BST 2016, end=Sun Jun 19 03:01:07 BST 2016, operations=139.02832735231772, operationsPerMinute=69.51416367615886, mode=normal, start=Sun Jun 19 03:01:11 BST 2016, end=Sun Jun 19 03:05:11 BST 2016, operations=291.55569478929436, operationsPerMinute=72.88892369732359
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 03:05:17 BST 2016, end=Sun Jun 19 03:07:17 BST 2016, operations=235.51191406879676, operationsPerMinute=117.75595703439838, mode=normal, start=Sun Jun 19 03:07:20 BST 2016, end=Sun Jun 19 03:11:20 BST 2016, operations=472.2413364141601, operationsPerMinute=118.06033410354003
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 03:11:23 BST 2016, end=Sun Jun 19 03:13:23 BST 2016, operations=405.3038858739969, operationsPerMinute=202.65194293699844, mode=normal, start=Sun Jun 19 03:13:26 BST 2016, end=Sun Jun 19 03:17:26 BST 2016, operations=812.9821079426474, operationsPerMinute=203.24552698566185
benchmark-name=derby, mod=warmup, start=Sun Jun 19 03:17:48 BST 2016, end=Sun Jun 19 03:19:48 BST 2016, operations=361.1778495317653, operationsPerMinute=180.58892476588264, mode=normal, start=Sun Jun 19 03:19:50 BST 2016, end=Sun Jun 19 03:23:50 BST 2016, operations=717.9697841975787, operationsPerMinute=179.4924460493947
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 03:23:52 BST 2016, end=Sun Jun 19 03:25:52 BST 2016, operations=207.83936990146637, operationsPerMinute=103.91968495073318, mode=normal, start=Sun Jun 19 03:25:56 BST 2016, end=Sun Jun 19 03:29:56 BST 2016, operations=416.0900525170377, operationsPerMinute=104.02251312925942
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 03:30:00 BST 2016, end=Sun Jun 19 03:32:00 BST 2016, operations=70.58248122173019, operationsPerMinute=35.291240610865096, mode=normal, start=Sun Jun 19 03:32:07 BST 2016, end=Sun Jun 19 03:36:07 BST 2016, operations=149.0345064851142, operationsPerMinute=37.25862662127855
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 03:36:17 BST 2016, end=Sun Jun 19 03:38:17 BST 2016, operations=13.885263303253492, operationsPerMinute=6.942631651626746, mode=normal, start=Sun Jun 19 03:39:00 BST 2016, end=Sun Jun 19 03:43:00 BST 2016, operations=27.731861848666114, operationsPerMinute=6.932965462166528
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 03:43:28 BST 2016, end=Sun Jun 19 03:45:28 BST 2016, operations=74.59497628944168, operationsPerMinute=37.29748814472084, mode=normal, start=Sun Jun 19 03:45:36 BST 2016, end=Sun Jun 19 03:49:36 BST 2016, operations=149.46739889756694, operationsPerMinute=37.366849724391734
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 03:49:45 BST 2016, end=Sun Jun 19 03:51:45 BST 2016, operations=42.822672188504484, operationsPerMinute=21.411336094252242, mode=normal, start=Sun Jun 19 03:51:57 BST 2016, end=Sun Jun 19 03:55:57 BST 2016, operations=86.23950141490322, operationsPerMinute=21.559875353725804
