spec.jvm2008.report.run.location=KRC031
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 19 00:40:23 BST 2016, end=Sun Jun 19 00:40:23 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:40:23 BST 2016, end=Sun Jun 19 00:40:24 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:40:24 BST 2016, end=Sun Jun 19 00:40:39 BST 2016, operations=1.0, operationsPerMinute=3.857776634732849
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:40:39 BST 2016, end=Sun Jun 19 00:40:43 BST 2016, operations=1.0, operationsPerMinute=17.094017094017094
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:40:43 BST 2016, end=Sun Jun 19 00:40:44 BST 2016, operations=1.0, operationsPerMinute=44.70938897168406
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:40:44 BST 2016, end=Sun Jun 19 00:40:53 BST 2016, operations=1.0, operationsPerMinute=6.843846241587772
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:40:53 BST 2016, end=Sun Jun 19 00:41:01 BST 2016, operations=1.0, operationsPerMinute=7.631645891630629
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:41:01 BST 2016, end=Sun Jun 19 00:41:07 BST 2016, operations=1.0, operationsPerMinute=9.049773755656108
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:41:07 BST 2016, end=Sun Jun 19 00:41:10 BST 2016, operations=1.0, operationsPerMinute=24.81389578163772
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:41:10 BST 2016, end=Sun Jun 19 00:41:10 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:41:10 BST 2016, end=Sun Jun 19 00:41:11 BST 2016, operations=1.0, operationsPerMinute=61.98347107438016
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:41:11 BST 2016, end=Sun Jun 19 00:41:17 BST 2016, operations=1.0, operationsPerMinute=10.596962204168138
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:41:17 BST 2016, end=Sun Jun 19 00:41:19 BST 2016, operations=1.0, operationsPerMinute=39.24133420536298
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:41:19 BST 2016, end=Sun Jun 19 00:41:20 BST 2016, operations=1.0, operationsPerMinute=56.60377358490566
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:41:20 BST 2016, end=Sun Jun 19 00:41:22 BST 2016, operations=1.0, operationsPerMinute=26.33889376646181
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:41:22 BST 2016, end=Sun Jun 19 00:41:28 BST 2016, operations=1.0, operationsPerMinute=9.246417013407305
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:41:28 BST 2016, end=Sun Jun 19 00:41:50 BST 2016, operations=1.0, operationsPerMinute=2.74360967579679
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:41:50 BST 2016, end=Sun Jun 19 00:41:51 BST 2016, operations=1.0, operationsPerMinute=69.93006993006993
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:42:04 BST 2016, end=Sun Jun 19 00:44:04 BST 2016, operations=455.90177061673387, operationsPerMinute=227.95088530836694, mode=normal, start=Sun Jun 19 00:44:05 BST 2016, end=Sun Jun 19 00:48:05 BST 2016, operations=937.8467591659423, operationsPerMinute=234.46168979148558
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:48:10 BST 2016, end=Sun Jun 19 00:50:10 BST 2016, operations=185.97838858646958, operationsPerMinute=92.98919429323479, mode=normal, start=Sun Jun 19 00:50:13 BST 2016, end=Sun Jun 19 00:54:13 BST 2016, operations=369.85389010687607, operationsPerMinute=92.46347252671902
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:54:17 BST 2016, end=Sun Jun 19 00:56:17 BST 2016, operations=364.2287091126052, operationsPerMinute=182.1143545563026, mode=normal, start=Sun Jun 19 00:56:19 BST 2016, end=Sun Jun 19 01:00:19 BST 2016, operations=726.7578709962745, operationsPerMinute=181.68946774906863
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 01:00:21 BST 2016, end=Sun Jun 19 01:02:21 BST 2016, operations=127.47027041719252, operationsPerMinute=63.73513520859626, mode=normal, start=Sun Jun 19 01:02:28 BST 2016, end=Sun Jun 19 01:06:28 BST 2016, operations=267.95435964716256, operationsPerMinute=66.98858991179064
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:06:34 BST 2016, end=Sun Jun 19 01:08:34 BST 2016, operations=214.88076423242114, operationsPerMinute=107.44038211621057, mode=normal, start=Sun Jun 19 01:08:36 BST 2016, end=Sun Jun 19 01:12:36 BST 2016, operations=431.3965444644102, operationsPerMinute=107.84913611610256
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:12:40 BST 2016, end=Sun Jun 19 01:14:40 BST 2016, operations=371.0181711701649, operationsPerMinute=185.50908558508246, mode=normal, start=Sun Jun 19 01:14:42 BST 2016, end=Sun Jun 19 01:18:42 BST 2016, operations=744.6778646597994, operationsPerMinute=186.16946616494985
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:19:55 BST 2016, end=Sun Jun 19 01:21:55 BST 2016, operations=329.97589729234653, operationsPerMinute=164.98794864617327, mode=normal, start=Sun Jun 19 01:21:58 BST 2016, end=Sun Jun 19 01:25:58 BST 2016, operations=665.1586524213102, operationsPerMinute=166.28966310532755
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:26:00 BST 2016, end=Sun Jun 19 01:28:00 BST 2016, operations=189.9677273739296, operationsPerMinute=94.9838636869648, mode=normal, start=Sun Jun 19 01:28:04 BST 2016, end=Sun Jun 19 01:32:04 BST 2016, operations=380.37235075009585, operationsPerMinute=95.09308768752396
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:32:08 BST 2016, end=Sun Jun 19 01:34:08 BST 2016, operations=77.47712982684098, operationsPerMinute=38.73856491342049, mode=normal, start=Sun Jun 19 01:34:17 BST 2016, end=Sun Jun 19 01:38:17 BST 2016, operations=152.36080530558525, operationsPerMinute=38.09020132639631
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:38:24 BST 2016, end=Sun Jun 19 01:40:24 BST 2016, operations=13.864481801008669, operationsPerMinute=6.932240900504334, mode=normal, start=Sun Jun 19 01:41:09 BST 2016, end=Sun Jun 19 01:45:09 BST 2016, operations=27.68348638663453, operationsPerMinute=6.920871596658633
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:45:38 BST 2016, end=Sun Jun 19 01:47:38 BST 2016, operations=68.95934335027837, operationsPerMinute=34.47967167513919, mode=normal, start=Sun Jun 19 01:47:51 BST 2016, end=Sun Jun 19 01:51:51 BST 2016, operations=138.7579490200333, operationsPerMinute=34.68948725500832
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:52:00 BST 2016, end=Sun Jun 19 01:54:00 BST 2016, operations=43.08043683847277, operationsPerMinute=21.540218419236385, mode=normal, start=Sun Jun 19 01:54:14 BST 2016, end=Sun Jun 19 01:58:14 BST 2016, operations=85.64926656237208, operationsPerMinute=21.41231664059302
