spec.jvm2008.report.run.location=LEAZESTCE001
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jun 27 06:38:18 BST 2016, end=Mon Jun 27 06:38:18 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 06:38:18 BST 2016, end=Mon Jun 27 06:38:18 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 06:38:18 BST 2016, end=Mon Jun 27 06:38:31 BST 2016, operations=1.0, operationsPerMinute=4.5735193231191404
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 06:38:31 BST 2016, end=Mon Jun 27 06:38:34 BST 2016, operations=1.0, operationsPerMinute=18.48998459167951
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 06:38:34 BST 2016, end=Mon Jun 27 06:38:35 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 06:38:35 BST 2016, end=Mon Jun 27 06:38:44 BST 2016, operations=1.0, operationsPerMinute=7.069635913750441
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 06:38:44 BST 2016, end=Mon Jun 27 06:38:51 BST 2016, operations=1.0, operationsPerMinute=8.13118308713918
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 06:38:51 BST 2016, end=Mon Jun 27 06:38:58 BST 2016, operations=1.0, operationsPerMinute=9.007656508031827
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 06:38:58 BST 2016, end=Mon Jun 27 06:39:00 BST 2016, operations=1.0, operationsPerMinute=25.9852750108272
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 06:39:00 BST 2016, end=Mon Jun 27 06:39:01 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 06:39:01 BST 2016, end=Mon Jun 27 06:39:02 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 06:39:02 BST 2016, end=Mon Jun 27 06:39:07 BST 2016, operations=1.0, operationsPerMinute=10.924981791697014
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 06:39:07 BST 2016, end=Mon Jun 27 06:39:09 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 06:39:09 BST 2016, end=Mon Jun 27 06:39:10 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 06:39:10 BST 2016, end=Mon Jun 27 06:39:12 BST 2016, operations=1.0, operationsPerMinute=28.91566265060241
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 06:39:12 BST 2016, end=Mon Jun 27 06:39:18 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 06:39:18 BST 2016, end=Mon Jun 27 06:39:38 BST 2016, operations=1.0, operationsPerMinute=2.9585798816568047
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 06:39:38 BST 2016, end=Mon Jun 27 06:39:39 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 06:39:50 BST 2016, end=Mon Jun 27 06:41:50 BST 2016, operations=491.23108305801503, operationsPerMinute=245.61554152900752, mode=normal, start=Mon Jun 27 06:41:51 BST 2016, end=Mon Jun 27 06:45:51 BST 2016, operations=1004.2819662707088, operationsPerMinute=251.0704915676772
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 06:45:55 BST 2016, end=Mon Jun 27 06:47:55 BST 2016, operations=197.4595685823508, operationsPerMinute=98.7297842911754, mode=normal, start=Mon Jun 27 06:47:59 BST 2016, end=Mon Jun 27 06:51:59 BST 2016, operations=382.1656593606364, operationsPerMinute=95.5414148401591
benchmark-name=compress, mod=warmup, start=Mon Jun 27 06:52:02 BST 2016, end=Mon Jun 27 06:54:02 BST 2016, operations=401.14321114273474, operationsPerMinute=200.57160557136737, mode=normal, start=Mon Jun 27 06:54:04 BST 2016, end=Mon Jun 27 06:58:04 BST 2016, operations=802.0870449322769, operationsPerMinute=200.5217612330692
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 06:58:06 BST 2016, end=Mon Jun 27 07:00:06 BST 2016, operations=139.17321141951473, operationsPerMinute=69.58660570975736, mode=normal, start=Mon Jun 27 07:00:10 BST 2016, end=Mon Jun 27 07:04:10 BST 2016, operations=292.8848028368101, operationsPerMinute=73.22120070920252
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 07:04:15 BST 2016, end=Mon Jun 27 07:06:15 BST 2016, operations=235.19297967948322, operationsPerMinute=117.59648983974161, mode=normal, start=Mon Jun 27 07:06:18 BST 2016, end=Mon Jun 27 07:10:18 BST 2016, operations=470.130331282627, operationsPerMinute=117.53258282065676
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 07:10:22 BST 2016, end=Mon Jun 27 07:12:22 BST 2016, operations=407.370208899214, operationsPerMinute=203.685104449607, mode=normal, start=Mon Jun 27 07:12:23 BST 2016, end=Mon Jun 27 07:16:23 BST 2016, operations=816.5715210216053, operationsPerMinute=204.14288025540134
benchmark-name=derby, mod=warmup, start=Mon Jun 27 07:16:46 BST 2016, end=Mon Jun 27 07:18:46 BST 2016, operations=359.87525097071466, operationsPerMinute=179.93762548535733, mode=normal, start=Mon Jun 27 07:18:48 BST 2016, end=Mon Jun 27 07:22:48 BST 2016, operations=721.5375557612082, operationsPerMinute=180.38438894030205
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 07:22:50 BST 2016, end=Mon Jun 27 07:24:50 BST 2016, operations=208.45883596540702, operationsPerMinute=104.22941798270351, mode=normal, start=Mon Jun 27 07:24:54 BST 2016, end=Mon Jun 27 07:28:54 BST 2016, operations=417.3971196986845, operationsPerMinute=104.34927992467112
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 07:28:57 BST 2016, end=Mon Jun 27 07:30:57 BST 2016, operations=79.53243246197343, operationsPerMinute=39.766216230986714, mode=normal, start=Mon Jun 27 07:31:04 BST 2016, end=Mon Jun 27 07:35:04 BST 2016, operations=158.83080228710105, operationsPerMinute=39.70770057177526
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 07:35:11 BST 2016, end=Mon Jun 27 07:37:11 BST 2016, operations=13.89607695930096, operationsPerMinute=6.94803847965048, mode=normal, start=Mon Jun 27 07:37:54 BST 2016, end=Mon Jun 27 07:41:54 BST 2016, operations=27.994954090068923, operationsPerMinute=6.998738522517231
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 07:42:27 BST 2016, end=Mon Jun 27 07:44:27 BST 2016, operations=74.68784870090329, operationsPerMinute=37.343924350451644, mode=normal, start=Mon Jun 27 07:44:36 BST 2016, end=Mon Jun 27 07:48:36 BST 2016, operations=149.5360055250519, operationsPerMinute=37.384001381262976
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 07:48:47 BST 2016, end=Mon Jun 27 07:50:47 BST 2016, operations=43.3404169036151, operationsPerMinute=21.67020845180755, mode=normal, start=Mon Jun 27 07:50:57 BST 2016, end=Mon Jun 27 07:54:57 BST 2016, operations=86.41977300519858, operationsPerMinute=21.604943251299645
